Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
1,Caitlyn,"6,215,637",2.16:1,50.07%,26.93%,31.94%,196.23,"10,166"
2,Lux,"4,798,166",2.56:1,50.89%,20.79%,18.62%,95.42,"10,237"
3,Jinx,"4,786,241",2.29:1,50.19%,20.74%,5.19%,196.17,"11,873"
4,Jhin,"4,702,578",2.78:1,50.52%,20.38%,8.60%,189.08,"12,383"
5,Ashe,"4,072,227",2.33:1,49.55%,17.64%,13.86%,176.65,"11,474"
6,Ezreal,"3,428,565",2.49:1,48.30%,14.86%,4.79%,187.89,"11,913"
7,Yone,"3,418,498",1.67:1,48.20%,14.81%,13.42%,198.76,"11,819"
8,Warwick,"3,282,297",2.24:1,53.11%,14.22%,24.75%,164.26,"12,123"
9,Miss Fortune,"3,280,296",2.46:1,51.34%,14.21%,4.21%,180.73,"12,541"
10,Yasuo,"3,211,372",1.63:1,48.88%,13.91%,20.87%,201.75,"12,106"
11,Lee Sin,"3,138,885",2.65:1,48.65%,13.60%,10.13%,159.27,"11,620"
12,Sylas,"3,074,114",2.07:1,48.89%,13.32%,13.79%,143.46,"10,843"
13,Viktor,"3,070,258",2.16:1,50.83%,13.30%,18.21%,192.91,"11,497"
14,Viego,"3,049,637",2.46:1,50.20%,13.21%,8.63%,176.25,"12,125"
15,Kai'Sa,"2,604,735",2.39:1,48.39%,11.29%,2.31%,201.2,"12,693"
16,Tahm Kench,"2,600,709",2.48:1,51.91%,11.27%,14.10%,89.7,"9,981"
17,Ahri,"2,591,313",2.53:1,50.46%,11.23%,6.12%,181.94,"11,399"
18,Thresh,"2,541,374",2.64:1,49.47%,11.01%,4.29%,33.75,"8,265"
19,Graves,"2,491,406",2.43:1,49.98%,10.80%,13.17%,200.25,"13,129"
20,Teemo,"2,471,719",1.94:1,51.44%,10.71%,20.46%,170.55,"11,801"
21,Swain,"2,426,859",2.35:1,50.47%,10.52%,9.61%,115.09,"10,374"
22,Kayn,"2,279,575",2.28:1,50.69%,9.88%,6.22%,180.49,"12,309"
23,Akali,"2,262,403",2.3:1,49.60%,9.80%,11.95%,165.95,"11,588"
24,Mordekaiser,"2,236,887",1.94:1,52.08%,9.69%,15.27%,174.07,"11,789"
25,Morgana,"2,144,747",2.63:1,51.13%,9.29%,24.63%,63.84,"9,568"
26,Smolder,"2,129,588",2.14:1,47.49%,9.23%,4.38%,209.61,"12,240"
27,Ekko,"2,100,475",2.43:1,49.98%,9.10%,1.69%,175.31,"12,318"
