Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
1,Caitlyn,"504,947",2.16:1,50.25%,27.11%,44.15%,192.77,"12,610"
2,Lux,"441,548",2.65:1,51.66%,23.71%,28.94%,109.92,"10,602"
3,Jinx,"382,950",2.29:1,50.76%,20.56%,6.01%,193.38,"12,286"
4,Jhin,"374,198",2.74:1,50.34%,20.09%,6.97%,186.38,"12,776"
5,Yasuo,"327,722",1.62:1,49.27%,17.6%,38.08%,204.76,"12,379"
6,Ashe,"319,282",2.3:1,49.7%,17.14%,8.73%,173.99,"11,648"
7,Warwick,"276,425",2.22:1,53.28%,14.84%,17.32%,160.93,"12,125"
8,Ezreal,"275,729",2.48:1,48.3%,14.81%,6.41%,183.92,"12,015"
9,Viktor,"258,235",2.16:1,50.69%,13.87%,12.79%,188.98,"11,870"
10,Yone,"253,462",1.67:1,48.05%,13.61%,16.49%,198.24,"11,996"
11,Kai'Sa,"245,166",2.36:1,48.79%,13.16%,4.01%,198.41,"12,766"
12,Miss Fortune,"237,108",2.43:1,51.09%,12.73%,3.27%,180.17,"12,649"
13,Irelia,"230,618",1.61:1,50.34%,12.38%,20.46%,223.55,"13,352"
14,Kayn,"222,466",2.25:1,50.92%,11.95%,9.08%,175.07,"12,141"
15,Mordekaiser,"215,007",1.96:1,52.85%,11.55%,21.18%,174.41,"11,893"
16,Tahm Kench,"214,677",2.49:1,51.64%,11.53%,12.76%,97.08,"10,157"
17,Ahri,"207,752",2.53:1,50.92%,11.16%,7.2%,181.7,"11,578"
18,Lee Sin,"207,650",2.58:1,48.55%,11.15%,9.65%,157.19,"11,769"
19,Thresh,"204,388",2.68:1,49.36%,10.97%,4.33%,34.74,"8,413"
20,Morgana,"203,635",2.65:1,51.2%,10.93%,36.06%,65.86,"9,675"
21,Ekko,"203,542",2.38:1,49.86%,10.93%,1.75%,171.51,"12,287"
22,Teemo,"199,273",1.97:1,51.88%,10.7%,17.74%,172.72,"11,908"
23,Lulu,"198,974",3.32:1,50.4%,10.68%,16.18%,29.53,"8,166"
24,Swain,"192,452",2.28:1,49.95%,10.33%,7.5%,112.1,"10,473"
25,Shaco,"187,392",2.52:1,48.98%,10.06%,41.42%,151.32,"12,065"
26,Nami,"179,296",3.4:1,51.53%,9.63%,1.35%,26.1,"8,215"
27,Veigar,"173,400",2.3:1,51.71%,9.31%,3.49%,179.7,"12,267"
28,Diana,"169,559",2.07:1,51.15%,9.1%,3.2%,188.39,"12,668"
29,Sylas,"168,412",2:1,48.12%,9.04%,5.61%,144.31,"11,015"
