Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,103299,2.17,50.48,29.2,45.08,185.48,12584,br,bronze
2,Lux,95254,2.66,52.38,26.93,37.34,102.97,10627,br,bronze
3,Jinx,72895,2.3,50.67,20.61,6.91,185.47,12299,br,bronze
4,Jhin,68651,2.7,50.11,19.41,8.55,177.27,12709,br,bronze
5,Yasuo,68033,1.64,49.22,19.23,39.58,199.23,12432,br,bronze
6,Miss Fortune,64060,2.46,51.56,18.11,5.47,178.58,12760,br,bronze
7,Warwick,62227,2.22,53.57,17.59,22.1,160.17,12258,br,bronze
8,Ashe,60353,2.29,49.52,17.06,7.94,165.67,11664,br,bronze
9,Morgana,51714,2.68,51.94,14.62,40.08,67.93,9866,br,bronze
10,Yone,51507,1.72,48.57,14.56,16.02,193.26,12114,br,bronze
11,Teemo,50278,2,52.67,14.21,24.36,170.11,12011,br,bronze
12,Mordekaiser,49090,2.01,53.58,13.88,26.69,170.9,12038,br,bronze
13,Ezreal,46712,2.44,47.39,13.21,5.3,172.91,11890,br,bronze
14,Kayn,45810,2.18,50.85,12.95,8.73,173.52,12180,br,bronze
15,Irelia,45642,1.67,50.85,12.9,18.57,220.26,13508,br,bronze
16,Tahm Kench,44449,2.48,51.24,12.57,13.58,95.63,10303,br,bronze
17,Veigar,42760,2.3,52.1,12.09,5.27,173.12,12306,br,bronze
18,Kai'Sa,41218,2.34,48.33,11.65,3.71,192.06,12821,br,bronze
19,Shaco,41140,2.48,49,11.63,50.19,151.27,12154,br,bronze
20,Viktor,41121,2.14,49.99,11.63,9.19,176.34,11787,br,bronze
21,Swain,39799,2.31,50.59,11.25,8.52,103.46,10515,br,bronze
22,Ekko,39023,2.26,49.32,11.03,1.7,166.72,12287,br,bronze
23,Yorick,38841,1.84,54,10.98,22.33,204.24,12777,br,bronze
24,Ahri,37211,2.48,50.8,10.52,6.89,173.89,11596,br,bronze
25,Volibear,34216,1.95,50.88,9.67,5.2,169.06,11710,br,bronze
26,Master Yi,33843,1.94,50.32,9.57,23.08,176.92,12692,br,bronze
27,Diana,33518,2.06,51.43,9.48,3.62,184.92,12726,br,bronze
28,Nocturne,33494,2.53,52.54,9.47,11.95,179.83,12479,br,bronze
29,Darius,33239,1.79,48.52,9.4,19.73,178.29,12048,br,bronze
30,Jax,31513,1.77,49.15,8.91,6.74,171.1,12004,br,bronze
31,Nautilus,31327,2.41,48.2,8.86,13.34,38.93,8722,br,bronze
32,Sylas,30250,1.97,47.49,8.55,5.13,138.92,11067,br,bronze
33,Malzahar,30106,2.29,53.3,8.51,13.62,215.5,12961,br,bronze
34,Vayne,30064,2.04,50.36,8.5,4.55,170.23,12324,br,bronze
35,Akali,29856,2.22,48.99,8.44,11.82,156.42,11711,br,bronze
36,Thresh,29482,2.56,47.79,8.34,2.38,38.08,8634,br,bronze
37,Seraphine,29325,2.74,50.25,8.29,4.35,58.43,9432,br,bronze
38,Lee Sin,29309,2.4,47.02,8.29,6.21,155.41,11824,br,bronze
39,Brand,29058,2.04,51.49,8.22,9.25,88.88,10583,br,bronze
40,Tristana,28268,2.15,46.47,7.99,2.48,173.24,12728,br,bronze
41,Lulu,28230,3.14,48.6,7.98,8.62,31.55,8344,br,bronze
42,Sett,27890,1.72,50.92,7.89,2.86,167.58,11965,br,bronze
43,Amumu,27221,2.43,52.24,7.7,3,156.05,11272,br,bronze
44,Smolder,26986,2.14,46.87,7.63,2.79,195.07,12171,br,bronze
45,Zyra,26698,2.32,52,7.55,7.8,77.99,10013,br,bronze
46,Zed,26646,2.2,47.26,7.53,20.31,174.61,12499,br,bronze
47,Poppy,26475,2.16,49,7.49,1.7,114.15,10342,br,bronze
48,Malphite,25364,2.49,49.85,7.17,2.34,141.66,11077,br,bronze
49,Vi,24854,2.26,50,7.03,1.24,162.39,11703,br,bronze
50,Katarina,24482,2.12,47.63,6.92,6.59,158.95,12294,br,bronze
51,Leona,24212,2.46,48.92,6.85,5.52,33.7,8596,br,bronze
52,Nasus,23914,2.02,51.5,6.76,3.73,180.64,12079,br,bronze
53,Viego,23504,2.21,49.45,6.65,2.36,170.9,12273,br,bronze
54,Karma,23394,2.58,48.95,6.61,2.57,55.95,9166,br,bronze
55,Garen,22945,2.14,50.69,6.49,1.88,192.52,12590,br,bronze
56,Nami,22933,3.36,51.56,6.48,0.78,26.16,8352,br,bronze
57,Lucian,22477,2.25,47.36,6.35,1.68,185.22,12433,br,bronze
58,Cho'Gath,22280,2.21,52.1,6.3,1.38,166.92,11843,br,bronze
59,Ambessa,22071,1.88,46.5,6.24,25.74,165.19,11473,br,bronze
60,Pantheon,21848,2.1,49.41,6.18,1.52,104.25,11179,br,bronze
61,Fizz,21812,2.3,50.4,6.17,8.32,159.97,12598,br,bronze
62,Graves,21637,2.25,48.81,6.12,1.82,191.78,13097,br,bronze
63,Senna,21279,2.73,48.69,6.02,1.35,51.11,9943,br,bronze
64,LeBlanc,20981,2.55,47.12,5.93,10.73,148.92,11428,br,bronze
65,Trundle,20937,1.79,51.81,5.92,1.96,183.02,12501,br,bronze
66,Pyke,20374,2.03,47.2,5.76,9.64,38.3,10051,br,bronze
67,Varus,19117,2.2,47.79,5.4,0.81,176.88,12167,br,bronze
68,Soraka,19029,2.95,50.91,5.38,3.54,28.16,7995,br,bronze
69,Gragas,18964,2.17,46.98,5.36,1.2,153.28,11182,br,bronze
70,Draven,18846,1.95,47.07,5.33,12.18,175.96,13339,br,bronze
71,Galio,18183,2.65,51.1,5.14,1.45,136.4,10574,br,bronze
72,Aatrox,18117,1.79,47.42,5.12,5.97,166.09,11407,br,bronze
73,Vladimir,17874,2.02,48.8,5.05,4.02,178.54,11720,br,bronze
