Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Sylas,485,2.36,50.52,25.07,10.93,131,10378,br,challenger
2,Aurora,475,3.14,55.16,24.55,47.81,197.29,11524,br,challenger
3,Lee Sin,465,3.28,50.75,24.03,22.15,157.94,11473,br,challenger
4,Ezreal,429,2.34,45.45,22.17,10.65,199.62,11476,br,challenger
5,Graves,424,3.11,54.25,21.92,40.23,198.06,12890,br,challenger
6,Ambessa,407,2.19,50.61,21.04,53.27,187.55,10848,br,challenger
7,Ashe,388,2.52,51.55,20.05,18.35,196.27,11249,br,challenger
8,Corki,374,2.48,47.33,19.33,11.09,217.83,12314,br,challenger
9,Viktor,364,2.56,49.45,20.82,19.23,214.44,11764,br,challenger
10,Yone,349,1.91,48.42,18.04,10.41,212.4,11486,br,challenger
11,Jhin,330,2.84,49.39,17.11,0.56,199.01,11923,br,challenger
12,Yasuo,291,1.9,49.83,15.04,20.59,200.08,11437,br,challenger
13,Viego,290,2.86,48.28,14.99,2.03,168.02,11238,br,challenger
14,Kai'Sa,281,2.48,50.18,14.52,2.26,214.38,12402,br,challenger
15,Kha'Zix,272,2.97,52.21,14.06,3.01,176.42,11516,br,challenger
16,Jayce,271,2.06,50.18,14.01,5.83,209.03,12053,br,challenger
17,Rell,268,3.29,52.61,13.85,7.01,24.12,7680,br,challenger
18,Hwei,262,3.08,51.91,13.54,4.92,198.65,11422,br,challenger
19,Caitlyn,255,2.18,45.88,13.18,13.4,209.62,12240,br,challenger
20,Akali,249,2.53,51.81,12.87,6.48,184.43,11026,br,challenger
21,Varus,247,2.6,52.63,12.81,2.23,202.6,12103,br,challenger
22,Irelia,246,1.44,46.34,12.72,12.47,229.91,12431,br,challenger
23,Zilean,244,3.8,54.51,12.61,0.73,50.35,7883,br,challenger
24,Skarner,243,4.22,58.85,12.56,43.8,152.79,10633,br,challenger
25,Renekton,240,2.11,50.83,12.41,9.47,196.63,10941,br,challenger
26,Nautilus,238,2.39,46.64,12.3,13.73,25.86,7372,br,challenger
27,K'Sante,234,2.51,49.15,12.09,4.11,186.13,10570,br,challenger
28,Zac,232,3.19,53.45,12.03,12.86,165.65,10376,br,challenger
29,Kalista,225,2.25,50.67,11.67,3.32,195.33,12241,br,challenger
30,Ahri,216,3.14,50.93,11.52,1.38,208.55,11820,br,challenger
31,Nunu & Willump,215,3.15,52.09,11.44,5.53,165.28,10834,br,challenger
32,Pyke,206,2.46,52.43,10.65,32.81,31.25,9155,br,challenger
33,Poppy,204,2.53,55.39,10.58,13.06,54.51,8874,br,challenger
34,Karthus,201,1.98,56.72,10.39,10.13,210.62,12240,br,challenger
35,Hecarim,199,3.07,47.74,10.29,6.22,194.82,11828,br,challenger
36,Jinx,199,2.74,51.76,10.63,1.32,213.07,12063,br,challenger
37,Karma,187,3.17,52.41,9.7,1.19,37.45,8007,br,challenger
38,Garen,184,2.24,51.63,9.54,2.04,204.26,11846,br,challenger
39,Rakan,180,3.5,52.22,9.3,0.93,26.88,7280,br,challenger
40,Orianna,174,2.88,58.62,8.99,0.78,197.42,10956,br,challenger
41,Lux,173,2.76,49.13,8.97,1.9,125.77,10299,br,challenger
42,Elise,169,2.86,52.66,8.74,5.7,92.96,9949,br,challenger
43,Leona,167,2.86,57.49,8.66,0.82,27.13,7639,br,challenger
44,LeBlanc,167,3.62,57.49,8.63,38.32,176.34,11311,br,challenger
45,Smolder,161,1.97,44.72,8.56,2.38,212.48,11427,br,challenger
46,Kog'Maw,161,2.01,55.28,8.61,7.42,197.2,12071,br,challenger
47,Sona,160,3.15,41.88,8.3,3.03,24.24,7650,br,challenger
48,Jax,160,2.29,50,8.27,14.36,190.09,11595,br,challenger
49,Bard,149,3.53,54.36,7.73,0.21,24.32,7756,br,challenger
50,Alistar,149,2.94,55.7,7.7,2.35,25.2,7448,br,challenger
51,Fiddlesticks,147,2.69,54.42,7.91,1.65,169.86,10667,br,challenger
52,Tristana,146,2.52,49.32,7.55,0.18,191.56,12514,br,challenger
53,Jarvan IV,146,3.89,50,7.55,3.13,150.91,10664,br,challenger
54,Teemo,140,2.78,51.43,7.26,6.7,194.61,11254,br,challenger
55,Rengar,139,2.51,53.96,7.18,39.48,178.58,11817,br,challenger
56,Swain,135,2.57,51.85,7,1.17,170.78,10630,br,challenger
57,Wukong,135,3.13,55.56,6.98,2.2,169.3,11413,br,challenger
58,Ekko,129,3.17,52.71,6.67,3.01,172.19,11545,br,challenger
59,Camille,128,2.15,53.13,6.64,1.43,172.72,11311,br,challenger
60,Lulu,126,3.67,51.59,6.51,5.43,25.86,7681,br,challenger
61,Lillia,113,3.55,53.1,5.86,2.96,189.56,11786,br,challenger
62,Taliyah,112,2.79,54.46,5.79,0.84,202.21,12379,br,challenger
63,Galio,110,3.04,53.64,5.7,3.14,168.91,9702,br,challenger
64,Zeri,109,2.42,48.62,6,0.25,225.84,12279,br,challenger
65,Darius,106,2.2,43.4,5.48,9.89,191.79,11466,br,challenger
66,Blitzcrank,103,2.91,56.31,5.34,3.81,22.44,7637,br,challenger
67,Ivern,102,4.84,58.82,5.44,1.16,125.07,9254,br,challenger
68,Riven,97,1.89,52.58,5.03,7.77,192.49,11914,br,challenger
69,Syndra,95,2.57,45.26,4.91,2.42,211.92,11901,br,challenger
70,Rumble,93,2.61,50.54,4.95,0.05,196.18,11280,br,challenger
71,Evelynn,93,2.83,52.69,4.81,4.69,133.08,9965,br,challenger
72,Nidalee,93,3.4,54.84,4.81,6.93,170.98,11637,br,challenger
73,Udyr,91,2.98,43.96,4.72,8.4,182.26,11105,br,challenger
74,Soraka,91,3.4,50.55,4.72,3.54,29.38,7385,br,challenger
75,Gnar,89,2.21,44.94,4.61,0.74,193.98,11175,br,challenger
76,Gragas,89,2.95,51.69,4.61,1.22,167.52,10654,br,challenger
77,Kindred,87,2.49,45.98,4.5,3.7,175.83,11799,br,challenger
78,Gangplank,87,3.4,52.87,4.92,0.66,215.39,13249,br,challenger
79,Vi,84,2.99,48.81,4.36,0.37,158.92,10439,br,challenger
80,Gwen,83,1.87,46.99,4.3,1.52,202.72,11693,br,challenger
81,Ryze,80,2.51,52.5,4.14,1.42,214.39,11453,br,challenger
82,Kayn,79,2.42,43.04,4.08,9.65,172.97,11496,br,challenger
83,Rammus,78,3.54,48.72,4.03,6.27,170.78,10813,br,challenger
84,Braum,77,3.07,57.14,3.99,1.37,22.23,7497,br,challenger
85,Seraphine,76,3.37,44.74,3.93,1.39,118.04,9222,br,challenger
86,Master Yi,76,2.64,59.21,3.93,31.52,201.88,13130,br,challenger
87,Kassadin,74,2.03,45.95,3.82,7.28,169.01,10094,br,challenger
88,Senna,73,2.91,49.32,4.33,0.24,33.4,9177,br,challenger
89,Lucian,72,2.07,40.28,3.81,0.22,215.57,11628,br,challenger
90,Nami,71,3.19,45.07,4.1,0.26,23.08,7591,br,challenger
91,Draven,70,2.09,47.14,3.62,10.66,194.16,12567,br,challenger
92,Olaf,69,1.94,52.17,3.73,0.8,191.04,11541,br,challenger
93,Qiyana,68,2.69,47.06,3.53,0.96,181.37,11369,br,challenger
94,Maokai,68,2.62,57.35,4.05,0.21,92.38,8417,br,challenger
95,Xayah,67,2.54,47.76,3.58,0.27,222.9,11807,br,challenger
96,Neeko,66,2.26,43.94,3.67,0.05,60.86,8576,br,challenger
97,Tahm Kench,65,2.53,49.23,3.44,0.29,30.34,7708,br,challenger
98,Zed,63,2.53,44.44,3.26,11.24,183.7,11434,br,challenger
99,Thresh,62,2.91,41.94,3.34,0.58,24.44,7516,br,challenger
100,Twitch,59,2.28,45.76,3.15,3.06,164.36,11086,br,challenger
101,Taric,57,3.71,66.67,3.56,0.16,31.14,7402,br,challenger
102,Aatrox,56,1.97,57.14,2.89,1.84,183.29,10438,br,challenger
103,Katarina,55,2.71,52.73,2.84,14.49,167.47,12153,br,challenger
104,Aurelion Sol,53,3.41,56.6,3.18,0.7,195.17,11507,br,challenger
105,Nocturne,52,2.77,36.54,3.01,0.2,171,10867,br,challenger
106,Xin Zhao,52,2.39,51.92,3.04,0.14,164.63,11121,br,challenger
107,Zyra,49,2.89,55.1,2.7,1.49,145.8,10562,br,challenger
108,Renata Glasc,48,3.19,50,2.95,0.05,27.63,7735,br,challenger
109,Vayne,48,1.84,56.25,2.64,0.5,177.15,10833,br,challenger
110,Zoe,47,2.92,53.19,3.13,0.21,172.43,10955,br,challenger
111,Diana,46,2.34,36.96,3.44,0.17,200.59,12166,br,challenger
112,Ziggs,46,2.56,54.35,2.71,0.9,199.09,11462,br,challenger
113,Janna,43,3.91,53.49,2.51,0.8,23.91,7022,br,challenger
114,Veigar,41,2,39.02,2.94,0.11,218.9,12183,br,challenger
115,Mordekaiser,40,1.79,47.5,2.55,0.53,185,10923,br,challenger
116,Sivir,40,3.03,50,2.48,0.14,247.97,13135,br,challenger
117,Twisted Fate,40,2.71,55,3.32,0.13,190.63,11635,br,challenger
118,Kennen,39,2.24,41.03,2.02,3.41,179.72,10614,br,challenger
119,Rek'Sai,37,2.61,40.54,3.74,0.37,136.81,10582,br,challenger
120,Dr. Mundo,36,2.73,41.67,2.5,0.38,191.89,11368,br,challenger
121,Pantheon,36,1.89,47.22,1.87,0.46,160.06,11220,br,challenger
122,Akshan,36,3.2,50,1.86,1.48,222.61,13926,br,challenger
123,Bel'Veth,36,4.54,58.33,1.87,0.82,177.33,11848,br,challenger
124,Fiora,34,1.56,35.29,1.76,9.61,192.71,11343,br,challenger
125,Briar,34,3.02,44.12,2.35,0.68,156.65,11084,br,challenger
126,Vladimir,31,2.61,54.84,1.6,5.73,186.9,11003,br,challenger
127,Malphite,29,2.46,37.93,1.5,4.22,173.69,10484,br,challenger
128,Vex,29,2.58,51.72,1.55,1.73,178.59,10243,br,challenger
129,Miss Fortune,29,2.59,51.72,2.22,0.23,207,12554,br,challenger
130,Anivia,28,2.63,46.43,1.67,3.03,191.29,10618,br,challenger
131,Azir,28,2.5,50,1.72,0.49,211.75,11691,br,challenger
132,Sion,28,2.52,53.57,1.98,0.21,193.39,11057,br,challenger
133,Volibear,27,1.71,40.74,1.77,0.65,169.44,9969,br,challenger
134,Sejuani,26,2.77,50,2.55,0.05,160.85,10022,br,challenger
135,Talon,25,2.7,36,1.3,1.89,177.84,11116,br,challenger
136,Vel'Koz,25,2.09,40,2.53,0.18,80.52,9108,br,challenger
137,Aphelios,24,2.1,33.33,2.11,0.18,214.04,12227,br,challenger
138,Samira,22,2.66,59.09,1.17,1.41,187.18,13187,br,challenger
