Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Jhin,15589,2.77,50.14,20.29,3.5,194.18,12356,br,diamond
2,Caitlyn,15356,2.1,48.03,19.98,35.81,200.48,12219,br,diamond
3,Jinx,15322,2.27,49.93,19.94,3.89,203.37,11940,br,diamond
4,Ashe,13953,2.35,50.51,18.16,14.2,183.92,11241,br,diamond
5,Ezreal,13262,2.47,49.28,17.26,10.61,194.22,11723,br,diamond
6,Lux,13226,2.71,50.3,17.21,11.09,141.43,10591,br,diamond
7,Viktor,13210,2.14,50.62,17.19,17.67,198.41,11496,br,diamond
8,Nami,12620,3.45,50.72,16.42,1.99,25.24,7860,br,diamond
9,Kai'Sa,12357,2.36,48.17,16.08,4.3,203.2,12304,br,diamond
10,Lee Sin,11668,2.79,49.55,15.18,17.1,154.53,11359,br,diamond
11,Lulu,11379,3.49,51.5,14.81,23.53,27.65,7790,br,diamond
12,Yasuo,10471,1.62,49.27,13.63,32.44,210.85,11998,br,diamond
13,Thresh,9658,2.78,51.5,12.57,7.45,30.08,7899,br,diamond
14,Yone,9503,1.59,46.23,12.37,14.43,205.44,11545,br,diamond
15,Graves,9449,2.49,49.18,12.3,15.26,194.67,12701,br,diamond
16,Ahri,9299,2.69,51.01,12.1,5.56,190.3,11266,br,diamond
17,Karma,9026,2.77,49.36,11.75,6.52,43.43,8325,br,diamond
18,Irelia,8779,1.48,50.34,11.42,20.61,223.45,12671,br,diamond
19,Smolder,8597,2.12,46.19,11.19,2.99,209.42,11821,br,diamond
20,Sylas,8164,2.03,48.04,10.62,7.18,151.32,10686,br,diamond
21,Ekko,8069,2.6,50.38,10.5,2.85,177.48,12058,br,diamond
22,Ambessa,7877,1.91,49.49,10.25,45.73,179.22,11277,br,diamond
23,Viego,7874,2.53,49,10.25,5.01,170.53,11710,br,diamond
24,Gragas,7656,2.41,50.09,9.96,4.6,166.07,10928,br,diamond
25,Milio,7142,3.81,50.32,9.29,8.22,26.29,7493,br,diamond
26,Jayce,7091,1.8,47.48,9.23,1.51,196.81,11790,br,diamond
27,Soraka,6777,3.06,52.03,8.82,7.19,27.11,7436,br,diamond
28,Kayn,6699,2.44,50.31,8.72,12.22,175.73,11821,br,diamond
29,Nautilus,6555,2.39,48.68,8.53,23.81,31.2,7904,br,diamond
30,Corki,6473,2.4,50.47,8.42,8.99,204.68,12301,br,diamond
31,Zed,6332,2.31,49.68,8.24,20.16,188.35,12170,br,diamond
32,Katarina,6331,2.32,50.78,8.24,15.7,169.77,12026,br,diamond
33,Tahm Kench,6274,2.38,51.31,8.16,5.64,89.01,9355,br,diamond
34,Aatrox,6259,1.84,51.24,8.14,9.44,179.15,11093,br,diamond
35,Vladimir,6094,2.2,49.97,7.93,10.06,194.94,11459,br,diamond
36,Riven,6031,1.93,52.5,7.85,4.95,191.06,11781,br,diamond
37,Hwei,5982,2.45,49.16,7.78,6.33,181.74,11152,br,diamond
38,Darius,5904,1.78,50.02,7.68,18.79,194.01,11840,br,diamond
39,Lucian,5772,2.2,48.89,7.51,2.7,199.44,12060,br,diamond
40,Warwick,5767,2.13,49.45,7.5,7.73,161.52,11465,br,diamond
41,Swain,5710,2.35,49.75,7.43,3.5,139.5,10452,br,diamond
42,Akali,5665,2.28,49.48,7.37,13.76,176.03,11438,br,diamond
43,Vayne,5637,2.07,51.25,7.34,4.64,187.33,11860,br,diamond
44,Renekton,5583,1.82,50.15,7.27,9.05,196.39,11543,br,diamond
45,Poppy,5534,2.15,50.22,7.2,7.26,108.36,9652,br,diamond
46,Zac,5513,3,49.46,7.17,6.64,154.54,10555,br,diamond
47,Aurora,5483,2.44,49.86,7.14,18.02,184.43,11176,br,diamond
48,Janna,5470,3.39,52.21,7.12,1.61,27.09,7824,br,diamond
49,Pyke,5391,2.2,51.14,7.02,22.95,35.07,9441,br,diamond
50,Varus,5329,2.19,48.28,6.93,0.88,193.05,11812,br,diamond
51,Rakan,5243,3.13,51.04,6.82,0.84,31.16,7784,br,diamond
52,Diana,5140,2.14,51.19,6.69,1.52,188.69,12137,br,diamond
53,Wukong,5103,2.67,49.91,6.64,1.84,167.38,11482,br,diamond
