Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,44037,2.13,50.29,23.92,43.42,202.43,12572,br,emerald
2,Jinx,39312,2.3,51.27,21.35,4.77,204.69,12303,br,emerald
3,Jhin,38558,2.76,50.49,20.94,4.83,196.04,12800,br,emerald
4,Lux,34369,2.66,51.13,18.67,16.57,128.26,10650,br,emerald
5,Ashe,31907,2.33,50.37,17.33,10.23,185.83,11633,br,emerald
6,Viktor,30813,2.16,50.93,16.74,17.8,199.67,11846,br,emerald
7,Ezreal,30492,2.51,49.51,16.56,8.9,195.31,12107,br,emerald
8,Kai'Sa,27994,2.4,49.36,15.2,4.49,205.9,12686,br,emerald
9,Yasuo,27719,1.6,49.66,15.06,35.28,213.93,12324,br,emerald
10,Lee Sin,27115,2.75,49.38,14.73,14.53,159.01,11696,br,emerald
11,Nami,26544,3.46,51.63,14.42,2.14,25.91,8099,br,emerald
12,Lulu,26100,3.51,52.31,14.18,27.11,28.15,8017,br,emerald
13,Thresh,24992,2.79,50.31,13.57,7.73,31.78,8179,br,emerald
14,Yone,23024,1.62,47.73,12.51,16.76,208.73,11964,br,emerald
15,Irelia,21750,1.51,50.05,11.81,22.76,228.71,13170,br,emerald
16,Ahri,21676,2.62,51.53,11.77,7.12,193.49,11674,br,emerald
17,Graves,20902,2.45,49.34,11.35,9.72,196.79,12998,br,emerald
18,Karma,20713,2.72,50.36,11.25,5.71,46.42,8638,br,emerald
19,Smolder,20556,2.15,47.53,11.16,3.72,211.93,12230,br,emerald
20,Ekko,20201,2.54,50.99,10.97,1.97,178.53,12298,br,emerald
21,Warwick,19325,2.26,52.91,10.5,12.14,166.29,12030,br,emerald
22,Kayn,18963,2.4,51.04,10.3,9.86,179.82,12134,br,emerald
23,Milio,18328,3.87,50.85,9.95,8.68,26.92,7722,br,emerald
24,Gragas,18063,2.39,49.6,9.81,4.46,168.33,11287,br,emerald
25,Sylas,17918,2.05,49.13,9.73,6.42,152.14,10969,br,emerald
26,Tahm Kench,17519,2.5,52.48,9.52,10.06,96.69,9869,br,emerald
27,Viego,17339,2.5,49.86,9.42,4.24,173.08,12065,br,emerald
28,Ambessa,16888,1.96,49.18,9.17,45.38,178.92,11538,br,emerald
29,Zed,16344,2.26,48.2,8.88,21.65,189.26,12436,br,emerald
30,Katarina,16186,2.29,49.81,8.79,12.89,170.91,12269,br,emerald
31,Vladimir,16148,2.22,50.79,8.77,7.7,198.65,11891,br,emerald
32,Swain,16133,2.28,49.54,8.76,5.45,127.74,10437,br,emerald
33,Lucian,15544,2.3,50.15,8.44,2.57,203.15,12513,br,emerald
34,Diana,15066,2.12,51.59,8.18,2.69,193.08,12525,br,emerald
35,Poppy,14689,2.17,49.89,7.98,5.85,119.6,10128,br,emerald
36,Vayne,14512,2.09,52.12,7.88,4.87,188.94,12199,br,emerald
37,Nautilus,14351,2.4,48.61,7.79,21.53,33.57,8171,br,emerald
38,Shaco,14318,2.7,50.27,7.78,25.05,152.12,11978,br,emerald
39,Jayce,14299,1.86,47.51,7.77,0.83,201.19,12176,br,emerald
40,Riven,14274,1.88,51.74,7.75,3.24,191.27,12035,br,emerald
41,Soraka,14176,3.04,52.66,7.7,6.54,26.99,7674,br,emerald
42,Mordekaiser,14082,1.86,51.82,7.65,11.24,184.06,11687,br,emerald
43,Hwei,13890,2.43,50.48,7.54,5.95,180.2,11404,br,emerald
44,Darius,13819,1.83,50.61,7.51,21.99,196.31,12204,br,emerald
45,Aatrox,13798,1.83,49.94,7.49,9.79,178.92,11316,br,emerald
46,Vi,13422,2.47,50.35,7.29,2.06,165.83,11432,br,emerald
47,Akali,13250,2.26,50.2,7.2,14.48,175.26,11689,br,emerald
48,Nocturne,12866,2.74,53.23,6.99,10.93,181.44,12044,br,emerald
49,Wukong,12791,2.69,52.23,6.95,1.36,171.58,11890,br,emerald
50,Corki,12389,2.44,50.03,6.73,5.54,208.6,12690,br,emerald
51,Kha'Zix,11997,2.58,51.49,6.52,4.59,175.38,12399,br,emerald
52,Senna,11874,2.91,51.73,6.45,2.11,39.24,9435,br,emerald
53,Renekton,11822,1.9,50.59,6.42,6.96,201.33,12038,br,emerald
54,Pyke,11548,2.19,49.84,6.27,12.3,35.98,9750,br,emerald
55,LeBlanc,11466,2.64,48.7,6.23,12.66,165.54,11414,br,emerald
56,Teemo,11384,1.93,50.91,6.18,8.35,182.49,11740,br,emerald
57,Volibear,11344,1.87,51.85,6.16,4.77,182.15,11655,br,emerald
58,Varus,11031,2.23,48.65,5.99,0.69,196.1,12219,br,emerald
59,Master Yi,10939,2.19,50.95,5.94,17.4,181.08,12551,br,emerald
60,Aurora,10935,2.38,50,5.94,13.62,185.37,11484,br,emerald
61,Morgana,10778,2.65,50.84,5.85,25.85,64.06,9291,br,emerald
62,Jax,10502,1.71,49.21,5.7,11.09,181.69,11687,br,emerald
63,Draven,10415,2,48.94,5.66,10.13,195.75,13518,br,emerald
64,Zac,10349,2.94,49.58,5.62,4.13,153.14,10780,br,emerald
65,Veigar,10285,2.31,50.99,5.59,0.92,197.8,12209,br,emerald
66,Janna,9847,3.38,51.37,5.35,0.88,27.75,8007,br,emerald
67,Miss Fortune,9791,2.42,51.53,5.32,0.49,194.78,12594,br,emerald
68,Maokai,9738,2.51,52.29,5.29,0.69,123.13,9697,br,emerald
69,Malzahar,9725,2.23,51.14,5.28,6.16,220.51,12272,br,emerald
70,Pantheon,9595,2.09,49.67,5.21,1.36,132.97,11208,br,emerald
71,Sett,9559,1.68,51.33,5.19,0.91,182.72,11972,br,emerald
72,Seraphine,9433,2.88,50.6,5.12,1.07,64.04,9055,br,emerald
73,Braum,9252,3.01,51.89,5.03,2.52,27.42,8002,br,emerald
74,Malphite,9221,2.6,53.13,5.01,5.75,171.35,10970,br,emerald
75,Gangplank,9169,2.1,49.61,4.98,2.03,210.28,13577,br,emerald
76,Rakan,9053,2.96,49.75,4.92,0.45,31.22,7965,br,emerald
77,Tristana,8981,2.31,49.18,4.88,0.52,191.36,12934,br,emerald
78,Xerath,8953,2.97,51.42,4.86,1.77,118.73,10710,br,emerald
79,Gnar,8938,1.91,50.79,4.85,1.45,186.71,11616,br,emerald
80,Fiddlesticks,8698,2.51,51.44,4.72,2.36,155.95,11307,br,emerald
81,Xayah,8636,2.34,50.72,4.69,0.68,210.81,12443,br,emerald
82,Syndra,8310,2.26,49.68,4.51,2.21,196.87,12028,br,emerald
83,Kassadin,8163,2.63,51.39,4.43,6.03,191.55,12045,br,emerald
84,Orianna,8088,2.6,49.93,4.39,0.64,195.02,11642,br,emerald
85,Gwen,8081,1.73,51.16,4.39,2.65,197.77,12259,br,emerald
86,Jarvan IV,8016,3.29,51.38,4.35,0.87,156.45,11451,br,emerald
87,Rengar,7996,2.15,47.32,4.34,5.11,179.3,12110,br,emerald
88,Cho'Gath,7915,2.12,51.27,4.3,0.51,184.1,11686,br,emerald
89,Sivir,7797,2.48,52.49,4.23,0.73,229.62,12697,br,emerald
90,K'Sante,7779,2.04,47.82,4.23,3.56,182.18,11001,br,emerald
91,Zyra,7695,2.33,50.02,4.18,2.83,76.11,9584,br,emerald
92,Samira,7693,2.16,48.51,4.18,5.88,191.68,13189,br,emerald
93,Garen,7655,1.96,50.29,4.16,1.31,210.91,12527,br,emerald
94,Elise,7655,2.54,50.41,4.16,1.49,148.53,11488,br,emerald
95,Yuumi,7623,4.47,47.15,4.14,2.95,16.32,7779,br,emerald
96,Fizz,7529,2.27,50.47,4.09,4.52,178.59,12507,br,emerald
97,Amumu,7484,2.48,52.06,4.06,1.76,159.45,10958,br,emerald
98,Vel'Koz,7466,2.32,51.75,4.06,0.79,87.99,10220,br,emerald
99,Sejuani,7418,3.15,50.46,4.03,0.83,159.38,10820,br,emerald
100,Camille,7376,1.89,50.22,4.01,1.7,171.1,11608,br,emerald
101,Galio,7372,2.68,51.49,4,1.51,158.78,10431,br,emerald
102,Ryze,7271,2.21,52.58,3.95,0.46,216.32,12234,br,emerald
103,Leona,7214,2.48,48.2,3.92,3.29,30.94,8164,br,emerald
104,Talon,7164,2.33,50.91,3.89,0.95,193.29,12561,br,emerald
105,Aphelios,7140,1.94,48.94,3.88,0.63,195.04,12208,br,emerald
106,Yorick,7097,1.66,51.05,3.85,5.83,213.36,12456,br,emerald
107,Rell,7096,2.86,50.18,3.85,3.34,28.35,8285,br,emerald
108,Bard,7070,3.22,50.75,3.84,0.39,31.65,8543,br,emerald
109,Nunu & Willump,6730,2.82,52.26,3.66,0.46,158.11,11040,br,emerald
110,Karthus,6696,2.41,51.37,3.64,2.01,212.01,13250,br,emerald
111,Sona,6664,3.1,53.47,3.62,0.15,27.7,8184,br,emerald
112,Hecarim,6654,2.68,49.04,3.61,1.42,189.83,12057,br,emerald
113,Briar,6634,2.15,50.23,3.6,4.32,169.38,12445,br,emerald
114,Nasus,6629,1.83,49.18,3.6,3.38,186.44,11550,br,emerald
115,Blitzcrank,6620,2.48,49.26,3.6,6.43,28.49,8053,br,emerald
116,Fiora,6516,1.46,49.83,3.54,6.37,197.43,12181,br,emerald
117,Twitch,6370,2.35,49,3.46,0.79,172.1,12628,br,emerald
118,Kindred,6326,2.19,48.12,3.44,0.93,174.86,12168,br,emerald
119,Brand,6297,2.01,49.12,3.42,1.78,95.22,10116,br,emerald
120,Udyr,6191,2.55,50.12,3.36,3.3,184.01,11658,br,emerald
121,Zilean,6168,3.18,49.98,3.35,0.62,64.33,8727,br,emerald
122,Taliyah,6162,2.39,50.58,3.35,0.75,188.8,12021,br,emerald
123,Ornn,6157,2.5,52.36,3.34,0.32,178.96,10934,br,emerald
124,Alistar,6122,2.47,47.86,3.33,1.17,29.09,7893,br,emerald
125,Lillia,6118,2.69,48.3,3.32,3.89,183.41,11833,br,emerald
126,Sion,6095,1.77,49.75,3.31,0.2,192.18,11953,br,emerald
127,Dr. Mundo,6011,1.96,50.69,3.26,1.14,193.45,11565,br,emerald
128,Shen,5751,2.86,51.17,3.12,0.22,143.05,10082,br,emerald
129,Evelynn,5683,2.74,49.85,3.09,4.23,158.85,11763,br,emerald
130,Skarner,5586,3.11,49.73,3.03,5.81,150.62,10665,br,emerald
131,Xin Zhao,5574,2.33,51.08,3.03,0.53,162.22,11454,br,emerald
132,Vex,5562,2.45,54.35,3.02,5.39,185.12,11740,br,emerald
133,Lissandra,5549,2.32,49.99,3.01,1.37,190.34,11497,br,emerald
134,Aurelion Sol,5547,2.73,52.97,3.01,1.05,198.87,12355,br,emerald
135,Ziggs,5409,2.55,51.19,2.94,0.51,204.25,12341,br,emerald
136,Zoe,5343,2.54,50.5,2.9,0.62,143.89,11010,br,emerald
137,Kayle,5304,1.82,51.64,2.88,0.46,218.97,12473,br,emerald
138,Rammus,5255,3.33,52.64,2.85,13.7,155.38,10807,br,emerald
