Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,93266,2.17,50.61,28.05,45.19,199.46,12819,br,gold
2,Lux,77403,2.67,51.64,23.28,26.84,113.61,10703,br,gold
3,Jhin,71520,2.76,50.9,21.51,6.52,191.89,12975,br,gold
4,Jinx,68662,2.33,51.5,20.65,5.48,200.39,12508,br,gold
5,Yasuo,56637,1.59,49.44,17.04,38.95,211.84,12529,br,gold
6,Ashe,55510,2.32,50.23,16.7,7.75,179.8,11823,br,gold
7,Ezreal,52028,2.51,48.52,15.65,6.05,189.73,12231,br,gold
8,Viktor,51968,2.17,51.19,15.63,14.54,194.07,12060,br,gold
9,Kai'Sa,45871,2.37,48.86,13.8,3.96,202.74,12939,br,gold
10,Warwick,45495,2.28,54.16,13.68,15.06,165.08,12249,br,gold
11,Yone,43862,1.67,48.47,13.19,17.44,205.38,12180,br,gold
12,Lee Sin,41006,2.6,48.98,12.33,10.57,159.09,11904,br,gold
13,Irelia,41005,1.6,50.78,12.33,21.97,230.12,13542,br,gold
14,Thresh,40730,2.74,49.97,12.25,4.8,34.57,8467,br,gold
15,Tahm Kench,39849,2.53,52.8,11.99,14.27,102.18,10289,br,gold
16,Kayn,39349,2.3,51.66,11.84,8.67,178.58,12289,br,gold
17,Lulu,39107,3.37,51.35,11.76,19.82,29.29,8227,br,gold
18,Ahri,37376,2.56,51.49,11.24,7.56,187.16,11744,br,gold
19,Mordekaiser,35935,1.95,53.52,10.81,21.73,181.71,12035,br,gold
20,Ekko,35874,2.43,50.58,10.79,1.46,177.19,12503,br,gold
21,Swain,35493,2.25,50.06,10.68,7.78,113.73,10517,br,gold
22,Nami,33831,3.39,51.8,10.18,1.63,26.39,8294,br,gold
23,Shaco,33452,2.55,49.1,10.06,42.36,154.52,12208,br,gold
24,Miss Fortune,32909,2.47,51.69,9.9,1.39,191.57,12946,br,gold
25,Smolder,32597,2.16,47.27,9.8,3.51,208.69,12421,br,gold
26,Diana,32396,2.09,51.21,9.74,3.36,192.79,12793,br,gold
27,Teemo,32156,1.96,51.88,9.67,15.66,178.83,12033,br,gold
28,Morgana,31665,2.67,52.07,9.52,39.2,66.45,9694,br,gold
29,Karma,31498,2.66,50.85,9.47,4.16,51.41,8996,br,gold
30,Vayne,31308,2.1,52.22,9.42,5.11,185.28,12494,br,gold
31,Graves,30181,2.35,49.86,9.08,4.3,196.63,13189,br,gold
32,Sylas,29807,2.02,48.5,8.97,5.43,147.7,11141,br,gold
33,Darius,29582,1.79,50.04,8.9,23.32,192.17,12308,br,gold
34,Nocturne,28998,2.69,54.01,8.72,13.86,184.51,12452,br,gold
35,Veigar,28755,2.33,52.54,8.65,2.58,189.61,12457,br,gold
36,Zed,28217,2.23,47.92,8.49,22.35,185.26,12596,br,gold
37,Katarina,28202,2.19,48.43,8.48,9.13,168.16,12454,br,gold
38,Volibear,27065,1.92,51.74,8.14,5.84,178.91,11852,br,gold
39,Nautilus,26824,2.42,48.55,8.07,16.87,36.46,8507,br,gold
40,Gragas,26635,2.33,48.81,8.01,2.58,164.47,11416,br,gold
41,Poppy,26350,2.17,49.43,7.93,3.3,121.32,10381,br,gold
42,Malzahar,26250,2.22,52.9,7.9,11.43,223.39,12800,br,gold
43,Akali,26217,2.25,49.99,7.89,13.43,171.1,11960,br,gold
44,Lucian,25827,2.3,48.68,7.77,2.09,199.09,12662,br,gold
45,Viego,25303,2.37,49.86,7.61,3.23,174.36,12287,br,gold
46,Ambessa,25213,1.93,48.51,7.58,38.04,174.96,11677,br,gold
47,Milio,24851,3.84,51.93,7.47,4.99,28.37,7991,br,gold
48,Vi,24042,2.36,50.18,7.23,1.56,167.01,11770,br,gold
49,Jax,23449,1.73,48.39,7.05,8.25,182.1,12047,br,gold
50,Yorick,23374,1.72,52.23,7.03,13.7,212.82,12803,br,gold
51,Master Yi,22719,2.04,51.19,6.83,17.68,180.89,12740,br,gold
52,Soraka,22512,3,52.3,6.77,4.78,27.87,7921,br,gold
53,Vladimir,22482,2.17,50.4,6.76,5.07,194.09,11965,br,gold
54,LeBlanc,21405,2.56,47.55,6.44,11.63,159.56,11577,br,gold
55,Zyra,20498,2.31,51.78,6.17,6.62,75.13,9855,br,gold
56,Sett,20374,1.69,50.9,6.13,1.57,179.03,12142,br,gold
57,Malphite,20251,2.55,51.87,6.09,3.53,162.7,11234,br,gold
58,Aatrox,19964,1.87,50.43,6,7.9,177.3,11628,br,gold
59,Tristana,19677,2.25,48.37,5.92,0.99,187.72,13108,br,gold
60,Riven,19432,1.89,49.84,5.84,1.77,186.49,12123,br,gold
61,Brand,19414,2,50.69,5.84,5.16,89.98,10394,br,gold
62,Draven,19403,1.99,48.25,5.84,9.85,191.38,13669,br,gold
63,Seraphine,19308,2.78,50.1,5.81,1.78,58.64,9305,br,gold
64,Cho'Gath,19274,2.2,53.56,5.8,0.95,180.29,12007,br,gold
65,Kha'Zix,19241,2.42,50.35,5.79,2.95,173.63,12584,br,gold
66,Senna,19173,2.82,49.93,5.77,1.39,43.44,9672,br,gold
67,Amumu,19130,2.5,52.83,5.75,2.59,161.32,11299,br,gold
68,Pantheon,18739,2.09,49.97,5.64,1.39,116.37,11303,br,gold
69,Hwei,18689,2.43,50.12,5.62,4.19,169.59,11477,br,gold
70,Jayce,18515,1.88,46.03,5.57,0.57,197.27,12362,br,gold
71,Renekton,18477,1.9,49.72,5.56,4.24,200.28,12289,br,gold
72,Pyke,18161,2.12,48.65,5.46,8.24,36.85,10009,br,gold
73,Wukong,17850,2.64,52.15,5.37,0.83,172.01,12098,br,gold
74,Varus,17791,2.21,48.24,5.35,0.57,191.01,12377,br,gold
75,Garen,17678,2.06,51.28,5.32,1.57,205.67,12782,br,gold
76,Leona,17541,2.48,48.75,5.28,4.82,32.87,8415,br,gold
77,Nasus,17055,1.97,51.8,5.13,4.02,189.6,12107,br,gold
78,Maokai,16644,2.48,51.29,5.01,0.59,115.82,9926,br,gold
79,Fiddlesticks,16508,2.44,51.27,4.97,1.54,159.87,11706,br,gold
80,Fizz,16502,2.27,50.69,4.96,6.68,173.91,12695,br,gold
81,Braum,15822,2.93,50.98,4.76,1.74,28.95,8338,br,gold
82,Sejuani,15745,3.05,49.76,4.74,1.19,162.24,11108,br,gold
83,Zac,15631,2.93,49.33,4.7,1.49,152.47,10972,br,gold
84,Corki,15491,2.35,49.07,4.66,2.18,205.74,12870,br,gold
85,Aurora,15112,2.29,49.31,4.55,8.77,182,11604,br,gold
86,Xerath,14900,2.91,51.47,4.48,1.96,112.06,10891,br,gold
87,Briar,14504,2.14,52.33,4.36,6.49,169.38,12657,br,gold
88,Galio,14345,2.72,51.87,4.31,1.28,151.92,10650,br,gold
89,Vel'Koz,14035,2.33,51.74,4.22,1.02,83.14,10360,br,gold
90,Gnar,13999,1.94,50.05,4.21,1.23,183.19,11839,br,gold
91,Blitzcrank,13853,2.47,49.57,4.17,7.59,30.86,8360,br,gold
92,Samira,13836,2.11,48.56,4.16,7.47,188.76,13267,br,gold
93,Rakan,13631,2.83,49.19,4.1,0.32,31.94,8197,br,gold
94,Trundle,13609,1.73,52.46,4.09,1.17,194.27,12638,br,gold
95,Orianna,13389,2.56,49.25,4.03,0.64,190.22,11708,br,gold
96,Sivir,13379,2.48,52.17,4.02,0.61,229.21,12992,br,gold
