Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Ashe,1059,2.56,53.07,22.19,19.75,189.47,11134,br,grandmaster
2,Corki,918,2.55,52.94,19.24,13.6,207.86,12100,br,grandmaster
3,Viktor,874,2.22,50.11,18.38,16.44,200.57,11217,br,grandmaster
4,Jhin,834,3.02,49.76,17.48,1.13,195.76,12038,br,grandmaster
5,Ambessa,804,2.1,53.98,16.85,49.53,184.2,10944,br,grandmaster
6,Aurora,785,2.76,53.38,16.45,38.43,186.7,11021,br,grandmaster
7,Lee Sin,773,3.12,51.62,16.2,24.53,159.29,11185,br,grandmaster
8,Viego,760,2.84,47.5,15.93,3.28,167.92,11442,br,grandmaster
9,Ezreal,746,2.4,46.38,15.63,13.17,192.62,11211,br,grandmaster
10,Sylas,718,2.23,47.21,15.05,8.19,146.7,10402,br,grandmaster
11,Graves,703,2.83,48.65,14.73,34.1,196.08,12669,br,grandmaster
12,Jayce,652,1.9,49.39,13.66,3.04,197.56,11362,br,grandmaster
13,Nautilus,634,2.4,50,13.29,15.11,26.86,7509,br,grandmaster
14,Yasuo,629,1.67,51.51,13.18,25.53,202.45,11300,br,grandmaster
15,Jinx,623,2.59,52.33,13.06,1.69,207.13,11857,br,grandmaster
16,Renekton,619,2.03,53.47,12.97,11.78,198.72,11370,br,grandmaster
17,Nami,604,3.41,47.68,12.66,0.41,23.66,7541,br,grandmaster
18,Gnar,591,1.85,53.13,12.39,1.43,183.78,10900,br,grandmaster
19,Yone,579,1.7,47.32,12.13,11.95,201.94,10995,br,grandmaster
20,Seraphine,569,3.4,48.51,11.92,2.6,78.77,8807,br,grandmaster
21,Ekko,566,3.21,51.94,11.86,3.56,174.81,11584,br,grandmaster
22,Caitlyn,557,2.16,46.86,11.67,19.05,198.9,11709,br,grandmaster
23,K'Sante,546,2.2,47.25,11.44,6.11,177.98,10205,br,grandmaster
24,Irelia,539,1.56,51.39,11.3,16.09,223.57,12566,br,grandmaster
25,Hwei,538,2.72,50.93,11.27,5.29,189.94,10906,br,grandmaster
26,Karma,529,2.85,46.69,11.09,2.66,35.01,7724,br,grandmaster
27,Darius,520,1.91,53.08,10.9,14.09,186.92,11034,br,grandmaster
28,Lulu,519,3.45,48.36,10.88,8.89,26.19,7390,br,grandmaster
29,Varus,515,2.44,53.59,10.79,1.77,195.14,11587,br,grandmaster
30,Sona,504,3.35,52.98,10.56,1.9,25.87,7938,br,grandmaster
31,Lux,496,2.87,50.2,10.39,2.93,142.33,10254,br,grandmaster
32,Gragas,478,2.33,44.98,10.02,2.52,177.03,10562,br,grandmaster
33,Ahri,471,3.01,49.89,9.87,2.43,192.21,11067,br,grandmaster
34,Kai'Sa,470,2.42,50.21,9.85,1.88,197.42,11628,br,grandmaster
