Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Lux,54824,2.55,50.46,28.76,42.67,94.37,10248,br,iron
2,Caitlyn,50303,2.09,48.24,26.39,44.57,168.08,11921,br,iron
3,Miss Fortune,49943,2.33,49.82,26.2,11.45,159.44,12073,br,iron
4,Warwick,42169,2.05,51.79,22.12,28.48,149.61,11799,br,iron
5,Jinx,38558,2.17,47.77,20.23,8.88,164.67,11564,br,iron
6,Yasuo,36754,1.64,48.34,19.28,38.06,182.18,11931,br,iron
7,Ashe,34306,2.17,47.42,18,10.01,149.47,11171,br,iron
8,Morgana,33461,2.56,49.69,17.55,36.87,67.46,9715,br,iron
9,Jhin,31211,2.58,48.74,16.37,9.53,161.04,12092,br,iron
10,Teemo,31057,1.99,50.8,16.29,29.34,156.94,11543,br,iron
11,Yone,30917,1.68,46.62,16.22,14.97,173.87,11447,br,iron
12,Mordekaiser,30833,1.93,51.21,16.18,26.38,153.9,11445,br,iron
13,Kayn,25773,1.99,48.51,13.52,8.78,161.63,11661,br,iron
14,Seraphine,24382,2.6,47.67,12.79,7.42,56.07,9176,br,iron
15,Irelia,24330,1.61,47.8,12.76,16.75,199.73,12719,br,iron
16,Veigar,24096,2.21,50.21,12.64,7.73,153.45,11680,br,iron
17,Master Yi,23798,1.83,48.93,12.49,24.19,165.93,12185,br,iron
18,Tahm Kench,22472,2.31,48.37,11.79,11.32,85.07,9912,br,iron
19,Shaco,21499,2.29,46.67,11.28,51.14,141.36,11575,br,iron
20,Jax,21456,1.72,47.71,11.26,6.05,155.5,11542,br,iron
21,Kai'Sa,21124,2.24,47.33,11.08,4.18,174.85,12171,br,iron
22,Ezreal,21020,2.33,46.18,11.03,5.16,152.94,11232,br,iron
23,Ahri,20838,2.36,48.81,10.93,7.67,155.91,10903,br,iron
24,Yorick,20700,1.87,53.51,10.86,23.83,191.11,12418,br,iron
25,Ekko,20668,2.11,46.97,10.84,2.11,151.36,11614,br,iron
26,Tristana,20386,2.05,45.47,10.7,4.29,154.58,12044,br,iron
27,Volibear,19565,1.86,48.49,10.26,4.85,154.27,11125,br,iron
28,Swain,18978,2.24,49.26,9.96,8.29,96.46,10208,br,iron
29,Sett,18967,1.67,50.04,9.95,3.9,151.32,11341,br,iron
30,Akali,18330,2.15,46.85,9.62,11.75,140.82,11155,br,iron
31,Darius,17676,1.73,46.06,9.27,15.19,160.29,11405,br,iron
32,Sylas,17362,1.86,45.4,9.11,5.82,126.48,10601,br,iron
33,Nautilus,17308,2.26,46.12,9.08,10.38,38.74,8586,br,iron
34,Diana,16785,1.94,49.22,8.81,3.25,171.42,12223,br,iron
