Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Ezreal,3765,2.46,48.26,19.07,11.28,194.62,11474,br,master
2,Ashe,3714,2.42,52.13,18.81,18.89,186.51,11120,br,master
3,Jhin,3532,2.84,50.03,17.89,2.15,196.06,12092,br,master
4,Caitlyn,3434,2.19,50.12,17.39,27.11,198.64,11855,br,master
5,Jinx,3337,2.33,50.67,16.9,2.84,204.55,11748,br,master
6,Lee Sin,3331,2.92,52.51,16.87,21.51,156.2,11214,br,master
7,Nami,3319,3.54,51.64,16.81,0.89,24.41,7623,br,master
8,Viktor,3280,2.18,50,16.61,16.68,199.01,11252,br,master
9,Lulu,3093,3.47,51.73,15.67,15.38,26.57,7546,br,master
10,Kai'Sa,2929,2.45,48,14.84,2.64,201.79,12087,br,master
11,Graves,2666,2.52,48.46,13.5,24.16,192.42,12403,br,master
12,Lux,2648,2.71,48.83,13.41,6.08,144.29,10334,br,master
13,Viego,2640,2.64,50.38,13.37,4.6,172.05,11781,br,master
14,Karma,2574,2.88,50.89,13.04,5.05,36.62,7947,br,master
15,Sylas,2517,2.13,50.46,12.75,8.03,150.37,10442,br,master
16,Yasuo,2382,1.71,51.13,12.06,29.08,210.51,11893,br,master
17,Corki,2380,2.49,52.77,12.05,13.27,205.16,12087,br,master
18,Yone,2333,1.6,44.96,11.82,13.07,204.17,11218,br,master
19,Ahri,2310,2.73,51.95,11.7,3.73,189.41,10971,br,master
20,Irelia,2204,1.47,51.32,11.16,17.27,217.64,12283,br,master
21,Gragas,2185,2.46,53,11.07,3.99,168.08,10707,br,master
22,Jayce,2136,1.84,49.58,10.82,2.56,200.88,11766,br,master
23,Soraka,2114,3.28,52.65,10.71,8.03,26.13,7264,br,master
24,Katarina,2014,2.58,52.78,10.2,16.75,169.16,11849,br,master
25,Smolder,1996,2.07,45.69,10.11,1.94,209.62,11563,br,master
26,Seraphine,1974,3.11,52.68,10,1.84,97.13,8967,br,master
27,Nautilus,1973,2.42,51.24,9.99,20.48,27.51,7656,br,master
28,Ekko,1939,2.74,51.68,9.82,3.08,177.13,11854,br,master
29,Aurora,1935,2.54,50.59,9.8,26.73,184.16,11014,br,master
30,Ambessa,1925,2.03,52.16,9.75,45.67,180.43,11116,br,master
31,Sona,1844,3.17,50.22,9.34,0.83,25.14,7566,br,master
32,Thresh,1844,2.83,53.63,9.34,3.58,28.21,7525,br,master
33,Milio,1806,3.81,49.11,9.15,5.34,25.01,7236,br,master
34,Janna,1744,3.66,51.78,8.83,2.12,26.16,7641,br,master
35,Akali,1728,2.32,49.88,8.75,14.98,178.44,11284,br,master
36,Zed,1718,2.51,53.67,8.7,17.08,189.96,12073,br,master
37,Talon,1651,2.5,52.03,8.36,4.05,191.02,12080,br,master
38,K'Sante,1623,2.12,48.55,8.22,6.01,177.51,10414,br,master
39,Kayn,1612,2.47,49.5,8.16,14.04,175.05,11622,br,master
40,Hwei,1610,2.52,52.17,8.15,5.43,186.41,11045,br,master
41,Pyke,1597,2.34,50.53,8.09,35.98,36.55,9421,br,master
42,Varus,1593,2.25,51.29,8.07,1.03,194.31,11702,br,master
43,Rakan,1577,3.15,52.12,7.99,1.13,30.39,7639,br,master
44,Renekton,1427,1.84,51.65,7.23,10.54,194.82,11174,br,master
45,Vladimir,1378,2.41,53.12,6.98,10.65,192.69,11196,br,master
46,Poppy,1365,2.21,52.31,6.91,7.96,101.7,9262,br,master
47,Darius,1359,1.9,52.17,6.88,15.82,190.48,11560,br,master
48,Camille,1346,2.07,54.31,6.82,1.81,164.95,11046,br,master
49,Taliyah,1341,2.53,52.13,6.79,1.4,184.72,11483,br,master
50,Kassadin,1308,2.63,52.29,6.63,16.59,188.81,11456,br,master
51,Braum,1300,2.92,51.54,6.58,3.31,24.96,7426,br,master
52,Rell,1284,2.94,51.25,6.5,6.9,25.61,7715,br,master
53,Skarner,1280,3.36,53.2,6.48,21.83,147.13,10182,br,master
54,Wukong,1274,2.69,49.53,6.45,2.02,163.92,11048,br,master
55,Swain,1263,2.4,52.81,6.4,2.36,150.36,10254,br,master
56,LeBlanc,1232,3.03,50.32,6.24,23.46,165.39,11060,br,master
57,Elise,1218,2.62,52.05,6.17,2.74,141.35,11081,br,master
58,Aatrox,1213,1.94,51.61,6.14,6.84,176.63,10706,br,master
59,Draven,1211,2.19,51.61,6.13,14.11,193.94,13048,br,master
60,Jax,1176,1.9,52.81,5.96,16.4,177.45,11070,br,master
61,Riven,1157,2.01,53.41,5.86,6.34,191.02,11504,br,master
62,Lucian,1151,2.2,49.44,5.83,1.63,200.11,11816,br,master
63,Pantheon,1146,2.13,48.43,5.82,1.32,146.13,10772,br,master
64,Gwen,1138,2.04,52.55,5.76,4.21,192.08,11619,br,master
65,Vayne,1134,2.06,51.32,5.74,2.49,186.57,11442,br,master
66,Karthus,1110,2.38,51.35,5.62,10.01,208.79,12802,br,master
67,Jarvan IV,1104,3.59,48.46,5.59,1.05,149.46,10799,br,master
68,Rengar,1103,2.66,52.86,5.59,27,188.5,12218,br,master
69,Tahm Kench,1091,2.41,51.88,5.53,1.96,77.79,8694,br,master
70,Warwick,1086,2.26,52.58,5.5,4.29,165.07,11403,br,master
71,Shaco,1061,2.76,54.1,5.37,8.9,150.49,11362,br,master
72,Yuumi,1052,4.56,47.43,5.33,2.07,15.82,7289,br,master
73,Hecarim,1049,2.75,48.9,5.31,3.62,188.15,11588,br,master
74,Kha'Zix,1048,2.6,47.9,5.31,4.23,172.25,11679,br,master
75,Diana,1047,2.25,51.38,5.32,0.54,184.53,11853,br,master
76,Nunu & Willump,1043,2.71,51.87,5.28,1.38,150.36,10300,br,master
77,Gangplank,1031,2.08,52.76,5.22,1.28,202.24,13085,br,master
78,Senna,1019,3.03,52.31,5.16,1.3,34.86,8902,br,master
79,Syndra,1018,2.29,50.29,5.16,2.03,197.66,11644,br,master
80,Vi,995,2.59,51.36,5.04,0.89,159.62,10847,br,master
81,Ryze,946,2.13,52.01,4.79,1.03,212.63,11734,br,master
82,Aphelios,941,2.01,50.9,4.77,0.3,196.67,11808,br,master
83,Udyr,928,3.13,53.02,4.7,7.38,189.31,11413,br,master
84,Gnar,917,1.87,48.2,4.64,1.72,184.79,10971,br,master
