Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,69408,2.16,50.57,26.46,45.16,202.39,12775,br,platinum
2,Lux,55763,2.66,51.46,21.26,21.28,119.81,10702,br,platinum
3,Jhin,55622,2.77,50.75,21.21,5.91,194.7,12919,br,platinum
4,Jinx,54933,2.31,51.37,20.94,5.18,203.43,12436,br,platinum
5,Ashe,45067,2.32,50.07,17.18,8.7,183.46,11747,br,platinum
6,Viktor,43136,2.17,51.2,16.45,16.51,198.36,12011,br,platinum
7,Ezreal,42425,2.51,48.95,16.18,7.05,192.87,12182,br,platinum
8,Yasuo,41866,1.59,49.24,15.96,37.06,213.38,12438,br,platinum
9,Kai'Sa,38070,2.39,49.45,14.51,4.44,204.53,12847,br,platinum
10,Thresh,35115,2.75,50.5,13.39,6.47,33.32,8328,br,platinum
11,Lee Sin,35102,2.66,49.32,13.38,12.1,159.34,11808,br,platinum
12,Lulu,34105,3.43,51.27,13,24.29,29.01,8131,br,platinum
13,Yone,32665,1.64,47.92,12.45,17.42,207.41,12061,br,platinum
14,Nami,32462,3.41,51.98,12.38,2.04,26.43,8228,br,platinum
15,Ahri,31415,2.57,51.32,11.98,7.84,190.48,11693,br,platinum
16,Warwick,31197,2.28,53.74,11.89,13.28,165.13,12119,br,platinum
17,Irelia,30637,1.57,50.57,11.68,22.76,231.11,13431,br,platinum
18,Tahm Kench,30130,2.51,52.55,11.49,13.54,99.49,10080,br,platinum
19,Kayn,29250,2.34,51.81,11.15,9.16,179.5,12206,br,platinum
20,Ekko,28836,2.48,50.61,10.99,1.66,177.95,12386,br,platinum
21,Karma,28333,2.69,50.6,10.8,5.12,48.89,8863,br,platinum
22,Smolder,27365,2.13,47.28,10.43,3.44,211.03,12339,br,platinum
23,Graves,26915,2.39,49.13,10.26,6.19,197.3,13144,br,platinum
24,Swain,25954,2.26,49.44,9.9,6.95,122.75,10547,br,platinum
25,Mordekaiser,25155,1.92,53.35,9.59,17.24,184.55,11952,br,platinum
26,Sylas,24409,2.02,49.15,9.31,5.84,150.68,11095,br,platinum
27,Gragas,23732,2.36,49.5,9.05,3.64,165.78,11348,br,platinum
28,Diana,23320,2.09,50.93,8.89,2.91,192.91,12685,br,platinum
29,Shaco,23276,2.61,49.5,8.87,35.02,154.28,12120,br,platinum
30,Milio,23166,3.85,52.02,8.83,6.98,27.71,7876,br,platinum
31,Vayne,22854,2.11,52.92,8.71,5.07,188.05,12427,br,platinum
32,Katarina,22450,2.21,49.14,8.56,10.22,170.39,12357,br,platinum
33,Ambessa,22068,1.97,49.39,8.41,42.43,178.05,11666,br,platinum
34,Viego,22007,2.44,50.28,8.39,3.88,173.69,12214,br,platinum
35,Darius,21613,1.81,50.68,8.24,23.11,196.08,12329,br,platinum
36,Nocturne,21600,2.73,53.64,8.24,13.14,183.24,12266,br,platinum
37,Lucian,21548,2.26,48.83,8.22,2.32,201.8,12623,br,platinum
38,Zed,21458,2.26,49.27,8.18,22.12,187.91,12544,br,platinum
39,Teemo,21212,1.94,52.02,8.09,12.15,180.67,11942,br,platinum
40,Nautilus,21044,2.46,49.64,8.02,19.11,35.18,8407,br,platinum
41,Poppy,20958,2.17,50.4,7.99,4.39,118.48,10234,br,platinum
42,Vladimir,20443,2.2,51.31,7.79,6.28,198.26,12020,br,platinum
43,Akali,20301,2.25,50.23,7.74,14.05,173.78,11841,br,platinum
44,Morgana,19858,2.64,50.89,7.57,34.28,62.94,9445,br,platinum
45,Miss Fortune,19802,2.48,52.03,7.55,0.88,194.67,12925,br,platinum
46,Soraka,19367,3.01,53,7.38,5.82,27.38,7813,br,platinum
47,Vi,19269,2.39,50.32,7.35,1.58,166.92,11582,br,platinum
48,Volibear,18799,1.88,51.96,7.17,5.5,180.31,11736,br,platinum
49,Veigar,18771,2.3,51.57,7.16,1.89,193.93,12383,br,platinum
50,Malzahar,18026,2.18,52.3,6.87,9.42,222.23,12552,br,platinum
51,Jayce,17530,1.88,46.9,6.68,0.61,199.52,12282,br,platinum
52,Aatrox,17394,1.85,50.15,6.63,9.21,179.04,11508,br,platinum
53,Hwei,16963,2.44,50.52,6.47,4.91,173.8,11440,br,platinum
54,LeBlanc,16678,2.59,47.64,6.36,12.12,163.84,11530,br,platinum
55,Riven,16646,1.9,50.98,6.35,2.43,188.87,12061,br,platinum
56,Renekton,16380,1.91,49.93,6.25,5.25,201.71,12211,br,platinum
57,Master Yi,16349,2.08,50.17,6.23,16.23,181.46,12653,br,platinum
58,Kha'Zix,16317,2.51,51.41,6.22,3.6,175.16,12518,br,platinum
59,Pyke,16106,2.14,48.37,6.14,9.4,36.14,9896,br,platinum
60,Draven,15920,2.01,48.74,6.07,9.81,194.23,13621,br,platinum
61,Jax,15837,1.7,48.56,6.04,9,182.49,11909,br,platinum
62,Senna,15374,2.84,50.71,5.86,1.71,41,9574,br,platinum
63,Varus,15065,2.24,48.66,5.74,0.59,194.75,12348,br,platinum
64,Wukong,14874,2.66,52.51,5.67,1.03,171.33,11976,br,platinum
65,Yorick,14562,1.71,52.07,5.55,9.82,213.2,12617,br,platinum
66,Seraphine,14407,2.84,50.83,5.49,1.32,61.45,9195,br,platinum
67,Sett,14372,1.67,51.13,5.48,1.25,181.4,12034,br,platinum
68,Malphite,14258,2.6,52.49,5.44,4.3,169.32,11179,br,platinum
69,Zac,14197,2.98,49.12,5.41,2.49,152.06,10888,br,platinum
70,Corki,14190,2.4,49.65,5.41,3.16,207.01,12753,br,platinum
71,Maokai,13978,2.46,51.77,5.33,0.64,120.95,9858,br,platinum
72,Pantheon,13851,2.08,49.64,5.28,1.33,123.46,11238,br,platinum
73,Zyra,13472,2.28,51.15,5.14,4.81,76.14,9786,br,platinum
74,Tristana,13440,2.27,48.13,5.12,0.65,190.38,13074,br,platinum
75,Cho'Gath,13435,2.13,52.28,5.12,0.82,181.88,11814,br,platinum
76,Aurora,13274,2.33,49.27,5.06,11.05,184.2,11554,br,platinum
77,Braum,13186,2.96,50.98,5.03,2.27,28.44,8188,br,platinum
78,Xerath,12733,2.94,51.45,4.85,1.87,114.99,10782,br,platinum
79,Garen,12612,2.05,51.52,4.81,1.45,208.67,12764,br,platinum
80,Amumu,12588,2.51,51.29,4.8,2.24,160.9,11183,br,platinum
81,Fiddlesticks,12518,2.48,51.02,4.77,1.97,160.41,11677,br,platinum
82,Sejuani,12375,3.06,49.5,4.72,1.11,161.27,11027,br,platinum
83,Leona,12325,2.48,49.87,4.7,3.91,31.94,8307,br,platinum
84,Gangplank,12168,2.12,50.21,4.64,1.61,210.07,13748,br,platinum
85,Brand,12058,2,50.85,4.6,3.45,91.05,10267,br,platinum
86,Fizz,12012,2.27,50.97,4.58,5.84,177.37,12599,br,platinum
87,Gnar,11682,1.95,51.13,4.45,1.21,185.51,11740,br,platinum
88,Syndra,11621,2.27,49.68,4.43,2.24,197.7,12348,br,platinum
89,Galio,11463,2.74,52.94,4.37,1.29,152.31,10588,br,platinum
90,Orianna,11458,2.58,48.91,4.37,0.6,193.23,11676,br,platinum
91,Nasus,11418,1.9,50.26,4.35,3.82,188.91,11824,br,platinum
92,Samira,11349,2.1,49.67,4.33,6.73,190.34,13216,br,platinum
93,Xayah,11338,2.34,50.96,4.32,0.59,210.15,12680,br,platinum
94,Rakan,11241,2.84,49.12,4.29,0.33,31.44,8100,br,platinum
95,Sivir,11236,2.47,51.89,4.28,0.66,229.76,12893,br,platinum
96,Briar,10808,2.17,52.63,4.12,5.84,169.72,12558,br,platinum
97,Jarvan IV,10663,3.26,52,4.07,0.73,156.91,11618,br,platinum
98,Janna,10653,3.28,51.75,4.06,0.44,28.69,8196,br,platinum
99,Vel'Koz,10506,2.36,52,4.01,0.84,83.12,10276,br,platinum
100,Blitzcrank,10254,2.48,49.11,3.91,6.95,29.48,8202,br,platinum
101,Gwen,9985,1.69,50.19,3.81,2.27,197.64,12363,br,platinum
102,Yuumi,9959,4.6,48.6,3.8,2.07,16.26,7901,br,platinum
103,Twitch,9838,2.32,49.81,3.75,0.72,167.83,12764,br,platinum
104,Rengar,9822,2.08,45.71,3.74,2.98,179.37,12219,br,platinum
105,Ryze,9757,2.2,51.36,3.72,0.37,214.6,12295,br,platinum
106,Lillia,9618,2.64,49.69,3.67,3.68,182.08,11900,br,platinum
107,Elise,9440,2.47,50.25,3.6,0.78,148.52,11622,br,platinum
108,Vex,9365,2.39,52.61,3.57,5.77,182.69,11829,br,platinum
109,Camille,9292,1.89,49.43,3.54,1.19,172.63,11704,br,platinum
110,Dr. Mundo,9134,1.96,51.63,3.48,1.39,192.33,11720,br,platinum
111,Sion,9128,1.79,49.04,3.48,0.22,193.44,12222,br,platinum
112,Alistar,9027,2.42,47.56,3.44,1.1,30.58,8027,br,platinum
113,Aphelios,8998,1.95,48.01,3.43,0.63,195.07,12371,br,platinum
114,Aurelion Sol,8984,2.68,51.2,3.43,1.4,199.96,12455,br,platinum
115,Udyr,8742,2.52,51.32,3.33,2.2,184.1,11754,br,platinum
116,Kassadin,8711,2.51,52.18,3.32,2.97,188.66,12083,br,platinum
117,Shen,8659,2.84,51.35,3.3,0.21,136.71,10214,br,platinum
118,K'Sante,8564,1.95,46.28,3.27,2.75,179.79,11062,br,platinum
119,Zilean,8528,3.12,50.26,3.25,0.64,62.47,8867,br,platinum
120,Rell,8486,2.82,49.33,3.24,2.74,30.06,8428,br,platinum
121,Trundle,8434,1.64,51.1,3.22,0.79,196.46,12495,br,platinum
122,Kindred,8390,2.16,47.57,3.2,0.71,175.5,12341,br,platinum
123,Xin Zhao,8340,2.34,52.41,3.18,0.54,165.06,11702,br,platinum
124,Ziggs,8321,2.47,50.61,3.17,0.54,197.43,12310,br,platinum
125,Sona,8030,3.1,52.04,3.06,0.11,28.34,8341,br,platinum
126,Talon,8006,2.27,51.35,3.05,0.59,190.67,12625,br,platinum
127,Illaoi,7947,1.49,50.35,3.03,9.16,199.95,12139,br,platinum
128,Bard,7945,3.22,51.5,3.03,0.29,31.49,8639,br,platinum
129,Ornn,7877,2.42,51.61,3,0.41,176.62,11042,br,platinum
130,Evelynn,7855,2.66,48.84,2.99,3.57,156.55,11834,br,platinum
131,Rammus,7804,3.23,53.81,2.98,12.65,153.68,10869,br,platinum
132,Kayle,7778,1.82,51.2,2.97,0.43,218.67,12589,br,platinum
133,Lissandra,7696,2.32,51.53,2.93,1.49,190.42,11692,br,platinum
134,Karthus,7653,2.33,50.12,2.92,1.21,211.98,13337,br,platinum
135,Hecarim,7533,2.58,48.68,2.87,0.87,188.97,12224,br,platinum
136,Nunu & Willump,7533,2.7,50.86,2.87,0.35,157.01,11119,br,platinum
137,Neeko,7527,2.27,48.8,2.87,1.01,89.15,10037,br,platinum
138,Fiora,7499,1.43,47.91,2.86,4.77,194.93,12092,br,platinum
139,Singed,6999,1.84,49.79,2.67,0.35,200.28,11792,br,platinum
140,Zoe,6881,2.5,48.31,2.62,0.69,145.66,11057,br,platinum
141,Kog'Maw,6788,2.24,52.15,2.59,1.16,193.54,12633,br,platinum
142,Tryndamere,6660,1.58,49.47,2.54,0.76,220.25,12971,br,platinum
143,Skarner,6562,2.99,49.16,2.5,3.45,150.03,10734,br,platinum
144,Qiyana,6558,2.25,50.29,2.5,0.46,178.33,12486,br,platinum
145,Taliyah,6493,2.28,49.27,2.48,0.39,191.31,12277,br,platinum
146,Zeri,6296,2.26,47,2.4,0.29,220.32,13020,br,platinum
147,Urgot,6118,1.99,50,2.33,0.52,196.42,12554,br,platinum
148,Renata Glasc,6049,2.83,51.35,2.31,0.48,33.55,8346,br,platinum
149,Heimerdinger,5793,1.76,51.34,2.21,1.17,186.48,11790,br,platinum
150,Kalista,5717,2.03,46.67,2.18,0.56,186.37,12574,br,platinum
151,Azir,5689,2.02,48.74,2.17,0.33,211.92,12332,br,platinum
152,Twisted Fate,5365,2.19,49.06,2.05,0.09,180.32,12498,br,platinum
153,Naafiri,5331,2.22,51.32,2.03,1.01,180.89,12343,br,platinum
154,Anivia,5324,2.75,52.55,2.03,0.74,179.57,11614,br,platinum
155,Cassiopeia,5206,2.08,52.11,1.98,1.13,197.49,11889,br,platinum
156,Nidalee,5109,2.51,44.9,1.95,0.18,156.24,11574,br,platinum
157,Taric,4802,2.77,53.06,1.83,0.2,43.9,8365,br,platinum
158,Shyvana,4515,2.41,52.51,1.72,0.32,205.92,12491,br,platinum
159,Nilah,4479,2.26,53.2,1.71,1.88,192.81,13014,br,platinum
160,Kennen,4160,2.12,50.89,1.59,0.93,179.53,11653,br,platinum
161,Olaf,4121,1.75,47.95,1.57,1,191.35,12309,br,platinum
162,Kled,3992,2.11,50.98,1.52,0.61,172.03,12272,br,platinum
163,Ivern,3904,3.23,48.34,1.49,0.26,126.28,9907,br,platinum
164,Annie,3853,2.27,50.66,1.47,0.24,147.9,11053,br,platinum
165,Rumble,3729,1.97,47.3,1.42,0.33,181.17,11530,br,platinum
166,Quinn,3595,2.01,50.07,1.37,0.9,175.26,12407,br,platinum
167,Bel'Veth,3562,2.3,48.48,1.36,1.01,178.88,12054,br,platinum
168,Akshan,3377,2.23,49.51,1.29,0.56,183.23,12936,br,platinum
169,Rek'Sai,2189,2.63,48.15,0.83,0.15,154.17,11524,br,platinum
