Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,115443,2.18,50.96,29.35,44.92,194.78,12800,br,silver
2,Lux,97392,2.68,52.63,24.76,32.43,107.12,10705,br,silver
3,Jhin,82173,2.76,50.67,20.89,7.41,187.32,12973,br,silver
4,Jinx,81655,2.32,51.32,20.76,6.03,194.96,12478,br,silver
5,Yasuo,73445,1.63,49.66,18.67,39.81,207.74,12570,br,silver
6,Ashe,66186,2.32,49.83,16.83,7.27,175.04,11833,br,silver
7,Warwick,61903,2.28,54.19,15.74,17.59,163.97,12310,br,silver
8,Ezreal,57516,2.5,48.24,14.62,5.65,183.78,12165,br,silver
9,Viktor,53873,2.18,51.08,13.7,12.02,187.37,12015,br,silver
10,Yone,52531,1.69,48.76,13.36,16.72,201.16,12212,br,silver
11,Miss Fortune,51728,2.47,51.45,13.15,2.61,187.36,12931,br,silver
12,Irelia,50348,1.64,50.8,12.8,20.54,227.41,13608,br,silver
13,Kai'Sa,49718,2.38,49.06,12.64,3.75,200,12985,br,silver
14,Tahm Kench,49449,2.57,52.18,12.57,14.48,100.5,10363,br,silver
15,Mordekaiser,48976,2.01,53.7,12.45,24.81,178.79,12138,br,silver
16,Kayn,48286,2.28,51.64,12.28,8.62,177.54,12323,br,silver
17,Morgana,45807,2.69,52.09,11.65,41.38,65.86,9765,br,silver
18,Teemo,45195,1.97,52.39,11.49,19.53,176,12087,br,silver
19,Swain,45105,2.29,50.19,11.47,8.36,110.01,10543,br,silver
20,Ekko,43226,2.38,50.17,10.99,1.51,172.82,12471,br,silver
21,Shaco,43079,2.54,49.67,10.95,47.57,154.23,12277,br,silver
22,Ahri,42788,2.52,51.11,10.88,7.08,182.63,11769,br,silver
23,Lee Sin,41374,2.53,48.33,10.52,8.44,158.22,11914,br,silver
24,Veigar,41180,2.33,52.63,10.47,3.68,183.8,12519,br,silver
25,Thresh,40428,2.68,49.31,10.28,3.29,35.93,8563,br,silver
26,Lulu,39586,3.32,50.44,10.06,14.13,30.17,8304,br,silver
27,Diana,38524,2.09,51.81,9.79,3.61,191.31,12886,br,silver
28,Nocturne,37518,2.64,53.25,9.54,13.34,183.63,12508,br,silver
29,Vayne,36810,2.1,51.87,9.36,4.86,180.31,12519,br,silver
30,Darius,36184,1.81,49.53,9.2,23.03,188.03,12306,br,silver
31,Yorick,35392,1.78,53.69,9,18.07,210.08,12860,br,silver
32,Volibear,34634,1.96,51.67,8.81,5.43,175.12,11849,br,silver
33,Malzahar,34402,2.25,52.62,8.75,13.24,221.32,12925,br,silver
34,Smolder,34323,2.17,47.59,8.73,3.29,204.23,12403,br,silver
35,Master Yi,33585,2.01,51.3,8.54,20.65,180.85,12803,br,silver
36,Sylas,33557,2.01,48.27,8.53,5.07,144.97,11195,br,silver
37,Nami,33363,3.44,52.32,8.48,1.08,26.42,8346,br,silver
38,Nautilus,33046,2.42,48.42,8.4,15.27,38.2,8635,br,silver
39,Zed,32165,2.23,47.92,8.18,21.81,181.32,12642,br,silver
40,Karma,31817,2.64,49.94,8.09,3.38,54.01,9098,br,silver
41,Akali,31264,2.26,49.45,7.95,12.69,165.4,11912,br,silver
42,Katarina,30781,2.18,48.35,7.83,7.7,164.96,12465,br,silver
43,Poppy,30269,2.19,49.25,7.7,2.46,118.24,10414,br,silver
44,Jax,30241,1.75,48.8,7.69,7.57,179.54,12171,br,silver
45,Graves,29891,2.32,49.36,7.6,2.69,195.25,13204,br,silver
46,Lucian,28649,2.29,48.22,7.28,1.83,193.71,12622,br,silver
47,Vi,28626,2.35,50.74,7.28,1.43,165.27,11691,br,silver
48,Viego,28552,2.31,50.82,7.26,2.69,174.43,12365,br,silver
49,Zyra,27777,2.31,51.73,7.06,7.56,74.96,9943,br,silver
50,Brand,27528,2.01,51.76,7,7.59,88.44,10502,br,silver
51,Ambessa,27484,1.93,47.65,6.99,32.84,171.99,11685,br,silver
52,Tristana,27453,2.25,48.33,6.98,1.58,182.78,13043,br,silver
53,Gragas,27289,2.31,48.7,6.94,1.71,161.48,11430,br,silver
54,Malphite,26943,2.57,51.62,6.85,2.85,153.94,11215,br,silver
55,Sett,26546,1.73,51.2,6.75,2.11,176.86,12191,br,silver
56,Amumu,26412,2.48,53.15,6.72,2.72,160.29,11331,br,silver
57,Seraphine,25669,2.78,49.85,6.53,2.75,58.63,9376,br,silver
58,Leona,25219,2.5,49.86,6.41,5.62,33.66,8546,br,silver
59,LeBlanc,25199,2.57,47.44,6.41,11.01,156,11587,br,silver
60,Nasus,24676,2.02,51.34,6.27,4.05,187.21,12170,br,silver
61,Senna,23656,2.79,49.21,6.01,1.29,46.54,9808,br,silver
62,Vladimir,23401,2.12,50.39,5.95,4.46,189.3,11979,br,silver
63,Cho'Gath,23109,2.2,52.47,5.88,1.18,175.34,11991,br,silver
64,Pantheon,23067,2.1,49.66,5.86,1.42,109.99,11263,br,silver
65,Soraka,22819,2.98,51.7,5.8,4.03,27.96,7974,br,silver
66,Fizz,22712,2.31,50.66,5.77,7.79,167.91,12707,br,silver
67,Garen,22673,2.1,50.55,5.76,1.73,201.75,12791,br,silver
68,Pyke,22434,2.08,47.92,5.7,8.07,37.33,10039,br,silver
69,Milio,22109,3.83,52.63,5.62,3.16,29.59,8106,br,silver
70,Draven,22052,1.98,47.15,5.61,10.82,185.74,13539,br,silver
