Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
1,Caitlyn,"1,275,992",2.16:1,50.38%,28.93%,32.46%,189.92,"12,565"
2,Lux,"1,116,904",2.58:1,51.47%,25.32%,27.92%,92.44,"10,322"
3,Jinx,"930,274",2.29:1,50.24%,21.09%,6.02%,189.24,"12,220"
4,Miss Fortune,"878,608",2.49:1,51.85%,19.92%,6.91%,178.98,"12,639"
5,Jhin,"863,007",2.74:1,50.7%,19.57%,10.88%,181.22,"12,727"
6,Ashe,"790,404",2.31:1,49.43%,17.92%,12.04%,169.51,"11,496"
7,Warwick,"750,394",2.26:1,53.68%,17.01%,28.43%,164.24,"12,296"
8,Yone,"701,019",1.7:1,48.83%,15.89%,13.97%,195.1,"11,948"
9,Yasuo,"685,797",1.64:1,49.24%,15.55%,22.57%,198.03,"12,226"
10,Teemo,"639,064",1.97:1,52.25%,14.49%,28.75%,168.91,"11,914"
11,Ezreal,"598,939",2.45:1,47.85%,13.58%,4.86%,179.05,"11,831"
12,Tahm Kench,"551,549",2.49:1,51.73%,12.5%,15.25%,90.14,"10,184"
13,Sylas,"545,403",2.05:1,48.48%,12.37%,12.61%,139.32,"10,912"
14,Morgana,"536,379",2.66:1,51.81%,12.16%,28%,66.25,"9,757"
15,Viego,"528,575",2.36:1,50.45%,11.98%,7.23%,175.66,"12,254"
16,Mordekaiser,"521,606",2:1,52.81%,11.83%,19.32%,172.11,"11,965"
17,Swain,"513,216",2.35:1,51.1%,11.64%,11.55%,106.17,"10,383"
18,Viktor,"503,635",2.14:1,50.5%,11.42%,13.54%,182.94,"11,796"
19,Ahri,"488,505",2.47:1,50.36%,11.08%,6.17%,175.98,"11,399"
20,Lee Sin,"479,876",2.52:1,47.96%,10.88%,9.17%,157.71,"11,715"
21,Kayn,"479,029",2.25:1,50.87%,10.86%,6.67%,179.14,"12,398"
22,Akali,"473,509",2.29:1,49.61%,10.74%,12.82%,160.86,"11,647"
23,Veigar,"469,351",2.32:1,52.43%,10.64%,6.37%,175.48,"12,364"
24,Kai'Sa,"457,386",2.34:1,48.09%,10.37%,2.36%,195.78,"12,703"
25,Volibear,"441,160",2.01:1,51.09%,10%,5.96%,170.5,"11,644"
26,Nocturne,"439,929",2.62:1,52.46%,9.97%,15.72%,182.95,"12,414"
27,Malphite,"429,376",2.49:1,49.85%,9.73%,5.83%,141.7,"10,883"
28,Darius,"426,411",1.8:1,48.53%,9.67%,18.11%,179.12,"12,011"
29,Diana,"409,692",2.09:1,50.76%,9.29%,3.54%,188.22,"12,728"
30,Ekko,"409,152",2.37:1,49.71%,9.28%,1.87%,170.45,"12,335"
31,Garen,"395,836",2.1:1,50.77%,8.97%,4.73%,198.15,"12,682"
32,Master Yi,"385,419",1.95:1,49.69%,8.74%,14.25%,177.58,"12,661"
33,Thresh,"380,853",2.55:1,48.74%,8.63%,3.2%,36.82,"8,506"
34,Shaco,"376,350",2.54:1,48.98%,8.53%,34.81%,142.16,"11,811"
35,Sett,"375,980",1.71:1,51.61%,8.52%,3.18%,169.01,"11,934"
36,Nautilus,"372,709",2.38:1,48.25%,8.45%,10.85%,38.71,"8,544"
37,Brand,"371,462",2.07:1,52.15%,8.42%,9.94%,95.8,"10,614"
38,Smolder,"360,163",2.14:1,47.72%,8.17%,3.6%,202.95,"12,230"
39,Amumu,"352,836",2.49:1,52.39%,8%,5.57%,157.92,"11,308"
40,Vayne,"350,291",2.02:1,49.72%,7.94%,4.5%,171.37,"12,169"
41,Xerath,"349,885",2.78:1,51.54%,7.93%,11.98%,101.57,"10,553"
42,Graves,"347,761",2.33:1,49.61%,7.88%,7.37%,197.63,"13,138"
43,Maokai,"345,174",2.54:1,51.18%,7.83%,3.19%,105.77,"9,567"
44,Leona,"344,335",2.5:1,49.92%,7.81%,9.62%,33.37,"8,444"
45,Nasus,"342,901",2.03:1,50.91%,7.77%,6.58%,182.25,"12,025"
46,Irelia,"342,255",1.68:1,50.46%,7.76%,9.61%,217.64,"13,228"
47,Malzahar,"341,102",2.26:1,52.93%,7.73%,13.89%,217.38,"12,836"
48,Dr. Mundo,"334,619",2.17:1,53.26%,7.59%,6.72%,179.6,"11,574"
49,Galio,"331,575",2.69:1,51.38%,7.52%,4.8%,144.39,"10,461"
50,Pantheon,"322,302",2.09:1,49.31%,7.31%,1.95%,105.51,"11,101"
51,Pyke,"321,824",2.08:1,47.96%,7.3%,16.49%,38.59,"9,954"
52,Zed,"320,488",2.22:1,47.59%,7.27%,18.48%,173.55,"12,389"
53,Yorick,"320,378",1.85:1,53.95%,7.26%,12.26%,205.76,"12,754"
