Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
1,Viego,"5,268",2.98:1,50.76%,29.41%,15.56%,175.03,"11,437"
2,Corki,"4,416",2.66:1,51.36%,24.66%,21.33%,214.36,"12,051"
3,Ashe,"3,657",2.64:1,50.62%,20.42%,18.67%,194.72,"10,997"
4,Ezreal,"3,510",2.64:1,49.29%,19.6%,7.13%,200.56,"11,358"
5,Sylas,"3,442",2.4:1,50.76%,19.22%,11.45%,157.6,"10,519"
6,Ambessa,"3,370",2.17:1,51.31%,18.82%,52.45%,184.4,"10,891"
7,Graves,"3,341",2.92:1,51.27%,18.65%,27.64%,198.1,"12,579"
8,Viktor,"3,322",2.47:1,52.83%,18.55%,20.46%,205.83,"11,404"
9,Aurora,"3,195",2.92:1,53.11%,17.84%,28.18%,190.76,"10,982"
10,Lee Sin,"3,080",3.21:1,50.39%,17.2%,8.94%,160.08,"11,125"
11,Yone,"3,006",1.92:1,47.5%,16.78%,5.95%,210.74,"11,246"
12,Jhin,"2,684",3.05:1,48.14%,14.99%,1.04%,196.11,"11,630"
13,K'Sante,"2,629",2.28:1,49.71%,14.68%,10.21%,181.18,"10,221"
14,Caitlyn,"2,613",2.3:1,46.31%,14.59%,17.94%,208.6,"11,875"
15,Jinx,"2,546",2.65:1,51.18%,14.22%,2.05%,208.33,"11,715"
16,Nautilus,"2,420",2.45:1,48.72%,13.51%,8.86%,27.04,"7,364"
17,Varus,"2,090",2.51:1,49.28%,11.67%,2.06%,198.45,"11,465"
18,Jayce,"2,085",2.06:1,49.5%,11.64%,3.19%,205.82,"11,828"
19,Akali,"2,034",2.59:1,49.85%,11.36%,9.18%,185.7,"11,237"
20,Poppy,"1,988",2.59:1,55.53%,11.1%,13.5%,64,"8,520"
21,Pyke,"1,980",2.42:1,49.24%,11.06%,41.88%,32.85,"8,812"
22,Yasuo,"1,978",1.91:1,49.29%,11.04%,19.81%,204.67,"11,289"
23,Lulu,"1,976",3.54:1,51.62%,11.03%,9.71%,25.48,"7,440"
24,Jax,"1,888",2.18:1,53.34%,10.54%,12.29%,184.21,"11,069"
25,Karma,"1,843",2.91:1,48.83%,10.29%,2.86%,41.02,"7,827"
26,Renekton,"1,779",2.1:1,51.04%,9.93%,10.67%,198.74,"11,136"
27,Rakan,"1,759",3.28:1,49.18%,9.82%,0.96%,27.69,"7,249"
28,Kai'Sa,"1,745",2.62:1,49%,9.74%,1.43%,208.94,"11,992"
29,Ahri,"1,726",2.98:1,48.78%,9.64%,3.19%,197.19,"11,130"
30,Skarner,"1,716",3.7:1,53.09%,9.58%,26.7%,146.56,"10,099"
31,Rell,"1,714",3.03:1,49.24%,9.57%,4.79%,24.54,"7,409"
32,Irelia,"1,709",1.62:1,52.49%,9.54%,8.35%,220.84,"12,364"
33,Gragas,"1,664",2.53:1,51.08%,9.29%,4.14%,172.78,"10,442"
34,Hwei,"1,631",2.87:1,52.24%,9.11%,5.23%,195.2,"11,187"
35,Smolder,"1,598",2.22:1,45.81%,8.92%,3.39%,216.14,"11,560"
36,Nidalee,"1,521",3.69:1,52.2%,8.49%,7.8%,167.33,"11,103"
37,Taliyah,"1,478",2.8:1,52.44%,8.25%,2.23%,192.89,"11,503"
