Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
1,Caitlyn,"170,948",2.16:1,48.81%,20.52%,27.14%,204.41,"12,206"
2,Jinx,"166,298",2.34:1,49.89%,19.96%,3.26%,204.97,"11,864"
3,Jhin,"165,385",2.87:1,49.49%,19.85%,3.28%,196.13,"12,232"
4,Viego,"152,622",2.65:1,49.64%,18.32%,13.23%,174.57,"11,716"
5,Ashe,"144,849",2.44:1,50.28%,17.39%,18.73%,188.21,"11,165"
6,Lee Sin,"144,345",2.87:1,49.44%,17.33%,11.25%,158.24,"11,203"
7,Ezreal,"143,260",2.53:1,49.01%,17.2%,5.64%,196.91,"11,644"
8,Graves,"135,925",2.57:1,49.94%,16.32%,27.39%,197.92,"12,757"
9,Sylas,"132,692",2.12:1,49.53%,15.93%,15.64%,150.14,"10,547"
10,Viktor,"131,005",2.16:1,50.31%,15.73%,24.18%,199.48,"11,449"
11,Lulu,"127,412",3.41:1,51.03%,15.29%,16.45%,26.93,"7,661"
12,Yone,"112,028",1.66:1,47.38%,13.45%,10.37%,204.73,"11,385"
13,Kai'Sa,"108,821",2.45:1,48.62%,13.06%,2.01%,205.06,"12,310"
14,Thresh,"105,829",2.74:1,50.4%,12.7%,5.31%,29.12,"7,722"
15,Corki,"98,377",2.55:1,50.75%,11.81%,15.74%,207.28,"12,125"
16,Nami,"94,272",3.4:1,50.79%,11.32%,1.04%,24.39,"7,809"
17,Ahri,"92,455",2.74:1,50.72%,11.1%,4.81%,191.08,"11,196"
18,Karma,"91,339",2.7:1,50.2%,10.96%,4.43%,43,"8,193"
19,Yasuo,"90,829",1.69:1,49.22%,10.9%,19.09%,206.03,"11,644"
20,Lux,"88,148",2.62:1,49.68%,10.58%,3.21%,116.72,"10,109"
21,Smolder,"87,316",2.12:1,46.91%,10.48%,4.36%,213.37,"11,839"
22,Gragas,"84,829",2.39:1,50.26%,10.18%,4.81%,168.04,"10,714"
23,Ambessa,"82,612",1.92:1,49.23%,9.92%,52.06%,179.8,"11,155"
24,Aatrox,"82,019",1.88:1,50.16%,9.85%,10.32%,177.81,"10,894"
25,Hwei,"76,379",2.49:1,50.29%,9.17%,9.36%,184.49,"11,105"
26,Maokai,"76,174",2.4:1,50.72%,9.14%,4.23%,115.58,"8,944"
27,Nautilus,"73,721",2.36:1,48.92%,8.85%,13.02%,30.71,"7,708"
28,Ekko,"72,948",2.61:1,50.58%,8.76%,1.34%,182.85,"12,040"
29,Irelia,"72,307",1.55:1,50.97%,8.68%,12.16%,221.27,"12,514"
30,Pyke,"71,628",2.23:1,50.15%,8.6%,36.78%,34.22,"9,243"
31,Akali,"70,945",2.34:1,49.37%,8.52%,9.75%,176.47,"11,287"
32,K'Sante,"67,085",2.13:1,48.84%,8.05%,9.19%,179.12,"10,507"
33,Aurora,"66,301",2.51:1,49.33%,7.96%,17.42%,185.4,"11,067"
34,Wukong,"65,373",2.7:1,50.56%,7.85%,3.1%,170.03,"11,427"
35,Jayce,"65,235",1.82:1,48.17%,7.83%,2.56%,199.23,"11,761"
36,Tahm Kench,"63,984",2.36:1,50.87%,7.68%,5.84%,84.12,"9,136"
37,Varus,"63,943",2.27:1,49.2%,7.68%,0.95%,194.77,"11,728"
38,Zed,"63,546",2.37:1,49.51%,7.63%,15.51%,189.27,"12,132"
39,Swain,"62,294",2.4:1,49.52%,7.48%,3.74%,140.64,"10,249"
40,Galio,"62,280",2.72:1,50.55%,7.48%,5.64%,157.38,"9,976"
41,Warwick,"59,847",2.17:1,51.01%,7.18%,13%,165.6,"11,432"
42,Renekton,"59,728",1.87:1,49.79%,7.17%,7.1%,196.32,"11,440"
43,Kha'Zix,"59,676",2.66:1,50.47%,7.16%,7.35%,178.57,"12,158"
44,Diana,"58,753",2.16:1,49.78%,7.05%,1.84%,190.97,"12,030"
45,Syndra,"57,596",2.3:1,49.69%,6.91%,4.98%,199.88,"11,846"
46,Braum,"57,290",2.98:1,50.94%,6.88%,6.52%,25.34,"7,522"
47,Janna,"56,571",3.42:1,51.72%,6.79%,2.61%,25.78,"7,810"
48,Kayn,"56,219",2.4:1,50.32%,6.75%,4.6%,181.83,"11,964"
49,Darius,"55,577",1.83:1,50.59%,6.67%,13.6%,192.44,"11,661"
50,Xerath,"55,511",2.92:1,49.82%,6.66%,3.96%,122.36,"10,295"
51,Volibear,"55,403",1.84:1,50.04%,6.65%,4.14%,179.06,"11,109"
52,Draven,"55,253",2.08:1,50.8%,6.63%,26.1%,197.22,"13,362"
