Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
1,Caitlyn,"496,494",2.17:1,49.73%,23.6%,30.83%,207.2,"12,615"
2,Jhin,"442,310",2.86:1,50.36%,21.02%,5.06%,198.78,"12,677"
3,Jinx,"434,328",2.34:1,50.49%,20.64%,3.87%,207.9,"12,255"
4,Lee Sin,"363,250",2.8:1,49.31%,17.27%,11.36%,160.64,"11,496"
5,Ashe,"359,255",2.41:1,50.06%,17.08%,17.26%,189.64,"11,510"
6,Ezreal,"344,717",2.54:1,49.05%,16.38%,4.88%,198.56,"11,991"
7,Viktor,"338,895",2.17:1,50.73%,16.11%,24.6%,201.93,"11,826"
8,Viego,"325,209",2.62:1,50.09%,15.46%,11%,177.69,"12,025"
9,Sylas,"318,437",2.11:1,49.62%,15.14%,15.77%,149.67,"10,811"
10,Graves,"316,950",2.52:1,50.17%,15.06%,23.1%,201.92,"13,092"
11,Yone,"282,954",1.65:1,47.81%,13.45%,12.12%,208.36,"11,764"
12,Thresh,"279,691",2.74:1,50.28%,13.29%,5.7%,30.64,"8,014"
13,Lulu,"278,454",3.4:1,51.57%,13.24%,17.04%,28.05,"7,896"
14,Lux,"277,562",2.6:1,50.42%,13.19%,5.72%,108.77,"10,267"
15,Kai'Sa,"264,794",2.46:1,48.83%,12.59%,2.22%,208.24,"12,680"
16,Yasuo,"241,942",1.64:1,48.92%,11.5%,18.65%,210.7,"12,011"
17,Ahri,"241,002",2.7:1,51.28%,11.45%,5.75%,193.13,"11,514"
18,Smolder,"233,477",2.14:1,47.38%,11.1%,5.31%,216.77,"12,225"
19,Nami,"204,473",3.4:1,51.97%,9.72%,1.16%,25.24,"8,035"
20,Karma,"204,469",2.66:1,50.41%,9.72%,4.06%,46.14,"8,525"
21,Tahm Kench,"201,719",2.45:1,52.18%,9.59%,10.87%,86.62,"9,581"
22,Maokai,"198,000",2.47:1,51.57%,9.41%,5.28%,121.03,"9,367"
23,Ambessa,"197,294",1.94:1,49.28%,9.38%,51.94%,181.32,"11,478"
24,Warwick,"195,993",2.23:1,52.49%,9.32%,18.17%,168.28,"11,919"
25,Gragas,"195,214",2.41:1,49.9%,9.28%,4.24%,170.55,"11,055"
26,Aatrox,"192,982",1.9:1,50.45%,9.17%,11.5%,180.64,"11,251"
27,Corki,"191,432",2.52:1,50.05%,9.1%,11.17%,210.67,"12,489"
28,Ekko,"188,541",2.56:1,50.77%,8.96%,1.49%,184.24,"12,368"
29,Irelia,"184,909",1.57:1,51.3%,8.79%,12.9%,226.58,"12,957"
30,Swain,"184,559",2.36:1,49.78%,8.77%,6.05%,133.7,"10,408"
31,Akali,"178,415",2.34:1,50.06%,8.48%,10.5%,177.08,"11,572"
32,Hwei,"175,484",2.45:1,50.33%,8.34%,8.79%,183.68,"11,377"
33,Pyke,"174,761",2.19:1,49.69%,8.31%,25.57%,35.48,"9,579"
34,Zed,"171,395",2.35:1,49.36%,8.15%,18.54%,190.01,"12,393"
35,Xerath,"171,207",2.86:1,50.76%,8.14%,7.06%,115,"10,471"
36,Kayn,"168,497",2.37:1,50.69%,8.01%,5.25%,185.05,"12,246"
37,Diana,"164,024",2.15:1,50.84%,7.8%,2.5%,195.86,"12,502"
38,Nautilus,"162,922",2.37:1,48.55%,7.74%,13.04%,33.17,"8,020"
39,Wukong,"160,624",2.7:1,51.43%,7.63%,2.4%,173.2,"11,762"
40,Volibear,"160,355",1.88:1,50.94%,7.62%,5.51%,182.73,"11,537"
41,Vi,"153,162",2.52:1,49.72%,7.28%,1.91%,168.86,"11,425"
42,Jayce,"151,658",1.84:1,47.77%,7.21%,1.74%,201.83,"12,099"
43,Kha'Zix,"151,386",2.62:1,51.09%,7.2%,6.33%,180.49,"12,497"
44,Galio,"147,111",2.72:1,50.67%,6.99%,5.15%,158.46,"10,301"
45,Darius,"144,698",1.82:1,50.49%,6.88%,15.28%,195.19,"12,037"
46,Aurora,"144,529",2.48:1,49.7%,6.87%,14.14%,188.02,"11,414"
47,Lucian,"143,211",2.36:1,50.12%,6.81%,1.06%,205.82,"12,483"
48,LeBlanc,"141,176",2.72:1,49.41%,6.71%,22.09%,154.07,"11,169"
49,Katarina,"141,016",2.36:1,50.02%,6.7%,7.4%,173.49,"12,240"
50,Nocturne,"140,203",2.78:1,51.8%,6.66%,10.73%,185.15,"12,017"
51,Varus,"138,920",2.24:1,48.88%,6.6%,0.83%,197.6,"12,129"
52,K'Sante,"136,464",2.11:1,48.34%,6.49%,6.8%,181.85,"10,819"
53,Vayne,"135,792",2.07:1,51.01%,6.45%,3.44%,189.82,"12,167"
54,Poppy,"132,908",2.32:1,51.43%,6.32%,9.61%,88.48,"9,585"
55,Shaco,"132,528",2.72:1,50.32%,6.3%,19.77%,139.55,"11,546"
56,Syndra,"131,917",2.34:1,50.28%,6.27%,4.49%,201.68,"12,256"
57,Senna,"131,248",2.87:1,50.94%,6.24%,2.04%,39.52,"9,340"
58,Mordekaiser,"130,094",1.85:1,51.13%,6.18%,8.21%,183.69,"11,581"
59,Miss Fortune,"129,984",2.49:1,51.29%,6.18%,0.6%,199.38,"12,715"
60,Blitzcrank,"129,133",2.54:1,49.2%,6.14%,18.51%,27.15,"7,841"
61,Renekton,"128,937",1.9:1,50.24%,6.13%,5.22%,201.26,"11,913"
62,Draven,"125,873",2.03:1,50.15%,5.98%,19.27%,198.82,"13,646"
63,Malphite,"124,692",2.55:1,51.24%,5.93%,8.04%,170.58,"10,836"
64,Milio,"123,945",3.77:1,50.86%,5.89%,3.46%,26.67,"7,709"
65,Jax,"121,979",1.7:1,48.63%,5.8%,7.12%,182.96,"11,589"
66,Braum,"121,169",2.98:1,51.27%,5.76%,4.39%,26.47,"7,800"
67,Jarvan IV,"119,612",3.26:1,50.61%,5.69%,1.45%,158.09,"11,437"
68,Riven,"119,049",1.92:1,51.42%,5.66%,2.32%,193.88,"12,001"
69,Pantheon,"116,347",2.1:1,49.84%,5.53%,1.36%,121.44,"10,931"
70,Sivir,"116,141",2.52:1,51.32%,5.52%,1.03%,232.31,"12,645"
71,Leona,"114,536",2.48:1,49.77%,5.44%,5.86%,29.81,"7,983"
72,Yuumi,"112,724",4.64:1,48.83%,5.36%,6.2%,15.3,"7,598"
73,Vladimir,"112,061",2.26:1,50.5%,5.33%,4.41%,202.51,"11,871"
74,Elise,"111,882",2.64:1,50.83%,5.32%,5.8%,149.97,"11,584"
75,Zac,"111,786",3.05:1,49.9%,5.31%,3.23%,150.67,"10,646"
76,Garen,"111,077",1.94:1,49.68%,5.28%,2.97%,213.5,"12,544"
77,Teemo,"110,056",1.89:1,50.24%,5.23%,7.63%,178.01,"11,623"
78,Vel'Koz,"108,499",2.38:1,51.98%,5.16%,1.23%,98.54,"10,296"
79,Janna,"105,926",3.35:1,51.56%,5.03%,1.39%,26.87,"8,020"
80,Talon,"105,722",2.41:1,50.69%,5.03%,1.29%,195.14,"12,527"
81,Sett,"104,609",1.68:1,50.31%,4.97%,1.09%,179.84,"11,797"
82,Master Yi,"104,328",2.13:1,49.77%,4.96%,7.48%,180.87,"12,510"
83,Morgana,"102,725",2.65:1,50.46%,4.88%,16.75%,61.56,"9,203"
84,Zyra,"102,436",2.36:1,50.65%,4.87%,3.15%,91.7,"9,713"
85,Orianna,"101,781",2.59:1,49.23%,4.84%,0.85%,197.69,"11,430"
86,Dr. Mundo,"99,927",2.04:1,51.27%,4.75%,2.72%,195.13,"11,501"
87,Soraka,"99,510",2.97:1,51.52%,4.73%,1.86%,26.83,"7,617"
88,Malzahar,"99,407",2.2:1,51%,4.72%,5.18%,219.99,"12,194"
89,Aphelios,"99,012",1.97:1,48.77%,4.71%,0.8%,200.34,"12,284"
90,Seraphine,"98,423",2.88:1,50.38%,4.68%,1.19%,69.19,"8,978"
91,Gnar,"97,939",1.91:1,49.68%,4.66%,1.62%,187.99,"11,478"
92,Camille,"97,717",1.94:1,50.59%,4.64%,2.26%,163.09,"11,421"
93,Sion,"96,090",1.66:1,50.19%,4.57%,0.59%,197.54,"12,110"
94,Veigar,"94,758",2.3:1,50.87%,4.5%,1.09%,194.22,"12,137"
95,Nidalee,"94,009",2.86:1,48.55%,4.47%,2.4%,164.57,"11,447"
96,Xayah,"92,920",2.42:1,50.64%,4.42%,0.66%,215.33,"12,486"
97,Rakan,"88,091",2.99:1,49.8%,4.19%,0.55%,30.06,"7,816"
98,Gwen,"87,434",1.79:1,50.45%,4.16%,3.68%,202.1,"12,312"
99,Brand,"87,159",2.02:1,50.21%,4.14%,2.54%,110.07,"10,285"
100,Bard,"86,067",3.15:1,50.81%,4.09%,0.47%,29.77,"8,342"
101,Ornn,"85,905",2.55:1,51.37%,4.08%,0.64%,177.97,"10,756"
102,Hecarim,"83,418",2.75:1,49.76%,3.96%,2.57%,197.23,"12,239"
