Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
1,Caitlyn,"613,396",2.13:1,50.57%,28.22%,38.3%,191.97,"12,896"
2,Lux,"527,228",2.57:1,51.1%,24.26%,20.42%,98.61,"10,608"
3,Jinx,"480,458",2.22:1,50.19%,22.11%,6.14%,192.73,"12,420"
4,Jhin,"430,530",2.66:1,50.5%,19.81%,9.14%,185.1,"13,030"
5,Miss Fortune,"395,767",2.43:1,51.62%,18.21%,6.27%,178.34,"12,822"
6,Warwick,"360,047",2.25:1,53.6%,16.57%,27.49%,164.09,"12,425"
7,Yasuo,"339,606",1.64:1,48.84%,15.63%,20.2%,198.18,"12,304"
8,Tahm Kench,"290,803",2.48:1,51.78%,13.38%,19.51%,98.33,"10,444"
9,Kayn,"287,100",2.27:1,50.93%,13.21%,9.64%,181.44,"12,558"
10,Ashe,"274,401",2.23:1,48.76%,12.63%,4.74%,170.68,"11,714"
11,Viego,"270,927",2.34:1,50.35%,12.47%,8.99%,178.71,"12,588"
12,Yone,"266,461",1.66:1,48.09%,12.26%,9.78%,194.52,"12,099"
13,Viktor,"264,160",2.13:1,51.04%,12.15%,12.54%,190.75,"12,170"
14,Teemo,"251,490",1.92:1,51.66%,11.57%,23.1%,173.33,"12,177"
15,Diana,"244,903",2.06:1,50.53%,11.27%,4.57%,189.66,"12,916"
16,Ahri,"243,792",2.5:1,50.74%,11.22%,6.51%,178.71,"11,648"
17,Swain,"239,031",2.32:1,50.43%,11%,9.39%,111.16,"10,660"
18,Morgana,"235,915",2.64:1,51.25%,10.85%,31.48%,60.08,"9,807"
19,Ezreal,"232,734",2.42:1,47.56%,10.71%,3.12%,182.21,"12,164"
20,Mordekaiser,"231,600",1.93:1,52.26%,10.66%,18.85%,172.83,"12,043"
21,Veigar,"229,832",2.26:1,52.52%,10.58%,6.18%,179.78,"12,537"
22,Thresh,"225,941",2.66:1,49.24%,10.4%,3.61%,35.76,"8,621"
23,Volibear,"225,327",1.94:1,51.05%,10.37%,7%,175.22,"11,851"
24,Ekko,"221,113",2.4:1,50.1%,10.17%,2.13%,174.72,"12,598"
25,Lulu,"215,047",3.19:1,51.28%,9.89%,13.35%,29.12,"8,317"
26,Kai'Sa,"207,153",2.29:1,47.81%,9.53%,2.35%,198.28,"12,960"
27,Katarina,"206,980",2.19:1,48.14%,9.52%,11.26%,162.95,"12,513"
28,Sylas,"196,907",2.03:1,48.34%,9.06%,9.29%,140.41,"11,216"
29,Nocturne,"196,771",2.59:1,52.39%,9.05%,12.41%,184.37,"12,627"
30,Malphite,"195,612",2.5:1,50.22%,9%,8.07%,152.12,"11,174"
31,Darius,"193,294",1.77:1,48.48%,8.89%,18.12%,182.29,"12,195"
32,Zed,"192,777",2.24:1,47.86%,8.87%,23.94%,178.56,"12,673"
33,Vayne,"192,322",2.03:1,50.32%,8.85%,4.73%,175.93,"12,390"
34,Amumu,"191,501",2.51:1,52.88%,8.81%,8.44%,161.61,"11,563"
35,Akali,"184,150",2.23:1,48.69%,8.47%,8.47%,159.52,"11,889"
36,Nami,"183,700",3.3:1,52.13%,8.45%,1.04%,25.97,"8,332"
37,Shaco,"179,810",2.54:1,48.38%,8.27%,19.6%,148.36,"12,098"
38,Master Yi,"175,822",1.94:1,49.46%,8.09%,15.02%,177.27,"12,786"
39,Brand,"174,947",2.01:1,51.23%,8.05%,9.46%,93.32,"10,655"
40,Leona,"171,440",2.51:1,49.39%,7.89%,12.38%,32.97,"8,599"
41,Ambessa,"168,259",1.88:1,48.12%,7.74%,35.71%,175.97,"11,895"
42,Nautilus,"167,508",2.4:1,47.96%,7.71%,11.38%,38.17,"8,651"
43,Dr. Mundo,"166,680",2.11:1,53.33%,7.67%,8.05%,183.59,"11,796"
44,Smolder,"165,938",2.13:1,48.17%,7.64%,2.83%,209.45,"12,596"
45,Kha'Zix,"164,988",2.37:1,49.24%,7.59%,6.68%,177.81,"12,844"
46,Malzahar,"164,520",2.19:1,52.76%,7.57%,15.87%,217.84,"12,881"
47,Pyke,"159,388",2.07:1,47.58%,7.33%,13.47%,38.14,"10,112"
48,Nasus,"155,897",2.01:1,50.58%,7.17%,6.86%,182.24,"12,097"
49,Cho'Gath,"154,838",2.1:1,51.11%,7.12%,2.3%,170.54,"11,871"
50,Draven,"153,689",1.96:1,49.08%,7.07%,29.98%,187.61,"13,806"
51,Irelia,"150,266",1.66:1,49.46%,6.91%,7.17%,216.91,"13,356"
52,Garen,"148,711",2.03:1,49.94%,6.84%,3.46%,198.33,"12,712"
53,Xerath,"145,001",2.77:1,51.02%,6.67%,4.69%,111.95,"11,081"
54,Jax,"143,582",1.71:1,47.79%,6.61%,4.29%,172.55,"12,077"
55,Samira,"143,293",2.04:1,48.75%,6.59%,19.08%,180.05,"13,288"
56,Vel'Koz,"142,104",2.34:1,51.92%,6.54%,2.4%,92.86,"10,670"
57,Pantheon,"141,712",2.05:1,49.15%,6.52%,1.84%,108.49,"11,285"
58,Sett,"141,403",1.68:1,51.24%,6.51%,2.53%,172.26,"12,135"
59,Lissandra,"141,007",2.2:1,49.5%,6.49%,3.4%,179.8,"11,749"
60,Seraphine,"140,904",2.64:1,49.63%,6.48%,2.28%,64.25,"9,462"
61,Vi,"140,893",2.33:1,49.77%,6.48%,1.27%,168.54,"11,928"
62,Zyra,"140,531",2.28:1,51.77%,6.47%,7.33%,72.13,"9,991"
63,Vladimir,"139,969",2.2:1,50.7%,6.44%,9.21%,191.83,"12,086"
64,Lee Sin,"136,523",2.45:1,46.16%,6.28%,1.74%,160.53,"12,077"
65,Tristana,"136,333",2.14:1,47.52%,6.27%,2.34%,172.88,"12,930"
66,Gragas,"136,076",2.21:1,47.84%,6.26%,2.13%,169.13,"11,514"
67,Senna,"134,366",2.73:1,49.41%,6.18%,1.68%,47.71,"9,903"
68,Graves,"133,981",2.34:1,48.97%,6.16%,4.03%,203.69,"13,627"
69,Syndra,"130,172",2.32:1,50.43%,5.99%,5.31%,194.78,"12,706"
70,Wukong,"126,274",2.6:1,51.85%,5.81%,1.63%,174.12,"12,270"
71,Fizz,"123,473",2.29:1,49.65%,5.68%,11.26%,160.96,"12,667"
72,Nunu & Willump,"122,940",2.45:1,49.42%,5.66%,1.17%,154,"11,435"
73,Karma,"122,523",2.59:1,49.93%,5.64%,1.37%,56.34,"9,184"
74,Blitzcrank,"120,852",2.43:1,47.93%,5.56%,13.27%,30.73,"8,452"
75,Yuumi,"119,925",4.75:1,48.5%,5.52%,4.55%,13.72,"8,074"
76,Lucian,"114,870",2.23:1,47.17%,5.29%,0.82%,192.79,"12,695"
77,Galio,"113,931",2.61:1,51.31%,5.24%,2.99%,147.9,"10,805"
78,Vex,"113,922",2.33:1,51.6%,5.24%,7.98%,173.55,"11,939"
79,Aatrox,"113,415",1.84:1,49.13%,5.22%,7.08%,174.74,"11,658"
80,Trundle,"110,832",1.68:1,51.72%,5.1%,2.1%,188.19,"12,688"
81,Yorick,"109,396",1.77:1,52.91%,5.03%,6.13%,204.74,"12,849"
82,Twitch,"109,134",2.26:1,48.17%,5.02%,4.31%,163.68,"12,954"
83,Kayle,"107,440",1.86:1,52.38%,4.94%,2.15%,216.8,"12,881"
84,Varus,"107,145",2.14:1,47.57%,4.93%,0.61%,183.31,"12,444"
85,Sion,"104,724",1.65:1,50.48%,4.82%,0.83%,196.17,"12,755"
86,Maokai,"103,794",2.53:1,51.65%,4.78%,0.72%,103.69,"9,863"
87,Hwei,"103,698",2.35:1,50.2%,4.77%,4.35%,169.49,"11,630"
88,Briar,"103,191",2.12:1,52.45%,4.75%,7.9%,169.15,"12,897"
89,Renekton,"101,580",1.88:1,49.17%,4.67%,2.63%,194.47,"12,294"
90,Sivir,"99,654",2.36:1,51.26%,4.59%,0.86%,223.76,"12,866"
91,Soraka,"97,980",2.85:1,51.19%,4.51%,1.79%,27.54,"7,930"
92,Hecarim,"97,800",2.55:1,49.26%,4.5%,3.78%,194.4,"12,519"
93,Milio,"97,744",3.72:1,52.19%,4.5%,2.27%,28.56,"8,061"
94,Jarvan IV,"94,351",3.19:1,50.91%,4.34%,1.27%,162.99,"11,970"
95,Aurora,"93,855",2.33:1,48.92%,4.32%,7.13%,180.77,"11,757"
96,Braum,"92,526",2.94:1,50.17%,4.26%,1.86%,28.66,"8,406"
97,Lillia,"89,885",2.57:1,50.08%,4.14%,5.45%,184.77,"12,380"
98,Illaoi,"89,167",1.57:1,51.36%,4.1%,15.38%,185.67,"12,041"
99,Shen,"85,624",2.9:1,50.63%,3.94%,0.6%,123.45,"10,243"
100,LeBlanc,"85,448",2.56:1,47.01%,3.93%,6.11%,150.72,"11,647"
101,Xayah,"81,830",2.23:1,49.17%,3.77%,0.6%,199.71,"12,599"
102,Riven,"81,587",1.87:1,48.38%,3.75%,1.36%,185.46,"12,142"
103,Neeko,"81,551",2.18:1,48.29%,3.75%,1.43%,86.37,"10,156"
104,Janna,"80,783",3.27:1,52.31%,3.72%,0.8%,28.33,"8,290"
105,Tryndamere,"80,434",1.69:1,48.81%,3.7%,2.47%,209.22,"12,949"
106,Corki,"80,311",2.32:1,48.6%,3.7%,2.61%,203.57,"12,942"
107,Ornn,"79,638",2.36:1,51.4%,3.66%,1.12%,172.52,"11,154"
108,Rengar,"79,169",1.99:1,44.62%,3.64%,2.76%,183.63,"12,520"
109,Heimerdinger,"77,294",1.78:1,51.6%,3.56%,3.67%,173.8,"11,927"
110,Aphelios,"77,079",1.88:1,48.91%,3.55%,1.18%,187.45,"12,582"
111,Xin Zhao,"76,063",2.23:1,50.22%,3.5%,0.58%,168.1,"12,015"
112,Kog'Maw,"75,785",2.14:1,51.75%,3.49%,2.24%,184.69,"12,701"
113,Zac,"75,331",3.05:1,49.22%,3.47%,2.04%,152.42,"11,173"
114,Poppy,"75,192",2.32:1,50.22%,3.46%,1.61%,86.24,"10,156"
115,Gwen,"73,311",1.72:1,48.82%,3.37%,2.72%,192.73,"12,501"
116,Jayce,"69,517",1.86:1,44.92%,3.2%,0.33%,191.74,"12,316"
117,Urgot,"68,987",1.98:1,51.5%,3.17%,1.4%,188.75,"12,717"
118,Ziggs,"67,750",2.37:1,50.81%,3.12%,0.81%,178.95,"12,138"
119,Talon,"67,031",2.17:1,48.31%,3.08%,0.54%,183.69,"12,700"
120,Orianna,"62,441",2.55:1,49.24%,2.87%,0.6%,187.82,"11,860"
121,Fiddlesticks,"62,235",2.35:1,49.82%,2.86%,0.75%,155.49,"11,849"
122,Ryze,"62,015",2.16:1,50.97%,2.85%,0.34%,209.07,"12,476"
123,Elise,"61,006",2.4:1,48.75%,2.81%,0.98%,155.69,"12,093"
124,Evelynn,"60,109",2.52:1,47.16%,2.77%,2.04%,155.79,"12,062"
125,Kindred,"59,647",2.03:1,46.41%,2.74%,1.13%,174.85,"12,657"
126,Gnar,"59,521",1.9:1,48.97%,2.74%,0.63%,179.71,"11,920"
127,Kassadin,"59,128",2.4:1,49.84%,2.72%,2.53%,180.58,"12,202"
128,Shyvana,"58,748",2.33:1,50.9%,2.7%,1.08%,204.63,"12,804"
129,Rakan,"57,932",2.84:1,48.04%,2.67%,0.27%,32.95,"8,274"
130,Gangplank,"57,695",2.03:1,47.57%,2.65%,0.83%,204.63,"13,970"
131,K'Sante,"56,957",1.89:1,45.99%,2.62%,3.47%,178.11,"11,219"
132,Sejuani,"56,335",2.94:1,48.91%,2.59%,0.48%,163.84,"11,355"
133,Nilah,"54,019",2.17:1,53.39%,2.49%,5.44%,187.51,"13,264"
134,Akshan,"53,578",2.14:1,48.41%,2.47%,1.99%,176.74,"13,003"
135,Cassiopeia,"53,363",2.01:1,51.26%,2.46%,2.05%,183.6,"12,031"
136,Sona,"52,673",2.95:1,51.77%,2.42%,0.12%,30.26,"8,542"
137,Rammus,"52,333",2.81:1,50.85%,2.41%,8.29%,151.67,"11,075"
138,Fiora,"51,864",1.57:1,48.43%,2.39%,3.02%,187.39,"12,242"
139,Aurelion Sol,"51,490",2.54:1,51.08%,2.37%,1.04%,192.59,"12,695"
140,Udyr,"50,889",2.19:1,48.43%,2.34%,1.9%,181.57,"11,906"
141,Alistar,"50,535",2.46:1,48.25%,2.33%,0.61%,32.14,"8,341"
142,Camille,"50,310",1.86:1,48.19%,2.31%,1.14%,163.98,"11,760"
143,Zoe,"49,912",2.35:1,47.93%,2.3%,0.91%,130.08,"11,038"
144,Skarner,"49,570",2.84:1,47.32%,2.28%,5.19%,151.56,"10,848"
145,Rell,"48,502",2.84:1,48.99%,2.23%,0.99%,30.66,"8,669"
146,Zilean,"46,065",3.02:1,49.72%,2.12%,0.37%,66.26,"9,154"
147,Naafiri,"45,551",2.15:1,50.75%,2.1%,1.66%,174.49,"12,673"
148,Karthus,"45,350",2.24:1,49.23%,2.09%,0.71%,207.74,"13,614"
149,Singed,"45,309",1.78:1,49.91%,2.08%,0.36%,192.98,"11,912"
150,Kennen,"42,620",2.06:1,48.86%,1.96%,0.7%,171.13,"11,683"
151,Bel'Veth,"42,208",2.13:1,47.87%,1.94%,2.4%,182.98,"12,284"
152,Bard,"41,976",2.96:1,48.83%,1.93%,0.34%,34.32,"8,896"
153,Qiyana,"41,802",2.11:1,47.08%,1.92%,0.42%,172.95,"12,424"
154,Anivia,"40,622",2.62:1,51.24%,1.87%,1.08%,168.3,"11,514"
155,Taric,"39,405",2.78:1,52.25%,1.81%,0.5%,41.26,"8,492"
156,Zeri,"38,719",2.24:1,49.35%,1.78%,0.35%,215.51,"13,264"
157,Annie,"37,409",2.19:1,49.3%,1.72%,0.55%,146.18,"11,292"
158,Twisted Fate,"36,037",2.03:1,47.6%,1.66%,0.11%,171.09,"12,521"
159,Olaf,"34,487",1.7:1,46.63%,1.59%,0.74%,180.16,"12,198"
160,Nidalee,"31,854",2.34:1,43.47%,1.47%,0.18%,148.66,"11,496"
161,Renata Glasc,"31,247",2.7:1,49.53%,1.44%,0.29%,34.04,"8,475"
162,Azir,"29,797",1.89:1,47.91%,1.37%,0.35%,201.51,"12,298"
163,Quinn,"27,974",1.87:1,47.59%,1.29%,0.57%,168.12,"12,568"
164,Kalista,"27,892",2.02:1,46.14%,1.28%,0.36%,181.16,"12,872"
165,Kled,"27,838",2.04:1,49.64%,1.28%,0.69%,167.85,"12,370"
166,Taliyah,"26,984",2.22:1,49.48%,1.24%,0.22%,187.12,"12,376"
167,Rumble,"20,907",1.91:1,46.39%,0.96%,0.17%,175.12,"11,742"
168,Rek'Sai,"17,555",2.57:1,48.09%,0.81%,0.34%,157.17,"11,760"
169,Ivern,"15,952",3.11:1,47.85%,0.73%,0.23%,130.07,"10,200"
