Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,123478,2.15,50.83,29.75,34.77,182.26,12809,eune,bronze
2,Lux,123462,2.6,52.16,29.75,30.27,90.86,10605,eune,bronze
3,Miss Fortune,105760,2.47,52.42,25.48,10.31,175.47,12922,eune,bronze
4,Jinx,90658,2.23,50.11,21.85,6.68,181.82,12362,eune,bronze
5,Jhin,80195,2.6,50.63,19.32,11.98,173.8,12946,eune,bronze
6,Warwick,79588,2.28,54.52,19.18,33.83,162.76,12571,eune,bronze
7,Yasuo,76245,1.67,49.46,18.37,23.87,192.8,12357,eune,bronze
8,Teemo,61976,1.96,52.56,14.93,32.33,170.98,12301,eune,bronze
9,Kayn,60332,2.26,51.49,14.54,10.69,178.97,12646,eune,bronze
10,Tahm Kench,59951,2.48,51.8,14.45,19.43,96.01,10582,eune,bronze
11,Morgana,59157,2.69,52.14,14.25,34.26,61.17,9973,eune,bronze
12,Veigar,58016,2.28,53.58,13.98,9.36,173.89,12615,eune,bronze
13,Yone,57216,1.7,48.68,13.79,10.29,187.94,12148,eune,bronze
14,Mordekaiser,53811,1.99,53.21,12.97,22.91,169.57,12194,eune,bronze
15,Ashe,52508,2.2,48.54,12.65,4.08,161.08,11681,eune,bronze
16,Diana,50937,2.07,51.13,12.27,5.28,184.91,12985,eune,bronze
17,Viego,49599,2.26,51.05,11.95,7.65,174.96,12622,eune,bronze
18,Swain,49199,2.34,51.26,11.86,11.79,97.75,10602,eune,bronze
19,Volibear,44760,2.01,51.47,10.79,6.06,168.72,11830,eune,bronze
20,Ahri,43774,2.43,51.12,10.55,5.82,168.1,11565,eune,bronze
21,Ekko,43617,2.37,50.33,10.51,2.51,168.02,12581,eune,bronze
22,Malphite,42733,2.48,49.95,10.3,5.59,140.52,11176,eune,bronze
23,Amumu,42402,2.54,53.71,10.22,8.44,159.55,11675,eune,bronze
24,Katarina,41820,2.15,47.78,10.08,11.74,155.55,12474,eune,bronze
25,Akali,40897,2.23,48.93,9.85,9.77,152.81,11921,eune,bronze
26,Darius,40831,1.78,47.89,9.84,17.56,174.59,12125,eune,bronze
27,Master Yi,40679,1.92,49.62,9.8,18.64,176.12,12879,eune,bronze
28,Brand,40602,2.05,51.77,9.78,12.62,87.84,10743,eune,bronze
29,Ezreal,40220,2.36,47.23,9.69,3.16,167.66,11962,eune,bronze
30,Viktor,39931,2.11,50.86,9.62,8.32,175.12,12038,eune,bronze
31,Shaco,39225,2.48,47.85,9.45,22.87,146.16,12078,eune,bronze
32,Nocturne,39214,2.52,52.32,9.45,11.11,181.03,12727,eune,bronze
33,Nasus,38652,2.07,51.42,9.31,7.42,180.28,12222,eune,bronze
34,Vayne,36972,1.98,49.31,8.91,5.17,164.6,12283,eune,bronze
35,Leona,36942,2.51,49.98,8.9,13.42,33.73,8728,eune,bronze
36,Zed,36349,2.19,47.02,8.76,23.25,168.27,12516,eune,bronze
37,Sylas,36004,1.99,47.81,8.68,8.87,132.38,11214,eune,bronze
38,Dr. Mundo,35811,2.18,54.61,8.63,9.54,176.31,11755,eune,bronze
39,Kai'Sa,35111,2.24,47.46,8.46,2.37,188.65,12878,eune,bronze
40,Thresh,33669,2.54,47.98,8.11,2.52,39.19,8843,eune,bronze
41,Cho'Gath,33560,2.14,51.49,8.09,2.91,163.04,11895,eune,bronze
42,Malzahar,32511,2.21,53.11,7.83,18.21,212.49,13018,eune,bronze
43,Nautilus,32502,2.39,48.14,7.83,9.66,39.76,8817,eune,bronze
44,Jax,32435,1.78,48.85,7.82,3.12,167.44,12166,eune,bronze
45,Tristana,32057,2.12,47.49,7.72,3.57,166.6,12859,eune,bronze
46,Garen,31980,2.09,50.08,7.71,3.31,190.55,12659,eune,bronze
47,Sett,31372,1.71,52.12,7.56,3.4,168.82,12213,eune,bronze
48,Zyra,31311,2.3,52.41,7.54,8.19,73.93,10140,eune,bronze
49,Seraphine,30811,2.67,50.42,7.42,3.09,60.05,9562,eune,bronze
50,Samira,30761,2.02,48.81,7.41,23.93,171.88,13210,eune,bronze
51,Pyke,30434,2.02,47.06,7.33,13.04,38.9,10214,eune,bronze
52,Pantheon,29565,2.06,48.96,7.12,1.94,100.77,11253,eune,bronze
53,Irelia,28713,1.68,48.77,6.92,6.45,208.95,13326,eune,bronze
54,Kha'Zix,28561,2.25,48.19,6.88,5.6,172.61,12806,eune,bronze
55,Fizz,28447,2.31,49.96,6.85,13.23,152.51,12652,eune,bronze
56,Xerath,28162,2.74,51.5,6.79,5.4,101.38,11022,eune,bronze
57,Yorick,27177,1.83,54.12,6.55,7.88,199.77,12870,eune,bronze
58,Trundle,27043,1.74,51.87,6.52,2.95,181.81,12640,eune,bronze
59,Lissandra,26593,2.15,49.19,6.41,2.99,171.74,11747,eune,bronze
60,Ambessa,25846,1.86,46.87,6.23,24.24,166.69,11798,eune,bronze
61,Vi,25756,2.27,49.84,6.21,1.09,164.53,11953,eune,bronze
62,Nunu & Willump,25026,2.42,50.02,6.03,1.27,152.65,11591,eune,bronze
63,Smolder,24867,2.15,48.72,5.99,2.23,197.4,12496,eune,bronze
64,Vel'Koz,24796,2.35,51.54,5.98,2.25,89.68,10777,eune,bronze
65,Blitzcrank,24709,2.4,48.38,5.95,15.56,31.64,8586,eune,bronze
66,Vex,24694,2.3,51.53,5.95,8.32,166.71,11923,eune,bronze
67,Draven,24613,1.98,48.77,5.93,26.2,174.41,13634,eune,bronze
68,Senna,24074,2.66,48.33,5.8,1.36,53.84,10115,eune,bronze
69,Lee Sin,23910,2.34,45.32,5.76,1.88,156.93,12102,eune,bronze
70,Lulu,23325,3.02,49.48,5.62,3.94,30.97,8430,eune,bronze
71,Vladimir,22923,2.12,50.29,5.52,8.91,177.77,11911,eune,bronze
72,Yuumi,22029,4.96,49.81,5.31,3.95,12.79,8202,eune,bronze
73,Nami,21069,3.22,51.85,5.08,0.61,26.4,8440,eune,bronze
74,Twitch,21066,2.21,47.09,5.08,5.2,158.17,12966,eune,bronze
75,Illaoi,20855,1.63,52.22,5.03,20.55,180.53,12060,eune,bronze
76,Kayle,20543,1.86,51.86,4.95,1.88,207.15,12777,eune,bronze
77,Galio,20471,2.58,51.67,4.93,2.65,137.73,10848,eune,bronze
78,Briar,20426,2.11,52.59,4.92,7.86,166.12,12982,eune,bronze
