Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Sylas,285,2.47,51.93,19.33,7.53,163.05,10799,eune,challenger
2,Viego,279,2.73,46.95,18.91,10.99,177.1,11762,eune,challenger
3,Draven,272,2.29,53.31,18.45,50.69,198.19,13062,eune,challenger
4,Caitlyn,251,2.3,50.2,17.02,32.21,206.8,12191,eune,challenger
5,Zed,250,2.65,52.4,16.98,15.78,212.63,12566,eune,challenger
6,Pyke,233,2.74,52.36,15.8,45.73,27.8,9141,eune,challenger
7,Jhin,230,2.94,47.39,15.65,1.58,196.04,12022,eune,challenger
8,Tahm Kench,229,2.52,48.47,15.56,5.86,83.08,8756,eune,challenger
9,Swain,224,2.63,48.66,15.22,3.37,118.13,9804,eune,challenger
10,Irelia,218,1.63,54.13,14.78,11.24,214.57,12520,eune,challenger
11,Ashe,202,2.35,45.54,13.72,7.44,190.92,11192,eune,challenger
12,Gragas,199,2.82,54.77,13.5,9.32,175.25,10716,eune,challenger
13,Corki,198,2.86,54.04,13.43,14.76,210.83,12235,eune,challenger
14,Briar,189,2.73,58.73,12.82,6.89,157.86,12139,eune,challenger
15,Katarina,184,2.57,47.28,12.5,9.93,182.5,12182,eune,challenger
16,Qiyana,183,2.43,50.82,12.43,10.17,203.01,12688,eune,challenger
17,Viktor,182,1.99,47.8,13.27,20.09,194.3,10911,eune,challenger
18,Graves,176,2.89,50.57,11.96,17.35,206.97,13044,eune,challenger
19,Ezreal,176,2.58,51.7,11.96,4.18,203.53,11741,eune,challenger
20,Riven,176,2.27,57.39,11.94,17.2,202.64,12077,eune,challenger
21,Lulu,175,3.08,48,11.87,29.93,26.47,7398,eune,challenger
22,Vladimir,173,2.77,54.91,11.73,19.13,203.47,11471,eune,challenger
23,Ambessa,172,1.89,50.58,11.66,47.07,197.92,11729,eune,challenger
24,Sona,167,3.14,53.29,15.1,0.37,28.01,8620,eune,challenger
25,Jax,163,1.79,49.08,11.05,16.6,190.56,11389,eune,challenger
26,Janna,161,3.67,55.28,10.94,9.7,23.69,7456,eune,challenger
27,Shaco,157,2.95,55.41,10.66,4.77,154.31,11373,eune,challenger
28,Diana,154,2.35,49.35,10.83,1.48,185.24,11497,eune,challenger
29,Zoe,151,3.08,46.36,10.27,4.67,79.99,9953,eune,challenger
30,Karma,150,2.66,40.67,10.17,2.22,47.85,7992,eune,challenger
31,Hwei,149,2.45,51.01,10.12,14.87,182.21,10968,eune,challenger
32,Samira,148,2.32,57.43,10.05,5.62,188.49,12576,eune,challenger
33,Camille,147,2.06,57.14,9.99,4.99,174.61,11298,eune,challenger
34,Kennen,146,2.8,52.74,9.93,2.91,178.58,10744,eune,challenger
35,Nami,143,3.61,47.55,9.73,0.53,26.11,7711,eune,challenger
36,Aurora,142,2.81,52.11,9.63,15.33,186.7,10997,eune,challenger
37,Ekko,139,2.57,52.52,9.8,1.18,200.69,12541,eune,challenger
38,Kha'Zix,139,3.43,56.83,9.44,9.49,177.54,12192,eune,challenger
39,Wukong,138,2.39,42.03,9.37,5.13,173.54,11185,eune,challenger
40,Garen,137,1.96,46.72,9.29,1.88,235.28,13262,eune,challenger
41,Zac,135,3.97,52.59,9.19,3.15,168.31,10861,eune,challenger
42,Rengar,132,2.99,52.27,8.95,27.69,190.63,12353,eune,challenger
43,Taric,131,3.22,58.78,8.9,5.24,32.24,7751,eune,challenger
44,Yone,125,1.61,48.8,8.49,6.21,210.86,11276,eune,challenger
45,Volibear,121,2.78,59.5,8.22,3.14,176.62,11053,eune,challenger
46,Elise,118,3.05,55.93,8,11.92,158.31,11376,eune,challenger
47,Varus,115,2.16,46.96,8.72,0.52,196.59,12071,eune,challenger
48,Smolder,113,1.77,44.25,7.68,1.42,209.37,11510,eune,challenger
49,Lee Sin,113,2.96,49.56,7.93,1.09,158.16,11490,eune,challenger
50,Ryze,113,2.06,52.21,8.21,0.62,208.28,11113,eune,challenger
51,Syndra,113,2.1,53.98,7.66,11.11,197.01,11489,eune,challenger
52,Akali,112,2.87,50,7.6,7.6,179.65,11478,eune,challenger
53,Kalista,110,2.92,55.45,7.95,1,212.18,12849,eune,challenger
54,Bard,109,4.7,55.05,8.15,0.61,26.12,8047,eune,challenger
55,Jinx,108,2.25,46.3,7.35,1.43,200.72,11398,eune,challenger
56,Olaf,106,2.5,56.6,7.45,2.59,199.79,12196,eune,challenger
57,Blitzcrank,105,2.51,40.95,7.13,8.44,23.08,7556,eune,challenger
58,Jarvan IV,104,3.09,44.23,7.07,7.33,152.99,10576,eune,challenger
59,Vel'Koz,104,2.34,50,7.31,1.05,151.94,11125,eune,challenger
60,Soraka,102,3.6,52.94,6.94,1.36,22.1,7672,eune,challenger
61,K'Sante,102,2.21,53.92,6.92,17.38,181.99,10254,eune,challenger
62,Yasuo,101,1.94,47.52,6.85,12.21,201.52,11450,eune,challenger
63,Dr. Mundo,99,2.19,53.54,6.9,2.05,210.15,11717,eune,challenger
64,Skarner,98,3.12,50,6.65,36.17,145.27,9950,eune,challenger
65,Singed,98,2.91,57.14,8.21,0.56,188.24,11179,eune,challenger
66,Lux,96,3.07,47.92,6.53,0.69,179.97,11392,eune,challenger
67,Nunu & Willump,96,3.13,55.21,6.53,2.35,149.93,10176,eune,challenger
68,Udyr,94,2.56,43.62,6.38,3.9,178.98,10814,eune,challenger
69,Milio,89,3.61,43.82,6.04,8.45,24.33,6773,eune,challenger
70,Thresh,89,3.09,52.81,6.06,2.63,26.98,7804,eune,challenger
71,Kassadin,89,2.76,52.81,6.04,8.76,191.64,11997,eune,challenger
72,Rek'Sai,89,4.14,55.06,6.06,1.75,178.43,11388,eune,challenger
73,Nautilus,85,2.19,40,5.76,10.36,29.6,7340,eune,challenger
74,Trundle,85,1.27,47.06,8.29,0.57,215.12,12417,eune,challenger
75,Hecarim,85,3.07,48.24,5.76,14.85,190.13,11135,eune,challenger
76,Xayah,85,2.69,60,6.2,0.34,221.32,12554,eune,challenger
77,Akshan,83,2.54,43.37,5.64,2.96,195.11,12075,eune,challenger
78,Kindred,83,2.68,48.19,5.86,2.2,180.24,11455,eune,challenger
79,Seraphine,80,3.42,50,5.6,0.96,168.28,10408,eune,challenger
80,Kai'Sa,79,2.72,54.43,5.55,0.44,204.72,12268,eune,challenger
81,Jayce,78,1.83,44.87,5.88,0.48,206.74,11740,eune,challenger
82,Aurelion Sol,75,2.69,52,5.27,1.16,202.95,11454,eune,challenger
83,Gwen,74,1.79,51.35,5.04,3.12,199.43,11753,eune,challenger
84,Aatrox,71,1.73,47.89,4.82,6.74,178.39,10353,eune,challenger
85,Urgot,69,1.73,43.48,6.63,0.7,197.88,12125,eune,challenger
86,Karthus,69,2,44.93,4.69,2.4,205.25,13068,eune,challenger
87,Ahri,68,2.53,42.65,4.63,3.54,201.56,11834,eune,challenger
88,Nasus,68,2.22,45.59,4.61,3.78,179.78,11029,eune,challenger
89,Leona,68,2.3,47.06,4.63,6.76,25.84,7205,eune,challenger
90,Ziggs,68,2.72,52.94,4.94,0.65,209,12369,eune,challenger
91,Brand,65,1.9,46.15,5.49,0.67,160.23,10266,eune,challenger
92,Lucian,64,2.61,51.56,5.51,0.05,208.38,12342,eune,challenger
93,Gnar,64,2.41,51.56,4.35,4.41,189.13,10968,eune,challenger
94,Darius,64,2.12,57.81,4.34,15.53,208.19,12101,eune,challenger
95,Master Yi,64,2.69,59.38,4.35,5.68,190.55,12197,eune,challenger
