Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,17864,2.11,49.66,23.08,43.08,206.7,12733,eune,diamond
2,Jinx,17416,2.24,49.55,22.5,5.12,207.65,12205,eune,diamond
3,Lulu,14206,3.34,52.02,18.35,31.79,26.33,7990,eune,diamond
4,Jhin,12737,2.71,49.09,16.45,2.6,199.3,12755,eune,diamond
5,Nami,12593,3.32,51.33,16.27,1.72,24.36,8036,eune,diamond
6,Viktor,12006,2.11,49.39,15.51,19.81,205.3,11916,eune,diamond
7,Viego,11262,2.47,48.58,14.55,11.37,180.14,12140,eune,diamond
8,Ezreal,9890,2.43,47.34,12.78,3.09,199.74,12057,eune,diamond
9,Ashe,9859,2.3,49.04,12.74,6.4,191.35,11646,eune,diamond
10,Ahri,9816,2.71,50.33,12.68,7.56,196.3,11606,eune,diamond
11,Lux,9398,2.62,49.45,12.14,1.85,140.31,10805,eune,diamond
12,Thresh,9328,2.78,50.11,12.05,5.21,29.96,8105,eune,diamond
13,Kai'Sa,9030,2.44,49.15,11.67,1.89,210.63,12823,eune,diamond
14,Janna,8807,3.41,51.87,11.38,5.44,25.77,7976,eune,diamond
15,Sylas,8652,2.12,49.83,11.18,10.65,156.75,11142,eune,diamond
16,Ambessa,8532,1.84,49.48,11.02,53.41,184.73,11630,eune,diamond
17,Smolder,8411,2.1,47.85,10.87,3.43,218.6,12328,eune,diamond
18,Yasuo,8387,1.62,48.21,10.83,15.97,212.06,12114,eune,diamond
19,Yone,8301,1.66,47.96,10.72,7.39,213.3,12004,eune,diamond
20,Syndra,7753,2.27,50.03,10.02,10.43,206.48,12365,eune,diamond
21,Graves,7735,2.47,48.91,9.99,12.79,206.34,13257,eune,diamond
22,Kha'Zix,7539,2.65,50.13,9.74,10.85,184.62,12567,eune,diamond
23,Ekko,7454,2.51,50.94,9.63,1.36,188.49,12441,eune,diamond
24,Milio,7393,3.86,51.05,9.55,7.12,25.32,7687,eune,diamond
25,Draven,7391,2.01,50.86,9.55,46.57,200.77,13770,eune,diamond
26,Wukong,7369,2.65,50.69,9.52,4.67,174.89,11846,eune,diamond
27,Jarvan IV,7312,3.35,50.96,9.45,4.02,161.62,11514,eune,diamond
28,Volibear,7156,1.78,50.04,9.24,6.84,184.46,11601,eune,diamond
29,Karma,7131,2.73,49.88,9.21,1.9,48.61,8572,eune,diamond
30,Tahm Kench,7115,2.31,50.05,9.19,10.52,97.17,9683,eune,diamond
31,Zed,7076,2.4,49.89,9.14,19.39,195.87,12688,eune,diamond
32,Gragas,7025,2.28,50.53,9.08,5.44,180.52,11283,eune,diamond
33,Kayn,6975,2.37,49.86,9.01,4.25,187.18,12255,eune,diamond
34,Corki,6712,2.44,50.95,8.67,10.04,211.73,12753,eune,diamond
35,Katarina,6648,2.37,49.46,8.59,10.88,176.33,12376,eune,diamond
36,Hwei,6454,2.36,50.03,8.34,11.91,190.96,11595,eune,diamond
37,Warwick,6371,2.23,51.42,8.23,13.49,170.32,11988,eune,diamond
38,Pyke,6313,2.27,49.55,8.16,26.1,34.62,9742,eune,diamond
39,Diana,6106,2.09,47.95,7.89,2.15,198.94,12488,eune,diamond
40,Swain,5979,2.32,49.16,7.72,4.1,152.18,10760,eune,diamond
41,Sivir,5942,2.44,50.88,7.68,1,231.85,12671,eune,diamond
42,Hecarim,5791,2.77,50.73,7.48,11.87,204.83,12472,eune,diamond
43,Vladimir,5763,2.23,50.37,7.45,11.5,206.12,11959,eune,diamond
44,Senna,5715,2.88,51.29,7.38,2.54,37.82,9443,eune,diamond
45,Akali,5596,2.34,50.11,7.23,6.22,183.64,11971,eune,diamond
46,Vayne,5584,2.07,50.29,7.21,3.22,191.43,12195,eune,diamond
47,Irelia,5500,1.61,51.11,7.11,10.17,229.32,13184,eune,diamond
48,Nocturne,5491,2.68,51.12,7.09,9.12,186.07,12062,eune,diamond
49,Vel'Koz,5441,2.34,50.89,7.03,2.01,102.69,10315,eune,diamond
50,K'Sante,5428,2.09,48.43,7.01,10.72,186.06,11157,eune,diamond
51,Nautilus,5390,2.35,49.07,6.96,13.39,33.63,8152,eune,diamond
52,Riven,5354,1.96,51.96,6.92,5.41,200.64,12252,eune,diamond
53,Lee Sin,5138,2.69,48.58,6.64,1.06,165.14,11804,eune,diamond
54,Malphite,5057,2.47,51,6.53,12.45,174.02,10792,eune,diamond
55,Darius,5030,1.78,50.32,6.5,16.97,198.54,12118,eune,diamond
56,Aatrox,5016,1.89,50.36,6.48,9.07,186.86,11498,eune,diamond
57,Aurora,5003,2.36,47.87,6.46,14.82,191.2,11601,eune,diamond
58,Kayle,4957,1.89,52.98,6.4,4.07,227.24,12680,eune,diamond
59,Braum,4922,3.03,50.06,6.36,5.82,25.78,7945,eune,diamond
60,Galio,4879,2.63,49.78,6.3,3.65,159.92,10400,eune,diamond
61,Renekton,4832,1.82,49.03,6.24,6.25,204.99,12055,eune,diamond
62,Elise,4820,2.59,50.46,6.23,4.6,153.36,11716,eune,diamond
63,Vi,4786,2.41,49.21,6.18,1.26,170.71,11489,eune,diamond
64,Ornn,4596,2.51,51.61,5.94,1.16,180.49,10774,eune,diamond
65,Maokai,4595,2.44,50.79,5.94,0.94,110.01,9406,eune,diamond
66,Rengar,4569,2.36,49.29,5.9,13.99,192.54,12617,eune,diamond
67,Master Yi,4491,2.16,50.19,5.8,8.56,184.56,12757,eune,diamond
68,Mordekaiser,4433,1.78,49.65,5.73,6.36,184.87,11562,eune,diamond
69,Soraka,4409,2.89,49.63,5.7,1.88,25.65,7646,eune,diamond
70,Varus,4397,2.18,48.28,5.68,0.62,198.28,12256,eune,diamond
71,Shaco,4374,2.74,50.85,5.65,9.66,152.43,11870,eune,diamond
72,Xerath,4325,2.94,49.6,5.59,1.97,143.14,11104,eune,diamond
73,Amumu,4284,2.47,50.91,5.53,4.23,163.61,11055,eune,diamond
74,Lucian,4228,2.29,48.91,5.46,0.4,206.34,12598,eune,diamond
75,Leona,4208,2.52,50.31,5.44,6.3,29,8054,eune,diamond
76,Zac,4111,3.09,49.5,5.31,4.99,159.77,10960,eune,diamond
77,Lissandra,4111,2.31,49.55,5.31,3.78,192.54,11398,eune,diamond
78,Gwen,4095,1.74,51.16,5.29,5.79,204.11,12428,eune,diamond
79,Nunu & Willump,4070,2.81,52.7,5.26,1.2,158.33,10997,eune,diamond
80,Cho'Gath,4004,2.01,50.07,5.17,0.71,191.08,11613,eune,diamond
81,Skarner,3979,3.15,49.99,5.14,19.01,153.26,10677,eune,diamond
82,Garen,3844,1.9,47.58,4.97,2.75,212.86,12396,eune,diamond
83,Dr. Mundo,3821,1.92,49.25,4.94,2.72,198.52,11503,eune,diamond
84,Miss Fortune,3794,2.44,50.61,4.9,0.3,202.83,12762,eune,diamond
