Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,49492,2.13,50.23,25.19,42.57,208.05,13070,eune,emerald
2,Jinx,46217,2.23,50.31,23.52,5.21,209.69,12570,eune,emerald
3,Jhin,38421,2.74,50.25,19.55,4.26,200.63,13120,eune,emerald
4,Viktor,32562,2.15,51.2,16.57,19.58,205.24,12273,eune,emerald
5,Lulu,32152,3.31,52.05,16.36,30.38,27.76,8189,eune,emerald
6,Lux,29986,2.65,50.88,15.26,4.84,127.18,10940,eune,emerald
7,Viego,27889,2.51,50.34,14.19,11.93,184.79,12614,eune,emerald
8,Nami,27059,3.34,52.43,13.77,1.72,25.4,8236,eune,emerald
9,Thresh,25197,2.79,50.12,12.82,5.43,32.11,8385,eune,emerald
10,Ashe,24696,2.31,49.83,12.57,5.79,189.92,11916,eune,emerald
11,Ahri,23806,2.63,50.74,12.11,7.86,196.1,11898,eune,emerald
12,Ezreal,23460,2.5,48.35,11.94,2.96,199.89,12400,eune,emerald
13,Tahm Kench,23330,2.44,51.86,11.87,17.87,98.89,10166,eune,emerald
14,Yasuo,22220,1.65,49.46,11.31,14.92,215.19,12422,eune,emerald
15,Warwick,22149,2.27,53.53,11.27,18.2,172,12369,eune,emerald
16,Smolder,21717,2.11,47.51,11.05,3.65,220.39,12659,eune,emerald
17,Kai'Sa,20853,2.37,48.64,10.61,2.22,210.67,13095,eune,emerald
18,Kayn,20523,2.35,50.19,10.44,6.77,188.85,12506,eune,emerald
19,Ambessa,20228,1.92,49.59,10.29,52.54,186.19,12047,eune,emerald
20,Volibear,19474,1.88,51.16,9.91,7.94,188.19,11980,eune,emerald
21,Ekko,19088,2.48,50.43,9.71,1.65,188.78,12768,eune,emerald
22,Sylas,19079,2.1,49.06,9.71,9.64,152.86,11256,eune,emerald
23,Yone,18964,1.63,47.51,9.65,8.58,213.41,12230,eune,emerald
24,Diana,18855,2.1,51.12,9.59,3.09,201.06,12923,eune,emerald
25,Swain,18228,2.33,49.74,9.28,5.63,140.8,10938,eune,emerald
26,Graves,18002,2.44,49.24,9.16,8.44,208.82,13610,eune,emerald
27,Syndra,17875,2.35,50.58,9.1,9.23,207.63,12830,eune,emerald
28,Katarina,17645,2.33,49.49,8.98,11.13,176.7,12625,eune,emerald
29,Draven,17506,1.97,49.68,8.91,38.15,201.07,14018,eune,emerald
30,Gragas,17398,2.33,49.81,8.85,4.78,181.14,11675,eune,emerald
31,Zed,17184,2.35,49.56,8.74,23.41,194.57,12892,eune,emerald
32,Vayne,17018,2.07,51.48,8.66,3.78,191.71,12488,eune,emerald
33,Kha'Zix,16794,2.58,50.99,8.55,9.43,184.77,12849,eune,emerald
34,Wukong,16474,2.67,51.47,8.38,2.98,178.87,12237,eune,emerald
35,Karma,16416,2.69,50.01,8.35,1.96,51.66,8978,eune,emerald
36,Milio,15930,3.78,51.44,8.11,5.68,26.66,7891,eune,emerald
37,Vladimir,15673,2.27,50.9,7.98,11.14,206.81,12256,eune,emerald
38,Pyke,15450,2.21,49.11,7.86,16.56,37.05,10032,eune,emerald
39,Nocturne,15353,2.73,51.92,7.81,12.86,190.13,12448,eune,emerald
40,Vel'Koz,15283,2.39,51.97,7.78,2.59,95.66,10548,eune,emerald
41,Janna,14827,3.31,52.11,7.55,1.99,27.06,8194,eune,emerald
42,Hwei,14750,2.38,49.91,7.51,9.08,189.39,11877,eune,emerald
