Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,114108,2.16,51.11,29.36,40.99,201.7,13201,eune,gold
2,Jinx,88353,2.25,50.78,22.74,5.69,202.41,12699,eune,gold
3,Lux,85415,2.59,51.25,21.98,15.69,106.37,10783,eune,gold
4,Jhin,82987,2.71,51.28,21.35,8.08,193.11,13303,eune,gold
5,Warwick,60654,2.3,53.94,15.61,23.75,170.36,12601,eune,gold
6,Tahm Kench,56421,2.51,52.34,14.52,22.52,101.23,10536,eune,gold
7,Miss Fortune,56127,2.45,51.83,14.44,3.29,194.15,13210,eune,gold
8,Viktor,54864,2.15,51.58,14.12,14.6,195.63,12338,eune,gold
9,Yasuo,54019,1.62,48.68,13.9,18.16,209.36,12558,eune,gold
10,Kayn,51338,2.33,51.74,13.21,10.31,187.29,12729,eune,gold
11,Viego,49519,2.39,50.95,12.74,9.28,183.74,12783,eune,gold
12,Ashe,47510,2.28,49.31,12.23,4.51,179.61,11957,eune,gold
13,Lulu,46587,3.23,51.92,11.99,16.05,29.51,8415,eune,gold
14,Thresh,44530,2.72,50.04,11.46,4.07,35.52,8672,eune,gold
15,Ezreal,44371,2.47,47.54,11.42,3.21,190.3,12417,eune,gold
16,Diana,44106,2.08,51.13,11.35,4.56,197.19,13147,eune,gold
17,Swain,44063,2.31,50.29,11.34,8.9,117.54,10776,eune,gold
18,Ahri,42638,2.55,51.52,10.97,6.35,187.3,11928,eune,gold
19,Volibear,41653,1.92,51.25,10.72,8.09,182.36,12101,eune,gold
20,Yone,41339,1.65,48.3,10.64,9.49,206.76,12425,eune,gold
21,Teemo,39589,1.91,52.05,10.19,19.21,181.21,12344,eune,gold
22,Kai'Sa,39582,2.33,48.2,10.19,2.36,205.27,13182,eune,gold
23,Ekko,39032,2.47,50.51,10.04,1.9,181.64,12814,eune,gold
24,Katarina,37953,2.21,48.25,9.77,11.11,168.68,12696,eune,gold
25,Mordekaiser,37366,1.94,53.11,9.62,19.04,183.25,12289,eune,gold
26,Nami,36863,3.32,52.35,9.49,1.22,26.51,8415,eune,gold
27,Vayne,36744,2.07,51.65,9.46,4.73,185,12677,eune,gold
28,Nocturne,36701,2.7,53.11,9.44,14.27,191.19,12839,eune,gold
29,Veigar,36025,2.27,52.67,9.27,4.18,192.36,12804,eune,gold
30,Zed,35379,2.26,48.68,9.1,25.96,185.79,12922,eune,gold
31,Morgana,34674,2.65,51.86,8.92,34.1,60.95,9856,eune,gold
32,Amumu,34386,2.55,52.98,8.85,9.75,167.7,11709,eune,gold
33,Malzahar,34041,2.18,52.71,8.76,17.82,223.3,12972,eune,gold
34,Malphite,33915,2.58,51.12,8.73,9.16,163.29,11404,eune,gold
35,Sylas,33788,2.07,48.85,8.69,9.16,147.48,11440,eune,gold
36,Darius,33209,1.79,49.49,8.55,19.7,191.63,12501,eune,gold
37,Smolder,32585,2.12,48.34,8.38,3.13,215.25,12800,eune,gold
38,Ambessa,32443,1.91,48.77,8.35,40.98,181.06,12142,eune,gold
39,Shaco,31921,2.62,49.02,8.21,19.55,153.12,12315,eune,gold
40,Nautilus,30322,2.43,48.17,7.8,12.69,37.7,8651,eune,gold
41,Kha'Zix,30277,2.45,50.4,7.79,6.45,183.22,13092,eune,gold
42,Dr. Mundo,30164,2.11,53.11,7.76,8.41,192.72,12041,eune,gold
43,Leona,29965,2.55,49.33,7.71,13.84,33.69,8628,eune,gold
44,Brand,29377,2,51.24,7.56,8.78,97.73,10724,eune,gold
45,Akali,29207,2.29,49.43,7.52,7.52,169.72,12181,eune,gold
46,Draven,29091,1.94,48.76,7.49,30.7,194.17,14054,eune,gold
47,Vel'Koz,27359,2.35,52.59,7.04,2.53,95.57,10781,eune,gold
48,Lissandra,27233,2.22,49.99,7.01,3.76,186.19,11935,eune,gold
49,Graves,27178,2.35,49.36,6.99,3.97,207.38,13825,eune,gold
50,Vladimir,27033,2.23,51.57,6.96,8.91,198.88,12318,eune,gold
51,Cho'Gath,26875,2.09,51.67,6.92,2.06,179.51,12118,eune,gold
52,Syndra,26764,2.36,51.14,6.89,6.06,196.63,12862,eune,gold
53,Vi,26381,2.39,50.27,6.79,1.36,174.51,12170,eune,gold
54,Gragas,26378,2.25,48.29,6.79,2.02,172.85,11684,eune,gold
55,Master Yi,25698,1.99,50.15,6.61,13.64,184.87,13036,eune,gold
56,Xerath,25656,2.82,51.35,6.6,4.56,115.65,11237,eune,gold
57,Pyke,25619,2.08,47.81,6.59,10.19,38.78,10228,eune,gold
58,Irelia,25569,1.67,50.26,6.58,7.11,227.71,13730,eune,gold
59,Zyra,25553,2.27,52,6.58,8.35,70.68,9973,eune,gold
60,Lee Sin,25009,2.5,46.89,6.44,1.8,165.21,12248,eune,gold
61,Samira,24938,2.08,48.65,6.42,18.15,190.15,13591,eune,gold
62,Garen,24603,2.02,50.41,6.33,3.89,209.82,13082,eune,gold
63,Senna,24514,2.79,50.72,6.31,1.71,47.94,10004,eune,gold
64,Pantheon,24409,2.07,49.94,6.28,1.84,116.56,11535,eune,gold
65,Nasus,24383,2.01,50.67,6.27,7.15,191.23,12319,eune,gold
66,Karma,23995,2.59,50.69,6.17,1.72,57.57,9317,eune,gold
67,Wukong,23984,2.66,52.54,6.17,1.37,178.85,12455,eune,gold
68,Sett,23063,1.67,51.74,5.93,1.85,181.04,12392,eune,gold
69,Jax,21838,1.7,47.95,5.62,4.06,183.51,12351,eune,gold
70,Galio,21746,2.65,51.56,5.6,3.13,152.78,10927,eune,gold
71,Sion,21601,1.63,49.76,5.56,1.03,201.93,12916,eune,gold
72,Maokai,21499,2.53,51.88,5.53,0.79,107.2,9981,eune,gold
73,Fizz,21309,2.31,50.28,5.48,11.73,171.34,12979,eune,gold
74,Lucian,21303,2.28,48.08,5.48,0.84,200.79,12935,eune,gold
75,Yuumi,21228,4.65,48.62,5.46,5.36,14.83,8164,eune,gold
76,Milio,20407,3.76,52.98,5.25,2.4,28.72,8153,eune,gold
77,Aatrox,20050,1.89,49.81,5.16,7.83,180.22,11911,eune,gold
78,Seraphine,19810,2.67,50.9,5.1,1.62,68.68,9601,eune,gold
79,Vex,19788,2.38,52.21,5.09,8.05,183.69,12255,eune,gold
80,Tristana,19784,2.21,47.56,5.09,1.33,187.97,13435,eune,gold
81,Twitch,19724,2.29,49,5.08,3.53,168.72,13204,eune,gold
82,Hwei,19312,2.36,50.17,4.97,4.52,169.81,11734,eune,gold
83,Nunu & Willump,19236,2.53,49.6,4.95,1.04,160.17,11689,eune,gold
84,Kayle,19174,1.85,53.28,4.93,2.16,225.64,13166,eune,gold
85,Briar,19083,2.15,52.93,4.91,9.19,174.29,13087,eune,gold
86,Varus,18875,2.18,48.43,4.86,0.49,192.96,12776,eune,gold
87,Yorick,18838,1.72,52.28,4.85,6.27,213.97,13088,eune,gold
88,Blitzcrank,18666,2.47,48.61,4.8,11.07,31.69,8502,eune,gold
89,Renekton,18619,1.89,50.29,4.79,2.69,200.76,12506,eune,gold
90,Sivir,18579,2.45,52.9,4.78,0.85,232.26,13179,eune,gold
91,Soraka,18334,2.85,52.62,4.72,2.2,28.12,7980,eune,gold
92,Jarvan IV,18292,3.23,51.55,4.71,1.2,165.9,12149,eune,gold
93,Trundle,18179,1.63,51.37,4.68,1.77,199.57,12988,eune,gold
94,Braum,18012,2.94,50.51,4.63,1.79,29.23,8481,eune,gold
95,Aurora,17424,2.38,49.61,4.48,7.67,186.71,11984,eune,gold
96,Hecarim,17408,2.57,49.29,4.48,3.13,198.48,12718,eune,gold
97,Shen,16629,2.94,51.03,4.28,0.68,128.15,10378,eune,gold
98,Lillia,16156,2.63,50.47,4.16,6.06,191.92,12578,eune,gold
99,LeBlanc,15706,2.6,47.73,4.04,6.3,155.05,11834,eune,gold
100,Corki,15560,2.31,48.26,4,2.33,205.36,13098,eune,gold
101,Riven,15344,1.89,48.67,3.95,1.13,189.98,12371,eune,gold
102,Aphelios,15179,1.9,48.78,3.91,1.24,195.03,12853,eune,gold
103,Ornn,15045,2.43,52.89,3.87,1.28,177.79,11381,eune,gold
104,Xayah,14793,2.3,50.33,3.81,0.51,210.92,12957,eune,gold
105,Zac,14632,3.12,49.41,3.77,2.28,155.76,11350,eune,gold
106,Poppy,14441,2.36,51.18,3.72,1.48,89.61,10299,eune,gold
107,Rengar,14430,2.02,44.54,3.71,1.79,188.49,12730,eune,gold
108,Illaoi,14360,1.52,51.26,3.7,12.55,196.31,12311,eune,gold
109,Kog'Maw,14320,2.17,51.54,3.68,2.42,192.66,12939,eune,gold
110,Janna,14023,3.27,53.14,3.61,0.44,28.9,8429,eune,gold
111,Jayce,13535,1.86,44.85,3.48,0.31,196.11,12520,eune,gold
112,Orianna,12838,2.53,48.76,3.3,0.57,191.21,11992,eune,gold
113,Tryndamere,12741,1.65,49.24,3.28,2.05,224.57,13424,eune,gold
114,Gangplank,12624,2.05,48.44,3.25,0.95,208.9,14133,eune,gold
115,Gwen,12490,1.74,49.13,3.21,2.82,199.9,12741,eune,gold
116,Xin Zhao,12144,2.29,51.03,3.12,0.52,174.14,12187,eune,gold
117,Urgot,12082,1.97,51.72,3.11,1.17,192.97,12814,eune,gold
118,Ryze,11984,2.2,51.99,3.08,0.35,215.79,12663,eune,gold
119,Fiddlesticks,11937,2.37,50.13,3.07,0.69,157.94,11944,eune,gold
120,Elise,11732,2.4,48.52,3.02,0.73,159.28,12316,eune,gold
121,Ziggs,11699,2.39,50.82,3.01,0.7,190.9,12513,eune,gold
122,Shyvana,11364,2.42,51.94,2.92,1.16,212.11,13064,eune,gold
123,Gnar,11079,1.9,49.58,2.85,0.64,183.49,12099,eune,gold
124,Kassadin,11027,2.45,49.63,2.84,2.32,185.55,12396,eune,gold
125,Heimerdinger,11024,1.77,51.79,2.84,1.75,183,12127,eune,gold
126,Sejuani,10974,3,48.75,2.82,0.57,167.33,11455,eune,gold
127,K'Sante,10798,1.88,44.96,2.78,3.49,178.62,11328,eune,gold
128,Talon,10778,2.2,48.97,2.77,0.48,190.43,12987,eune,gold
129,Rakan,10339,2.87,49.14,2.66,0.27,32.61,8293,eune,gold
130,Neeko,10299,2.18,48.7,2.65,0.75,88.97,10316,eune,gold
131,Nilah,10231,2.22,54.21,2.63,6.06,195.38,13536,eune,gold
132,Kindred,10062,2.04,46.53,2.59,1,180.04,12844,eune,gold
133,Evelynn,9970,2.68,48.62,2.57,1.94,161.13,12325,eune,gold
134,Alistar,9961,2.53,48.8,2.56,0.67,32.11,8431,eune,gold
135,Udyr,9752,2.25,49.25,2.51,1.95,187.54,12143,eune,gold
136,Cassiopeia,9641,1.99,51.78,2.48,2.1,192.88,12252,eune,gold
137,Akshan,9548,2.16,48.6,2.46,1.92,181.9,13308,eune,gold
138,Camille,9535,1.88,48.18,2.45,1.08,167.38,11957,eune,gold
139,Fiora,9489,1.56,49.35,2.44,3.15,193.93,12522,eune,gold
140,Zoe,9421,2.4,48.43,2.42,0.72,134.83,11244,eune,gold
141,Rammus,9298,2.89,50.99,2.39,9.72,156.09,11161,eune,gold
142,Rell,9284,2.83,49.04,2.39,1.09,30.7,8690,eune,gold
143,Sona,9137,2.98,52.85,2.35,0.09,30.81,8582,eune,gold
144,Skarner,8989,2.83,47.17,2.31,4.86,154.05,10989,eune,gold
145,Aurelion Sol,8868,2.57,51.05,2.28,1.18,197.6,12796,eune,gold
146,Zilean,8624,3.04,49.91,2.22,0.36,65.74,9237,eune,gold
147,Karthus,8393,2.23,49.2,2.16,0.56,213.92,13820,eune,gold
148,Singed,8283,1.73,49.91,2.13,0.28,201.14,12132,eune,gold
149,Bel'Veth,8006,2.17,47.9,2.06,2.2,187.78,12524,eune,gold
150,Naafiri,7818,2.23,52.52,2.01,1.59,183.03,12987,eune,gold
151,Kennen,7691,2.1,48.76,1.98,0.71,176.87,11915,eune,gold
152,Bard,7615,2.98,49.34,1.96,0.29,35.31,9044,eune,gold
153,Anivia,7614,2.68,51.41,1.96,1.14,175.5,11707,eune,gold
154,Zeri,7455,2.24,48.8,1.92,0.35,223.63,13525,eune,gold
155,Taric,7418,2.82,52.66,1.91,0.49,42.16,8550,eune,gold
156,Qiyana,7399,2.14,46.38,1.9,0.34,180.1,12735,eune,gold
157,Twisted Fate,7053,2.06,48.06,1.81,0.09,177.42,12771,eune,gold
158,Annie,6768,2.25,50.59,1.74,0.58,153.97,11540,eune,gold
159,Azir,5980,1.94,47.09,1.54,0.34,206.81,12565,eune,gold
160,Renata Glasc,5885,2.69,48.68,1.51,0.31,34.04,8583,eune,gold
161,Nidalee,5701,2.38,44.17,1.47,0.14,153.8,11721,eune,gold
162,Olaf,5609,1.73,47.91,1.44,0.7,191.26,12623,eune,gold
163,Kled,5574,2.06,49.17,1.43,0.69,174.09,12570,eune,gold
164,Taliyah,5061,2.17,49.08,1.3,0.18,188.01,12411,eune,gold
165,Quinn,4892,1.93,49.73,1.26,0.57,180.36,13001,eune,gold
166,Kalista,4748,2,45.89,1.22,0.26,188.91,13147,eune,gold
167,Rumble,3791,1.85,45.27,0.98,0.18,179.64,11902,eune,gold
168,Ivern,3128,3.15,48.59,0.8,0.18,132.31,10364,eune,gold
169,Rek'Sai,2820,2.53,47.34,0.73,0.26,159.48,11935,eune,gold
