Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Lulu,923,3.46,53.74,21.03,30.19,24.21,7581,eune,grandmaster
2,Jhin,808,3.06,49.01,18.46,2.06,197.83,12121,eune,grandmaster
3,Nami,797,3.35,48.43,18.16,0.74,21.9,7455,eune,grandmaster
4,Karma,735,3.03,50.75,16.75,2.19,66.17,8473,eune,grandmaster
5,Jinx,726,2.3,48.76,16.57,2.1,201.46,11489,eune,grandmaster
6,Janna,716,3.7,57.12,16.32,9.49,23.24,7649,eune,grandmaster
7,Caitlyn,680,2.25,49.12,15.5,35.89,203.98,12147,eune,grandmaster
8,Ezreal,651,2.57,48.54,14.87,4.03,203.44,11768,eune,grandmaster
9,Corki,622,2.59,48.07,14.21,13.35,213.3,12301,eune,grandmaster
10,Ashe,587,2.57,51.79,13.4,8.43,190.91,11381,eune,grandmaster
11,Yone,558,1.73,48.75,12.72,6.81,202.97,11324,eune,grandmaster
12,Sylas,549,2.35,52.09,12.51,10.14,154.27,10773,eune,grandmaster
13,Vladimir,548,2.32,48.54,12.49,18.27,200.48,11208,eune,grandmaster
14,Viktor,548,2.24,50.36,12.51,19.83,201.4,11400,eune,grandmaster
15,Viego,548,2.71,50.55,12.49,12.18,182.24,12115,eune,grandmaster
16,Qiyana,541,2.72,55.27,12.33,8.05,193.59,12203,eune,grandmaster
17,Riven,508,2.04,53.54,11.58,13.28,192.7,11815,eune,grandmaster
18,Ahri,494,2.73,46.56,11.26,4.21,191.04,10879,eune,grandmaster
19,Ekko,493,2.58,49.29,11.25,1.61,192.65,12111,eune,grandmaster
20,Pyke,493,2.41,53.96,11.23,43.99,30.3,9461,eune,grandmaster
21,Thresh,476,3.07,50.42,10.86,3.13,30.22,7854,eune,grandmaster
22,Jarvan IV,472,3.33,47.03,10.78,5.72,161.14,11074,eune,grandmaster
23,K'Sante,467,2.13,47.11,10.64,16.2,183.45,10479,eune,grandmaster
24,Hwei,453,2.55,52.98,10.32,14.33,194.42,11454,eune,grandmaster
25,Yasuo,452,1.95,53.76,10.3,14.6,213.05,11994,eune,grandmaster
26,Smolder,446,2.04,45.96,10.19,1.7,213.71,11743,eune,grandmaster
27,Lux,440,2.68,46.82,10.05,0.66,159.93,10445,eune,grandmaster
28,Ambessa,437,1.89,49.66,9.96,48.01,183.74,11138,eune,grandmaster
29,Lee Sin,433,2.62,49.19,9.91,0.94,174.02,11965,eune,grandmaster
30,Graves,424,2.64,47.88,9.66,14.46,203.29,12840,eune,grandmaster
31,Syndra,419,2.19,48.21,9.55,12.02,199.85,11553,eune,grandmaster
32,Wukong,411,2.7,52.8,9.37,4.95,177.99,11622,eune,grandmaster
33,Gragas,403,2.19,50.62,9.18,9.61,177.18,10709,eune,grandmaster
34,Irelia,401,1.67,48.88,9.14,10.52,226.86,12790,eune,grandmaster
