Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Lux,91012,2.47,50.14,34.83,38.04,81.58,10141,eune,iron
2,Miss Fortune,83377,2.32,50.49,31.91,15.82,151.39,12006,eune,iron
3,Caitlyn,70821,2.03,48.66,27.1,32.9,159.56,11875,eune,iron
4,Warwick,59200,2.09,52.26,22.65,43.05,148.53,11918,eune,iron
5,Jinx,53875,2.08,47.89,20.62,8.12,155.88,11397,eune,iron
6,Yasuo,53477,1.63,47.99,20.46,26.29,171.07,11602,eune,iron
7,Morgana,47575,2.54,49.91,18.21,31.93,58.87,9674,eune,iron
8,Teemo,46756,1.91,50.68,17.89,37.76,155.17,11685,eune,iron
9,Yone,45281,1.64,47.09,17.33,11.7,165.43,11308,eune,iron
10,Mordekaiser,40584,1.89,50.48,15.53,23.25,150.55,11456,eune,iron
11,Jhin,40369,2.46,48.74,15.45,13.72,152,12021,eune,iron
12,Veigar,39403,2.19,52.06,15.08,12.87,153.16,11815,eune,iron
13,Kayn,38429,2.05,48.62,14.71,10.35,163.5,11941,eune,iron
14,Ashe,38272,2.05,46.94,14.65,5.62,140.25,10981,eune,iron
15,Diana,34348,1.92,48.68,13.14,5.39,165.75,12169,eune,iron
16,Master Yi,32674,1.78,47.91,12.5,18.72,160.33,12155,eune,iron
17,Seraphine,32466,2.53,47.84,12.42,4.85,55.57,9168,eune,iron
18,Ahri,32034,2.23,48.33,12.26,7,148.5,10737,eune,iron
19,Akali,31168,2.08,46.58,11.93,12,134.82,11149,eune,iron
20,Tahm Kench,29892,2.33,49.85,11.44,15.2,85.34,10121,eune,iron
21,Viego,29735,2.08,48.85,11.38,7.03,160.47,11943,eune,iron
22,Brand,27648,2,50.69,10.58,12.42,80.41,10355,eune,iron
23,Ekko,27600,2.19,48.28,10.56,2.96,151.76,11886,eune,iron
24,Volibear,27310,1.89,49.24,10.45,5.18,151.47,11096,eune,iron
25,Malphite,27296,2.3,48.4,10.45,4.68,122.56,10563,eune,iron
26,Nasus,27071,1.96,49.38,10.36,6.72,163.04,11571,eune,iron
27,Swain,26805,2.28,49.9,10.26,11.36,85.54,10150,eune,iron
28,Tristana,26244,1.97,45.96,10.04,5.78,144.97,12009,eune,iron
29,Sylas,26112,1.87,46.09,9.99,10.13,116.11,10543,eune,iron
30,Jax,25556,1.72,46.76,9.78,3.17,149.27,11514,eune,iron
