Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Jinx,4369,2.35,50.81,21.55,3.61,205.81,11926,eune,master
2,Caitlyn,4090,2.16,49.46,20.18,41.19,204.18,12302,eune,master
3,Nami,3804,3.36,50.45,18.76,1.39,23.48,7715,eune,master
4,Lulu,3801,3.37,50.8,18.75,30.69,25.87,7718,eune,master
5,Jhin,3462,2.87,49.94,17.08,2.22,196.29,12253,eune,master
6,Janna,3033,3.55,53.54,14.96,8.94,24.89,7753,eune,master
7,Ahri,2898,2.77,49.41,14.3,5.69,194.79,11259,eune,master
8,Viktor,2885,2.1,50.88,14.23,20.41,201.96,11596,eune,master
9,Ezreal,2868,2.53,49.97,14.15,3.37,199.33,11767,eune,master
10,Ashe,2815,2.43,51.15,13.89,8.09,187.51,11131,eune,master
11,Viego,2675,2.59,49.05,13.2,12.05,177.61,11778,eune,master
12,Smolder,2438,2.21,48.36,12.03,2.69,213.85,11987,eune,master
13,Karma,2365,2.82,50.78,11.67,2.26,49.88,8334,eune,master
14,Thresh,2276,2.89,51.14,11.23,4.44,28.59,7782,eune,master
15,Corki,2239,2.6,52.26,11.04,12.45,208.91,12357,eune,master
16,Syndra,2194,2.25,50.09,10.82,10.28,203.96,12037,eune,master
17,Ambessa,2146,1.95,52.47,10.59,50.53,183.8,11446,eune,master
18,Kai'Sa,2107,2.47,50.21,10.39,1.62,207.76,12405,eune,master
19,Yasuo,2055,1.72,48.81,10.14,16.55,208.71,11673,eune,master
20,Sylas,2039,2.2,51.35,10.06,11.79,152.69,10766,eune,master
21,Milio,2023,3.74,50.07,9.98,6.9,24.76,7392,eune,master
22,Yone,1979,1.65,48.51,9.76,6.48,208.85,11562,eune,master
23,Gragas,1964,2.3,51.53,9.69,8.06,183.36,11218,eune,master
24,Lux,1886,2.67,51.96,9.3,0.93,132.94,10398,eune,master
25,Ekko,1886,2.58,52.12,9.3,1.63,185.39,12151,eune,master
26,Graves,1860,2.49,48.76,9.18,13.17,201.9,12886,eune,master
27,Vladimir,1854,2.44,52.75,9.15,15.18,201.94,11585,eune,master
28,Draven,1843,2.16,50.79,9.09,52.49,196.58,13292,eune,master
29,Elise,1835,2.56,51.06,9.05,8.7,149.93,11270,eune,master
30,Volibear,1816,1.9,51.16,8.96,4.55,179.92,11081,eune,master
31,Hwei,1775,2.47,50.48,8.76,14.19,194.83,11425,eune,master
32,K'Sante,1754,2.23,52,8.65,13.57,182.94,10813,eune,master
33,Riven,1741,2.1,54.28,8.59,9.3,196.04,11928,eune,master
34,Hecarim,1738,3.02,55.12,8.57,16.23,204.45,12250,eune,master
35,Kayle,1724,2.09,53.36,8.5,4.94,224.96,12410,eune,master
36,Swain,1714,2.43,49.18,8.46,3.61,156.9,10575,eune,master
37,Jarvan IV,1665,3.29,49.79,8.21,4.21,157.99,11130,eune,master
38,Wukong,1651,2.65,50.94,8.14,5.23,170.88,11392,eune,master
39,Sivir,1629,2.48,51.01,8.04,0.94,228.34,12286,eune,master
40,Pyke,1622,2.37,53.39,8,36.01,33.32,9578,eune,master
41,Irelia,1598,1.66,51.81,7.88,9.59,226.47,12912,eune,master
42,Diana,1580,2.24,49.75,7.79,1.22,195.91,12167,eune,master
43,Senna,1577,3.18,51.87,7.78,2.12,35.66,9178,eune,master
44,Warwick,1561,2.14,50.86,7.7,10,168.9,11557,eune,master
45,Katarina,1554,2.48,50.9,7.67,10.91,178.77,12130,eune,master
46,Aatrox,1536,2.01,51.89,7.58,7.79,181.11,11019,eune,master
47,Nautilus,1492,2.32,47.59,7.36,10.86,30.92,7792,eune,master
48,Akali,1461,2.47,50.38,7.21,5.5,183.08,11773,eune,master
49,Kha'Zix,1457,2.63,48.59,7.19,9.47,182.2,12238,eune,master
50,Soraka,1456,3.04,50.27,7.18,2.07,24.75,7253,eune,master
51,Varus,1418,2.35,52.96,6.99,0.56,196.65,11912,eune,master
52,Galio,1396,2.79,54.37,6.89,3.39,165.75,10300,eune,master
53,Zed,1385,2.42,50.11,6.83,15.04,194.59,12306,eune,master
54,Rengar,1383,2.61,51.77,6.82,24.82,191.62,12447,eune,master
55,Tahm Kench,1381,2.34,50.47,6.81,5.01,87.58,9173,eune,master
56,Lee Sin,1371,2.71,50.91,6.76,1.07,166.76,11689,eune,master
57,Master Yi,1365,2.27,52.53,6.73,8.03,178.34,12529,eune,master
58,Vel'Koz,1354,2.41,50.44,6.68,1.48,94.51,9740,eune,master
59,Skarner,1348,3.28,52.82,6.65,26.94,153.01,10388,eune,master
60,Xayah,1342,2.41,52.16,6.62,0.66,213.31,12135,eune,master
61,Aurora,1327,2.52,51.85,6.55,15.25,188.23,11415,eune,master
62,Braum,1316,3.01,49.85,6.49,6.27,25.14,7604,eune,master
63,Darius,1304,1.84,50.46,6.43,18.42,194.74,11686,eune,master
64,Renekton,1282,1.85,50.08,6.32,7.85,200.36,11549,eune,master
65,Maokai,1232,2.49,53.41,6.08,0.95,113.37,9157,eune,master
66,Nocturne,1210,2.61,49.42,5.97,5.3,180.35,11560,eune,master
67,Lissandra,1200,2.31,51.25,5.92,2.85,187.78,11012,eune,master
68,Poppy,1195,2.25,52.72,5.89,5.6,112.53,9879,eune,master
69,Bard,1188,3.36,50.67,5.86,0.81,27.59,8227,eune,master
70,Shen,1158,2.92,51.73,5.71,0.7,125.9,9533,eune,master
71,Malphite,1156,2.46,51.38,5.7,12.12,171.43,10392,eune,master
72,Ornn,1155,2.55,51.6,5.7,0.76,181.34,10508,eune,master
73,Malzahar,1127,2.29,53.95,5.56,3.2,216.08,11799,eune,master
74,Kayn,1125,2.39,47.91,5.55,2.39,183.7,11840,eune,master
75,Shaco,1122,2.86,49.11,5.53,6.18,150.84,11325,eune,master
76,Blitzcrank,1112,2.64,50,5.49,10.33,25.6,7771,eune,master
77,Garen,1106,1.95,48.55,5.46,1.77,209.73,12104,eune,master
78,Camille,1106,1.99,51.08,5.46,4.04,173.33,11365,eune,master
79,Samira,1101,2.23,49.95,5.43,6.75,190.8,12848,eune,master
80,Lucian,1093,2.43,49.86,5.39,0.17,202.57,12451,eune,master
81,Mordekaiser,1078,1.8,49.26,5.32,3.39,178.35,10932,eune,master
82,Vi,1064,2.35,48.21,5.25,0.92,164.65,10985,eune,master
83,Orianna,1052,2.66,52.95,5.19,1.36,197.12,11303,eune,master
84,Vayne,1049,2,48.14,5.17,2.71,186.05,11572,eune,master
85,Nunu & Willump,1037,2.92,50.34,5.12,1.52,159.71,10624,eune,master
86,Dr. Mundo,1032,2.04,48.93,5.1,2.89,193.58,11218,eune,master
87,Leona,1025,2.5,50.83,5.06,4.8,27.09,7805,eune,master
88,Miss Fortune,1009,2.47,51.54,4.99,0.15,197.6,12101,eune,master
89,Zac,1008,3.08,48.41,4.97,3.23,155.29,10515,eune,master
90,Kassadin,993,2.61,50.35,4.9,9.15,190.07,11443,eune,master
91,Xerath,962,2.9,49.06,4.75,1.17,141.05,10829,eune,master
92,Gwen,953,1.82,51.31,4.7,4.66,201.75,12386,eune,master
93,LeBlanc,948,2.77,48.63,4.68,14.27,170.24,11389,eune,master
94,Bel'Veth,932,2.59,50.43,4.6,9.21,178.23,11709,eune,master
95,Gnar,926,1.92,49.89,4.57,1.73,189.38,11215,eune,master
96,Qiyana,917,2.7,56.6,4.52,3.45,193.5,12642,eune,master
97,Talon,888,2.49,51.24,4.38,0.58,197.44,12204,eune,master
98,Rakan,886,3.35,51.69,4.37,0.27,28.13,7727,eune,master
99,Jayce,880,1.84,47.16,4.34,0.61,202.8,11928,eune,master
100,Kog'Maw,856,2.26,53.39,4.22,3.71,196.91,11831,eune,master
101,Cho'Gath,842,1.98,50,4.15,0.53,187.15,11277,eune,master
102,Jax,832,1.67,47.96,4.1,12.13,184.46,11352,eune,master
103,Ziggs,831,2.5,52.59,4.1,0.78,209.02,11955,eune,master
