Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,79782,2.13,50.53,27.91,41.9,206.04,13185,eune,platinum
2,Jinx,64827,2.25,50.71,22.68,5.66,207.45,12704,eune,platinum
3,Jhin,61924,2.73,50.49,21.66,6.62,198.18,13294,eune,platinum
4,Lux,52767,2.61,50.71,18.46,9.41,115.18,10856,eune,platinum
5,Viktor,44561,2.13,51.1,15.59,17.35,201.5,12342,eune,platinum
6,Lulu,40258,3.28,51.91,14.08,24.35,28.79,8323,eune,platinum
7,Warwick,38744,2.28,53.12,13.55,21.02,171.95,12528,eune,platinum
8,Tahm Kench,38404,2.47,52.12,13.43,20.93,103.99,10420,eune,platinum
9,Thresh,36726,2.77,50.34,12.85,4.89,34.01,8543,eune,platinum
10,Viego,36640,2.44,50.25,12.82,10.48,184.99,12712,eune,platinum
11,Yasuo,36083,1.61,48.52,12.62,15.86,213.42,12521,eune,platinum
12,Nami,34732,3.33,52.54,12.15,1.57,26.25,8367,eune,platinum
13,Ashe,34144,2.29,49.23,11.94,4.89,185,11958,eune,platinum
14,Kayn,34007,2.34,51.68,11.9,8.98,189.3,12665,eune,platinum
15,Ahri,33531,2.6,51.48,11.73,7.12,192.91,11965,eune,platinum
16,Ezreal,32414,2.5,48.2,11.34,2.95,196.37,12468,eune,platinum
17,Swain,31038,2.32,49.96,10.86,7.34,127.74,10831,eune,platinum
18,Kai'Sa,30385,2.35,48.16,10.63,2.56,209,13190,eune,platinum
19,Miss Fortune,29798,2.47,51.89,10.42,1.55,199.38,13239,eune,platinum
20,Volibear,29465,1.9,51.25,10.31,8.31,185.42,12048,eune,platinum
21,Yone,29014,1.63,48.03,10.15,9.21,211.92,12410,eune,platinum
22,Diana,28565,2.07,50.5,9.99,3.94,200.82,13094,eune,platinum
23,Ekko,27878,2.47,50.93,9.75,1.8,185.89,12816,eune,platinum
24,Smolder,27816,2.15,48.34,9.73,3.68,219.59,12838,eune,platinum
25,Ambessa,27025,1.91,49.02,9.45,48.09,184.37,12120,eune,platinum
26,Nocturne,26061,2.72,53.32,9.12,15.23,190.92,12675,eune,platinum
27,Katarina,25969,2.25,48.27,9.08,10.62,172.55,12663,eune,platinum
28,Sylas,25949,2.08,48.9,9.08,9.59,151.66,11424,eune,platinum
29,Vayne,25648,2.1,51.59,8.97,4.32,189.99,12631,eune,platinum
30,Zed,25605,2.3,49.03,8.96,25.47,190.9,12947,eune,platinum
31,Teemo,23943,1.9,51.25,8.38,13.77,184.32,12264,eune,platinum
32,Kha'Zix,23407,2.51,50.66,8.19,7.65,185.09,13054,eune,platinum
33,Gragas,23221,2.29,48.67,8.12,3.25,178.44,11730,eune,platinum
34,Malzahar,23096,2.15,52.4,8.08,14.54,224.43,12771,eune,platinum
35,Draven,23030,1.92,48.92,8.06,33.66,198.96,14030,eune,platinum
36,Syndra,22824,2.31,50.74,7.98,7.47,203.01,12873,eune,platinum
37,Malphite,22687,2.56,50.69,7.94,10.68,171.07,11358,eune,platinum
38,Mordekaiser,22503,1.87,52.36,7.87,15.28,187.19,12215,eune,platinum
39,Graves,22500,2.36,48.5,7.87,5.7,208.59,13699,eune,platinum
40,Darius,22234,1.78,49.76,7.78,19.01,196.29,12501,eune,platinum
41,Nautilus,22052,2.44,48.27,7.71,13.68,38.43,8598,eune,platinum
42,Amumu,21518,2.54,52.81,7.53,8.91,168.91,11620,eune,platinum
43,Veigar,21487,2.25,51.35,7.52,2.74,198.79,12761,eune,platinum
44,Vel'Koz,21387,2.33,52.32,7.48,2.67,96.6,10682,eune,platinum
45,Vladimir,21221,2.24,51.27,7.42,9.73,203.74,12336,eune,platinum
46,Shaco,21108,2.65,49.73,7.38,17.07,150.8,12196,eune,platinum
47,Pyke,20746,2.17,48.96,7.26,11.83,38.48,10175,eune,platinum
48,Morgana,20662,2.67,51.85,7.23,29.76,60.39,9721,eune,platinum
49,Wukong,20617,2.66,52.38,7.21,2.07,180.38,12451,eune,platinum
50,Karma,20552,2.61,50.51,7.19,1.86,55.33,9200,eune,platinum
51,Leona,20187,2.55,49.5,7.06,11.6,32.71,8552,eune,platinum
52,Dr. Mundo,20023,2.06,52.63,7,6.84,196.84,12024,eune,platinum
53,Vi,19604,2.43,50.42,6.86,1.58,175.31,12041,eune,platinum
54,Milio,19515,3.72,52.1,6.83,4.2,27.79,8058,eune,platinum
55,Lissandra,19512,2.26,49.94,6.83,3.94,191.11,11897,eune,platinum
56,Xerath,19511,2.9,51.83,6.83,4.2,124.42,11264,eune,platinum
57,Irelia,19314,1.64,51.09,6.76,7.96,230.59,13672,eune,platinum
58,Lee Sin,18842,2.56,47.32,6.59,1.56,165.95,12212,eune,platinum
59,Hwei,18437,2.38,51.17,6.45,6.59,182.84,11949,eune,platinum
60,Senna,18417,2.79,50.43,6.44,1.92,43.8,9833,eune,platinum
61,Akali,18365,2.29,49.46,6.42,6.67,175.03,12142,eune,platinum
62,Brand,18082,1.99,50.54,6.33,6.14,106.31,10691,eune,platinum
63,Aatrox,17960,1.91,51.06,6.28,9.43,185.07,11910,eune,platinum
64,Master Yi,17603,2.04,50.12,6.16,11.47,186.64,13023,eune,platinum
65,Cho'Gath,17442,2.07,51.71,6.1,1.68,185.2,12094,eune,platinum
66,Zyra,17306,2.24,51.68,6.05,6.83,71.25,9905,eune,platinum
67,Pantheon,16970,2.06,49.82,5.94,1.78,121.01,11462,eune,platinum
68,Galio,16944,2.62,51.03,5.93,3.42,157.92,10902,eune,platinum
69,Jarvan IV,16889,3.29,51.55,5.91,1.69,166.11,12052,eune,platinum
70,Samira,16870,2.11,49.69,5.9,14.57,194.22,13672,eune,platinum
71,Maokai,16712,2.52,52.01,5.85,0.89,114.32,9944,eune,platinum
72,Sion,16711,1.56,49.7,5.85,1.04,206.89,12927,eune,platinum
73,Garen,16389,2,50.97,5.73,3.58,215.32,13101,eune,platinum
74,Sivir,16341,2.44,51.52,5.72,1.01,236.89,13221,eune,platinum
75,Lucian,15942,2.28,48.67,5.58,0.71,206.67,12997,eune,platinum
76,Janna,15539,3.3,52.24,5.44,0.97,27.93,8333,eune,platinum
77,Aurora,15512,2.39,49.92,5.43,10.37,191.58,12024,eune,platinum
78,Varus,15369,2.16,47.52,5.38,0.48,197.06,12715,eune,platinum
79,Sett,15188,1.68,51.2,5.31,1.68,184.82,12417,eune,platinum
80,Yuumi,15073,4.62,49.39,5.27,5.3,15.28,8083,eune,platinum
81,Soraka,14923,2.91,52.54,5.22,2.21,27.9,7907,eune,platinum
82,Jax,14781,1.64,47.87,5.17,5,186.63,12277,eune,platinum
83,Renekton,14775,1.87,49.48,5.17,3.3,205.76,12546,eune,platinum
84,Braum,14671,3,50.66,5.13,2.58,28.25,8353,eune,platinum
85,Twitch,14573,2.31,49.13,5.1,3.23,172.78,13181,eune,platinum
86,Nasus,14397,1.95,50.77,5.04,6.59,192.74,12201,eune,platinum
87,Hecarim,14051,2.66,49.88,4.92,4.06,203.3,12812,eune,platinum
88,Corki,14034,2.37,48.44,4.91,3.89,210.48,13118,eune,platinum
89,Fizz,13985,2.3,50.4,4.89,9.51,176.62,12949,eune,platinum
90,Kayle,13902,1.83,52.21,4.86,2.28,228.17,13058,eune,platinum
91,Vex,13649,2.43,53.01,4.77,7.87,187.74,12255,eune,platinum
92,Seraphine,13561,2.71,49.66,4.74,1.17,73.08,9541,eune,platinum
93,Riven,13484,1.9,49.8,4.72,1.79,193.98,12422,eune,platinum
94,Briar,13459,2.18,53.32,4.71,8.23,176.76,13029,eune,platinum
95,Nunu & Willump,13438,2.57,50,4.7,1.03,160.9,11528,eune,platinum
96,Blitzcrank,12906,2.54,48.82,4.51,10.65,30.37,8406,eune,platinum
97,Ornn,12716,2.48,52.29,4.45,1.34,180.2,11309,eune,platinum
98,Zac,12532,3.12,48.96,4.38,3.11,157.21,11273,eune,platinum
99,Poppy,12326,2.31,50.14,4.31,2.51,87.96,10176,eune,platinum
100,Shen,12231,2.94,51.31,4.28,0.75,134.22,10342,eune,platinum
101,Tristana,12092,2.24,48.5,4.23,0.81,192.63,13444,eune,platinum
102,LeBlanc,12081,2.61,46.97,4.23,7.49,159.13,11800,eune,platinum
103,Rengar,12024,2.09,45.9,4.21,2.71,193.17,12852,eune,platinum
104,Aphelios,11760,1.89,48.32,4.11,1.17,198.76,12776,eune,platinum
105,Yorick,11488,1.67,51.65,4.02,4.7,217.18,12996,eune,platinum
106,Xayah,11370,2.31,50.15,3.98,0.55,214.62,12988,eune,platinum
107,Kog'Maw,11274,2.2,53.17,3.94,2.88,197.65,12913,eune,platinum
108,Jayce,11092,1.88,45.46,3.88,0.31,201.75,12516,eune,platinum
109,Trundle,10744,1.56,51.57,3.76,1.12,203.85,12934,eune,platinum
110,Gwen,10625,1.76,49.21,3.72,3.61,205.89,12852,eune,platinum
111,Lillia,10542,2.64,49.63,3.69,6.08,194.41,12488,eune,platinum
112,Orianna,10504,2.53,49.04,3.67,0.57,195.26,11974,eune,platinum
113,Elise,10499,2.47,49.08,3.67,1.2,160.56,12240,eune,platinum
114,Ryze,10101,2.16,51.16,3.53,0.38,221.68,12690,eune,platinum
115,Talon,9936,2.21,48.7,3.48,0.55,194.19,12966,eune,platinum
116,K'Sante,9927,1.91,46.39,3.47,5,182.59,11346,eune,platinum
117,Xin Zhao,9563,2.33,50.7,3.35,0.49,176.94,12203,eune,platinum
118,Kassadin,9392,2.5,51.14,3.29,3.22,191.16,12434,eune,platinum
119,Gnar,9325,1.9,49.09,3.26,0.8,188.31,12085,eune,platinum
120,Illaoi,9221,1.49,51.22,3.23,9.94,201.84,12399,eune,platinum
121,Rakan,9012,2.96,48.44,3.15,0.25,33.11,8297,eune,platinum
122,Gangplank,8964,2.07,48.38,3.14,0.91,214.24,14219,eune,platinum
123,Fiddlesticks,8949,2.45,50.71,3.13,1,159.7,11974,eune,platinum
124,Skarner,8721,3.01,47.52,3.05,7.73,156.24,11036,eune,platinum
125,Camille,8467,1.87,48.99,2.96,1.53,171.41,12000,eune,platinum
126,Sejuani,8383,3.1,49.04,2.93,0.54,169.21,11429,eune,platinum
127,Ziggs,8170,2.44,50.91,2.86,0.61,199.03,12609,eune,platinum
128,Tryndamere,8130,1.62,49.3,2.84,1.79,226.98,13374,eune,platinum
129,Udyr,8047,2.34,49.43,2.81,2.84,190.11,12128,eune,platinum
130,Rell,7916,2.88,48.99,2.77,1.3,30.47,8677,eune,platinum
131,Alistar,7884,2.54,48.01,2.76,0.74,30.73,8259,eune,platinum
132,Fiora,7797,1.53,48.63,2.73,3.91,199.12,12588,eune,platinum
133,Shyvana,7794,2.45,50.45,2.73,1.07,212,12906,eune,platinum
134,Evelynn,7792,2.76,49.04,2.73,2.69,165.64,12324,eune,platinum
135,Urgot,7712,2.01,51.58,2.7,0.82,197.89,12905,eune,platinum
136,Kindred,7675,2.16,47.93,2.68,1.09,184.7,12917,eune,platinum
137,Nilah,7600,2.19,54.14,2.66,6.26,198.12,13420,eune,platinum
138,Bard,7447,2.99,48.92,2.61,0.29,32.5,8891,eune,platinum
139,Akshan,7411,2.2,49.2,2.59,2.18,183.88,13270,eune,platinum
140,Aurelion Sol,7356,2.58,50.54,2.57,1.21,200.34,12704,eune,platinum
141,Zoe,7007,2.37,48.14,2.45,0.77,138.34,11302,eune,platinum
142,Singed,6931,1.82,50.6,2.42,0.34,204.79,12160,eune,platinum
143,Sona,6841,3.02,52.93,2.39,0.09,29.55,8539,eune,platinum
144,Zilean,6753,3.15,50.19,2.36,0.49,61,9006,eune,platinum
145,Cassiopeia,6731,1.99,52.79,2.35,2.11,199.92,12306,eune,platinum
146,Karthus,6605,2.24,48.9,2.31,0.76,215.78,13720,eune,platinum
147,Neeko,6403,2.22,48.54,2.24,0.51,91.55,10277,eune,platinum
148,Kennen,6221,2.08,50.33,2.18,0.72,182.18,11888,eune,platinum
