Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,138598,2.16,51.22,29.95,37.69,194.33,13123,eune,silver
2,Lux,117528,2.59,51.59,25.4,22.98,98.24,10742,eune,silver
3,Jinx,102972,2.27,51.06,22.25,5.93,195.5,12682,eune,silver
4,Jhin,98530,2.67,51.05,21.29,9.95,185.78,13222,eune,silver
5,Miss Fortune,90346,2.49,52.24,19.52,6.24,187.38,13185,eune,silver
6,Warwick,80796,2.31,54.44,17.46,27.72,167.51,12645,eune,silver
7,Yasuo,74598,1.66,49.26,16.12,20.89,203.01,12577,eune,silver
8,Tahm Kench,68906,2.55,52.41,14.89,22.05,100.9,10642,eune,silver
9,Kayn,66008,2.32,51.85,14.26,10.67,184.54,12799,eune,silver
10,Teemo,57086,1.92,52.21,12.34,25.67,178.85,12430,eune,silver
11,Viktor,56886,2.14,51.31,12.29,11.27,187.52,12273,eune,silver
12,Viego,56502,2.35,51.13,12.21,8.46,181.25,12836,eune,silver
13,Ashe,55799,2.25,48.8,12.06,4.03,172.46,11909,eune,silver
14,Swain,55535,2.35,51.05,12,10.53,107.75,10748,eune,silver
15,Yone,55160,1.7,48.7,11.92,9.82,199.75,12406,eune,silver
16,Veigar,53968,2.31,53.14,11.66,6.42,185.41,12839,eune,silver
17,Diana,53804,2.09,51.08,11.63,5.1,193.44,13183,eune,silver
18,Morgana,50864,2.68,51.9,10.99,35.78,61.54,9964,eune,silver
19,Mordekaiser,50674,1.97,53.18,10.95,21.25,177.74,12329,eune,silver
20,Ezreal,49722,2.46,47.79,10.75,3.23,182.11,12337,eune,silver
21,Ahri,49044,2.53,51.19,10.6,5.89,179.55,11860,eune,silver
22,Volibear,48271,1.99,51.83,10.43,7.03,177.38,12071,eune,silver
23,Katarina,47384,2.18,48.17,10.24,11.67,163.42,12697,eune,silver
24,Ekko,47117,2.43,50.32,10.18,2.09,175.24,12775,eune,silver
25,Thresh,46516,2.66,49.15,10.05,3.09,37.37,8782,eune,silver
26,Amumu,45366,2.55,53.23,9.8,9.66,164.81,11740,eune,silver
27,Vayne,44865,2.05,50.55,9.7,4.95,176.93,12579,eune,silver
28,Darius,43863,1.8,49.01,9.48,19.73,185.52,12453,eune,silver
29,Malphite,43349,2.54,50.42,9.37,7.04,154.21,11403,eune,silver
30,Kai'Sa,43343,2.29,47.88,9.37,2.25,199.84,13181,eune,silver
31,Nocturne,42613,2.66,53.48,9.21,12.72,186.97,12869,eune,silver
32,Zed,42552,2.26,47.81,9.2,25.72,178.96,12875,eune,silver
33,Malzahar,41567,2.22,53.63,8.98,19.33,220.55,13118,eune,silver
34,Shaco,41014,2.56,48.64,8.86,21.46,150.45,12297,eune,silver
35,Brand,40226,2.03,52.11,8.69,11.56,92.66,10794,eune,silver
36,Lulu,39811,3.14,51.06,8.6,8.51,30.29,8458,eune,silver
37,Leona,39487,2.56,49.55,8.53,15.13,34.13,8738,eune,silver
38,Akali,38981,2.27,49.22,8.42,8.67,162.82,12141,eune,silver
39,Sylas,38920,2.06,48.55,8.41,8.6,141.29,11429,eune,silver
40,Dr. Mundo,38304,2.18,54.27,8.28,9.36,186.94,12040,eune,silver
41,Nautilus,37465,2.42,48.01,8.1,11.62,39.14,8782,eune,silver
42,Nasus,35699,2.06,51.37,7.71,7.69,188.35,12377,eune,silver
43,Master Yi,35669,1.97,50.21,7.71,16.39,182.47,13038,eune,silver
44,Cho'Gath,34747,2.14,51.59,7.51,2.51,173.51,12123,eune,silver
45,Zyra,33863,2.3,52.42,7.32,8.96,70.68,10076,eune,silver
46,Kha'Zix,33320,2.35,49.37,7.2,5.82,178.83,13056,eune,silver
47,Ambessa,33187,1.9,47.99,7.17,32.99,175.51,12047,eune,silver
48,Smolder,33152,2.17,48.8,7.16,2.81,209.76,12808,eune,silver
49,Garen,32911,2.1,50.97,7.11,3.79,202.6,13030,eune,silver
50,Samira,32775,2.06,49.07,7.08,21.55,183.5,13483,eune,silver
51,Draven,32402,1.94,48.74,7,28.19,186.93,13935,eune,silver
52,Nami,32186,3.35,52.6,6.96,0.85,26.57,8469,eune,silver
53,Xerath,32129,2.77,51.5,6.94,5.21,108.51,11192,eune,silver
