Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
1,Caitlyn,"1,383,635",2.14:1,50.17%,26.65%,40.11%,198.34,"12,798"
2,Jinx,"1,187,378",2.25:1,49.96%,22.87%,6.76%,198.03,"12,317"
3,Lux,"1,124,781",2.59:1,50.77%,21.66%,18.17%,102.42,"10,478"
4,Jhin,"960,386",2.72:1,50.5%,18.5%,8.19%,191.23,"12,941"
5,Miss Fortune,"851,336",2.46:1,51.78%,16.4%,5.99%,187.3,"12,796"
6,Ashe,"824,501",2.29:1,49.03%,15.88%,10.03%,176.36,"11,646"
7,Warwick,"810,098",2.19:1,52.97%,15.6%,30.13%,169.3,"12,320"
8,Viego,"725,956",2.42:1,50.29%,13.98%,12.96%,180.93,"12,409"
9,Viktor,"707,322",2.14:1,50.47%,13.62%,15.51%,198.15,"12,096"
10,Tahm Kench,"696,463",2.45:1,51.77%,13.41%,22.4%,91,"10,128"
11,Yone,"652,682",1.7:1,48.55%,12.57%,13.44%,202.83,"12,106"
12,Ahri,"642,886",2.54:1,50.35%,12.38%,7.37%,186.83,"11,636"
13,Yasuo,"618,550",1.65:1,49.43%,11.91%,17.05%,206.16,"12,329"
14,Ezreal,"607,928",2.46:1,47.86%,11.71%,4.18%,189.3,"12,092"
15,Teemo,"598,617",1.96:1,51.54%,11.53%,22.37%,174.74,"12,041"
16,Kayn,"554,893",2.27:1,50.47%,10.69%,7.28%,184.52,"12,454"
17,Swain,"538,302",2.35:1,50.29%,10.37%,9.67%,118.68,"10,581"
18,Thresh,"531,015",2.7:1,49.31%,10.23%,3.69%,34.25,"8,426"
19,Diana,"529,854",2.08:1,50.42%,10.21%,4.35%,195.27,"12,791"
20,Volibear,"527,483",1.96:1,51.05%,10.16%,6.61%,179.72,"11,817"
21,Ekko,"519,464",2.39:1,49.74%,10%,2.01%,180.43,"12,484"
22,Kai'Sa,"505,130",2.33:1,48.04%,9.73%,2.5%,202.54,"12,844"
23,Morgana,"497,668",2.65:1,50.96%,9.59%,22.44%,65.91,"9,726"
24,Mordekaiser,"497,590",1.93:1,51.52%,9.58%,15.29%,177.47,"11,976"
25,Sylas,"492,017",2.05:1,48.22%,9.48%,10.29%,146.65,"11,091"
26,Veigar,"489,025",2.32:1,51.83%,9.42%,4.93%,186.63,"12,467"
27,Garen,"488,044",2.08:1,50.65%,9.4%,7.57%,208.41,"12,820"
28,Nocturne,"482,826",2.65:1,52.16%,9.3%,17.17%,187.92,"12,513"
29,Smolder,"459,733",2.13:1,47.55%,8.85%,3.2%,211.74,"12,425"
30,Darius,"459,482",1.79:1,48.84%,8.85%,17.35%,188.7,"12,197"
31,Akali,"457,966",2.29:1,49.24%,8.82%,11.58%,169.07,"11,872"
32,Nami,"454,268",3.36:1,51.72%,8.75%,1.1%,25.71,"8,200"
33,Dr. Mundo,"435,791",2.14:1,52.74%,8.39%,8.17%,188.63,"11,758"
34,Nautilus,"422,309",2.4:1,48.14%,8.13%,10.29%,37.33,"8,487"
35,Vayne,"415,330",2.06:1,50.4%,8%,4.49%,181.42,"12,321"
36,Shaco,"412,894",2.62:1,49.46%,7.95%,22.97%,148.82,"11,953"
37,Ambessa,"406,254",1.9:1,48.37%,7.82%,39.08%,180.89,"11,818"
38,Malzahar,"404,772",2.2:1,51.81%,7.8%,13.95%,223.91,"12,818"
39,Brand,"401,441",2.04:1,51.17%,7.73%,8.18%,103.82,"10,614"
40,Malphite,"399,552",2.51:1,50.12%,7.7%,6.83%,159.28,"11,123"
41,Lulu,"398,612",3.29:1,50.35%,7.68%,8.04%,29.21,"8,143"
42,Vi,"396,362",2.4:1,49.74%,7.63%,1.86%,170.73,"11,802"
43,Amumu,"393,108",2.47:1,51.92%,7.57%,6.86%,162.52,"11,411"
44,Pyke,"388,127",2.13:1,48.61%,7.48%,19.74%,37.46,"9,932"
45,Xerath,"383,804",2.85:1,50.75%,7.39%,5.52%,123.33,"11,059"
46,Galio,"373,117",2.68:1,51.2%,7.19%,5.17%,151.44,"10,630"
47,Vel'Koz,"371,234",2.37:1,52.16%,7.15%,2.72%,107.07,"10,716"
48,Leona,"365,956",2.53:1,49.7%,7.05%,7.82%,32.66,"8,460"
49,Katarina,"363,819",2.22:1,48.36%,7.01%,8.75%,171.27,"12,431"
50,Senna,"361,114",2.81:1,49.69%,6.96%,2.4%,45.98,"9,716"
51,Hwei,"358,560",2.37:1,49.89%,6.91%,5.84%,181.82,"11,643"
52,Graves,"348,242",2.37:1,48.99%,6.71%,5.83%,205.57,"13,425"
53,Seraphine,"345,247",2.74:1,49.79%,6.65%,2.61%,70.15,"9,380"
54,Master Yi,"343,754",1.96:1,49.3%,6.62%,11.12%,181.8,"12,705"
55,Sett,"339,857",1.69:1,51.26%,6.55%,2.16%,177.27,"12,162"
56,Maokai,"339,235",2.51:1,51.24%,6.53%,1.3%,109.47,"9,785"
57,Wukong,"338,863",2.63:1,51.3%,6.53%,2.14%,176.33,"12,101"
58,Zyra,"338,618",2.31:1,51.72%,6.52%,7.98%,75.55,"9,882"
59,Irelia,"335,847",1.64:1,50.18%,6.47%,7.22%,223.23,"13,302"
60,Jax,"334,188",1.75:1,47.97%,6.44%,4.98%,177.98,"11,971"
61,Zed,"332,102",2.27:1,48.74%,6.4%,15.99%,187.42,"12,701"
62,Lee Sin,"327,300",2.51:1,46.94%,6.3%,1.76%,162.74,"11,930"
63,Syndra,"326,561",2.36:1,50.31%,6.29%,5.97%,201.86,"12,645"
64,Nasus,"320,622",2.03:1,50.31%,6.18%,5.01%,185.14,"12,040"
65,Pantheon,"318,671",2.08:1,49.14%,6.14%,1.48%,113.89,"11,230"
66,Yorick,"312,009",1.78:1,52.85%,6.01%,9.81%,211.86,"12,859"
67,Gragas,"311,414",2.21:1,47.95%,6%,1.93%,172.55,"11,349"
68,Karma,"298,175",2.63:1,49.84%,5.74%,1.46%,53.45,"8,939"
69,Cho'Gath,"293,148",2.12:1,51.19%,5.65%,1.56%,176.73,"11,825"
70,Draven,"288,407",1.97:1,49.57%,5.55%,22.63%,192.88,"13,714"
71,Sivir,"285,916",2.42:1,51.13%,5.51%,1.16%,228.84,"12,824"
72,Kha'Zix,"283,621",2.44:1,49.37%,5.46%,4.34%,181.15,"12,684"
73,Tristana,"282,182",2.17:1,47.82%,5.43%,1.67%,181.66,"12,912"
