Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,306400,2.16,50.45,28.81,39.29,193.08,12823,euw,bronze
2,Lux,287210,2.62,51.3,27.01,28.26,98.65,10559,euw,bronze
3,Jinx,251901,2.25,50.17,23.69,7.98,192.91,12393,euw,bronze
4,Miss Fortune,242023,2.51,52.28,22.76,9.62,187.69,12950,euw,bronze
5,Jhin,195882,2.69,50.85,18.42,10.76,184.73,12987,euw,bronze
6,Warwick,195409,2.22,53.47,18.38,33.89,169.64,12501,euw,bronze
7,Ashe,171067,2.28,49.12,16.09,9.28,170.54,11712,euw,bronze
8,Teemo,160426,1.98,52.37,15.09,29.75,174.09,12206,euw,bronze
9,Tahm Kench,159673,2.48,51.62,15.02,23.66,91.08,10350,euw,bronze
10,Yone,144517,1.74,49.08,13.59,13.27,199.68,12262,euw,bronze
11,Viego,143233,2.35,50.5,13.47,11.11,181.61,12595,euw,bronze
12,Morgana,134559,2.67,51.67,12.65,28.4,66.51,9896,euw,bronze
13,Yasuo,134493,1.66,49.74,12.65,18.27,202.09,12455,euw,bronze
14,Veigar,130682,2.35,52.53,12.29,7.6,184.86,12654,euw,bronze
15,Ahri,130074,2.48,50.16,12.23,7.2,181.67,11680,euw,bronze
16,Mordekaiser,125557,2,52.35,11.81,20.19,177.05,12222,euw,bronze
17,Viktor,124336,2.12,50.01,11.69,10.81,188.25,12078,euw,bronze
18,Swain,123576,2.36,50.81,11.62,11.52,107.07,10561,euw,bronze
19,Kayn,121724,2.23,50.62,11.45,7.88,183.88,12577,euw,bronze
20,Volibear,115125,2.04,51.17,10.83,6.32,176.77,11932,euw,bronze
21,Diana,113577,2.08,50.64,10.68,5.05,194.1,12963,euw,bronze
22,Garen,110988,2.15,51.34,10.44,7.64,205.24,12970,euw,bronze
23,Ezreal,110449,2.43,47.41,10.39,4,180.41,12041,euw,bronze
24,Nocturne,110032,2.61,52.7,10.35,17.24,188.75,12745,euw,bronze
25,Ekko,106364,2.34,49.38,10,2.17,176.27,12548,euw,bronze
26,Dr. Mundo,105242,2.19,53.61,9.9,10.41,185.15,11844,euw,bronze
27,Akali,103552,2.29,49.27,9.74,12.24,164.54,11979,euw,bronze
