Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Corki,1075,2.79,51.26,35.87,29.46,221.8,12293,euw,challenger
2,Viego,991,2.99,51.66,33.07,24.39,179.9,11611,euw,challenger
3,Ashe,829,2.8,52.71,27.66,21.83,205.63,11576,euw,challenger
4,Viktor,741,2.54,53.71,26.79,24.22,213.68,11798,euw,challenger
5,Sylas,673,2.44,50.37,22.46,12.55,170.59,10789,euw,challenger
6,Yone,672,1.99,45.98,22.42,5.78,218.85,11430,euw,challenger
7,Ezreal,653,2.66,48.09,21.79,5.73,207.19,11515,euw,challenger
8,Aurora,642,2.93,51.71,21.42,37.22,200.23,11404,euw,challenger
9,Caitlyn,639,2.32,46.32,21.32,17.32,211.79,12178,euw,challenger
10,Ambessa,598,2.05,47.99,19.95,56.25,188.19,11106,euw,challenger
11,Lulu,574,3.28,52.96,19.15,5.34,23.5,7593,euw,challenger
12,Nautilus,553,2.45,50.09,18.45,8.03,27.21,7501,euw,challenger
13,Akali,510,2.58,49.41,17.02,12.49,198.06,11838,euw,challenger
14,Wukong,485,2.92,51.55,16.21,6.13,176.21,11466,euw,challenger
15,Bard,480,3.68,55,16.02,5.23,26.66,8096,euw,challenger
16,K'Sante,438,2.38,52.28,14.61,12.45,187.23,10785,euw,challenger
17,Rell,432,3.04,50,14.42,3.25,22.41,7641,euw,challenger
18,Yasuo,427,1.99,48.95,14.25,7.45,212.07,11467,euw,challenger
19,Lee Sin,407,3.17,51.6,13.6,0.88,164.31,11220,euw,challenger
20,Skarner,393,3.68,52.42,13.11,67.27,154.01,10365,euw,challenger
21,Pyke,379,2.31,44.59,12.65,48.62,29.28,8869,euw,challenger
22,Taliyah,378,2.93,54.5,12.62,2.94,201.16,11880,euw,challenger
23,Vi,368,3.15,53.53,12.3,4.12,162.48,10840,euw,challenger
24,Poppy,345,2.76,59.13,11.51,12.27,92.38,9104,euw,challenger
25,Gragas,344,2.13,49.42,11.51,1.5,186.79,10671,euw,challenger
26,Ahri,336,3.42,51.79,11.22,4.71,212.82,11866,euw,challenger
27,Nami,323,3.48,45.82,10.8,0.29,21.98,7607,euw,challenger
28,Jinx,318,2.72,55.03,10.64,0.69,216.16,12254,euw,challenger
29,Rakan,317,3.54,53,10.58,1.13,26.22,7446,euw,challenger
30,Jhin,316,2.88,43.99,10.54,0.37,201.47,11649,euw,challenger
31,Renekton,310,2.09,49.03,10.34,15.2,206.49,11470,euw,challenger
32,Zac,302,3.3,54.3,10.08,5.65,118.34,9761,euw,challenger
33,Lux,300,2.88,43,10.02,1.41,56.13,8446,euw,challenger
34,Jax,282,2.3,54.96,9.41,10.74,189.2,11377,euw,challenger
35,Udyr,276,2.72,50.72,9.21,20.03,190,11410,euw,challenger
36,Irelia,274,1.62,51.09,9.14,5.27,231.02,12826,euw,challenger
37,Draven,272,2.25,53.31,9.08,57.07,210.18,14185,euw,challenger
38,Varus,265,2.51,46.04,8.86,0.46,204.73,11795,euw,challenger
39,Graves,265,2.9,52.08,8.85,15.4,199.99,12594,euw,challenger
40,Syndra,263,2.46,48.29,8.78,7.52,220.52,12133,euw,challenger
41,Gnar,262,1.83,49.62,8.76,2.84,198.26,11054,euw,challenger
42,Jayce,256,2.19,55.08,8.55,1.34,213.66,12048,euw,challenger
43,Leona,240,2.48,51.25,8.02,2.24,24.23,7423,euw,challenger
44,Kog'Maw,237,2.15,47.68,7.93,0.82,205.96,12104,euw,challenger
45,Elise,236,3.05,53.81,7.87,20.15,161.31,11319,euw,challenger
46,Garen,234,2.27,48.72,7.81,1.29,203.36,11734,euw,challenger
47,Ziggs,232,2.75,47.41,7.75,0.38,218.25,11711,euw,challenger
48,Thresh,228,2.78,45.18,7.63,0.53,23.39,7251,euw,challenger
49,Orianna,225,3.1,53.78,7.53,0.97,214.1,11663,euw,challenger
50,Hwei,219,3.15,56.16,7.31,2.96,209.94,11797,euw,challenger
51,Karma,211,2.78,48.82,7.06,0.69,63.62,8045,euw,challenger
52,Talon,200,2.87,52.5,6.69,2.83,208.56,12578,euw,challenger
53,Xin Zhao,197,2.96,51.78,6.59,0.53,168.36,11205,euw,challenger
54,Maokai,189,2.45,47.62,6.32,0.16,84.59,8302,euw,challenger
55,Jarvan IV,189,3.81,54.5,6.32,1.63,162.06,10746,euw,challenger
56,Volibear,182,2.08,47.25,6.09,0.47,187.39,11182,euw,challenger
57,Nidalee,169,3.54,51.48,5.65,3.82,166.12,11114,euw,challenger
58,Karthus,168,2.25,44.64,5.61,5.07,193.37,11976,euw,challenger
59,Ivern,168,5.54,54.76,5.62,2.67,132.88,9794,euw,challenger
60,Kindred,161,2.54,47.2,5.39,2.65,176.24,11666,euw,challenger
61,Galio,161,2.89,50.31,5.38,2.49,173.19,10346,euw,challenger
62,Seraphine,158,2.98,52.53,5.57,0.25,110.42,9007,euw,challenger
63,Riven,157,2.47,56.69,5.24,8.06,212.71,11935,euw,challenger
64,Braum,153,3.22,50.33,5.11,8.6,22.33,7359,euw,challenger
65,Rengar,151,2.66,53.64,5.04,33.82,193.72,12350,euw,challenger
66,Camille,149,2.15,48.32,4.97,1.79,172.23,11096,euw,challenger
67,Smolder,146,2.59,52.74,4.97,0.45,229.77,12319,euw,challenger
68,Senna,143,3.25,46.15,4.78,0.79,30.08,8650,euw,challenger
69,Darius,141,2.66,51.06,4.7,10.66,205.01,11404,euw,challenger
70,Swain,136,2.93,55.88,4.55,0.37,187.24,10794,euw,challenger
71,Veigar,133,2.17,51.13,5.03,0.31,177.95,11378,euw,challenger
72,LeBlanc,133,3.26,51.88,4.44,46.15,190.08,11610,euw,challenger
