Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Jinx,34052,2.28,49.04,20.03,3.39,206.78,11948,euw,diamond
2,Caitlyn,33110,2.12,48.47,19.48,34.4,206.41,12388,euw,diamond
3,Viego,30270,2.63,49.14,17.81,19.23,178.85,11930,euw,diamond
4,Viktor,28504,2.13,50.07,16.77,23.73,204.51,11653,euw,diamond
5,Jhin,28026,2.82,49.92,16.49,1.99,199.3,12464,euw,diamond
6,Ashe,27047,2.37,49.62,15.91,13.12,188.84,11319,euw,diamond
7,Ezreal,25880,2.47,48.59,15.23,4.63,199.21,11793,euw,diamond
8,Nami,24089,3.41,50.52,14.17,1.01,23.41,7812,euw,diamond
9,Lulu,23986,3.38,50.79,14.11,15.65,25.83,7764,euw,diamond
10,Sylas,22408,2.13,49.67,13.18,15.17,153.73,10788,euw,diamond
11,Ahri,21479,2.77,50.67,12.64,5.9,197.46,11438,euw,diamond
12,Corki,20431,2.5,51.15,12.02,16.31,210.95,12450,euw,diamond
13,Yone,19836,1.68,47.81,11.67,11.14,211.68,11739,euw,diamond
14,Janna,19598,3.51,52.13,11.53,6,24.9,7819,euw,diamond
15,Smolder,19233,2.08,46.65,11.32,3.31,215.27,11999,euw,diamond
16,Ambessa,18389,1.91,49.57,10.82,55.09,184.51,11381,euw,diamond
17,Graves,18304,2.53,49.16,10.77,18.1,204,12991,euw,diamond
18,Hwei,18118,2.45,49.92,10.66,11.05,193.06,11371,euw,diamond
19,Thresh,18035,2.78,49.39,10.61,3.18,27.83,7808,euw,diamond
20,Yasuo,17232,1.72,49.85,10.14,15.92,210.66,11881,euw,diamond
21,Wukong,17213,2.72,50.62,10.13,5.89,174.22,11608,euw,diamond
22,Kai'Sa,16891,2.44,48.17,9.94,1.35,205.82,12392,euw,diamond
23,Syndra,16750,2.33,50.66,9.85,10.26,206.2,12078,euw,diamond
24,Karma,16398,2.77,49.85,9.65,1.94,45.57,8336,euw,diamond
25,Ekko,16361,2.62,51.13,9.63,1.16,188.57,12217,euw,diamond
26,Gragas,16225,2.24,50.03,9.55,5.09,177.94,11010,euw,diamond
27,Nautilus,16185,2.4,48.76,9.52,10.25,30.26,7848,euw,diamond
28,Lux,15959,2.68,49.26,9.39,0.95,123.87,10290,euw,diamond
29,Tahm Kench,15486,2.31,50.01,9.11,8.22,90.6,9279,euw,diamond
