Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,97168,2.16,49.95,22.67,40.67,209.96,12840,euw,emerald
2,Jinx,90962,2.29,50.25,21.22,4.5,210.23,12329,euw,emerald
3,Jhin,76022,2.78,49.81,17.74,3.55,201.33,12850,euw,emerald
4,Viktor,71997,2.14,50.35,16.8,23.18,207.6,12032,euw,emerald
5,Ashe,64733,2.36,49.48,15.1,11.58,190.82,11678,euw,emerald
6,Viego,64646,2.57,49.95,15.08,16.13,181.45,12225,euw,emerald
7,Ezreal,58578,2.5,48.48,13.67,4.36,201.15,12145,euw,emerald
8,Nami,57320,3.41,51.9,13.37,1.42,24.54,8045,euw,emerald
9,Ahri,55272,2.71,51.56,12.9,7.11,199.21,11738,euw,emerald
10,Lulu,51726,3.41,51.71,12.07,17.1,27.21,7977,euw,emerald
11,Thresh,50966,2.8,49.98,11.89,4.6,29.88,8097,euw,emerald
12,Sylas,50397,2.12,49.71,11.76,13.88,154.43,11066,euw,emerald
13,Lux,50284,2.63,49.57,11.73,2.68,123.21,10578,euw,emerald
14,Smolder,49519,2.11,47.55,11.55,3.64,219.03,12367,euw,emerald
15,Yone,48305,1.67,48.22,11.27,12.98,214.34,12062,euw,emerald
16,Tahm Kench,46881,2.38,51.72,10.94,16.99,88.15,9640,euw,emerald
17,Yasuo,45601,1.65,49.33,10.64,15.09,215.57,12202,euw,emerald
18,Kai'Sa,44335,2.42,48.21,10.34,1.99,209.84,12754,euw,emerald
19,Warwick,43063,2.16,51.74,10.05,21.9,173.19,12066,euw,emerald
20,Graves,42351,2.43,49.01,9.88,13.61,207.06,13311,euw,emerald
21,Ambessa,42322,1.89,49.18,9.87,54.49,187.07,11732,euw,emerald
22,Ekko,41917,2.54,50.46,9.78,1.79,190.04,12534,euw,emerald
23,Hwei,40343,2.4,49.97,9.41,10.43,194.13,11693,euw,emerald
24,Volibear,38721,1.84,50.63,9.03,6.14,187.49,11693,euw,emerald
25,Janna,38657,3.43,51.51,9.02,3.43,25.97,8021,euw,emerald
26,Kayn,38392,2.36,50.41,8.96,5.39,188.27,12333,euw,emerald
27,Syndra,38248,2.33,50.47,8.92,8.94,208.73,12475,euw,emerald
28,Wukong,38185,2.69,51.18,8.91,4.52,177.93,11938,euw,emerald
29,Corki,37767,2.47,50.31,8.81,10.54,213.43,12759,euw,emerald
30,Karma,37649,2.74,50.59,8.78,2.15,48.34,8692,euw,emerald
