Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,236689,2.15,50.58,26.85,42.42,207.88,13085,euw,gold
2,Jinx,203602,2.29,50.58,23.1,6.08,208.3,12604,euw,gold
3,Jhin,177352,2.76,50.97,20.12,7.07,199.04,13184,euw,gold
4,Lux,168881,2.61,50.93,19.16,11.12,110.14,10669,euw,gold
5,Viktor,141120,2.17,50.84,16.01,18.73,204.57,12300,euw,gold
6,Ashe,132342,2.31,49.4,15.01,9.32,185.15,11879,euw,gold
7,Warwick,127328,2.25,53.55,14.44,28.62,175.06,12486,euw,gold
8,Tahm Kench,122669,2.47,52.27,13.91,25.97,93.87,10173,euw,gold
9,Viego,120637,2.49,50.79,13.68,13.62,185.2,12589,euw,gold
10,Ezreal,108379,2.49,48.12,12.29,4.33,197.09,12366,euw,gold
11,Miss Fortune,107480,2.48,51.99,12.19,2.63,201.73,13172,euw,gold
12,Ahri,104875,2.62,50.95,11.9,7.36,196.45,11946,euw,gold
13,Thresh,103339,2.75,50.05,11.72,4.56,33.65,8443,euw,gold
14,Yasuo,101753,1.62,49.28,11.54,15.99,215.47,12515,euw,gold
15,Yone,100260,1.68,48.82,11.37,13.95,213.37,12357,euw,gold
16,Kayn,95258,2.32,51.04,10.81,8.05,189.07,12590,euw,gold
17,Volibear,92947,1.94,51.65,10.54,7.83,187.57,12062,euw,gold
18,Swain,91080,2.32,49.98,10.33,9.26,127.02,10712,euw,gold
19,Kai'Sa,90775,2.37,48.68,10.3,2.6,209.4,13070,euw,gold
20,Teemo,90368,1.95,51.51,10.25,19.03,181.95,12156,euw,gold
21,Diana,89790,2.11,51.1,10.19,4.37,202.29,12997,euw,gold
22,Ekko,89775,2.45,50.36,10.18,1.97,186.98,12687,euw,gold
23,Nami,86356,3.38,52.41,9.8,1.38,26.24,8277,euw,gold
24,Smolder,85971,2.14,48,9.75,3.84,218.78,12675,euw,gold
25,Nocturne,83527,2.76,52.74,9.47,20.57,192.05,12597,euw,gold
26,Sylas,82907,2.07,48.65,9.4,10.52,152.61,11289,euw,gold
27,Lulu,81995,3.36,51.01,9.3,10.82,29.56,8229,euw,gold
28,Garen,79159,2.07,51.36,8.98,8.87,220.03,13155,euw,gold
29,Vayne,78634,2.11,51.42,8.92,4.94,189.91,12548,euw,gold
30,Darius,76147,1.8,49.87,8.64,18.88,198.65,12501,euw,gold
31,Ambessa,75162,1.93,49.12,8.53,46.04,186.71,12072,euw,gold
32,Malzahar,72787,2.18,51.52,8.26,12.79,229.15,12831,euw,gold
33,Shaco,72697,2.69,50,8.25,22.84,149.73,12078,euw,gold
34,Veigar,71237,2.32,51.78,8.08,2.78,198.75,12682,euw,gold
35,Mordekaiser,70880,1.92,52,8.04,13.8,188.79,12200,euw,gold
36,Dr. Mundo,70702,2.1,52.7,8.02,7.8,198.54,11994,euw,gold
37,Akali,68813,2.31,49.95,7.81,10.89,178.81,12137,euw,gold
38,Graves,68282,2.38,49.4,7.75,5.92,208.64,13569,euw,gold
39,Vi,67725,2.45,50.24,7.68,2.11,174.84,11945,euw,gold
40,Morgana,67514,2.69,51.58,7.66,21.81,68.56,9766,euw,gold
41,Vel'Koz,67021,2.37,52.45,7.6,2.69,111.09,10825,euw,gold
42,Nautilus,66990,2.42,48.26,7.6,11.39,38.19,8538,euw,gold
43,Hwei,66405,2.37,49.95,7.53,6.81,186.97,11860,euw,gold
44,Xerath,66169,2.91,51.23,7.51,5.04,127.23,11228,euw,gold
45,Malphite,65900,2.56,50.83,7.48,7.82,170.42,11320,euw,gold
46,Katarina,65380,2.24,48.39,7.42,9.38,177.04,12616,euw,gold
47,Maokai,64792,2.51,51.7,7.35,1.62,116.93,9943,euw,gold
48,Pyke,64365,2.14,49.12,7.3,16.73,38.08,10046,euw,gold
49,Syndra,64342,2.37,50.71,7.3,6.94,206.76,12853,euw,gold
50,Brand,61877,2.02,50.97,7.02,6.63,108.55,10659,euw,gold
51,Zed,61851,2.32,49.76,7.02,18.06,194.24,12957,euw,gold
52,Galio,61835,2.69,51.03,7.01,4.98,156.57,10739,euw,gold
53,Wukong,61079,2.66,51.83,6.93,1.92,181.05,12326,euw,gold
54,Gragas,60916,2.25,48.45,6.91,2.2,177.11,11556,euw,gold
55,Senna,60896,2.87,51.05,6.91,2.53,44.25,9772,euw,gold
56,Amumu,60785,2.48,51.54,6.9,6.49,165.78,11464,euw,gold
57,Lee Sin,60407,2.55,47.33,6.85,2.04,165.98,12077,euw,gold
58,Leona,57775,2.56,49.92,6.55,7.84,32.95,8498,euw,gold
59,Zyra,57230,2.3,52.07,6.49,8.38,71.97,9826,euw,gold
60,Irelia,56558,1.64,50.88,6.42,7.75,232.76,13607,euw,gold
61,Karma,55510,2.64,50.33,6.3,1.89,53.25,9020,euw,gold
62,Sivir,54488,2.46,51.72,6.18,1.23,236.67,13083,euw,gold
63,Draven,54326,1.95,49.98,6.16,23.21,198.51,13915,euw,gold
64,Milio,53935,3.79,51.36,6.12,3.16,28.61,7997,euw,gold
65,Sion,53295,1.6,50.09,6.05,1.1,204.68,12792,euw,gold
66,Kha'Zix,52201,2.51,50.33,5.92,4.64,185.52,12920,euw,gold
67,Sett,51797,1.69,51.18,5.88,1.6,187.4,12426,euw,gold
68,Pantheon,51394,2.09,49.44,5.83,1.37,120.18,11446,euw,gold
69,Jax,49431,1.71,47.59,5.61,4.77,187.39,12135,euw,gold
70,Corki,49208,2.38,48.81,5.58,4.12,211.86,12930,euw,gold
71,Master Yi,48976,2.04,49.83,5.56,9.5,189.14,12971,euw,gold
72,Cho'Gath,48474,2.11,52.12,5.5,1.33,187.1,12046,euw,gold
73,Yorick,47519,1.71,51.68,5.39,8.39,220.85,12990,euw,gold
74,Nasus,46689,2.01,50.64,5.3,5.29,193.02,12170,euw,gold
75,Fizz,46393,2.36,50.6,5.26,10.62,180.78,12910,euw,gold
76,Aurora,46060,2.39,49.5,5.22,10.18,191.58,11924,euw,gold
77,Aatrox,45938,1.91,50.08,5.21,7.4,185.68,11818,euw,gold
78,Seraphine,45616,2.78,50.19,5.17,1.77,76.75,9536,euw,gold
79,Poppy,44844,2.34,50.59,5.09,4.12,87.78,10071,euw,gold
80,Renekton,44518,1.87,49.54,5.05,3.31,207.84,12499,euw,gold
81,Samira,43465,2.09,49.16,4.93,9.16,194.18,13475,euw,gold
82,Shen,43017,2.92,51.05,4.88,0.69,127.7,10271,euw,gold
83,Jarvan IV,42937,3.23,50.98,4.87,1.32,166.17,11920,euw,gold
84,Braum,42295,2.98,50.57,4.8,2.55,28.09,8288,euw,gold
85,Vladimir,41486,2.17,50.15,4.71,3.5,204.52,12209,euw,gold
86,LeBlanc,41409,2.68,48.62,4.7,11.02,157.89,11716,euw,gold
87,Blitzcrank,41135,2.55,49.26,4.67,12.73,30.2,8344,euw,gold
88,Briar,41130,2.18,52.83,4.67,7.06,178.21,12937,euw,gold
89,Soraka,40968,2.93,51.85,4.65,1.89,28.15,7902,euw,gold
90,Janna,40944,3.33,51.9,4.64,0.9,28.4,8265,euw,gold
91,Varus,40710,2.21,48.34,4.62,0.47,197.81,12679,euw,gold
92,Lucian,40680,2.26,48.38,4.61,0.71,206.69,12847,euw,gold
93,Riven,40610,1.95,50.44,4.61,1.66,196.57,12402,euw,gold
94,Nunu & Willump,40058,2.6,50.58,4.54,0.9,160.33,11413,euw,gold
95,Trundle,39965,1.66,51.74,4.53,1.56,205.63,12914,euw,gold
96,Vex,39791,2.42,51.84,4.51,7.81,191.21,12187,euw,gold
97,Lillia,39018,2.73,50.64,4.43,6.43,194.45,12428,euw,gold
98,Zac,38014,3.12,50.05,4.31,2.92,155.62,11177,euw,gold
99,Tristana,37642,2.24,48.85,4.27,0.81,194.85,13341,euw,gold
100,Gwen,36319,1.77,49.64,4.12,3.32,205.77,12790,euw,gold
101,Orianna,36180,2.6,48.85,4.1,0.66,198.16,11896,euw,gold
102,Twitch,35798,2.28,48.54,4.06,2.78,171.66,12982,euw,gold
103,Jayce,35654,1.85,45.8,4.04,0.33,204.34,12496,euw,gold
104,Elise,35293,2.48,49.47,4,1.33,158.66,12128,euw,gold
105,Xayah,34932,2.33,50.31,3.96,0.61,216.95,12853,euw,gold
106,Bard,34328,3.11,50.11,3.89,0.5,32.75,8796,euw,gold
107,Talon,34037,2.31,50.1,3.86,0.71,198.53,13007,euw,gold
108,Yuumi,33997,4.63,47.82,3.86,3.51,15.74,7951,euw,gold
109,Aphelios,33647,1.93,49.57,3.82,1.09,199.91,12717,euw,gold
110,Ornn,33394,2.49,51.61,3.79,0.83,182.66,11302,euw,gold
111,Fiddlesticks,32989,2.5,51.3,3.74,1.64,163.32,11918,euw,gold
112,Ziggs,32566,2.45,50.46,3.69,1.12,205.06,12565,euw,gold
113,Kayle,32358,1.89,52.31,3.67,1.21,227.87,13021,euw,gold
114,Tryndamere,32284,1.63,49.16,3.66,2.8,230.09,13355,euw,gold
115,Illaoi,31443,1.48,51.08,3.57,12.32,204.56,12392,euw,gold
116,Rakan,30194,2.94,48.92,3.43,0.39,31.57,8145,euw,gold
117,Gnar,30067,1.95,50.18,3.41,0.96,191.45,12112,euw,gold
118,Ryze,29645,2.18,50.77,3.36,0.36,222.73,12628,euw,gold
119,Rengar,29438,2.07,46.11,3.34,2.96,190.55,12643,euw,gold
120,Sejuani,28804,3,48.78,3.27,0.47,169.14,11329,euw,gold
121,Xin Zhao,28792,2.32,51.25,3.27,0.54,177.12,12121,euw,gold
122,Hecarim,28403,2.66,50.34,3.22,1.63,201.52,12655,euw,gold
123,K'Sante,28202,1.96,46.82,3.2,3.65,185.78,11356,euw,gold
124,Cassiopeia,28019,2.02,52.24,3.18,2.89,201.72,12223,euw,gold
125,Camille,27905,1.92,49.96,3.17,2.11,171.77,11950,euw,gold
126,Udyr,27838,2.38,51.05,3.16,2.83,191.89,12043,euw,gold
127,Urgot,27712,2.04,52.04,3.14,1.01,201.56,12913,euw,gold
128,Zilean,27551,3.24,51.01,3.13,0.89,62.79,9003,euw,gold
129,Fiora,27191,1.53,49.53,3.08,4.79,201.17,12533,euw,gold
130,Lissandra,26996,2.3,49.46,3.06,1.46,191.57,11751,euw,gold
131,Gangplank,26984,2.09,48.42,3.06,0.61,216.62,14236,euw,gold
132,Shyvana,26903,2.49,51.9,3.05,1.24,215.63,12864,euw,gold
