Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Corki,2401,2.59,53.6,32.39,30.16,213.27,12097,euw,grandmaster
2,Viego,1900,2.92,49.21,25.63,21.51,173.31,11308,euw,grandmaster
3,Ashe,1638,2.62,50.85,22.09,20.84,194.92,11170,euw,grandmaster
4,Ezreal,1533,2.61,50.42,20.68,5.55,202.38,11415,euw,grandmaster
5,Caitlyn,1411,2.3,48.83,19.03,20.85,213.68,12360,euw,grandmaster
6,Viktor,1294,2.35,50.85,17.49,25.07,206.35,11307,euw,grandmaster
7,Aurora,1263,2.66,51.31,17.04,35.1,192.51,11202,euw,grandmaster
8,Yone,1235,1.81,46.8,16.66,8.18,216.67,11435,euw,grandmaster
9,Nautilus,1163,2.35,47.98,15.69,6.36,25.73,7266,euw,grandmaster
10,Sylas,1160,2.29,49.57,15.65,14.29,167.11,10708,euw,grandmaster
11,Ambessa,1147,2,49.43,15.47,60.86,185.69,11014,euw,grandmaster
12,Jhin,1032,3.21,51.55,13.93,0.63,201.85,11816,euw,grandmaster
13,Janna,1010,3.49,49.7,13.65,7.27,23.14,7520,euw,grandmaster
14,K'Sante,936,2.12,49.25,12.63,14.01,180.29,10155,euw,grandmaster
15,Graves,936,2.78,50.11,12.63,16.79,196.39,12506,euw,grandmaster
16,Lee Sin,928,2.74,49.03,12.53,1.13,164.05,11248,euw,grandmaster
17,Jinx,893,2.46,48.15,12.05,0.69,211.5,11788,euw,grandmaster
18,Skarner,886,3.64,51.24,11.95,59.36,149.88,10210,euw,grandmaster
19,Riven,873,2.07,49.48,11.78,10.1,192.82,11058,euw,grandmaster
20,Ahri,871,2.99,51.32,11.76,4.23,199.96,11067,euw,grandmaster
21,Hwei,835,2.67,50.18,11.26,3.39,202.64,11285,euw,grandmaster
22,Rell,831,3.06,47.41,11.22,4.71,23.93,7603,euw,grandmaster
23,Lulu,826,3.38,50.24,11.14,4.43,27.01,7648,euw,grandmaster
24,Akali,812,2.42,52.59,10.95,13.78,183.71,11198,euw,grandmaster
25,Varus,777,2.45,50.32,10.49,0.62,202.43,11715,euw,grandmaster
26,Vi,776,2.67,49.23,10.47,1.69,163.75,10638,euw,grandmaster
27,Rakan,767,3.41,48.63,10.35,1.89,29.47,7419,euw,grandmaster
28,Draven,744,2.28,52.42,10.04,57.35,197.08,13282,euw,grandmaster
29,Karma,736,2.93,47.01,9.93,1.55,41.99,7913,euw,grandmaster
30,Pyke,714,2.44,49.72,9.63,54.47,28.72,8905,euw,grandmaster
31,Wukong,710,2.9,46.62,9.58,5.46,166.82,11069,euw,grandmaster
32,Bard,692,3.44,51.3,9.33,3.76,24.66,7782,euw,grandmaster
33,Talon,691,2.61,49.93,9.32,2.87,200.57,12386,euw,grandmaster
34,Gragas,679,2.24,49.19,9.17,2.13,180.18,10536,euw,grandmaster
35,Kindred,669,2.73,53.21,9.02,2.59,177.57,11763,euw,grandmaster
36,Syndra,648,2.43,51.7,8.74,8.64,210.26,11708,euw,grandmaster
37,Karthus,646,2.2,51.08,8.71,6.1,195.79,11916,euw,grandmaster
