Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Lux,216581,2.51,50.5,32.06,37.45,88.88,10066,euw,iron
2,Miss Fortune,193351,2.37,51.2,28.62,15.59,162.83,12029,euw,iron
3,Caitlyn,180835,2.06,48.7,26.77,37.4,170.21,11928,euw,iron
4,Jinx,158697,2.09,48.23,23.49,9.87,166.4,11444,euw,iron
5,Warwick,142148,2.07,51.98,21.04,41.6,155.84,11880,euw,iron
6,Ashe,121507,2.14,47.44,17.99,11.07,148.63,10967,euw,iron
7,Teemo,111432,1.95,51.27,16.5,35.99,159.01,11625,euw,iron
8,Morgana,109042,2.56,50.17,16.14,28.2,61.81,9552,euw,iron
9,Yone,106840,1.71,47.67,15.82,13.75,175.28,11385,euw,iron
10,Mordekaiser,100874,1.89,50.51,14.93,21.15,156.06,11394,euw,iron
11,Jhin,100544,2.55,49.52,14.88,12.55,162.26,12093,euw,iron
12,Ahri,97498,2.26,47.98,14.43,8.8,160.17,10792,euw,iron
13,Veigar,95493,2.27,51.42,14.14,11.04,162.52,11797,euw,iron
14,Viego,92287,2.14,49.07,13.66,10.08,167.35,11874,euw,iron
15,Tahm Kench,89255,2.37,50.75,13.21,19.07,80.39,9899,euw,iron
16,Yasuo,83835,1.64,48.44,12.41,19.3,178.89,11643,euw,iron
17,Seraphine,79081,2.6,48.43,11.71,5.46,57.56,9067,euw,iron
18,Diana,79025,1.95,48.78,11.7,4.97,175.29,12141,euw,iron
19,Akali,76701,2.17,47.66,11.35,14.24,145.47,11233,euw,iron
20,Garen,75949,2,48.88,11.24,5.78,181.26,12000,euw,iron
21,Kayn,75527,2.06,48.37,11.18,7.04,170.1,11893,euw,iron
22,Volibear,72384,1.94,49.51,10.72,5.46,159.38,11184,euw,iron
23,Swain,71049,2.33,50.38,10.52,11.56,96.92,10138,euw,iron
24,Nocturne,69688,2.37,50.28,10.32,13.85,174.95,12100,euw,iron
25,Master Yi,69142,1.79,48.11,10.24,14.86,167.65,12155,euw,iron
26,Darius,67660,1.73,46.48,10.02,14.37,163.49,11412,euw,iron
27,Dr. Mundo,67624,2.12,52.36,10.01,9.98,163.74,11084,euw,iron
28,Brand,66448,2.02,50.8,9.84,11.59,90.54,10343,euw,iron
29,Ekko,65952,2.16,47.68,9.76,2.5,158.76,11765,euw,iron
30,Amumu,65471,2.39,52.54,9.69,8.26,154.12,11165,euw,iron
31,Sett,62053,1.66,50.88,9.19,3.75,156.94,11539,euw,iron
32,Malphite,61320,2.37,48.77,9.08,4.09,132.89,10600,euw,iron
33,Jax,60832,1.76,47.88,9.01,3.18,156.31,11493,euw,iron
34,Nasus,60633,2.01,49.61,8.98,5.09,167.44,11587,euw,iron
35,Kai'Sa,59815,2.15,46.74,8.85,2.83,177.23,12063,euw,iron
36,Sylas,59102,1.89,45.77,8.75,8.62,124.46,10439,euw,iron
37,Tristana,56773,1.99,46.27,8.4,4.13,155.61,12062,euw,iron
38,Nautilus,55351,2.3,47.46,8.19,7.3,37.58,8523,euw,iron
39,Xerath,55216,2.58,48.99,8.17,8.3,108.01,10506,euw,iron
40,Ezreal,54982,2.25,45.98,8.14,3.64,154.34,11103,euw,iron
41,Pyke,54296,1.99,47,8.04,21.43,36.84,9713,euw,iron
42,Vi,53372,2.18,48.68,7.9,1.36,157.32,11347,euw,iron
43,Galio,52298,2.6,51.25,7.74,6.09,138.78,10349,euw,iron
44,Vex,51894,2.21,49.02,7.68,9.7,159.14,11048,euw,iron
45,Shaco,51345,2.39,47.77,7.6,27.19,140.76,11467,euw,iron
46,Pantheon,51250,1.99,47.26,7.59,1.75,96.1,10686,euw,iron
47,Leona,51000,2.39,48.65,7.55,7.01,32.84,8419,euw,iron
48,Viktor,50907,2.02,48.97,7.54,7.44,166.44,11300,euw,iron
49,Yorick,50812,1.85,54.25,7.52,13.81,191.54,12387,euw,iron
50,Neeko,49346,2.15,47.99,7.3,3.5,86.77,9796,euw,iron
51,Malzahar,48932,2.2,52.01,7.24,16.64,206.97,12498,euw,iron
52,Heimerdinger,48406,1.79,51.52,7.17,12.25,164.88,11496,euw,iron
53,Blitzcrank,47845,2.33,46.85,7.08,20.12,30.22,8272,euw,iron
54,Senna,47260,2.65,46.88,7,2.04,50.04,9584,euw,iron
55,Zyra,46922,2.29,50.97,6.95,7.75,77.89,9848,euw,iron
56,Cho'Gath,46220,2.08,50.2,6.84,2.59,152.14,11228,euw,iron
57,Thresh,45946,2.41,47.04,6.8,2.51,38.73,8514,euw,iron
58,Trundle,45123,1.75,51.2,6.68,2.89,172.21,12100,euw,iron
59,Irelia,45035,1.6,46.59,6.67,5.5,192.57,12320,euw,iron
60,Briar,44265,2.02,51.73,6.55,8.67,160.05,12322,euw,iron
61,Smolder,44182,2.04,46.09,6.54,1.84,180.49,11512,euw,iron
62,Illaoi,43374,1.63,51.28,6.42,28.44,167.44,11401,euw,iron
63,Vel'Koz,43364,2.29,50.49,6.42,3.16,91.1,10319,euw,iron
64,Vayne,43329,1.9,47.01,6.41,4.11,151.94,11562,euw,iron
65,Nunu & Willump,42652,2.23,47.4,6.31,1.27,145.86,10847,euw,iron
66,Fizz,41827,2.28,48.9,6.19,13.3,148.8,11996,euw,iron
67,Ambessa,38916,1.81,46.38,5.76,19.25,158.18,11149,euw,iron
68,Katarina,36894,2.03,46.37,5.46,6.96,148.7,11678,euw,iron
69,Ziggs,35895,2.27,49.78,5.31,2.85,159.52,11235,euw,iron
70,Samira,35818,1.89,47.14,5.3,11.4,159.41,12234,euw,iron
71,Wukong,35006,2.41,50.38,5.18,1.56,159.82,11576,euw,iron
72,Hwei,33387,2.21,48.69,4.94,2.84,152.44,10864,euw,iron
73,Nami,33280,3.1,49.75,4.93,0.7,25.58,8107,euw,iron
74,Lillia,32497,2.5,50.26,4.81,5.18,171.68,11878,euw,iron
