Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Viego,15983,2.78,50.21,22.9,22.67,176.19,11657,euw,master
2,Corki,13434,2.54,52.49,19.25,23.61,210.43,12192,euw,master
3,Ashe,13163,2.47,50.65,18.86,17.89,189.86,11145,euw,master
4,Ezreal,12358,2.5,49.26,17.71,4.64,197.84,11490,euw,master
5,Viktor,12262,2.24,51.2,17.57,25.42,203.37,11433,euw,master
6,Caitlyn,12235,2.15,48.77,17.53,27.82,203.85,12054,euw,master
7,Jinx,11997,2.35,49.32,17.19,1.85,205.85,11767,euw,master
8,Sylas,10415,2.26,50.42,14.93,16.13,157.12,10635,euw,master
9,Lulu,10265,3.43,51.12,14.71,9.09,24.78,7561,euw,master
10,Jhin,9914,2.92,49.13,14.21,0.9,197.23,12067,euw,master
11,Yone,9399,1.78,48.12,13.47,9.02,209.88,11467,euw,master
12,Ambessa,8988,1.95,49.93,12.88,57.09,183.22,11096,euw,master
13,Janna,8937,3.66,52.87,12.81,7.56,23.92,7647,euw,master
14,Nautilus,8774,2.39,49.5,12.57,7.74,26.73,7556,euw,master
15,Nami,8487,3.42,49.82,12.16,0.33,22.32,7653,euw,master
16,Ahri,8263,2.89,51.22,11.84,3.3,196.19,11162,euw,master
17,Aurora,8214,2.59,50.69,11.77,28.34,190.52,11243,euw,master
18,Graves,8048,2.65,49.79,11.53,18.98,201.57,12775,euw,master
19,Karma,7930,2.88,50.93,11.36,1.73,44.23,8097,euw,master
20,Syndra,7783,2.37,50.8,11.15,11.35,205.74,11812,euw,master
21,Wukong,7642,2.76,49.7,10.95,5.96,168.29,11212,euw,master
22,Akali,7508,2.49,50.27,10.76,11.11,183.29,11379,euw,master
23,Smolder,7389,2.1,46.56,10.59,2.44,214.76,11831,euw,master
24,Hwei,7338,2.52,49.8,10.52,7.33,196.87,11238,euw,master
25,Gragas,7263,2.24,50.27,10.41,4.11,176.79,10709,euw,master
26,K'Sante,7172,2.17,49.46,10.28,12.89,181.91,10457,euw,master
27,Lee Sin,7034,2.91,50.17,10.08,1.64,160.15,11318,euw,master
28,Thresh,6852,2.86,50.41,9.82,1.42,26.3,7554,euw,master
29,Yasuo,6622,1.78,50.02,9.49,13.96,205.98,11544,euw,master
30,Elise,6564,2.6,49.74,9.41,14.98,140.28,11015,euw,master
31,Pyke,6333,2.34,51.49,9.08,52.44,30.42,9091,euw,master
32,Rell,6227,3.11,52.24,8.92,4.63,23.49,7764,euw,master
33,Varus,6008,2.29,49.82,8.61,0.73,195.29,11599,euw,master
34,Bard,5930,3.36,50.47,8.5,2.16,26.38,7979,euw,master
35,Rakan,5876,3.24,49.18,8.42,1.31,25.64,7471,euw,master
36,Draven,5819,2.14,51.4,8.34,56.89,198.59,13344,euw,master
37,Riven,5799,2.05,52.39,8.31,9.19,199.08,11605,euw,master
38,Renekton,5746,1.92,50.26,8.23,13.07,201.26,11443,euw,master
39,Skarner,5715,3.4,51.62,8.19,44.59,150.41,10330,euw,master
40,Irelia,5712,1.61,51.66,8.19,8.47,221.28,12389,euw,master
41,Ekko,5697,2.74,50.78,8.16,0.6,190.24,11988,euw,master
42,Jayce,5475,1.91,49.06,7.85,1.13,205.59,11846,euw,master
43,Talon,5458,2.59,51.32,7.82,2.57,194.99,12195,euw,master
44,Galio,5425,2.78,50.65,7.77,4.23,150.01,9755,euw,master
45,Braum,5236,2.98,50.27,7.5,11.95,22.77,7384,euw,master
46,Kai'Sa,5109,2.48,49.13,7.32,0.6,204.92,12156,euw,master
47,Jarvan IV,5096,3.25,49.65,7.3,2.38,156.1,10840,euw,master
48,Aatrox,4948,1.85,49.47,7.09,5.04,181.35,10794,euw,master
49,Leona,4819,2.42,49.87,6.91,2.28,25.21,7578,euw,master
50,Lux,4786,2.82,49.62,6.86,0.52,122.44,10019,euw,master
51,Orianna,4695,2.74,50.82,6.73,1.95,199.81,11171,euw,master
52,Volibear,4689,1.98,51.27,6.72,1.48,175.76,10825,euw,master
53,Jax,4671,1.81,50.07,6.69,15.7,178.54,11002,euw,master
54,Camille,4662,1.95,51.18,6.68,3.67,171.43,11177,euw,master
55,Senna,4555,2.99,51.11,6.53,2.23,34.31,8968,euw,master
56,Swain,4375,2.49,49.05,6.27,1.83,157.92,10403,euw,master
57,Katarina,4369,2.53,50.86,6.26,6.71,180.99,11966,euw,master
58,Gnar,4314,1.87,48.73,6.18,2.8,192.25,11062,euw,master
