Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,158151,2.14,50.31,25.28,42.6,209.86,13007,euw,platinum
2,Jinx,140721,2.29,50.42,22.49,5.46,210.56,12515,euw,platinum
3,Jhin,122725,2.76,50.28,19.62,5.19,201.84,13114,euw,platinum
4,Viktor,103178,2.14,50.79,16.49,21.29,207.24,12204,euw,platinum
5,Lux,96437,2.62,50.27,15.41,5.75,116.92,10652,euw,platinum
6,Ashe,94372,2.33,49.69,15.08,10.1,189.67,11865,euw,platinum
7,Viego,87636,2.53,50.51,14.01,14.97,184.3,12479,euw,platinum
8,Tahm Kench,81614,2.44,52.14,13.04,23.52,91.55,9982,euw,platinum
9,Ezreal,80588,2.49,48.33,12.88,4.32,200.41,12322,euw,platinum
10,Warwick,77494,2.21,52.89,12.39,25.75,174.72,12317,euw,platinum
11,Thresh,77204,2.78,50.02,12.34,5.03,31.84,8314,euw,platinum
12,Ahri,76491,2.65,51.15,12.23,7.62,199.03,11890,euw,platinum
13,Nami,75489,3.38,51.86,12.07,1.52,25.61,8186,euw,platinum
14,Yone,68846,1.66,48.28,11,13.68,216.14,12285,euw,platinum
15,Lulu,68001,3.38,51.17,10.87,14.8,28.35,8116,euw,platinum
16,Yasuo,67594,1.63,49.47,10.8,15.46,217.51,12417,euw,platinum
17,Smolder,66394,2.13,47.44,10.61,3.94,220.17,12572,euw,platinum
18,Kai'Sa,63889,2.4,48.48,10.21,2.46,210.9,12977,euw,platinum
19,Sylas,63860,2.09,48.83,10.21,11.96,154.35,11209,euw,platinum
20,Kayn,63271,2.33,50.75,10.11,6.99,188.96,12482,euw,platinum
21,Ekko,62738,2.48,50.43,10.03,1.9,188.8,12633,euw,platinum
22,Diana,59885,2.13,50.42,9.57,3.77,202.43,12857,euw,platinum
23,Swain,59397,2.35,49.92,9.49,8.03,136.27,10782,euw,platinum
24,Volibear,59289,1.87,50.92,9.48,7.51,188.52,11914,euw,platinum
25,Miss Fortune,58437,2.46,51.87,9.34,1.3,203.79,13109,euw,platinum
26,Ambessa,56172,1.9,48.94,8.98,51.16,187.61,11929,euw,platinum
27,Graves,53951,2.42,49.21,8.62,9.28,209.17,13528,euw,platinum
28,Hwei,53511,2.41,50.09,8.55,8.73,192.03,11837,euw,platinum
29,Nocturne,53269,2.78,52.18,8.51,18.37,191.43,12444,euw,platinum
30,Vayne,52512,2.11,51.39,8.39,4.49,191.38,12406,euw,platinum
31,Syndra,50437,2.34,50.28,8.06,8.01,209.35,12742,euw,platinum
32,Teemo,50390,1.96,50.9,8.05,13.87,184.12,12083,euw,platinum
33,Wukong,49752,2.67,51.72,7.95,2.91,180.73,12191,euw,platinum
34,Garen,49724,2.03,50.6,7.95,7.96,221.04,12962,euw,platinum
35,Shaco,49218,2.75,50.55,7.87,18.68,148.14,11953,euw,platinum
36,Maokai,48996,2.48,51.71,7.83,1.74,119.85,9829,euw,platinum
37,Gragas,48917,2.28,49.48,7.82,3.23,179.57,11508,euw,platinum
38,Vel'Koz,48651,2.38,52.18,7.78,2.4,114.32,10742,euw,platinum
39,Darius,48258,1.79,49.99,7.71,17.54,200.58,12396,euw,platinum
40,Vi,47885,2.5,50.32,7.65,2.21,174.42,11818,euw,platinum
41,Akali,47737,2.32,49.67,7.63,10.62,181.59,12065,euw,platinum
42,Karma,47635,2.68,50.39,7.61,2.22,51.45,8907,euw,platinum
43,Nautilus,47177,2.42,48.52,7.54,11.34,36.2,8379,euw,platinum
44,Pyke,46756,2.2,49.46,7.47,20.12,37.06,9932,euw,platinum
45,Xerath,46329,2.94,51.02,7.4,4.28,132.75,11205,euw,platinum
46,Zed,45431,2.33,50.1,7.26,17.27,196.68,12877,euw,platinum
