Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,320946,2.17,50.76,28.59,41.1,203.31,13081,euw,silver
2,Jinx,264906,2.28,50.42,23.6,6.75,203.75,12607,euw,silver
3,Lux,251833,2.63,51.35,22.43,19.11,104.11,10651,euw,silver
4,Jhin,225104,2.74,50.93,20.05,8.89,194.47,13203,euw,silver
5,Miss Fortune,189441,2.51,52.25,16.87,5.32,197.97,13211,euw,silver
6,Warwick,183240,2.26,53.77,16.32,30.66,174.03,12592,euw,silver
7,Ashe,173349,2.31,49.15,15.44,9.06,180.57,11912,euw,silver
8,Tahm Kench,164638,2.5,52.26,14.67,25.89,95.18,10361,euw,silver
9,Viktor,161253,2.17,50.75,14.36,14.9,199.44,12312,euw,silver
10,Viego,150705,2.44,50.72,13.42,12.26,185.15,12701,euw,silver
11,Teemo,139857,1.97,51.81,12.46,24.22,179.87,12266,euw,silver
12,Yasuo,138732,1.65,49.91,12.36,17.34,212.25,12648,euw,silver
13,Yone,133808,1.72,48.96,11.92,13.62,209.43,12440,euw,silver
14,Ezreal,133141,2.49,47.73,11.86,4.29,191.43,12326,euw,silver
15,Ahri,131720,2.57,50.88,11.73,7.05,191.36,11935,euw,silver
16,Kayn,130399,2.32,51.24,11.62,8.23,188.38,12700,euw,silver
17,Swain,126508,2.36,50.61,11.27,10.65,116.61,10678,euw,silver
18,Diana,120793,2.11,51.08,10.76,4.94,201.15,13101,euw,silver
19,Volibear,117534,2,51.84,10.47,7.16,183.27,12068,euw,silver
20,Thresh,114988,2.73,49.58,10.24,3.59,35.7,8599,euw,silver
21,Ekko,114283,2.41,50.08,10.18,1.98,183.54,12722,euw,silver
22,Veigar,113144,2.36,52.51,10.08,4.84,194.53,12810,euw,silver
23,Garen,112108,2.13,51.65,9.99,9.1,215.57,13203,euw,silver
24,Mordekaiser,110893,1.97,52.52,9.88,17.95,185.22,12322,euw,silver
25,Nocturne,110545,2.72,53.05,9.85,20.12,192.2,12779,euw,silver
26,Kai'Sa,110026,2.34,47.94,9.8,2.6,206.74,13114,euw,silver
27,Morgana,108993,2.69,51.71,9.71,26.44,67.16,9863,euw,silver
28,Malzahar,107188,2.22,52.23,9.55,17.44,228.42,13018,euw,silver
29,Darius,103224,1.8,49.16,9.19,19.25,193.88,12502,euw,silver
30,Dr. Mundo,100281,2.18,53.52,8.93,9.55,194.69,12055,euw,silver
31,Smolder,100140,2.17,48.08,8.92,3.37,215.2,12701,euw,silver
32,Vayne,98497,2.11,51.11,8.77,4.82,184.96,12560,euw,silver
33,Sylas,97565,2.07,48.2,8.69,9.26,148.83,11321,euw,silver
34,Shaco,95464,2.64,49.68,8.5,25.72,152.42,12186,euw,silver
35,Amumu,95327,2.52,52.21,8.49,8.16,167.02,11616,euw,silver
36,Akali,94475,2.32,49.59,8.42,11.24,173.46,12146,euw,silver
37,Brand,91866,2.04,51.38,8.18,9.57,103.69,10744,euw,silver
38,Nami,91292,3.41,52.3,8.13,1.11,26.59,8346,euw,silver
39,Nautilus,89898,2.43,48.46,8.01,11.01,39.51,8675,euw,silver
40,Malphite,89678,2.57,50.43,7.99,6.52,162.77,11379,euw,silver
41,Vi,86959,2.44,50.32,7.75,1.91,175.42,12084,euw,silver
42,Xerath,84946,2.89,51.61,7.57,5.83,122.88,11248,euw,silver
43,Ambessa,84237,1.93,48.3,7.5,38.32,182.68,12052,euw,silver
44,Katarina,84026,2.23,48.06,7.48,9.05,173.51,12642,euw,silver
45,Zyra,82912,2.31,52.35,7.39,10.2,72.87,9936,euw,silver
46,Vel'Koz,82589,2.39,52.69,7.36,2.99,107.71,10904,euw,silver
47,Galio,81400,2.71,51.62,7.25,4.94,153.42,10811,euw,silver
48,Leona,81125,2.58,49.87,7.23,9.34,34.03,8604,euw,silver
49,Lulu,80026,3.29,50.07,7.13,6.39,30.34,8302,euw,silver
50,Maokai,77982,2.55,51.43,6.95,1.36,111.3,9982,euw,silver
51,Pyke,77133,2.13,48.47,6.87,15.8,38.76,10150,euw,silver
