Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Lux,95517,2.57,50.46,29.19,39.61,95.19,10023.0,na,iron
2,Miss Fortune,86073,2.35,50.86,26.31,13.64,157.22,11759.0,na,iron
3,Caitlyn,83603,2.07,48.94,25.55,35.78,164.83,11682.0,na,iron
4,Jinx,77012,2.09,48.55,23.54,10.62,161.6,11231.0,na,iron
5,Warwick,67819,2.08,52.18,20.73,41.87,154.22,11748.0,na,iron
6,Teemo,62110,1.95,51.23,18.98,36.45,154.97,11397.0,na,iron
7,Ashe,61507,2.16,47.81,18.8,14.62,142.82,10721.0,na,iron
8,Jhin,54764,2.56,49.56,16.74,14.76,156.64,11811.0,na,iron
9,Morgana,49755,2.6,50.49,15.21,25.48,69.63,9576.0,na,iron
10,Mordekaiser,44369,1.93,50.82,13.56,21.53,153.64,11288.0,na,iron
11,Ahri,41853,2.32,48.35,12.79,9.48,155.97,10619.0,na,iron
12,Seraphine,41808,2.68,48.78,12.78,8.93,60.43,9024.0,na,iron
13,Tahm Kench,41370,2.33,50.58,12.64,18.1,81.25,9832.0,na,iron
14,Veigar,40941,2.33,50.99,12.51,10.94,155.72,11453.0,na,iron
15,Yone,38212,1.74,47.99,11.68,11.48,170.86,11165.0,na,iron
16,Kayn,37112,2.04,49.18,11.34,8.09,168.19,11684.0,na,iron
17,Master Yi,36471,1.79,48.21,11.15,15.57,165.35,11939.0,na,iron
18,Volibear,36271,1.89,49.25,11.09,5.89,156.82,11038.0,na,iron
19,Garen,36148,2.01,49.29,11.05,6.36,179.97,11840.0,na,iron
20,Yasuo,35320,1.68,49.45,10.79,19.04,175.18,11499.0,na,iron
21,Swain,34187,2.37,50.66,10.45,12.03,101.72,10062.0,na,iron
22,Viego,33510,2.12,48.55,10.24,6.46,166.17,11707.0,na,iron
23,Amumu,33035,2.34,52.9,10.1,9.9,154.46,11062.0,na,iron
24,Brand,32716,2.04,50.79,10.0,12.44,96.33,10264.0,na,iron
25,Dr. Mundo,32643,2.09,52.41,9.98,10.78,161.9,10962.0,na,iron
26,Nocturne,31902,2.32,50.88,9.75,14.58,172.96,11962.0,na,iron
27,Diana,31647,1.97,49.14,9.67,4.1,172.69,11959.0,na,iron
28,Ekko,31155,2.15,47.82,9.52,2.95,154.31,11470.0,na,iron
29,Darius,29919,1.75,46.53,9.14,11.65,160.99,11286.0,na,iron
30,Yorick,29892,1.88,54.22,9.14,18.84,189.58,12211.0,na,iron
31,Akali,29344,2.23,47.68,8.97,11.66,141.18,11036.0,na,iron
32,Sett,28271,1.69,50.77,8.64,3.96,153.89,11374.0,na,iron
33,Briar,28130,1.96,50.89,8.6,11.57,157.36,12025.0,na,iron
34,Viktor,27283,2.09,49.14,8.34,7.7,157.81,11001.0,na,iron
35,Nasus,27179,1.97,49.89,8.31,6.01,165.25,11434.0,na,iron
36,Cho'Gath,26825,2.1,50.18,8.2,3.5,147.05,11000.0,na,iron
37,Malphite,26248,2.35,48.68,8.02,4.99,133.13,10496.0,na,iron
38,Tristana,26176,2.05,47.18,8.0,3.93,151.05,11819.0,na,iron
39,Senna,26114,2.74,47.54,7.98,2.98,53.43,9549.0,na,iron
40,Malzahar,25997,2.25,52.06,7.95,16.44,202.99,12311.0,na,iron
41,Pantheon,25637,2.03,48.37,7.84,2.27,100.07,10664.0,na,iron
42,Kai'Sa,25139,2.17,46.92,7.68,2.1,172.52,11896.0,na,iron
43,Heimerdinger,24769,1.81,50.73,7.57,11.16,160.04,11231.0,na,iron
44,Nautilus,24372,2.26,47.76,7.45,5.91,43.9,8572.0,na,iron
45,Jax,24225,1.75,48.31,7.4,3.02,155.57,11457.0,na,iron
46,Zyra,24206,2.32,51.12,7.4,7.54,80.94,9829.0,na,iron
47,Pyke,24112,2.03,47.24,7.37,20.47,38.68,9642.0,na,iron
48,Ezreal,23943,2.23,45.55,7.32,2.95,148.75,10857.0,na,iron
49,Vi,23248,2.09,48.95,7.11,1.13,154.0,11173.0,na,iron
50,Nunu & Willump,23177,2.23,46.77,7.08,2.27,143.79,10670.0,na,iron
51,Xerath,22920,2.68,49.59,7.01,8.38,106.43,10380.0,na,iron
52,Galio,22810,2.59,50.83,6.97,5.56,133.24,10117.0,na,iron
53,Neeko,22678,2.24,48.59,6.93,2.9,93.44,9817.0,na,iron
54,Leona,22554,2.37,49.24,6.89,5.49,34.56,8402.0,na,iron
55,Vex,22518,2.2,47.77,6.88,8.53,153.32,10759.0,na,iron
56,Shaco,22221,2.35,48.52,6.79,20.83,132.01,11124.0,na,iron
57,Trundle,22132,1.75,52.03,6.76,3.19,170.04,11977.0,na,iron
58,Thresh,21840,2.38,46.95,6.67,2.41,42.99,8534.0,na,iron
59,Smolder,21672,2.1,46.47,6.62,2.03,173.78,11242.0,na,iron
60,Irelia,21607,1.65,47.17,6.6,5.59,189.85,12182.0,na,iron
61,Vayne,21546,1.91,47.58,6.59,3.73,145.86,11276.0,na,iron
62,Illaoi,21524,1.64,51.37,6.58,28.34,165.75,11315.0,na,iron
63,Sylas,21051,1.93,46.31,6.43,7.1,121.06,10277.0,na,iron
64,Yuumi,20634,4.9,44.47,6.31,3.09,12.78,7557.0,na,iron
65,Vel'Koz,20274,2.29,50.9,6.2,3.17,89.39,10167.0,na,iron
66,Blitzcrank,20143,2.31,47.63,6.16,19.8,32.69,8288.0,na,iron
67,Ambessa,20054,1.81,47.07,6.13,18.47,153.44,10937.0,na,iron
68,Lillia,19405,2.43,49.68,5.93,6.12,166.93,11546.0,na,iron
69,Nami,19282,3.15,49.97,5.89,0.8,25.56,8042.0,na,iron
70,Hwei,17908,2.25,48.74,5.47,3.72,142.97,10575.0,na,iron
71,Tryndamere,17715,1.69,49.09,5.41,4.2,186.7,12091.0,na,iron
72,Fizz,17612,2.36,50.31,5.38,12.77,145.95,11833.0,na,iron
73,Gwen,17149,1.62,46.2,5.24,2.54,164.29,11315.0,na,iron
74,Wukong,16472,2.32,50.9,5.03,1.47,155.58,11389.0,na,iron
75,Ziggs,16406,2.23,49.44,5.01,2.43,152.62,10915.0,na,iron
76,Samira,16333,1.89,47.42,4.99,7.94,153.27,11944.0,na,iron
77,Sivir,15721,2.11,47.53,4.8,1.48,187.93,11469.0,na,iron
78,Sona,15448,2.87,49.27,4.72,0.55,30.63,8219.0,na,iron
79,Urgot,15446,1.91,50.95,4.72,2.84,176.96,12115.0,na,iron
80,Varus,15395,2.09,48.33,4.71,0.7,154.61,11391.0,na,iron
81,Kayle,15182,1.82,48.88,4.64,1.6,179.39,11461.0,na,iron
82,Graves,15174,2.13,47.37,4.64,3.1,185.41,12540.0,na,iron
83,Sion,15134,1.65,51.94,4.63,1.15,168.52,11812.0,na,iron
84,Maokai,15011,2.45,49.81,4.59,1.0,85.97,9311.0,na,iron
85,Twitch,14962,2.09,46.52,4.57,5.63,141.63,11654.0,na,iron
86,Soraka,14611,2.82,49.2,4.47,1.12,29.01,7712.0,na,iron
87,Poppy,14483,2.18,48.16,4.43,1.92,76.24,9661.0,na,iron
88,Aurora,14322,2.33,46.57,4.38,3.55,150.82,10567.0,na,iron
89,Katarina,14221,2.09,46.81,4.35,3.89,144.56,11462.0,na,iron
90,Kindred,14203,1.91,45.74,4.34,1.29,160.19,11699.0,na,iron
91,Aurelion Sol,13736,2.5,50.95,4.2,3.38,177.76,12023.0,na,iron
92,Aatrox,13333,1.66,44.33,4.07,4.41,149.69,10502.0,na,iron
93,Zed,12857,2.12,46.57,3.93,8.71,158.48,11697.0,na,iron
94,Xin Zhao,12820,2.02,49.84,3.92,0.75,155.92,11374.0,na,iron
95,Lucian,12441,2.22,47.84,3.8,0.86,165.69,11727.0,na,iron
96,Shen,12394,2.75,49.87,3.79,0.59,104.6,9727.0,na,iron
97,Fiddlesticks,12307,2.15,47.9,3.76,1.08,145.16,11088.0,na,iron
98,Naafiri,11903,2.19,49.33,3.64,3.8,159.57,11824.0,na,iron
99,Draven,11841,1.92,47.9,3.62,10.06,153.14,12263.0,na,iron
100,Lee Sin,11777,2.14,44.47,3.6,1.29,146.09,11246.0,na,iron
101,Renekton,11592,1.89,49.36,3.54,1.57,172.91,11552.0,na,iron
102,Xayah,11541,2.05,47.04,3.53,0.5,166.35,11264.0,na,iron
103,Akshan,11382,2.05,47.42,3.48,2.76,158.46,11889.0,na,iron
104,Kha'Zix,11371,2.06,46.3,3.48,1.98,161.3,11774.0,na,iron
105,Lulu,10664,2.74,46.12,3.26,0.96,36.66,8135.0,na,iron
106,Karma,10618,2.42,47.65,3.25,0.56,58.08,8818.0,na,iron
107,Riven,10444,1.75,44.07,3.19,0.89,155.67,10989.0,na,iron
108,Udyr,10439,1.97,48.13,3.19,2.13,165.6,11222.0,na,iron
109,Shyvana,10417,2.08,50.07,3.18,1.13,186.5,11920.0,na,iron
110,Ornn,10055,2.16,49.15,3.07,0.65,150.07,10443.0,na,iron
111,Hecarim,10023,2.27,47.23,3.06,1.77,173.43,11429.0,na,iron
112,Talon,9810,2.02,45.59,3.0,0.96,163.06,11634.0,na,iron
113,Milio,9733,3.53,50.66,2.97,0.4,36.3,7997.0,na,iron
114,Aphelios,9674,1.87,48.98,2.96,0.94,153.84,11355.0,na,iron
115,Evelynn,9672,2.24,44.69,2.96,1.47,140.98,11100.0,na,iron
116,Kog'Maw,9553,1.99,48.54,2.92,1.91,148.92,11354.0,na,iron
117,Gragas,9526,1.96,44.52,2.91,0.49,140.52,10349.0,na,iron
118,Braum,9243,2.55,48.36,2.82,0.78,30.58,8206.0,na,iron
119,Jayce,9235,1.83,44.48,2.82,0.49,164.94,11342.0,na,iron
120,LeBlanc,9194,2.54,46.24,2.81,4.16,128.57,10666.0,na,iron
121,Rammus,9193,2.52,50.02,2.81,4.39,144.06,10564.0,na,iron
122,Singed,9061,1.84,52.16,2.77,1.21,175.57,11400.0,na,iron
123,Zoe,8690,2.29,46.92,2.66,1.91,109.23,9987.0,na,iron
124,Sejuani,8641,2.5,48.36,2.64,0.3,146.89,10594.0,na,iron
125,Orianna,8410,2.59,49.0,2.57,0.67,159.86,10856.0,na,iron
126,Syndra,8378,2.16,47.1,2.56,1.76,161.87,11344.0,na,iron
127,Nilah,8186,1.9,49.25,2.5,2.71,158.25,11802.0,na,iron
128,Anivia,7930,2.48,48.8,2.42,2.03,138.68,10477.0,na,iron
129,Gnar,7816,1.87,47.1,2.39,0.47,153.36,11038.0,na,iron
130,Zeri,7775,2.13,48.0,2.38,0.46,183.37,12068.0,na,iron
131,Corki,7747,2.07,46.21,2.37,1.23,168.91,11545.0,na,iron
132,Vladimir,7517,1.97,46.95,2.3,1.35,159.34,10751.0,na,iron
133,Jarvan IV,7294,2.75,48.79,2.23,0.43,148.06,11260.0,na,iron
134,Annie,7132,2.08,46.65,2.18,0.85,118.02,10188.0,na,iron
135,Zilean,7038,2.7,49.06,2.15,0.46,71.91,8967.0,na,iron
136,Fiora,7028,1.55,46.8,2.15,1.62,163.3,11254.0,na,iron
137,Ryze,7003,2.1,49.04,2.14,0.28,176.45,11413.0,na,iron
138,Rakan,6975,2.52,46.35,2.13,0.22,36.08,8070.0,na,iron
139,Quinn,6971,1.91,46.56,2.13,0.74,151.26,11624.0,na,iron
140,Zac,6883,2.75,49.28,2.1,0.72,135.32,10438.0,na,iron
141,Karthus,6789,2.1,48.81,2.07,0.67,178.45,12570.0,na,iron
142,Rell,6700,2.61,49.73,2.05,0.48,35.04,8525.0,na,iron
143,Janna,6686,2.8,47.59,2.04,0.29,34.64,8130.0,na,iron
144,Twisted Fate,6547,1.92,46.85,2.0,0.23,151.88,11640.0,na,iron
145,Taric,6524,2.55,51.89,1.99,0.72,43.9,8416.0,na,iron
