Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
1,Caitlyn,"1,118,554",2.17:1,50.4%,27.55%,32.63%,204.04,"12,808"
2,Jhin,"891,239",2.82:1,50.9%,21.95%,7.72%,195.66,"12,946"
3,Jinx,"848,251",2.33:1,50.66%,20.89%,4.59%,204.62,"12,450"
4,Lux,"771,004",2.58:1,51.05%,18.99%,13.69%,99.52,"10,355"
5,Ashe,"695,912",2.36:1,49.88%,17.14%,13.64%,184.09,"11,669"
6,Ezreal,"633,129",2.52:1,48.57%,15.59%,4.58%,194.41,"12,143"
7,Viktor,"615,075",2.18:1,51.19%,15.15%,21.06%,198.14,"12,028"
8,Lee Sin,"615,034",2.69:1,48.94%,15.15%,11.01%,161.57,"11,723"
9,Yone,"560,037",1.67:1,48.19%,13.79%,13.53%,207.24,"12,030"
10,Sylas,"546,047",2.09:1,49.21%,13.45%,14.33%,147.46,"10,985"
11,Viego,"532,496",2.51:1,50.5%,13.12%,8.69%,179.72,"12,280"
12,Yasuo,"532,102",1.61:1,48.84%,13.11%,20.06%,209.91,"12,278"
13,Warwick,"528,433",2.28:1,53.58%,13.02%,23.36%,169.33,"12,272"
14,Graves,"504,296",2.43:1,50.2%,12.42%,14.62%,202.7,"13,261"
15,Thresh,"497,340",2.69:1,49.94%,12.25%,4.93%,33.39,"8,303"
16,Kai'Sa,"481,347",2.42:1,48.61%,11.86%,2.25%,206.91,"12,898"
17,Tahm Kench,"475,191",2.52:1,52.5%,11.7%,15.62%,92.55,"10,051"
18,Miss Fortune,"448,740",2.49:1,51.62%,11.05%,2.04%,193.17,"12,871"
19,Ahri,"445,018",2.6:1,51.02%,10.96%,6.08%,189.28,"11,638"
20,Swain,"431,861",2.33:1,50.34%,10.64%,9.47%,120.19,"10,472"
21,Lulu,"417,048",3.3:1,51.02%,10.27%,10.94%,29.5,"8,087"
22,Smolder,"410,356",2.15:1,47.74%,10.11%,5.09%,215.29,"12,440"
23,Kayn,"398,220",2.33:1,51.28%,9.81%,6.35%,184.91,"12,451"
24,Teemo,"382,386",1.92:1,51.35%,9.42%,17.01%,177.62,"11,935"
25,Akali,"370,196",2.33:1,50.11%,9.12%,11.57%,173.37,"11,790"
26,Maokai,"369,082",2.52:1,51.64%,9.09%,4.65%,119.32,"9,644"
27,Ekko,"367,661",2.48:1,50.55%,9.06%,1.54%,180.9,"12,504"
28,Diana,"367,393",2.12:1,51.05%,9.05%,3.24%,196.32,"12,797"
29,Nocturne,"361,538",2.74:1,52.74%,8.91%,16.21%,187.21,"12,363"
30,Volibear,"357,419",1.95:1,51.46%,8.8%,6.4%,181.1,"11,805"
31,Mordekaiser,"354,369",1.95:1,52.61%,8.73%,14.78%,182.85,"11,978"
32,Xerath,"348,285",2.83:1,51.58%,8.58%,11.5%,105.78,"10,564"
33,Darius,"338,533",1.81:1,49.87%,8.34%,18.02%,192.4,"12,252"
34,Ambessa,"337,466",1.95:1,48.91%,8.31%,44.64%,180.03,"11,720"
35,Irelia,"336,797",1.62:1,51.15%,8.3%,11.78%,227.97,"13,297"
36,Zed,"332,435",2.29:1,48.82%,8.19%,20.49%,186.04,"12,587"
37,Shaco,"327,593",2.65:1,49.69%,8.07%,30.6%,142.32,"11,820"
38,Vayne,"322,177",2.08:1,50.99%,7.94%,4.16%,186.09,"12,389"
39,Nautilus,"321,512",2.39:1,48.47%,7.92%,12.46%,36.64,"8,354"
40,Morgana,"320,138",2.65:1,51.59%,7.89%,26.14%,63.78,"9,563"
41,Malphite,"314,753",2.54:1,50.86%,7.75%,7.12%,161.34,"11,050"
42,Vi,"297,390",2.45:1,50.18%,7.32%,1.76%,170.3,"11,715"
43,Pyke,"296,867",2.13:1,49.05%,7.31%,16.06%,37.54,"9,876"
44,Karma,"295,433",2.59:1,50.68%,7.28%,3.02%,51.52,"8,848"
45,Nami,"295,093",3.35:1,52.29%,7.27%,1.02%,26.31,"8,232"
46,Malzahar,"294,504",2.22:1,51.95%,7.25%,10.7%,223,"12,652"
47,Aatrox,"292,663",1.91:1,50.34%,7.21%,10.04%,179.52,"11,495"
48,Gragas,"290,415",2.35:1,48.57%,7.15%,2.22%,166.93,"11,170"
49,Veigar,"287,215",2.3:1,51.81%,7.07%,2.72%,189.15,"12,435"
50,Galio,"286,338",2.72:1,51%,7.05%,4.65%,155.04,"10,511"
51,Garen,"284,120",2.01:1,50.6%,7%,4.49%,211.73,"12,880"
52,Katarina,"273,885",2.26:1,48.7%,6.75%,6.59%,170.41,"12,425"
53,LeBlanc,"268,906",2.65:1,49.02%,6.62%,18.7%,150.59,"11,298"
54,Wukong,"266,931",2.69:1,51.89%,6.57%,1.44%,174.01,"11,992"
55,Hwei,"264,072",2.43:1,50.6%,6.5%,5.94%,176.87,"11,512"
56,Leona,"261,526",2.5:1,49.6%,6.44%,8.51%,32.29,"8,297"
57,Pantheon,"257,548",2.1:1,50.02%,6.34%,1.69%,113.95,"11,181"
58,Brand,"255,274",2.01:1,51.25%,6.29%,6.15%,100.19,"10,470"
59,Zyra,"251,282",2.32:1,51.8%,6.19%,6.14%,80.63,"9,802"
60,Lucian,"250,036",2.32:1,48.74%,6.16%,1.11%,203.1,"12,649"
61,Sett,"249,705",1.69:1,50.71%,6.15%,1.73%,178.44,"12,037"
62,Kha'Zix,"249,334",2.49:1,50.28%,6.14%,4.14%,180.07,"12,726"
63,Blitzcrank,"248,468",2.51:1,49.44%,6.12%,19.96%,29.52,"8,117"
64,Master Yi,"246,832",2.03:1,49.72%,6.08%,9.48%,182.16,"12,692"
65,Jax,"246,780",1.73:1,48.25%,6.08%,4.54%,182,"11,888"
66,Corki,"243,594",2.44:1,49.07%,6%,5.68%,208.74,"12,639"
67,Dr. Mundo,"243,097",2.1:1,52.39%,5.99%,4.74%,192.5,"11,740"
68,Senna,"239,830",2.82:1,50.47%,5.91%,1.81%,44.76,"9,634"
69,Varus,"233,983",2.21:1,48.35%,5.76%,0.73%,193.91,"12,340"
70,Amumu,"227,450",2.48:1,51.5%,5.6%,4.13%,160.55,"11,273"
71,Poppy,"227,334",2.34:1,50.73%,5.6%,5.24%,91.4,"9,874"
