Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
1,Viego,"11,961",2.89:1,50.65%,23.03%,16.09%,172.17,"11,360"
2,Corki,"10,954",2.62:1,52.07%,21.1%,20.73%,207.82,"11,792"
3,Ashe,"9,936",2.61:1,51.9%,19.14%,18.95%,188.54,"10,881"
4,Ezreal,"9,467",2.63:1,50.02%,18.23%,6.87%,197.19,"11,253"
5,Graves,"9,011",2.79:1,50.94%,17.35%,28.54%,194.66,"12,362"
6,Jinx,"8,542",2.49:1,50.07%,16.45%,2.27%,205.01,"11,577"
7,Jhin,"8,438",3.04:1,48.78%,16.25%,1.44%,194.77,"11,659"
8,Caitlyn,"8,180",2.28:1,48.35%,15.75%,20.41%,204.52,"11,845"
9,Sylas,"8,152",2.25:1,49.56%,15.7%,12.78%,156.03,"10,369"
10,Viktor,"8,052",2.33:1,51.44%,15.51%,21.35%,200.64,"11,150"
11,Lee Sin,"7,782",3.01:1,49.91%,14.99%,9.3%,159.3,"11,011"
12,Yone,"7,428",1.84:1,48.26%,14.31%,7.37%,207.49,"11,199"
13,Ambessa,"7,282",2.07:1,51.43%,14.02%,51.75%,181.68,"10,728"
14,Lulu,"6,999",3.53:1,51.01%,13.48%,10.94%,27.31,"7,458"
15,Nautilus,"6,671",2.39:1,48.57%,12.85%,9.58%,27.68,"7,284"
16,Aurora,"6,408",2.68:1,50.36%,12.34%,25.23%,185.63,"10,800"
17,K'Sante,"6,372",2.24:1,49.48%,12.27%,10.95%,179.35,"10,078"
18,Karma,"6,339",2.85:1,48.41%,12.21%,3.56%,44.27,"7,881"
19,Ahri,"6,031",2.97:1,50.74%,11.61%,3.2%,191.05,"10,875"
20,Kai'Sa,"5,611",2.53:1,48.32%,10.81%,1.35%,202.58,"11,782"
21,Varus,"5,426",2.4:1,50%,10.45%,2.04%,194.95,"11,290"
22,Gragas,"5,398",2.41:1,49.81%,10.4%,4.53%,169.56,"10,337"
23,Pyke,"5,390",2.41:1,50.65%,10.38%,46.09%,32.31,"8,837"
24,Nami,"5,345",3.48:1,49.47%,10.29%,0.49%,23.16,"7,498"
25,Smolder,"5,168",2.2:1,46.23%,9.95%,3.25%,212.3,"11,494"
26,Thresh,"5,167",2.93:1,50.98%,9.95%,3.66%,28.08,"7,408"
27,Hwei,"5,142",2.66:1,51.32%,9.9%,6.15%,187.7,"10,923"
28,Akali,"5,024",2.46:1,49.22%,9.68%,9.72%,178.46,"10,994"
29,Renekton,"4,942",1.98:1,50.75%,9.52%,10.45%,195.06,"10,971"
30,Rakan,"4,878",3.27:1,49.24%,9.39%,1.04%,27.5,"7,251"
31,Yasuo,"4,820",1.86:1,50.64%,9.28%,19.48%,203.48,"11,306"
32,Maokai,"4,610",2.4:1,49.28%,8.88%,1.75%,105.29,"8,407"
33,Rell,"4,452",3.05:1,49.28%,8.57%,4.78%,25.35,"7,383"
34,Lux,"4,406",2.9:1,49.84%,8.49%,1.94%,125.5,"9,944"
35,Galio,"4,352",2.8:1,50.37%,8.38%,5.53%,156.09,"9,544"
36,Jayce,"4,350",1.94:1,50.11%,8.38%,3.19%,200.27,"11,500"
37,Irelia,"4,196",1.67:1,52.81%,8.08%,9.29%,218.47,"12,289"
38,Janna,"4,189",3.61:1,51.23%,8.07%,3%,24.39,"7,531"
39,Poppy,"4,188",2.43:1,52.15%,8.07%,13.34%,75.08,"8,599"
40,Talon,"4,145",2.58:1,49.77%,7.98%,4.19%,190.68,"11,875"
41,Braum,"4,113",3.06:1,51.08%,7.92%,6.11%,24.03,"7,135"
42,Riven,"4,095",2.04:1,51.4%,7.89%,5.41%,190.04,"11,269"
43,Gnar,"4,068",1.91:1,50.91%,7.83%,3.25%,187.4,"10,716"
44,Zed,"3,948",2.59:1,51.55%,7.6%,14.17%,190.54,"11,839"
45,Nidalee,"3,908",3.49:1,52.69%,7.53%,7.94%,163.51,"11,073"
46,Jax,"3,899",1.88:1,50.99%,7.51%,12.4%,177.72,"10,808"
47,Skarner,"3,877",3.47:1,51.79%,7.47%,21.87%,146.81,"10,076"
48,Syndra,"3,817",2.38:1,49.41%,7.35%,5.09%,201.11,"11,469"
49,Wukong,"3,803",2.81:1,50.35%,7.32%,3.22%,170.09,"11,159"
50,Kindred,"3,683",2.69:1,52.62%,7.09%,8.66%,171,"11,397"
51,Seraphine,"3,580",3.3:1,51.56%,6.89%,1.7%,90.35,"8,753"
52,Aatrox,"3,560",1.87:1,47.95%,6.86%,5.52%,175.94,"10,454"
53,Ekko,"3,560",2.87:1,51.97%,6.86%,1.46%,185.29,"11,895"
54,Leona,"3,475",2.43:1,49.04%,6.69%,2.92%,26.13,"7,199"
55,Elise,"3,446",2.77:1,52.12%,6.64%,10.12%,138.88,"10,962"
56,Bard,"3,295",3.44:1,51.75%,6.35%,1.39%,25.62,"7,695"
57,Kha'Zix,"3,243",2.77:1,49.8%,6.25%,6.43%,179.1,"11,678"
58,Swain,"3,215",2.67:1,50.76%,6.19%,2.28%,153.34,"10,154"
59,Hecarim,"3,198",2.98:1,51.63%,6.16%,5.21%,195.66,"11,623"
60,Karthus,"3,174",2.42:1,52.14%,6.11%,12.41%,201.34,"12,359"
61,Draven,"3,159",2.22:1,52.23%,6.08%,31.3%,194.3,"12,972"
62,Camille,"3,143",2.01:1,49.86%,6.05%,2.05%,158.4,"10,727"
63,Taliyah,"3,091",2.7:1,53.32%,5.95%,2.16%,191.15,"11,384"
64,Blitzcrank,"3,057",2.69:1,50.77%,5.89%,9.93%,24.48,"7,345"
65,Gwen,"2,973",1.93:1,52.81%,5.73%,4.53%,198.56,"11,779"
66,Jarvan IV,"2,966",3.38:1,48.69%,5.71%,1.89%,154.14,"10,684"
67,Tahm Kench,"2,966",2.48:1,50.37%,5.71%,2.1%,66.88,"8,448"
68,Vladimir,"2,966",2.43:1,50.91%,5.71%,5.76%,194.32,"10,923"
69,Senna,"2,941",3.18:1,52.4%,5.66%,1.26%,34.62,"8,796"
70,Zyra,"2,915",2.81:1,50.36%,5.61%,5.16%,153.97,"10,256"
71,Orianna,"2,890",2.87:1,51.38%,5.57%,2.09%,196.29,"10,813"
72,Vi,"2,870",2.69:1,48.19%,5.53%,1.06%,159.99,"10,432"
73,Alistar,"2,793",2.65:1,49.77%,5.38%,1.53%,23.51,"7,072"
