Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
1,Lux,"779,633",2.47:1,50.33%,29.96%,36.1%,85.24,"9,916"
2,Caitlyn,"703,137",2.07:1,48.91%,27.02%,32.59%,169.41,"11,790"
3,Miss Fortune,"681,488",2.36:1,50.5%,26.19%,11.85%,158.02,"11,848"
4,Jinx,"542,649",2.13:1,48.43%,20.85%,7.89%,165.78,"11,395"
5,Warwick,"535,497",2.1:1,52.16%,20.58%,34.58%,151.78,"11,739"
6,Ashe,"497,817",2.17:1,47.96%,19.13%,13.11%,149.61,"10,862"
7,Yone,"479,888",1.65:1,47.6%,18.44%,14.39%,173.76,"11,202"
8,Teemo,"433,865",1.95:1,51.28%,16.67%,34.91%,155.33,"11,431"
9,Yasuo,"425,362",1.61:1,48.26%,16.35%,23.21%,177.96,"11,551"
10,Jhin,"424,746",2.59:1,49.42%,16.32%,12.79%,161.72,"11,962"
11,Morgana,"386,243",2.55:1,50.27%,14.84%,25.94%,63.74,"9,535"
12,Mordekaiser,"375,499",1.9:1,50.82%,14.43%,20.42%,154.05,"11,302"
13,Ahri,"327,724",2.26:1,48.36%,12.59%,7.39%,157.33,"10,661"
14,Sylas,"322,073",1.91:1,46.98%,12.38%,11.88%,124.73,"10,352"
15,Akali,"311,995",2.16:1,48.22%,11.99%,13.84%,143.77,"11,035"
16,Veigar,"311,441",2.24:1,51.07%,11.97%,9.26%,156,"11,632"
17,Viego,"302,329",2.14:1,48.9%,11.62%,6.91%,163.63,"11,668"
18,Seraphine,"297,168",2.58:1,48.51%,11.42%,5.13%,54.65,"8,918"
19,Master Yi,"295,042",1.82:1,48.35%,11.34%,15.86%,164.51,"12,034"
20,Tahm Kench,"292,357",2.36:1,50.33%,11.24%,13.23%,81.65,"9,818"
21,Kayn,"288,475",2.06:1,48.76%,11.09%,6.54%,166.16,"11,799"
22,Ezreal,"287,051",2.29:1,46.45%,11.03%,4.81%,156.89,"11,058"
23,Volibear,"282,554",1.9:1,49.27%,10.86%,5.77%,154.39,"10,961"
24,Sett,"279,372",1.65:1,50.44%,10.74%,4.25%,152.16,"11,252"
25,Swain,"272,532",2.31:1,50.53%,10.47%,11.33%,97.18,"10,038"
