Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
1,Jhin,"95,575",3.06:1,50.4%,26.27%,16.46%,194.47,"12,167"
2,Ashe,"84,008",2.54:1,49.66%,23.1%,28.9%,182.89,"11,067"
3,Caitlyn,"81,365",2.24:1,49.55%,22.37%,20.91%,199.98,"11,943"
4,Jinx,"73,248",2.45:1,49.43%,20.14%,4.21%,198.93,"11,550"
5,Yone,"63,538",1.82:1,49.28%,17.47%,12.75%,199.99,"11,385"
6,Maokai,"62,086",2.65:1,50.79%,17.07%,18.68%,104.34,"8,990"
7,Lux,"59,591",2.48:1,50.86%,16.38%,12.81%,76.09,"9,156"
8,Mordekaiser,"58,692",2.07:1,53.05%,16.14%,24.17%,175.94,"11,196"
9,Viego,"55,399",2.58:1,49.81%,15.23%,9.44%,172.85,"11,501"
10,Miss Fortune,"53,206",2.79:1,52.43%,14.63%,3.58%,192.21,"11,986"
11,Ahri,"52,541",2.56:1,48.66%,14.44%,4.31%,185.53,"10,796"
12,Ezreal,"48,981",2.62:1,47.66%,13.47%,3.47%,190.64,"11,394"
13,Hwei,"47,940",2.49:1,50.98%,13.18%,10.21%,191.75,"11,110"
14,Tahm Kench,"46,360",2.54:1,51.69%,12.75%,13.36%,63.86,"8,773"
15,Nautilus,"45,141",2.37:1,47.59%,12.41%,10.36%,29.36,"7,661"
16,Warwick,"44,370",2.31:1,52.61%,12.2%,43.13%,162.18,"11,320"
17,Leona,"43,096",2.46:1,49.19%,11.85%,9.57%,28.74,"7,655"
18,Aatrox,"40,746",2.01:1,49.64%,11.2%,9.34%,180.26,"10,941"
19,Nocturne,"40,407",2.74:1,50.73%,11.11%,25.94%,176.84,"11,357"
20,Akali,"40,159",2.46:1,49.87%,11.04%,10.96%,170.45,"11,120"
21,Irelia,"39,803",1.75:1,50.99%,10.94%,17.69%,219.32,"12,506"
22,Swain,"39,607",2.53:1,52.15%,10.89%,17.09%,126.75,"9,939"
23,Smolder,"39,597",2.28:1,48.27%,10.89%,5.39%,210.92,"11,756"
24,Viktor,"37,962",2.27:1,50.61%,10.44%,25.81%,194.63,"11,233"
25,Sylas,"37,710",2.1:1,48.31%,10.37%,14.56%,146.4,"10,357"
26,Galio,"37,661",2.97:1,51.6%,10.35%,15.49%,166.76,"10,164"
27,Graves,"37,337",2.47:1,48.19%,10.26%,21.21%,196.18,"12,448"
28,Zyra,"36,309",2.66:1,53.29%,9.98%,7.99%,105.42,"9,719"
29,Kayn,"36,210",2.31:1,49.67%,9.95%,4.47%,173.77,"11,455"
30,Vex,"34,071",2.35:1,48.43%,9.37%,16.48%,182.23,"10,852"
31,Thresh,"33,796",2.59:1,48.68%,9.29%,3.08%,30.94,"7,701"
32,Xerath,"33,441",2.84:1,51.19%,9.19%,14.68%,93.1,"9,663"
33,Yorick,"33,372",1.97:1,54.88%,9.17%,20.68%,210.13,"12,224"
34,Darius,"32,607",1.9:1,49.95%,8.96%,10.8%,184.04,"11,401"
35,Lee Sin,"32,403",2.68:1,47.58%,8.91%,4.62%,157.59,"11,133"
36,Renekton,"32,377",2.01:1,50.16%,8.9%,4.6%,192.26,"11,303"
37,Seraphine,"31,843",2.78:1,51.17%,8.75%,3.24%,51.49,"8,299"
38,Karma,"31,580",2.54:1,50.09%,8.68%,5.04%,42.92,"8,149"
39,Garen,"31,448",2.02:1,50.74%,8.65%,4.01%,204.89,"12,123"
40,Dr. Mundo,"30,500",2.37:1,52.45%,8.38%,3.66%,182.38,"10,927"
41,Malphite,"30,146",2.54:1,49.18%,8.29%,4.64%,158.06,"10,380"
42,Veigar,"29,819",2.56:1,52.51%,8.2%,4.71%,186.01,"11,712"
43,Yasuo,"29,812",1.67:1,49.68%,8.2%,8.29%,201.97,"11,590"
44,Skarner,"29,506",3.09:1,47.55%,8.11%,9.54%,147.22,"10,031"
45,Pyke,"29,231",2.17:1,48.93%,8.04%,44.04%,33.81,"9,026"
46,Diana,"27,999",2.22:1,49.91%,7.7%,1.58%,189.1,"11,852"
47,Morgana,"26,570",2.69:1,51.89%,7.3%,7.18%,60.07,"8,864"
48,Vi,"25,939",2.56:1,49.99%,7.13%,1.24%,163.68,"10,937"
49,Aurora,"25,727",2.5:1,47.7%,7.07%,6.27%,181.28,"10,727"
50,Sion,"25,709",1.73:1,51.81%,7.07%,2.06%,186.4,"11,540"
51,Amumu,"25,704",2.61:1,52.47%,7.07%,5.55%,156.34,"10,554"
52,Malzahar,"25,603",2.44:1,52.41%,7.04%,9.13%,226.88,"12,165"
53,Varus,"25,511",2.44:1,49.66%,7.01%,1.52%,192.96,"11,668"
54,Kai'Sa,"25,485",2.49:1,47.29%,7.01%,0.71%,203.11,"12,135"
55,Cho'Gath,"25,435",2.16:1,50.25%,6.99%,1.01%,173.69,"10,996"
56,Volibear,"25,380",2.09:1,49.86%,6.98%,2.22%,170.45,"10,868"
57,Master Yi,"25,268",2.07:1,49.2%,6.95%,8.42%,175.42,"11,819"
58,Teemo,"25,164",1.97:1,50.7%,6.92%,11.59%,167.32,"11,071"
59,K'Sante,"24,659",2.18:1,47.43%,6.78%,3.48%,179.83,"10,533"
60,Ambessa,"24,293",2.01:1,47.96%,6.68%,29.34%,175.38,"10,915"
61,Blitzcrank,"24,230",2.52:1,49.76%,6.66%,18.51%,26.88,"7,650"
62,Briar,"24,107",2.26:1,52.18%,6.63%,3.78%,169.72,"11,807"
63,Senna,"24,083",2.91:1,50.71%,6.62%,1.89%,40.99,"8,850"
64,Illaoi,"23,759",1.64:1,52.96%,6.53%,28.68%,191.12,"11,547"
65,Lulu,"22,946",3.07:1,47.68%,6.31%,3.79%,27.83,"7,516"
66,Lillia,"22,456",3.04:1,52.62%,6.17%,4.2%,179.66,"11,497"
67,Brand,"22,097",2.1:1,52.38%,6.07%,3.98%,105.49,"9,948"
68,Corki,"22,080",2.55:1,48%,6.07%,8.51%,205.99,"11,834"
69,Wukong,"22,063",2.83:1,50.74%,6.07%,2.01%,164.57,"11,064"
70,Sett,"22,063",1.76:1,51.45%,6.07%,1.03%,170.9,"11,317"
71,Nasus,"21,395",1.99:1,50.15%,5.88%,5.73%,182.04,"11,260"
72,Aphelios,"21,008",2.14:1,48.52%,5.78%,1.25%,198.35,"11,785"
73,Poppy,"20,859",2.24:1,49.46%,5.73%,6.95%,68.21,"8,902"
74,Jax,"20,318",1.82:1,47.28%,5.59%,3.03%,172.8,"11,117"
75,Gwen,"19,177",1.85:1,48%,5.27%,2.84%,188.74,"11,513"
76,Neeko,"19,042",2.42:1,51.16%,5.23%,1.99%,87.83,"9,208"
77,Shaco,"18,834",2.85:1,51.6%,5.18%,21.21%,132.14,"10,857"
78,Sivir,"18,767",2.69:1,51.29%,5.16%,1.61%,225.76,"12,101"
79,Braum,"18,738",2.86:1,49.63%,5.15%,2.52%,25.72,"7,551"
80,Ekko,"18,612",2.65:1,50.34%,5.12%,0.98%,176.41,"11,691"
81,Pantheon,"17,330",2.13:1,50.05%,4.76%,0.99%,104.59,"10,294"
82,Tristana,"16,875",2.25:1,45.88%,4.64%,0.94%,185.65,"12,065"
83,Rell,"16,813",2.82:1,48.89%,4.62%,2.19%,28.42,"7,760"
84,Yuumi,"16,231",4.52:1,42.04%,4.46%,2.67%,13.4,"6,989"
85,Ziggs,"15,299",2.73:1,53.35%,4.21%,5.24%,195.57,"11,501"
86,Katarina,"15,039",2.39:1,48.69%,4.13%,2.87%,172.35,"11,604"
87,Ornn,"14,654",2.6:1,49.81%,4.03%,0.45%,173.87,"10,419"
88,Sejuani,"14,421",3.02:1,48.4%,3.96%,0.31%,158.91,"10,353"
89,Udyr,"14,291",2.54:1,50.08%,3.93%,1.48%,174.12,"10,846"
90,Jarvan IV,"14,175",3.19:1,50.69%,3.9%,0.63%,154.35,"10,987"
91,Nami,"14,111",3.24:1,51.31%,3.88%,0.42%,25.13,"7,638"
92,Zac,"14,092",3.1:1,50.11%,3.87%,1.42%,144.75,"10,151"
93,Heimerdinger,"14,014",1.93:1,53.43%,3.85%,5.08%,165.67,"11,000"
94,Karthus,"13,989",2.39:1,49.76%,3.85%,4.52%,201.52,"12,551"
95,Aurelion Sol,"13,958",2.71:1,51.66%,3.84%,1.78%,204.59,"11,988"
96,Rakan,"13,674",2.75:1,48.49%,3.76%,0.43%,30.07,"7,556"
97,Zed,"13,611",2.34:1,48.77%,3.74%,6.78%,184.51,"11,923"
98,Vayne,"13,432",2.1:1,48.7%,3.69%,1.38%,181.69,"11,555"
99,LeBlanc,"13,418",2.75:1,48.49%,3.69%,8.84%,144,"10,667"
100,Vel'Koz,"13,401",2.49:1,53.6%,3.68%,1.19%,80.87,"9,463"
101,Syndra,"13,351",2.47:1,48.87%,3.67%,2.43%,192.12,"11,685"
102,Kindred,"13,328",2.27:1,46.8%,3.66%,1.35%,172.39,"11,567"
103,Jayce,"13,187",1.93:1,48.05%,3.63%,0.47%,198.52,"11,732"
104,Urgot,"13,033",2.14:1,52.55%,3.58%,2.04%,191.8,"11,901"
105,Gragas,"13,004",2.29:1,45.89%,3.57%,0.64%,162.23,"10,246"
106,Xayah,"12,653",2.51:1,49.31%,3.48%,0.45%,207.29,"11,812"
107,Zeri,"12,567",2.58:1,49.65%,3.45%,0.51%,227.19,"12,636"
108,Nunu & Willump,"12,307",2.71:1,48.2%,3.38%,0.5%,152.86,"10,318"
109,Xin Zhao,"12,026",2.34:1,49.57%,3.31%,0.52%,160.82,"10,972"
110,Lucian,"11,580",2.4:1,49.08%,3.18%,0.49%,201.55,"12,004"
111,Tryndamere,"11,420",1.61:1,49.96%,3.14%,2.02%,213.44,"12,267"
112,Alistar,"11,252",2.49:1,48.85%,3.09%,0.99%,29.39,"7,594"
113,Ryze,"11,020",2.33:1,50.15%,3.03%,0.43%,212.99,"11,657"
114,Kha'Zix,"11,001",2.44:1,47.42%,3.02%,1.67%,171.39,"11,700"
115,Talon,"10,995",2.32:1,48.62%,3.02%,1.29%,189.09,"11,936"
116,Naafiri,"10,875",2.34:1,51.61%,2.99%,2.06%,185.5,"11,702"
117,Trundle,"10,633",1.58:1,51.51%,2.92%,0.91%,188.98,"11,891"
118,Samira,"10,596",2.24:1,47.21%,2.91%,2.04%,185.89,"12,331"
119,Vladimir,"10,524",2.25:1,49.6%,2.89%,1.4%,196.03,"11,275"
120,Orianna,"10,021",2.61:1,48.38%,2.75%,0.83%,191.75,"11,019"
121,Fiddlesticks,"9,973",2.68:1,51.96%,2.74%,0.94%,154.01,"11,015"
122,Kog'Maw,"9,688",2.35:1,51.25%,2.66%,8.26%,189.04,"11,587"
123,Evelynn,"9,647",2.89:1,48.41%,2.65%,2.65%,158.31,"11,204"
124,Draven,"9,533",2.18:1,48.79%,2.62%,3.91%,194.92,"12,925"
125,Elise,"9,521",2.66:1,51.12%,2.62%,3%,141.37,"11,114"
126,Fizz,"8,942",2.5:1,51.36%,2.46%,2.62%,173.03,"11,984"
127,Gnar,"8,921",2.02:1,49.7%,2.45%,0.55%,185.4,"11,118"
128,Fiora,"8,871",1.52:1,48.81%,2.44%,1.96%,193.17,"11,620"
129,Camille,"8,765",1.91:1,47.54%,2.41%,0.73%,157.14,"10,791"
130,Taliyah,"8,642",2.46:1,50.36%,2.38%,0.66%,189.26,"11,610"
131,Singed,"8,518",1.99:1,52.56%,2.34%,0.59%,188.33,"11,136"
132,Riven,"8,356",1.84:1,47.58%,2.3%,0.87%,184.8,"11,355"
133,Nidalee,"8,162",2.82:1,47.41%,2.24%,1.15%,162.18,"11,090"
134,Anivia,"7,935",2.95:1,52.16%,2.18%,1.41%,181.59,"10,983"
135,Shen,"7,486",2.95:1,50.28%,2.06%,0.32%,125.84,"9,567"
136,Twitch,"7,425",2.38:1,47.87%,2.04%,1.51%,164.27,"11,809"
137,Bel'Veth,"7,374",2.49:1,49.92%,2.03%,0.8%,176.62,"11,443"
138,Soraka,"7,335",2.94:1,50.36%,2.02%,0.36%,27.14,"7,349"
139,Shyvana,"7,260",2.67:1,52.69%,2%,0.49%,201.21,"11,928"
140,Kayle,"7,227",1.84:1,49.36%,1.99%,0.56%,210.34,"11,805"
141,Twisted Fate,"6,952",2.35:1,49.27%,1.91%,0.2%,185.72,"12,013"
142,Zoe,"6,850",2.44:1,47.93%,1.88%,0.76%,131.01,"10,144"
143,Gangplank,"6,670",2.14:1,49.33%,1.83%,0.62%,208.78,"13,277"
144,Lissandra,"6,660",2.44:1,49.37%,1.83%,0.67%,181.18,"10,705"
145,Hecarim,"6,391",2.67:1,47.65%,1.76%,0.32%,184.68,"11,372"
146,Rammus,"6,126",2.81:1,48.33%,1.68%,1.38%,145.04,"10,082"
147,Sona,"6,048",2.89:1,49.8%,1.66%,0.08%,27.6,"7,678"
148,Kennen,"5,975",2.01:1,46.28%,1.64%,0.54%,169.57,"10,600"
149,Rumble,"5,852",2.14:1,48.55%,1.61%,0.31%,177.68,"11,006"
150,Nilah,"5,848",2.28:1,49.42%,1.61%,2.06%,189.76,"11,967"
151,Zilean,"5,689",3.14:1,50.85%,1.56%,0.28%,63.65,"8,392"
152,Azir,"5,575",2.06:1,48.04%,1.53%,0.21%,204.76,"11,523"
153,Taric,"5,556",2.83:1,52.41%,1.53%,0.5%,40.17,"7,755"
154,Milio,"5,255",3.56:1,50.03%,1.44%,0.15%,28.61,"7,454"
155,Bard,"5,170",3.07:1,49.42%,1.42%,0.23%,30.11,"7,916"
