Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Jhin,22609,3.08,50.37,27.39,20.65,194.45,12220,jp,bronze
2,Ashe,20131,2.58,49.74,24.39,30.77,184,11155,jp,bronze
3,Caitlyn,19443,2.3,49.88,23.56,23.98,201.19,12007,jp,bronze
4,Jinx,18357,2.48,49.67,22.24,4.71,199.9,11599,jp,bronze
5,Yone,17219,1.94,50.76,20.86,13.63,202.09,11568,jp,bronze
6,Mordekaiser,16456,2.16,53.85,19.94,29.57,177.63,11353,jp,bronze
7,Lux,15317,2.5,51.38,18.56,18.27,74.1,9186,jp,bronze
8,Miss Fortune,14864,2.91,53.38,18.01,4.97,196.32,12158,jp,bronze
9,Maokai,14847,2.7,50.34,17.99,19.49,101.5,9020,jp,bronze
10,Viego,13175,2.55,49.4,15.96,9.37,174.34,11520,jp,bronze
11,Ahri,13101,2.52,48,15.87,4.24,187.85,10855,jp,bronze
12,Hwei,12830,2.51,51.01,15.54,9.8,193.76,11200,jp,bronze
13,Tahm Kench,12100,2.56,51.82,14.66,15.74,63.86,8815,jp,bronze
14,Nautilus,11467,2.41,47.99,13.89,10.52,29,7703,jp,bronze
15,Leona,11091,2.47,48.94,13.44,11.59,28.97,7720,jp,bronze
16,Akali,11001,2.48,49.64,13.33,12.64,171.91,11214,jp,bronze
17,Warwick,10577,2.39,53.06,12.81,47.98,163.45,11435,jp,bronze
18,Nocturne,10210,2.76,50.89,12.37,31.66,177.97,11425,jp,bronze
19,Irelia,10117,1.83,51.98,12.26,19.53,220.63,12622,jp,bronze
20,Ezreal,9866,2.68,47.42,11.95,3.2,187.19,11259,jp,bronze
21,Swain,9279,2.61,53.72,11.24,19.44,123.67,9996,jp,bronze
22,Yorick,9150,1.97,55.81,11.09,25.18,212.27,12410,jp,bronze
23,Vex,9033,2.35,48.17,10.94,20.7,184.03,10933,jp,bronze
24,Galio,8862,3.08,51.95,10.74,19.32,170.54,10273,jp,bronze
25,Aatrox,8806,2.06,49.01,10.67,7.25,180.21,10899,jp,bronze
26,Dr. Mundo,8543,2.47,52.7,10.35,4.73,182.67,10974,jp,bronze
27,Zyra,8540,2.74,54.56,10.35,8.05,110.47,9875,jp,bronze
28,Darius,8255,1.97,50.14,10,10.87,183.39,11469,jp,bronze
29,Veigar,8115,2.64,52.95,9.83,6.67,190.02,11936,jp,bronze
30,Seraphine,8088,2.77,51.11,9.8,4.04,51.33,8396,jp,bronze
31,Xerath,7990,2.83,51.31,9.68,17.57,81.75,9488,jp,bronze
32,Garen,7969,2.13,52.48,9.65,4.19,204.82,12249,jp,bronze
33,Renekton,7886,2.07,50.16,9.55,4.68,191.98,11312,jp,bronze
34,Amumu,7653,2.72,53.1,9.27,8.83,159.44,10672,jp,bronze
35,Kayn,7596,2.3,49.1,9.2,3.21,173.55,11448,jp,bronze
36,Smolder,7443,2.32,49.44,9.02,2.83,210.86,11815,jp,bronze
37,Malphite,7443,2.64,50.36,9.02,3.81,157.11,10481,jp,bronze
38,Sylas,7307,2.07,47.52,8.85,12.62,143.68,10257,jp,bronze
39,Viktor,7291,2.21,49.38,8.83,21.75,189.32,11083,jp,bronze
40,Skarner,7060,3.06,47.04,8.55,9.69,149.88,10097,jp,bronze
41,Pyke,6844,2.16,48,8.29,46.99,33.01,8967,jp,bronze
42,Cho'Gath,6645,2.19,50.46,8.05,1.27,174.83,11215,jp,bronze
43,Briar,6580,2.32,52.31,7.97,4.64,171.25,11916,jp,bronze
44,Lillia,6493,3.09,53.73,7.87,4.8,178.5,11523,jp,bronze
45,Morgana,6491,2.7,51.5,7.86,5.97,58.11,8871,jp,bronze
46,Diana,6453,2.29,49.57,7.82,1.49,189.25,11871,jp,bronze
47,Yasuo,6374,1.72,50.44,7.72,7.44,201.01,11700,jp,bronze
48,Illaoi,6303,1.73,53.88,7.64,34.09,190.8,11681,jp,bronze
49,Teemo,6293,2.02,51.87,7.62,12.81,169.47,11169,jp,bronze
50,Volibear,6253,2.19,49.86,7.58,1.96,169.46,10874,jp,bronze
51,Varus,6241,2.51,50.12,7.56,1.55,192.65,11685,jp,bronze
52,Thresh,6217,2.49,47.74,7.53,2.23,31.36,7737,jp,bronze
53,Vi,6115,2.61,50.01,7.41,1.11,164.06,10888,jp,bronze
54,Karma,6036,2.45,49.85,7.31,4.28,44.32,8195,jp,bronze
55,Master Yi,5926,2.07,49.48,7.18,6.98,178.9,11982,jp,bronze
56,Sion,5850,1.81,52.6,7.09,1.48,185.72,11622,jp,bronze
57,Graves,5819,2.35,45.76,7.05,15.2,191.39,12105,jp,bronze
