Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Xerath,102,4.56,68.63,35.88,24.67,187.85,11485,jp,challenger
2,Viego,98,3.04,54.08,35.21,8.46,176.84,11907,jp,challenger
3,Graves,97,2.78,46.39,34.05,32.56,208.06,13273,jp,challenger
4,Lee Sin,76,3.77,51.32,26.86,10.07,158.71,11449,jp,challenger
5,Shaco,72,3.41,58.33,25.45,32.87,160.88,12887,jp,challenger
6,Jax,70,2.26,48.57,24.69,8.41,183.91,10814,jp,challenger
7,Akshan,62,3.84,59.68,21.92,10.96,182.52,12918,jp,challenger
8,Jinx,60,2.23,36.67,24.05,3.65,208.67,11573,jp,challenger
9,Senna,58,3.54,60.34,26.4,4.37,33.12,9017,jp,challenger
10,Corki,57,2.98,57.89,20.15,27.5,226,12909,jp,challenger
11,Pyke,55,2.25,50.91,19.44,59.07,36.82,9499,jp,challenger
12,Sylas,54,2.48,46.3,19.17,8.2,158.8,10979,jp,challenger
13,Gnar,54,2.83,51.85,19.17,7.28,207.57,11836,jp,challenger
14,Karthus,53,2.66,58.49,18.72,43.9,211.34,13364,jp,challenger
15,K'Sante,47,2.31,36.17,17.13,15.78,188.94,10682,jp,challenger
16,Ambessa,45,2.68,53.33,15.91,42.45,190.78,11551,jp,challenger
17,Kayn,43,3.1,72.09,16.53,7.34,211.79,13467,jp,challenger
18,Malzahar,42,2.94,52.38,19,6.02,243.88,12227,jp,challenger
19,Nidalee,40,3.25,52.5,14.14,14.88,160.2,11256,jp,challenger
20,Aatrox,39,2.81,46.15,14.25,6.39,180.64,10955,jp,challenger
21,Hecarim,39,2.92,48.72,19.17,3.29,218.56,12663,jp,challenger
22,Nilah,39,3.53,64.1,13.76,11.84,214.03,12885,jp,challenger
23,Wukong,38,2.45,39.47,17,1.3,166.63,11077,jp,challenger
24,Talon,38,2.57,47.37,14.5,7.21,203.16,11955,jp,challenger
