Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Jhin,2059,2.89,46.33,24.52,5.73,196.08,11806,jp,diamond
2,Viego,1598,2.61,48.81,19.03,12.62,173.59,11568,jp,diamond
3,Ashe,1480,2.46,47.91,17.63,24.01,187.81,10816,jp,diamond
4,Ezreal,1389,2.59,50.32,16.54,3.72,198.01,11294,jp,diamond
5,Graves,1346,2.51,50.22,16.03,37.37,198.69,12587,jp,diamond
6,Maokai,1293,2.4,48.41,15.4,15.76,114.52,8716,jp,diamond
7,Viktor,1256,2.29,50.08,15.03,33.97,200.15,11133,jp,diamond
8,Karma,1250,2.72,51.44,14.89,7.4,51.26,8120,jp,diamond
9,Lee Sin,1226,2.86,47.88,14.6,8.71,161.63,11184,jp,diamond
10,Jinx,1186,2.55,49.24,14.13,2.19,204.31,11372,jp,diamond
11,Lulu,1168,3.3,51.97,13.91,8.4,27.44,7412,jp,diamond
12,Corki,1132,2.65,49.2,13.48,21.67,211.22,11905,jp,diamond
13,Caitlyn,1124,2.2,47.06,13.39,8.12,208.51,11955,jp,diamond
14,Sylas,1096,2.2,49.82,13.05,13.56,149.16,10337,jp,diamond
15,Yone,1074,1.7,47.39,12.79,7.05,208.31,11400,jp,diamond
16,K'Sante,1035,2.33,49.57,12.33,11.36,180.43,10330,jp,diamond
17,Smolder,997,2.11,46.64,11.87,6.94,210.4,11376,jp,diamond
18,Thresh,953,2.67,48.69,11.35,3.89,27.66,7456,jp,diamond
19,Kayn,927,2.38,53.29,11.04,10.02,181.21,11820,jp,diamond
20,Xerath,912,3.2,54.5,10.86,12.4,145.94,10513,jp,diamond
21,Ambessa,901,1.97,50.06,10.73,44.19,180.31,10904,jp,diamond
22,Hwei,890,2.67,48.65,10.6,10,194.89,11037,jp,diamond
23,Nautilus,876,2.42,48.63,10.43,6.39,28.85,7464,jp,diamond
24,Galio,828,2.85,53.74,9.86,8.06,154.2,9772,jp,diamond
25,Yasuo,820,1.81,50.73,9.77,13.54,206.95,11283,jp,diamond
26,Zyra,794,2.76,51.39,9.46,3.83,147.11,10438,jp,diamond
27,Ekko,784,2.71,53.57,9.34,1.89,182.89,11866,jp,diamond
28,Swain,749,2.42,47.8,8.92,7.37,145.76,10134,jp,diamond
29,Varus,747,2.46,49.8,8.9,2.47,193.47,11323,jp,diamond
30,Skarner,747,3.21,50.6,8.9,12.15,140.64,9995,jp,diamond
31,Kai'Sa,746,2.62,49.73,8.89,0.38,210.19,12304,jp,diamond
32,Ahri,740,2.79,49.59,8.81,2.87,192.66,10839,jp,diamond
33,Aatrox,737,1.85,48.44,8.78,8.73,182.89,10773,jp,diamond
34,Tahm Kench,728,2.38,50.82,8.67,5.17,63.3,8338,jp,diamond
35,Pyke,710,2.22,49.3,8.46,61.24,36.43,9072,jp,diamond
36,Aphelios,709,2.11,48.8,8.44,1.35,209.52,12038,jp,diamond
37,Aurora,673,2.6,48.44,8.02,13.88,186.15,10786,jp,diamond
38,Ryze,669,2.26,49.18,7.97,0.97,212.37,11468,jp,diamond
39,Talon,657,2.51,50.68,7.83,6.94,189.14,11942,jp,diamond
40,Irelia,651,1.58,50.54,7.75,13.93,224.32,12268,jp,diamond
41,Renekton,637,1.9,51.02,7.59,4.92,195.81,11259,jp,diamond
42,Darius,632,1.95,50.47,7.53,10.83,188.31,11259,jp,diamond
43,Braum,631,2.84,50.71,7.52,5.16,24.62,7111,jp,diamond
44,Akali,626,2.58,51.28,7.46,11.14,178.09,11216,jp,diamond
