Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Jhin,5507,2.97,49.36,24.44,8.87,199.76,12228,jp,emerald
2,Ashe,4452,2.56,50.47,19.76,27.19,192.38,11197,jp,emerald
3,Graves,3946,2.52,50.08,17.52,38.2,200.52,12726,jp,emerald
4,Caitlyn,3797,2.2,49.49,16.85,15.13,209.37,12202,jp,emerald
5,Ezreal,3747,2.59,48.79,16.63,3.05,199.93,11528,jp,emerald
6,Jinx,3743,2.53,50.12,16.61,2.27,209.94,11851,jp,emerald
7,Maokai,3715,2.51,50.15,16.49,17.92,108.65,8916,jp,emerald
8,Viego,3649,2.74,50.84,16.2,9.85,175.7,11840,jp,emerald
9,Lee Sin,3478,2.82,48.33,15.44,8.58,161.73,11311,jp,emerald
10,Aatrox,3243,1.97,50.32,14.39,13.06,183.4,11050,jp,emerald
11,Yone,3077,1.72,47.29,13.66,9.8,208.18,11563,jp,emerald
12,Sylas,3061,2.11,49.62,13.59,18.45,151.41,10603,jp,emerald
13,Viktor,3048,2.23,51.08,13.53,33.79,199.99,11267,jp,emerald
14,Smolder,2889,2.18,44.96,12.82,10.37,218.3,11918,jp,emerald
15,Thresh,2700,2.73,46.74,11.98,4.36,29.37,7576,jp,emerald
16,Karma,2571,2.7,49.82,11.41,5.65,43.1,8021,jp,emerald
17,Hwei,2471,2.61,50.75,10.97,10.9,199.08,11354,jp,emerald
18,Lulu,2423,3.35,48.58,10.76,9.79,26.24,7494,jp,emerald
19,Kayn,2331,2.32,51.44,10.35,7.67,180.78,11687,jp,emerald
20,Zyra,2302,2.66,49.96,10.22,6.24,109.44,9681,jp,emerald
21,Corki,2289,2.65,49.02,10.16,17.27,209.7,11885,jp,emerald
22,Tahm Kench,2264,2.46,50.84,10.05,8.03,61.56,8553,jp,emerald
23,Swain,2228,2.48,50.22,9.89,10.56,131.88,9936,jp,emerald
24,Nautilus,2193,2.39,48.2,9.73,8.53,30.24,7619,jp,emerald
25,Ahri,2193,2.79,49.84,9.73,2.88,191.89,10986,jp,emerald
26,Galio,2182,2.93,51.37,9.69,10.38,160.75,10091,jp,emerald
27,K'Sante,2120,2.25,49.15,9.41,8.05,182.69,10620,jp,emerald
28,Mordekaiser,2047,1.82,49.88,9.09,10.23,180.31,10962,jp,emerald
29,Xerath,2035,2.99,49.98,9.03,7.37,118.46,10063,jp,emerald
30,Lux,1998,2.5,48.05,8.87,2.05,85.1,9307,jp,emerald
31,Irelia,1941,1.63,50.08,8.62,16.26,230.08,12752,jp,emerald
32,Yasuo,1907,1.59,46.62,8.46,8.87,205.5,11386,jp,emerald
33,Leona,1885,2.54,49.6,8.37,5.06,29,7639,jp,emerald
34,Warwick,1869,2.21,49.97,8.3,33.23,166.8,11355,jp,emerald
35,Kai'Sa,1868,2.44,46.47,8.29,0.91,209.6,12252,jp,emerald
36,Varus,1786,2.36,50.28,7.93,1.28,199.17,11899,jp,emerald
37,Senna,1770,2.94,52.15,7.86,2.44,36.74,8797,jp,emerald
38,Sivir,1735,2.65,51.3,7.7,2.56,225.65,12143,jp,emerald
39,Akali,1732,2.52,50.35,7.69,8.46,182.25,11433,jp,emerald
40,Pyke,1719,2.31,52.24,7.63,47.89,34.04,9142,jp,emerald
41,Ambessa,1717,2.02,51.31,7.62,45.55,179.6,11009,jp,emerald
42,Skarner,1687,3.46,50.03,7.49,10.35,147.43,10193,jp,emerald
43,Ekko,1679,2.67,50.27,7.45,1.93,183.12,11940,jp,emerald
44,Braum,1669,2.91,50.21,7.41,4.17,25.13,7429,jp,emerald
45,Aurora,1664,2.77,50.66,7.39,10.98,189.32,10988,jp,emerald
46,Nocturne,1650,2.85,49.82,7.32,10.91,181.68,11455,jp,emerald
47,Renekton,1587,1.96,50.16,7.04,4.58,197.96,11433,jp,emerald
48,Darius,1580,1.95,51.96,7.01,11.16,191.85,11573,jp,emerald
49,Miss Fortune,1560,2.71,52.5,6.92,0.55,203.57,12285,jp,emerald
50,Malzahar,1557,2.27,48.94,6.91,7.08,221.18,11789,jp,emerald
51,Diana,1549,2.15,50.16,6.88,1.44,190.69,11976,jp,emerald
52,Garen,1528,1.91,49.35,6.78,2.05,213.49,12108,jp,emerald
53,Nami,1486,3.38,51.14,6.6,0.61,25.17,7511,jp,emerald
54,Zed,1485,2.49,51.04,6.59,10.22,187.49,11918,jp,emerald
55,Gragas,1474,2.44,48.3,6.54,1.5,168.21,10445,jp,emerald
56,Vladimir,1468,2.36,50.61,6.52,3.41,202.6,11557,jp,emerald
57,Seraphine,1417,3.07,51.31,6.29,1.02,73.6,8606,jp,emerald
