Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Jhin,14207,3.01,50.28,25.61,11.98,201.03,12409,jp,gold
2,Caitlyn,11801,2.25,49.74,21.27,19.64,208.07,12291,jp,gold
3,Ashe,11134,2.49,49.05,20.07,27.11,189.5,11310,jp,gold
4,Jinx,10304,2.5,49.95,18.57,3.31,207.45,11876,jp,gold
5,Maokai,9303,2.68,51.22,16.77,18.22,115.32,9245,jp,gold
6,Ezreal,8388,2.62,47.88,15.12,3.35,197.21,11673,jp,gold
7,Viego,8003,2.61,49.18,14.42,8.63,174.76,11643,jp,gold
8,Smolder,7646,2.27,48.09,13.78,8.15,216.39,12005,jp,gold
9,Yone,7637,1.74,47.54,13.76,12.02,208.42,11654,jp,gold
10,Graves,7605,2.47,48.38,13.71,24.86,199.88,12641,jp,gold
11,Mordekaiser,7595,2.05,52.65,13.69,21.65,183.89,11475,jp,gold
12,Viktor,7260,2.37,52.23,13.09,30.22,199.79,11474,jp,gold
13,Tahm Kench,7112,2.54,51.6,12.82,13.28,66.81,8844,jp,gold
14,Lux,6980,2.53,51.45,12.58,6,82.73,9442,jp,gold
15,Miss Fortune,6695,2.73,52.47,12.07,2.2,199.25,12318,jp,gold
16,Hwei,6693,2.62,52.56,12.06,10.82,193.78,11297,jp,gold
17,Ahri,6553,2.68,49.78,11.81,4.11,191.67,11118,jp,gold
18,Swain,6543,2.51,51.95,11.79,17.14,131.48,10021,jp,gold
19,Sylas,6395,2.15,49.12,11.53,16.61,150.91,10632,jp,gold
20,Lee Sin,6344,2.71,48.53,11.43,6.62,158.19,11265,jp,gold
21,Aatrox,6324,2,49.98,11.4,12.29,184.55,11172,jp,gold
22,Kayn,6049,2.36,50.27,10.9,4.96,176.42,11632,jp,gold
23,Zyra,5944,2.66,53.7,10.71,9.38,107.7,9803,jp,gold
24,Warwick,5919,2.31,52.59,10.67,38.9,165.57,11542,jp,gold
25,Nautilus,5738,2.39,46.99,10.34,10.74,31.2,7770,jp,gold
26,Thresh,5576,2.72,50.25,10.05,4.1,31.59,7817,jp,gold
27,Karma,5566,2.62,51.8,10.03,6.55,44.31,8300,jp,gold
28,Nocturne,5282,2.83,50.8,9.52,23.03,181.59,11656,jp,gold
29,Irelia,5181,1.76,52.27,9.34,15.93,228.07,12913,jp,gold
30,Yasuo,5140,1.64,48.83,9.26,9.28,207.59,11747,jp,gold
