Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Corki,208,2.9,50.96,28.74,26.36,225.38,12396,jp,grandmaster
2,Graves,203,2.85,52.22,28.05,31.64,192.78,12454,jp,grandmaster
3,Lee Sin,185,2.89,42.7,25.56,10.58,166.86,11406,jp,grandmaster
4,Viego,173,2.53,53.18,23.9,10,177.75,11767,jp,grandmaster
5,Swain,165,2.87,46.06,23.72,4.5,152.21,10322,jp,grandmaster
6,Jhin,158,3.4,48.1,21.83,5.54,204.66,12129,jp,grandmaster
7,Ashe,151,2.56,45.7,20.86,23.05,191.42,10679,jp,grandmaster
8,Nidalee,144,3.64,52.78,19.9,13.03,177.31,11813,jp,grandmaster
9,Shaco,137,2.75,56.2,18.93,33.47,53.61,8591,jp,grandmaster
10,Karma,134,3.18,52.24,18.52,7.41,38.37,8284,jp,grandmaster
11,Viktor,131,2.38,45.04,25.46,46.21,210.27,11227,jp,grandmaster
12,Sylas,127,2.63,48.82,17.55,9.71,172.38,10738,jp,grandmaster
13,Smolder,122,2.42,45.9,16.86,6.2,227.64,11940,jp,grandmaster
14,Maokai,122,2.44,55.74,16.86,12.16,103.53,8556,jp,grandmaster
15,Elise,121,2.57,57.02,16.72,28.92,146.28,11626,jp,grandmaster
16,Kindred,120,2.54,47.5,17.7,2.08,190.82,11304,jp,grandmaster
17,K'Sante,117,2.52,57.26,16.17,13.98,187.49,10806,jp,grandmaster
18,Lulu,110,3.95,50.91,15.33,6.51,28.95,7337,jp,grandmaster
19,Hwei,104,2.78,50,14.37,4.31,178.69,11048,jp,grandmaster
20,Xerath,100,3.41,56,13.82,23.03,182.01,10754,jp,grandmaster
21,Skarner,99,3.76,48.48,13.8,14.86,151.84,10214,jp,grandmaster
22,Diana,99,2.51,60.61,14.44,1.34,199.48,11926,jp,grandmaster
23,Evelynn,97,2.72,39.18,13.4,15.55,183.85,11909,jp,grandmaster
24,Aphelios,97,2.47,56.7,13.81,1.24,212.79,12044,jp,grandmaster
25,Ezreal,96,2.68,48.96,13.38,5.05,213.38,12220,jp,grandmaster
26,Ambessa,96,2.35,53.13,13.27,43.61,178.94,10537,jp,grandmaster
