Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Jhin,18809,3.11,50.83,28.18,24.11,180.1,11641,jp,iron
2,Ashe,18301,2.5,49.01,27.41,32.17,167.29,10524,jp,iron
3,Caitlyn,17759,2.19,49.09,26.6,25.1,184.01,11286,jp,iron
4,Jinx,16340,2.34,49.16,24.48,6.54,181.98,10969,jp,iron
5,Lux,15877,2.39,50.73,23.78,24.16,68.32,8775,jp,iron
6,Yone,14591,1.79,49.52,21.86,15.98,183.97,10793,jp,iron
7,Mordekaiser,14586,2.06,53.07,21.85,28.84,164.03,10794,jp,iron
8,Miss Fortune,13576,2.81,52.69,20.34,5.77,178.71,11443,jp,iron
9,Ahri,13398,2.29,47.01,20.07,5.77,173.08,10228,jp,iron
10,Maokai,12006,2.57,50.91,17.98,18.77,87.79,8608,jp,iron
11,Leona,11321,2.31,48.81,16.96,11.82,27.18,7489,jp,iron
12,Nocturne,10691,2.52,49.42,16.01,32.98,168.91,10872,jp,iron
13,Warwick,10636,2.22,52.1,15.93,51.45,154.4,10924,jp,iron
14,Vex,10622,2.15,47.09,15.91,25.15,171.03,10310,jp,iron
15,Nautilus,10078,2.27,47.95,15.1,11.05,27.16,7538,jp,iron
16,Akali,9724,2.32,49.41,14.57,14.54,157.6,10621,jp,iron
17,Viego,9422,2.34,48.95,14.11,10.5,164.62,10897,jp,iron
18,Irelia,8946,1.68,48.55,13.4,19.56,201.67,11738,jp,iron
19,Seraphine,8797,2.59,50.53,13.18,5.7,42.58,7960,jp,iron
20,Hwei,8760,2.3,51.15,13.12,9.78,179.47,10590,jp,iron
21,Galio,8008,2.87,51.1,12,21.03,164.59,9919,jp,iron
22,Yorick,7849,1.96,57.04,11.76,25.39,199.27,11957,jp,iron
23,Amumu,7773,2.58,54.72,11.64,9.93,157.05,10452,jp,iron
24,Dr. Mundo,7595,2.38,53.59,11.38,5.3,172.14,10559,jp,iron
25,Tahm Kench,7253,2.42,51.37,10.86,13.71,56.72,8514,jp,iron
26,Veigar,7228,2.54,54.12,10.83,6.87,175.41,11277,jp,iron
27,Renekton,7165,1.96,50.03,10.73,5.38,180.26,10792,jp,iron
28,Ezreal,6986,2.48,44.3,10.46,3.5,169.23,10582,jp,iron
29,Xerath,6848,2.65,51.14,10.26,21.61,77.72,9142,jp,iron
30,Cho'Gath,6543,2.01,49.34,9.8,1.8,160.61,10526,jp,iron
31,Aatrox,6540,1.87,48.15,9.8,6.42,167.42,10303,jp,iron
32,Briar,6531,2.18,53.45,9.78,5.48,163.82,11448,jp,iron
33,Skarner,6419,2.72,46.08,9.62,10.11,143.05,9645,jp,iron
34,Swain,6357,2.47,51.83,9.52,16.71,112.54,9458,jp,iron
35,Kayn,6043,2.13,48.4,9.05,3.29,162.38,10811,jp,iron
36,Zyra,5824,2.57,52.75,8.72,5.44,94.96,9373,jp,iron
37,Volibear,5763,2.14,49.12,8.63,1.83,159.76,10332,jp,iron
38,Illaoi,5763,1.7,52.33,8.63,40.11,176.67,10986,jp,iron
39,Pyke,5755,2.1,49.49,8.62,50.35,32.32,8755,jp,iron
40,Vi,5619,2.45,50.33,8.42,1.19,159.78,10677,jp,iron
41,Diana,5598,2.15,49.82,8.39,1.52,181,11395,jp,iron
42,Morgana,5583,2.55,51.93,8.36,4.44,52.01,8647,jp,iron
43,Darius,5578,1.75,46.29,8.36,9.3,168.5,10624,jp,iron
44,Smolder,5518,2.29,48.55,8.27,1.43,192.28,11039,jp,iron
45,Aurora,5506,2.26,45.77,8.25,4.39,166.94,10105,jp,iron
46,Blitzcrank,5460,2.41,49.93,8.18,15.95,25.03,7521,jp,iron
47,Malphite,5383,2.46,48.54,8.06,2.89,149.83,10088,jp,iron
48,Teemo,5374,1.91,50.26,8.05,14.68,159.74,10754,jp,iron
49,Sylas,5367,1.97,46.56,8.04,12.42,134.22,9739,jp,iron
50,Master Yi,5036,1.94,48.45,7.54,4.52,166.57,11266,jp,iron
51,Garen,5016,2.09,51.08,7.51,3.59,188.24,11499,jp,iron
52,Lillia,4837,2.93,52.43,7.25,4.33,170.68,11193,jp,iron
53,Thresh,4830,2.3,47.62,7.24,2.2,30.38,7505,jp,iron
54,Sett,4720,1.79,52.71,7.07,1.56,164.02,11009,jp,iron
55,Neeko,4522,2.31,50.27,6.77,2.78,86.3,8976,jp,iron
56,Gwen,4496,1.69,45.8,6.73,3.3,173.38,10861,jp,iron
57,Karma,4460,2.2,47.17,6.68,3.44,39.81,7858,jp,iron
58,Kai'Sa,4443,2.39,46.48,6.66,0.69,188.58,11511,jp,iron
59,Nasus,4429,2.05,50.55,6.63,4.04,173.61,11043,jp,iron
60,Rell,4321,2.75,50.75,6.47,3.3,28.05,7660,jp,iron
61,Senna,4291,2.84,48.85,6.43,1.7,40.28,8596,jp,iron
62,Varus,4025,2.46,47.9,6.03,1.9,176.81,10951,jp,iron
63,Yasuo,4023,1.67,49.59,6.03,5.91,183.39,10976,jp,iron
64,Ambessa,3979,1.97,47.55,5.96,16.3,163.29,10429,jp,iron
65,Viktor,3943,2,47.35,5.91,18.94,173.31,10359,jp,iron
66,Wukong,3886,2.74,49.82,5.82,2.42,156.55,10560,jp,iron
67,Poppy,3848,2.06,47.35,5.76,3.86,49.43,8449,jp,iron
68,Jax,3790,1.81,47.18,5.68,1.84,157.55,10624,jp,iron
69,Brand,3633,2.15,53.65,5.44,3.62,95.85,9626,jp,iron
70,Malzahar,3598,2.48,52.72,5.39,6.87,219.34,11953,jp,iron
71,Sion,3597,1.79,52.54,5.39,1.05,177.97,11204,jp,iron
