Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Ashe,393,2.67,52.67,22.37,23.08,189.51,10902,jp,master
2,Jhin,358,3.05,53.35,20.47,5.89,197.15,11715,jp,master
3,Maokai,349,2.5,53.58,19.86,13.03,112.21,8878,jp,master
4,Viego,340,2.74,47.94,19.44,10.65,175.19,11769,jp,master
5,Graves,324,2.71,48.46,18.44,34.38,199.31,12796,jp,master
6,Xerath,315,3.17,55.56,17.93,18.85,167.58,10553,jp,master
7,Yasuo,305,1.78,47.21,17.36,17.8,209.39,11364,jp,master
8,Nautilus,300,2.42,49.33,17.08,4.97,29.54,7515,jp,master
9,Yone,280,1.79,50.71,15.94,6.1,203.09,11090,jp,master
10,Ezreal,279,2.62,49.46,15.88,3.97,199.52,11154,jp,master
11,Viktor,272,2.46,49.26,18.63,38.6,205.6,11376,jp,master
12,Karma,253,2.97,52.17,14.4,6.81,35.73,7786,jp,master
13,Lulu,245,3.18,45.71,13.95,6.99,25.47,7069,jp,master
14,Sylas,243,2.23,46.91,13.83,10.36,157.89,10210,jp,master
15,Lee Sin,238,3.03,52.52,13.55,9.55,164.79,11150,jp,master
16,K'Sante,229,2.26,48.03,13.03,15.16,180.38,10199,jp,master
17,Corki,224,2.64,51.79,12.75,28.31,214.71,12157,jp,master
18,Jinx,218,2.49,48.17,12.41,2.73,208.92,11636,jp,master
19,Gragas,212,2.28,50.94,12.07,4.05,172.33,10561,jp,master
20,Swain,210,2.54,50,11.95,4.91,116.92,9383,jp,master
21,Caitlyn,204,2.4,50,11.61,7.52,208.91,12032,jp,master
22,Aurora,204,2.77,50.98,11.61,19.53,187.66,10678,jp,master
23,Smolder,203,2.26,47.78,11.55,7.47,210.18,11424,jp,master
24,Galio,203,2.91,50.74,11.55,9.18,148.6,9538,jp,master
25,Ambessa,199,2.08,49.25,11.33,42.34,178.1,10699,jp,master
26,Nidalee,199,3.28,52.26,11.33,12.52,176.4,11635,jp,master
27,Thresh,197,2.92,47.72,11.21,2.98,28.45,7261,jp,master
28,Pyke,191,2.46,49.74,10.87,65.3,32.5,8749,jp,master
29,Akali,189,2.44,48.15,10.76,13.51,173.56,10958,jp,master
30,Vladimir,188,2.23,46.28,10.7,4.75,197.65,10836,jp,master
31,Varus,185,2.44,51.35,11.41,1.95,197.36,11412,jp,master
32,Aphelios,179,2.5,54.75,10.23,1.78,210.82,12194,jp,master
33,Tahm Kench,169,3,55.62,9.66,3.77,78.19,8801,jp,master
34,Braum,168,2.95,47.02,9.56,4.68,24.42,7180,jp,master
35,Darius,163,2.21,54.6,9.28,10.24,187.66,11229,jp,master
36,Kayn,162,2.24,48.15,9.22,8.13,174.71,11264,jp,master
37,Aatrox,160,1.98,52.5,9.11,7.29,177.22,10575,jp,master
38,Sion,159,2.25,55.35,11.21,1.01,178.06,10685,jp,master
39,Renekton,157,1.98,45.86,8.94,6.19,191.42,10659,jp,master
40,Talon,155,2.57,42.58,8.82,7.01,186.83,11592,jp,master
41,Skarner,151,3.28,49.01,8.59,12,147.62,10238,jp,master
42,Leona,145,2.54,53.1,8.25,1.98,27.01,7477,jp,master
43,Camille,144,2.25,59.03,8.23,1.14,164.53,11065,jp,master
44,Mordekaiser,143,2.05,48.95,8.14,4.23,175.76,10485,jp,master
45,Hwei,136,2.95,55.88,7.74,5.44,200,11184,jp,master
46,Jayce,132,1.76,46.97,7.55,0.82,199.04,11140,jp,master
47,Blitzcrank,124,2.95,56.45,7.06,8.55,26.35,7362,jp,master
48,Dr. Mundo,120,2.27,48.33,7.08,0.44,192.29,10841,jp,master
49,Irelia,120,1.55,52.5,6.83,6.59,215.84,11827,jp,master
50,Bel'Veth,117,2.87,52.14,6.66,8.17,172.16,11736,jp,master
51,Rakan,116,3.4,59.48,6.6,0.5,28.38,7321,jp,master
52,Poppy,114,2.35,58.77,6.49,10.96,66.68,8275,jp,master
53,Fiora,114,1.78,59.65,6.49,10.02,204.2,12026,jp,master
54,Yuumi,113,3.97,33.63,6.43,3.94,16.88,6952,jp,master
