Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Jhin,9743,3.05,50.42,24.46,10.14,201.14,12337,jp,platinum
2,Ashe,8415,2.55,50.26,21.13,25.07,191.02,11285,jp,platinum
3,Caitlyn,7726,2.2,49.9,19.4,15.42,208.78,12240,jp,platinum
4,Maokai,6582,2.6,51,16.53,18.67,111.9,9030,jp,platinum
5,Graves,6295,2.54,49.45,15.8,32.53,200.2,12705,jp,platinum
6,Jinx,6257,2.48,48.04,15.71,2.53,208.13,11827,jp,platinum
7,Ezreal,6142,2.64,48.53,15.42,4.07,198.57,11684,jp,platinum
8,Viego,5902,2.73,51.14,14.82,9.11,176.86,11832,jp,platinum
9,Smolder,5615,2.28,48.03,14.1,10.1,215.39,11874,jp,platinum
10,Viktor,5508,2.32,51.51,13.83,33.03,200.41,11420,jp,platinum
11,Lee Sin,5073,2.69,47.49,12.74,8.25,159.93,11232,jp,platinum
12,Sylas,5052,2.13,48.38,12.68,18.52,150.91,10489,jp,platinum
13,Yone,5039,1.72,47.79,12.65,10.16,209.54,11638,jp,platinum
14,Tahm Kench,4904,2.57,51.35,12.31,11.32,63.69,8696,jp,platinum
15,Aatrox,4798,1.95,50.81,12.05,12.3,184.76,11139,jp,platinum
16,Hwei,4729,2.52,50.01,11.87,10.86,194.46,11135,jp,platinum
17,Ahri,4542,2.89,51.67,11.4,3.85,192.68,11167,jp,platinum
18,Thresh,4521,2.73,49.24,11.35,4.36,30.19,7695,jp,platinum
19,Swain,4440,2.46,50.36,11.15,14.97,138.33,10110,jp,platinum
20,Warwick,4440,2.28,51.78,11.15,35.96,166.28,11473,jp,platinum
21,Kayn,4402,2.36,49.89,11.05,6.48,177.31,11613,jp,platinum
22,Karma,4388,2.68,50.3,11.02,6.22,39.08,8100,jp,platinum
23,Lux,4305,2.6,49.85,10.81,3.73,87.18,9415,jp,platinum
24,Mordekaiser,4298,1.95,52.26,10.79,15.38,183.21,11258,jp,platinum
25,Zyra,3992,2.6,51.5,10.02,8.26,110.93,9754,jp,platinum
26,Galio,3971,2.92,50.52,9.97,11.19,166.89,10264,jp,platinum
27,Lulu,3917,3.3,49.3,9.83,7.46,26.94,7577,jp,platinum
28,Nautilus,3821,2.42,48.55,9.59,9.63,32.39,7728,jp,platinum
29,Yasuo,3604,1.61,49.25,9.05,9.16,208.23,11707,jp,platinum
30,Miss Fortune,3602,2.7,51.55,9.04,1.18,199.01,12145,jp,platinum
31,Corki,3517,2.59,48.31,8.83,12.48,208.16,11948,jp,platinum
32,Xerath,3474,2.97,50.95,8.72,9.38,107.02,10042,jp,platinum
33,Irelia,3438,1.68,50.73,8.63,15.02,227.21,12753,jp,platinum
34,Leona,3402,2.64,51.82,8.54,6.16,29.94,7695,jp,platinum
35,Kai'Sa,3272,2.57,49.57,8.21,1.15,209.29,12399,jp,platinum
36,Aurora,3265,2.64,47.69,8.2,10.18,190.46,11070,jp,platinum
37,K'Sante,3258,2.2,47.97,8.18,5.44,182.63,10625,jp,platinum
38,Renekton,3253,2,50.2,8.17,4.65,199.18,11573,jp,platinum
39,Akali,3160,2.42,49.24,7.93,7.75,177.03,11272,jp,platinum
40,Malzahar,3156,2.34,50.95,7.92,8.74,222.88,11894,jp,platinum
41,Nocturne,3112,2.9,52.31,7.81,16.41,180.71,11551,jp,platinum
42,Pyke,3049,2.14,48.54,7.65,39.25,35.71,9189,jp,platinum
43,Sion,3038,1.66,51.05,7.63,2.64,190.62,11494,jp,platinum
44,Darius,2970,1.83,50.74,7.46,10.89,190.49,11537,jp,platinum
45,Diana,2963,2.21,49.31,7.44,1.73,193.12,12021,jp,platinum
46,Garen,2908,1.91,50.48,7.3,3.18,210.18,12115,jp,platinum
