Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Jhin,19096,3.08,50.65,26.36,15.6,199.24,12423,jp,silver
2,Caitlyn,16353,2.28,49.72,22.57,21.36,205.27,12235,jp,silver
3,Ashe,16079,2.57,50.15,22.19,28.64,188.85,11350,jp,silver
4,Jinx,14196,2.47,49.7,19.59,3.93,205.41,11820,jp,silver
5,Maokai,12128,2.73,50.96,16.74,18.77,110.8,9206,jp,silver
6,Yone,12089,1.82,49.26,16.69,12.44,206.01,11595,jp,silver
7,Lux,11544,2.55,51.13,15.93,11.46,81.3,9428,jp,silver
8,Viego,11246,2.65,50.07,15.52,8.85,174.22,11607,jp,silver
9,Mordekaiser,10873,2.12,53.55,15.01,27.66,181.9,11468,jp,silver
10,Miss Fortune,10472,2.75,51.36,14.45,3.85,197.43,12244,jp,silver
11,Tahm Kench,10369,2.57,51.93,14.31,14.55,67.98,8988,jp,silver
12,Hwei,10116,2.48,50.35,13.96,10.23,196.46,11301,jp,silver
13,Ezreal,9943,2.63,48.03,13.72,3.55,194.16,11628,jp,silver
14,Ahri,9906,2.7,49.35,13.67,4.02,191.91,11134,jp,silver
15,Warwick,8773,2.39,53.87,12.11,43.68,165.47,11506,jp,silver
16,Aatrox,8669,2.13,50.55,11.97,9.5,183.87,11185,jp,silver
17,Nautilus,8485,2.41,46.16,11.71,10.75,29.77,7707,jp,silver
18,Swain,8441,2.54,52.32,11.65,19.49,130.03,10088,jp,silver
19,Viktor,8358,2.3,50.77,11.54,26.17,197.62,11421,jp,silver
20,Smolder,8243,2.3,48.59,11.38,5.44,213.2,11883,jp,silver
21,Irelia,8125,1.83,51.9,11.21,18.12,227.1,12897,jp,silver
22,Zyra,7814,2.67,54.18,10.79,10.38,100.55,9731,jp,silver
23,Akali,7760,2.55,50.12,10.71,10.42,176.61,11425,jp,silver
24,Leona,7726,2.53,48.94,10.66,10.32,29.74,7768,jp,silver
25,Nocturne,7688,2.86,52,10.61,28.56,181.38,11678,jp,silver
26,Sylas,7554,2.1,48.6,10.43,13.95,148.43,10489,jp,silver
27,Galio,7503,3.04,52.21,10.36,14.37,170.53,10339,jp,silver
28,Kayn,7470,2.34,48.97,10.31,3.77,175.8,11611,jp,silver
29,Garen,7431,2.02,51.41,10.26,5.07,209.66,12405,jp,silver
30,Darius,7305,1.94,50.54,10.08,11.52,188.39,11694,jp,silver
31,Graves,7066,2.49,48.15,9.75,19.6,196.13,12464,jp,silver
32,Yorick,6936,2,54.34,9.57,23.89,214.55,12355,jp,silver
33,Malphite,6816,2.58,50,9.41,4.74,158.66,10597,jp,silver
34,Thresh,6618,2.59,49.06,9.13,2.83,32.27,7810,jp,silver
35,Malzahar,6359,2.49,53.34,8.78,11.15,232.47,12447,jp,silver
36,Yasuo,6336,1.68,50.11,8.75,9.09,205.83,11842,jp,silver
37,Xerath,6293,2.85,50.8,8.69,13.08,93.54,9836,jp,silver
38,Skarner,6288,3.24,47.63,8.68,9.03,150.98,10238,jp,silver
39,Lee Sin,6201,2.69,47.46,8.56,4.09,157.3,11204,jp,silver
40,Veigar,6132,2.6,51.83,8.46,4.66,189.89,11928,jp,silver
41,Renekton,5956,2.05,50.45,8.22,3.84,196.64,11511,jp,silver
42,Dr. Mundo,5858,2.43,51.76,8.09,3.74,187.14,11137,jp,silver
43,Vex,5755,2.45,48.6,7.94,15.42,191.36,11302,jp,silver
44,Karma,5709,2.52,49.54,7.88,5.1,45.08,8277,jp,silver
45,Morgana,5694,2.74,52.41,7.86,8.29,61.93,9051,jp,silver
46,Teemo,5666,2.01,51.31,7.82,12.13,167.06,11204,jp,silver
47,Diana,5659,2.27,50.87,7.81,1.64,192.02,12057,jp,silver
48,Sion,5493,1.72,51.52,7.58,2.44,185.36,11666,jp,silver
49,Varus,5474,2.48,49.89,7.56,1.54,198.41,11989,jp,silver
50,Pyke,5392,2.17,48.66,7.44,39.54,34.28,9169,jp,silver
51,Cho'Gath,5387,2.28,50.7,7.44,0.99,180.14,11285,jp,silver
52,Master Yi,5360,2.08,48.38,7.4,10.23,180.28,12054,jp,silver
53,Vi,5335,2.62,49.8,7.36,1.09,167.25,11177,jp,silver
54,Volibear,5325,2.2,51.47,7.35,2.29,174.79,11226,jp,silver
55,K'Sante,5181,2.16,46.13,7.15,2.81,181.93,10635,jp,silver
56,Seraphine,5164,2.81,51.3,7.13,2.9,53.09,8436,jp,silver
57,Amumu,5093,2.65,52.21,7.03,5.16,158.09,10718,jp,silver
58,Ambessa,4937,2.09,48.13,6.81,28.67,178.86,11160,jp,silver
59,Brand,4918,2.11,52.6,6.79,5.26,105.51,10053,jp,silver
60,Lillia,4728,3.19,53.87,6.53,4.87,185.01,11709,jp,silver
61,Senna,4720,2.95,51.53,6.51,1.78,44,8982,jp,silver
62,Illaoi,4635,1.65,54.13,6.4,29.12,196.04,11851,jp,silver
63,Kai'Sa,4634,2.47,47,6.4,0.57,205.47,12281,jp,silver
64,Nasus,4618,2.02,50.45,6.37,6.51,186.12,11532,jp,silver
65,Briar,4551,2.33,52.76,6.28,3.66,172.98,12060,jp,silver
66,Aphelios,4534,2.19,48.08,6.26,1.21,203.99,12022,jp,silver
67,Aurora,4508,2.53,47.85,6.22,4.93,185.09,10964,jp,silver
68,Wukong,4502,2.96,50.78,6.21,1.93,165.4,11124,jp,silver
69,Blitzcrank,4466,2.54,48.9,6.16,19.87,28.09,7733,jp,silver
70,Sett,4446,1.79,51.53,6.14,0.92,173.44,11476,jp,silver
71,Lulu,4372,3.08,47.71,6.03,2.94,28.65,7597,jp,silver
72,Corki,4267,2.52,46.38,5.89,7.66,206.73,11950,jp,silver
73,Jax,4239,1.84,46.83,5.85,3.09,176,11311,jp,silver
74,Shaco,4136,2.89,51.6,5.71,24.12,133.99,11023,jp,silver
75,Braum,3937,2.93,49.58,5.43,2.48,26.17,7651,jp,silver
76,Poppy,3864,2.26,49.22,5.33,6.74,72.76,9144,jp,silver
77,Sivir,3778,2.68,51.14,5.21,1.66,229.01,12263,jp,silver
78,Pantheon,3776,2.21,51.48,5.21,1.13,103.87,10495,jp,silver
79,Gwen,3722,1.86,47.5,5.14,2.49,195.16,11829,jp,silver
80,Tristana,3583,2.28,45.69,4.95,0.87,189.92,12241,jp,silver
81,Ekko,3536,2.63,51.33,4.88,0.77,177.37,11841,jp,silver
82,Neeko,3460,2.48,51.45,4.78,1.81,88.2,9269,jp,silver
83,Jarvan IV,3140,3.22,51.85,4.33,0.8,156.53,11173,jp,silver
84,Heimerdinger,3127,1.96,53.44,4.32,4.18,170.53,11211,jp,silver
85,Udyr,3089,2.67,51.12,4.26,1.35,177.79,11038,jp,silver
86,Syndra,3054,2.57,50.29,4.22,2.94,193.8,11966,jp,silver
87,Rell,2982,2.82,46.95,4.12,2.02,29.22,7841,jp,silver
88,Aurelion Sol,2952,2.72,51.9,4.07,1.85,205.75,12129,jp,silver
89,Urgot,2940,2.15,52.99,4.06,2.37,196.38,12121,jp,silver
90,Ornn,2913,2.66,48.99,4.02,0.48,175.43,10606,jp,silver
91,Yuumi,2910,4.63,41.62,4.02,2.15,14.33,7064,jp,silver
92,Zac,2845,3.06,48.68,3.93,1.4,145.52,10199,jp,silver
93,Katarina,2824,2.3,46.74,3.9,2.5,172.72,11697,jp,silver
94,Zeri,2823,2.62,49.88,3.9,0.57,231.51,12866,jp,silver
