Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
1,Lee Sin,"1,500,362",2.83:1,49.72%,27.48%,26.69%,157.83,"11,254"
2,Caitlyn,"1,429,837",2.14:1,49.33%,26.19%,17.24%,201.14,"12,005"
3,Ashe,"1,308,591",2.4:1,50.22%,23.97%,30.29%,182.5,"11,195"
4,Sylas,"1,230,855",2.1:1,49.39%,22.55%,24%,143.54,"10,458"
5,Ezreal,"1,162,758",2.54:1,48.73%,21.3%,6.7%,191.87,"11,606"
6,Jhin,"1,147,020",2.91:1,50.5%,21.01%,7.96%,193.47,"12,316"
7,Yone,"1,130,996",1.61:1,48.22%,20.72%,16.86%,198.78,"11,396"
8,Jinx,"886,753",2.37:1,49.8%,16.24%,2.25%,200.9,"11,704"
9,Viego,"886,674",2.6:1,49.88%,16.24%,6.6%,169.22,"11,437"
10,Lux,"884,713",2.36:1,50.03%,16.21%,12.45%,71.4,"9,153"
11,Maokai,"862,288",2.48:1,51.45%,15.79%,12.01%,120.03,"9,223"
12,Graves,"839,012",2.52:1,50.21%,15.37%,28.36%,193.73,"12,562"
13,Akali,"750,727",2.31:1,50.32%,13.75%,11.86%,168.85,"11,187"
14,Yasuo,"711,903",1.59:1,48.88%,13.04%,16.73%,202.15,"11,567"
15,Kai'Sa,"684,149",2.48:1,48.59%,12.53%,1.26%,203.96,"12,270"
16,Viktor,"670,418",2.04:1,50.65%,12.28%,28.54%,193.57,"11,274"
17,Xerath,"663,894",2.72:1,51.37%,12.16%,25.85%,89.69,"9,720"
18,Thresh,"655,708",2.6:1,49.92%,12.01%,4.8%,30.72,"7,721"
19,Ahri,"602,199",2.46:1,49.99%,11.03%,3.47%,180.05,"10,853"
20,Warwick,"597,535",2.27:1,52.95%,10.94%,22.99%,158.02,"11,389"
21,Lulu,"592,752",3.2:1,50.49%,10.86%,7.73%,29.21,"7,613"
22,Irelia,"585,984",1.56:1,51.96%,10.73%,18.17%,221.66,"12,704"
23,Miss Fortune,"576,598",2.47:1,50.49%,10.56%,2.27%,173.97,"11,692"
24,Swain,"576,334",2.32:1,50.58%,10.56%,10.76%,122.22,"9,928"
25,LeBlanc,"557,496",2.65:1,49.53%,10.21%,41.73%,145.41,"10,753"
26,Blitzcrank,"540,958",2.49:1,49.34%,9.91%,36.57%,27.3,"7,658"
27,Teemo,"505,692",1.86:1,50.63%,9.26%,20.06%,167.97,"11,166"
28,Smolder,"482,203",2.13:1,47.71%,8.83%,2.79%,212.76,"11,842"
29,Nautilus,"481,452",2.34:1,48.94%,8.82%,12.9%,31.94,"7,734"
30,Nocturne,"480,246",2.77:1,51.82%,8.8%,11.97%,175.56,"11,543"
31,Corki,"467,657",2.52:1,49.56%,8.57%,11.93%,205.34,"11,986"
32,Galio,"458,904",2.71:1,50.61%,8.41%,5.17%,149.01,"9,804"
33,Ambessa,"456,673",1.95:1,49.05%,8.36%,39.36%,172.57,"10,917"
34,Aatrox,"455,995",1.87:1,49.84%,8.35%,9.26%,173.8,"10,829"
35,Malphite,"436,695",2.54:1,50.28%,8%,5.86%,150.25,"10,232"
36,Pyke,"435,544",2.15:1,49.05%,7.98%,23.02%,34.7,"9,126"
37,Tahm Kench,"422,544",2.5:1,51.93%,7.74%,3.58%,82.96,"9,211"
38,Varus,"418,046",2.22:1,48.75%,7.66%,1.32%,191.33,"11,700"
39,Zed,"416,603",2.32:1,48.95%,7.63%,16.82%,179.73,"11,815"
40,Vi,"415,058",2.56:1,49.58%,7.6%,1.58%,160.05,"10,911"
41,Morgana,"413,403",2.55:1,50.65%,7.57%,13.64%,60.31,"8,911"
42,K'Sante,"408,032",2.01:1,47.05%,7.47%,6.09%,174.89,"10,383"
43,Karma,"408,010",2.51:1,50.42%,7.47%,3.77%,44.54,"8,198"
44,Gragas,"398,623",2.44:1,48.71%,7.3%,2.14%,155.74,"10,290"
45,Leona,"395,742",2.44:1,49.98%,7.25%,9.79%,29.74,"7,690"
46,Wukong,"393,048",2.81:1,51.44%,7.2%,1.31%,163.41,"11,221"
47,Poppy,"391,777",2.38:1,51.52%,7.18%,10.34%,82.01,"9,224"
48,Shaco,"387,197",2.72:1,50.14%,7.09%,44.04%,117.85,"10,790"
49,Sett,"380,253",1.62:1,50.25%,6.97%,1.4%,164.14,"11,097"
50,Darius,"379,526",1.82:1,50.54%,6.95%,17.55%,183.14,"11,526"
51,Jax,"378,384",1.74:1,48.55%,6.93%,4.62%,171.88,"11,087"
52,Volibear,"365,104",1.95:1,51.06%,6.69%,5.09%,164.68,"10,734"
53,Aurora,"363,469",2.36:1,48.98%,6.66%,9.49%,180.43,"10,882"
54,Mordekaiser,"361,410",1.89:1,51.74%,6.62%,5.57%,171.88,"11,103"
55,Lucian,"361,244",2.36:1,49.26%,6.62%,1.4%,200.73,"12,010"
56,Zac,"355,600",3.04:1,49.87%,6.51%,1.6%,142.19,"10,281"
57,Diana,"349,116",2.12:1,49.98%,6.39%,0.66%,183.94,"11,826"
58,Ekko,"347,082",2.62:1,50.56%,6.36%,0.73%,170.94,"11,703"
59,Vex,"344,502",2.32:1,51.44%,6.31%,11.52%,175.5,"11,070"
60,Pantheon,"343,492",2.1:1,49.62%,6.29%,0.95%,110.66,"10,402"
61,Xin Zhao,"331,620",2.35:1,50.73%,6.07%,1.19%,159.42,"11,030"
62,Zyra,"328,400",2.38:1,51.57%,6.02%,3.05%,99.83,"9,621"
63,Hwei,"327,180",2.37:1,50.8%,5.99%,5.87%,174.48,"10,883"
64,Yuumi,"320,775",4.65:1,47.55%,5.88%,3.31%,15.48,"7,298"
65,Talon,"316,967",2.34:1,50.03%,5.81%,1.38%,184.03,"11,955"
66,Nidalee,"316,877",2.83:1,48.02%,5.8%,3.37%,163.15,"11,133"
67,Jayce,"308,417",1.78:1,47.94%,5.65%,1.71%,197.95,"11,722"
68,Renekton,"297,447",1.98:1,50.73%,5.45%,4.49%,189.99,"11,376"
69,Vayne,"293,976",1.97:1,49.56%,5.38%,2.28%,180.92,"11,651"
70,Seraphine,"292,867",2.64:1,49.56%,5.36%,0.83%,43.06,"8,154"
71,Braum,"289,485",2.94:1,51.67%,5.3%,3.13%,26.29,"7,559"
72,Kayn,"286,508",2.3:1,50.1%,5.25%,0.81%,171.88,"11,589"
73,Master Yi,"280,729",2.02:1,48.64%,5.14%,3.5%,168.1,"11,772"
74,Orianna,"276,478",2.45:1,49.14%,5.06%,1.33%,191.98,"11,070"
75,Dr. Mundo,"270,240",2.08:1,51.62%,4.95%,2.27%,179.46,"10,839"
76,Neeko,"260,016",2.24:1,49.99%,4.76%,2.64%,76.08,"9,038"
77,Garen,"256,869",2:1,49.66%,4.71%,1.6%,196.38,"11,912"
78,Sivir,"252,510",2.56:1,51.74%,4.63%,1.16%,224.69,"12,143"
79,Katarina,"245,628",2.35:1,49.93%,4.5%,2.09%,164.53,"11,656"
80,Kha'Zix,"242,102",2.59:1,50.21%,4.43%,1.52%,170.53,"11,896"
81,Senna,"240,326",2.75:1,50.24%,4.4%,1.07%,42.33,"8,907"
82,Gnar,"233,351",1.89:1,49.86%,4.27%,1.74%,181.28,"11,111"
83,Nasus,"230,992",1.88:1,49.99%,4.23%,4.02%,180.74,"11,179"
84,Sejuani,"229,212",3.13:1,49.88%,4.2%,0.42%,157.66,"10,512"
85,Veigar,"226,019",2.23:1,51.14%,4.14%,0.94%,163.41,"11,316"
86,Xayah,"224,953",2.48:1,50.49%,4.12%,0.64%,208.46,"11,993"
87,Amumu,"224,660",2.37:1,49.85%,4.12%,0.59%,133.93,"10,133"
88,Malzahar,"224,504",2.22:1,51.9%,4.11%,2.86%,214.93,"11,967"
89,Ryze,"223,754",2.16:1,51.08%,4.1%,0.64%,206.17,"11,554"
90,Samira,"221,681",2.25:1,49.62%,4.06%,5.31%,187.3,"12,718"
91,Alistar,"220,086",2.44:1,48.68%,4.03%,1.24%,29.4,"7,511"
92,Yorick,"219,861",1.84:1,52.67%,4.03%,4.58%,205.23,"11,980"
93,Brand,"215,484",2.02:1,51.32%,3.95%,1.62%,98.81,"9,880"
94,Trundle,"215,270",1.48:1,50.41%,3.94%,0.96%,185,"11,832"
95,Rakan,"214,725",2.82:1,49.79%,3.93%,0.81%,30.14,"7,511"
96,Gangplank,"213,553",2.08:1,49.37%,3.91%,1.82%,200.44,"12,924"
97,Lillia,"213,523",2.82:1,51.06%,3.91%,2.86%,179.3,"11,526"
