Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,297588,2.1,49.93,28.9,20.17,195.95,12012,kr,bronze
2,Ashe,249890,2.33,50.08,24.26,23.33,175.16,11189,kr,bronze
3,Sylas,230036,2.09,49.45,22.34,23.36,141.68,10572,kr,bronze
4,Yone,229244,1.61,49.09,22.26,18.91,197.13,11539,kr,bronze
5,Lee Sin,226157,2.72,49.75,21.96,26.25,157.24,11350,kr,bronze
6,Ezreal,218538,2.51,48.72,21.22,8.36,185.61,11586,kr,bronze
7,Lux,212853,2.38,50.46,20.67,21.61,73.38,9305,kr,bronze
8,Jhin,191319,2.84,50.98,18.58,8.8,187.26,12340,kr,bronze
9,Jinx,168312,2.31,50.3,16.34,2.8,195.08,11713,kr,bronze
10,Akali,156650,2.29,50.82,15.21,13.27,165.81,11274,kr,bronze
11,Maokai,154647,2.53,51.53,15.02,8.9,113.72,9299,kr,bronze
12,Miss Fortune,154208,2.46,50.52,14.97,3.73,169.76,11670,kr,bronze
13,Yasuo,153853,1.58,49.33,14.94,18.77,202.07,11751,kr,bronze
14,Viego,144018,2.47,50.33,13.98,5.63,168.91,11531,kr,bronze
15,Warwick,138908,2.32,53.47,13.49,22.91,158.63,11574,kr,bronze
16,Teemo,138516,1.9,51.38,13.45,29.61,165.51,11227,kr,bronze
17,Kai'Sa,133171,2.42,48.91,12.93,1.72,199.61,12275,kr,bronze
18,Graves,128868,2.43,50.71,12.51,19.49,193.43,12632,kr,bronze
19,Xerath,125115,2.74,52.5,12.15,31.26,86.85,9815,kr,bronze
20,Swain,122432,2.31,51.24,11.89,13,116.08,9957,kr,bronze
21,Viktor,116592,2.01,50.87,11.32,23.17,187.96,11309,kr,bronze
22,Ahri,114205,2.33,50.1,11.09,4.06,175.19,10842,kr,bronze
23,Nocturne,110745,2.76,52.47,10.75,16.27,176.37,11715,kr,bronze
24,Malphite,110501,2.52,50.2,10.73,6.96,143.9,10271,kr,bronze
25,Morgana,104059,2.57,51.38,10.1,17.4,64.88,9115,kr,bronze
26,Irelia,101218,1.61,52.3,9.83,16.54,220.82,12899,kr,bronze
27,LeBlanc,100918,2.61,49.76,9.8,38.22,145.05,10875,kr,bronze
28,Blitzcrank,95713,2.5,50.06,9.29,37.76,28.59,7821,kr,bronze
29,Thresh,94889,2.55,50.53,9.21,4.06,32.57,7926,kr,bronze
30,Sett,94275,1.62,51.09,9.15,2.22,165.7,11279,kr,bronze
31,Galio,92066,2.68,50.83,8.94,5.11,143.48,9817,kr,bronze
32,Nautilus,90318,2.38,49.54,8.77,14.22,34.03,7960,kr,bronze
33,Tahm Kench,89080,2.51,51.83,8.65,4.35,88.58,9501,kr,bronze
34,Mordekaiser,87488,1.94,52.64,8.5,8.21,170.93,11268,kr,bronze
35,Smolder,85962,2.09,48.24,8.35,2.65,208.33,11860,kr,bronze
36,Darius,85076,1.82,50.47,8.26,20.73,181.03,11612,kr,bronze
37,Lulu,84740,3.06,50.36,8.23,4.76,30.88,7744,kr,bronze
38,Leona,81759,2.49,50.51,7.94,11.99,30.87,7861,kr,bronze
39,Volibear,80874,1.97,51.15,7.85,5.88,163.07,10849,kr,bronze
40,Ambessa,77081,1.95,49.25,7.48,30.29,169.4,11059,kr,bronze
41,Shaco,76097,2.72,50.21,7.39,51.31,121.26,10933,kr,bronze
42,Aatrox,75215,1.86,49.76,7.3,8.89,170.82,10938,kr,bronze
43,Pyke,74831,2.15,48.78,7.27,16.69,36.2,9314,kr,bronze
44,Zed,74825,2.28,48.94,7.27,17.59,176.28,11845,kr,bronze
45,Vex,74199,2.27,51.66,7.2,12.17,171.64,11099,kr,bronze
46,Vi,74143,2.51,49.91,7.2,1.37,159.84,11016,kr,bronze
47,Diana,73621,2.12,50.35,7.15,0.83,182.89,11949,kr,bronze
48,Jax,73189,1.77,48.82,7.11,3.62,170.12,11268,kr,bronze
49,Vayne,71043,1.99,49.85,6.9,3,177.61,11712,kr,bronze
50,Pantheon,70685,2.1,49.49,6.86,1.19,108.94,10531,kr,bronze
51,Ekko,69560,2.55,50.42,6.75,0.94,168.24,11730,kr,bronze
52,Wukong,68966,2.76,52.03,6.7,1.24,162.83,11316,kr,bronze
53,Varus,68651,2.18,48.56,6.67,1.17,185.75,11731,kr,bronze
54,Master Yi,67299,1.99,49,6.53,5.66,170.4,11905,kr,bronze
55,Kayn,65343,2.29,50.72,6.34,1.2,172.27,11707,kr,bronze
56,Lucian,64279,2.31,48.8,6.24,1.65,195.28,11986,kr,bronze
57,Seraphine,64255,2.58,49.54,6.24,1.14,44.96,8310,kr,bronze
58,K'Sante,64015,1.89,45.99,6.22,4.42,170.45,10429,kr,bronze
59,Garen,63086,2.03,50.5,6.13,2.12,195.28,12025,kr,bronze
60,Zac,62091,3.1,50.02,6.03,1.51,140.31,10362,kr,bronze
61,Xin Zhao,62090,2.32,50.85,6.03,1.22,159.69,11148,kr,bronze
62,Amumu,61693,2.43,50.41,5.99,0.99,138.98,10340,kr,bronze
63,Dr. Mundo,60721,2.11,52.39,5.9,3.27,176.89,10911,kr,bronze
64,Nasus,59269,1.94,50.77,5.75,5.49,181.23,11384,kr,bronze
65,Corki,59134,2.38,49.02,5.74,6.22,198.63,11950,kr,bronze
66,Poppy,59108,2.39,51.26,5.74,4.36,82.96,9415,kr,bronze
67,Veigar,58996,2.23,52,5.73,1.6,161.28,11442,kr,bronze
68,Trundle,58427,1.5,50.75,5.67,1.55,184.62,11920,kr,bronze
69,Yuumi,58231,4.63,46.54,5.65,2.8,15.85,7392,kr,bronze
70,Talon,55870,2.24,49.4,5.42,1.45,181.44,12030,kr,bronze
71,Gragas,55383,2.33,47.52,5.38,1.31,150.82,10303,kr,bronze
72,Zyra,55060,2.29,51.95,5.35,3.02,88,9527,kr,bronze
73,Neeko,53374,2.2,49.62,5.18,3.31,75.53,9164,kr,bronze
74,Brand,53262,2.03,52.14,5.17,2.59,97.39,10005,kr,bronze
75,Renekton,53129,1.99,51.02,5.16,3.75,187.18,11494,kr,bronze
76,Karma,52446,2.45,50.67,5.09,2.12,51.36,8436,kr,bronze
