Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Viego,1026,3.14,48.54,39.05,12.87,165.71,10747,kr,challenger
2,Aurora,914,2.87,53.39,34.79,44.24,185.62,10437,kr,challenger
3,Corki,879,2.61,51.31,33.46,39.09,205.94,11317,kr,challenger
4,Ashe,775,2.63,54.32,29.5,46.48,186.97,10313,kr,challenger
5,Ambessa,741,2.18,52.77,28.2,49.97,174.34,9938,kr,challenger
6,Varus,736,2.47,48.91,28.01,8.79,192.24,10842,kr,challenger
7,K'Sante,713,2.21,48.11,27.14,7.93,177.33,9553,kr,challenger
8,Poppy,633,2.57,55.45,24.09,22.99,41.69,7600,kr,challenger
9,Lee Sin,627,3.25,49.92,23.87,9.1,152.85,10546,kr,challenger
10,Jhin,615,2.94,45.37,23.41,1.11,187.97,10929,kr,challenger
11,Sylas,595,2.41,49.75,22.65,6.26,168.69,10117,kr,challenger
12,Yone,568,2.14,52.11,21.62,5.87,205.05,10714,kr,challenger
13,Nautilus,530,2.48,50.19,20.17,3.5,26.27,7103,kr,challenger
14,Graves,510,2.81,47.45,19.41,26.21,187.72,11935,kr,challenger
15,Ezreal,496,2.55,50.4,18.88,0.85,193.94,10757,kr,challenger
16,Viktor,475,2.5,54.53,33.61,44.08,198.22,10673,kr,challenger
17,Skarner,473,3.65,51.37,18,15.35,137.37,9612,kr,challenger
18,Maokai,471,2.33,50.96,17.93,4.26,114.88,8250,kr,challenger
19,Vi,463,3.09,51.19,17.62,2.69,155.39,10084,kr,challenger
20,Gnar,453,1.86,48.34,17.24,7.36,189.46,10358,kr,challenger
21,Zyra,434,3.2,50.92,16.52,32.84,187.46,11028,kr,challenger
22,Rakan,415,3.26,46.99,15.8,2.1,27.5,6980,kr,challenger
23,Nidalee,407,3.89,50.12,15.49,26.68,163.6,10558,kr,challenger
24,Rell,404,2.98,50.99,15.38,3.2,23.7,6930,kr,challenger
25,Pyke,390,2.56,49.74,14.84,47.13,38.65,8321,kr,challenger
26,Jinx,386,3.01,50.52,14.69,1.07,203.85,11459,kr,challenger
27,Kindred,364,2.96,50.27,13.86,2.76,164.3,10940,kr,challenger
28,Leona,355,2.24,45.07,13.51,1.85,25.44,6730,kr,challenger
29,Rumble,310,2.23,51.94,11.8,4.97,176.19,10135,kr,challenger
30,Neeko,301,2.92,52.82,11.46,2.65,61.85,8023,kr,challenger
31,Smolder,299,2.24,49.5,11.38,5.04,213.74,11400,kr,challenger
32,Renekton,299,2.27,53.51,11.38,11.3,193.56,10507,kr,challenger
33,Orianna,288,2.91,51.04,10.96,6.15,193.53,10489,kr,challenger
34,Braum,287,2.97,45.64,10.92,2.81,22.68,6525,kr,challenger
35,Caitlyn,286,2.29,44.06,10.89,11.85,202.2,11075,kr,challenger
36,Kalista,280,2.36,47.86,10.66,6.88,193.09,11236,kr,challenger
37,Jax,270,2.15,52.59,10.28,8.95,177.78,10197,kr,challenger
38,Azir,253,2.02,44.66,9.63,1.08,206.55,10679,kr,challenger
39,Alistar,251,2.73,49.4,9.55,0.41,21.49,6613,kr,challenger
40,Galio,247,2.75,49.39,9.4,2.25,160.15,9119,kr,challenger
41,Akali,245,2.56,49.8,9.33,2.52,183.53,10784,kr,challenger
42,Taliyah,244,2.7,52.46,9.29,0.95,184.23,10265,kr,challenger
43,Bard,233,3.58,52.79,8.87,1.04,25.63,7300,kr,challenger
44,Renata Glasc,227,3.06,51.54,8.64,1.02,27.58,7172,kr,challenger
45,Nocturne,196,3.21,47.96,7.46,1.16,165.84,10528,kr,challenger
46,Gragas,188,2.57,52.66,7.16,0.3,161.93,9418,kr,challenger
