Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Lee Sin,62626,2.99,49.45,33.4,25.51,155.06,10762,kr,diamond
2,Jhin,47310,3.06,49.22,25.23,5.27,194.04,11720,kr,diamond
3,Ashe,45842,2.58,50.8,24.45,47.3,189.89,10824,kr,diamond
4,Viego,44316,2.81,49.51,23.63,10.67,166.58,11040,kr,diamond
5,Sylas,41564,2.16,49.31,22.17,21.47,147.97,10036,kr,diamond
6,Ezreal,38575,2.62,49.07,20.57,4.65,196.99,11213,kr,diamond
7,Caitlyn,37507,2.24,48.04,20,11.65,204.88,11584,kr,diamond
8,Graves,35043,2.68,49.67,18.69,39.15,188.15,12058,kr,diamond
9,Yone,33163,1.67,47.19,17.69,10.79,198.51,10829,kr,diamond
10,Maokai,32830,2.36,50.54,17.51,14.03,118.95,8637,kr,diamond
11,Corki,31730,2.69,50.66,16.92,28.47,203.99,11544,kr,diamond
12,Jinx,31461,2.54,50.15,16.78,1.76,203.52,11297,kr,diamond
13,Lulu,27771,3.35,49.92,14.81,9.04,27.18,7209,kr,diamond
14,Thresh,26877,2.71,50.37,14.33,4.38,28.3,7245,kr,diamond
15,Viktor,24273,2.15,49.77,12.94,34.34,193.81,10777,kr,diamond
16,Karma,22752,2.62,50.12,12.13,5.68,37.31,7698,kr,diamond
17,Irelia,21563,1.51,51.81,11.5,16.98,214.79,11965,kr,diamond
18,K'Sante,21522,2.19,48.9,11.48,11.37,175.99,10042,kr,diamond
19,Akali,21193,2.42,49.28,11.3,7.83,173.3,10742,kr,diamond
20,Varus,20825,2.33,49.93,11.11,1.69,193.74,11285,kr,diamond
21,Aurora,20802,2.6,48.76,11.09,19.68,179.94,10497,kr,diamond
22,Nidalee,20471,3.29,50.29,10.92,12.23,163.86,10846,kr,diamond
23,Gragas,19650,2.49,49.89,10.48,3.01,156.04,9808,kr,diamond
24,Nautilus,19450,2.31,49.1,10.37,8.99,28.14,7208,kr,diamond
25,Kai'Sa,19098,2.6,48.4,10.18,0.56,204.22,11757,kr,diamond
