Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Lee Sin,174215,2.94,49.66,34.78,27.09,158.26,11101,kr,emerald
2,Jhin,123405,3.04,50.01,24.64,6.73,199.07,12219,kr,emerald
3,Ashe,119837,2.53,50.5,23.92,43.09,192.93,11192,kr,emerald
4,Sylas,114978,2.14,49.34,22.95,24.23,147.4,10333,kr,emerald
5,Caitlyn,112859,2.23,48.47,22.53,13.4,209.33,11995,kr,emerald
6,Ezreal,103250,2.61,48.98,20.61,4.58,200.09,11590,kr,emerald
7,Viego,101108,2.77,49.47,20.18,8.25,170.15,11350,kr,emerald
8,Yone,92957,1.63,47.41,18.56,13.35,204.37,11267,kr,emerald
9,Graves,91467,2.62,49.74,18.26,40.25,193.18,12430,kr,emerald
10,Maokai,86375,2.43,51.05,17.24,16.76,125.34,9063,kr,emerald
11,Jinx,84742,2.5,49.45,16.92,1.62,208.69,11710,kr,emerald
12,Thresh,71458,2.68,49.98,14.27,4.91,29.04,7496,kr,emerald
13,Lulu,70517,3.35,50.6,14.08,11.27,28.41,7480,kr,emerald
14,Viktor,67387,2.09,49.86,13.45,34.97,197.53,11118,kr,emerald
15,Corki,65410,2.64,50.18,13.06,21.35,209.72,11981,kr,emerald
16,Irelia,59679,1.51,51.89,11.91,20.03,221.83,12440,kr,emerald
17,Akali,59347,2.38,50,11.85,9.73,174.99,11072,kr,emerald
18,Kai'Sa,58289,2.59,48.33,11.64,0.69,209.06,12181,kr,emerald
19,Xerath,56738,2.77,50.18,11.33,12.54,98.49,9649,kr,emerald
20,Karma,55330,2.55,49.83,11.05,6.08,39.09,7958,kr,emerald
21,Ahri,53412,2.73,50.65,10.66,2.38,188.23,10908,kr,emerald
22,Yasuo,52317,1.66,48.48,10.44,15.77,206.44,11399,kr,emerald
23,Blitzcrank,51003,2.54,49.09,10.18,32.74,25.75,7455,kr,emerald
24,Gragas,50986,2.53,49.61,10.18,3.4,159.95,10257,kr,emerald
25,LeBlanc,50494,2.75,49.48,10.08,47.28,148.5,10614,kr,emerald
26,Aatrox,49549,1.9,49.77,9.89,9.27,177.76,10701,kr,emerald
27,K'Sante,49092,2.17,48.22,9.8,8.88,179.26,10371,kr,emerald
28,Aurora,48210,2.52,48.97,9.62,15.35,184.06,10883,kr,emerald
29,Smolder,47804,2.21,47.76,9.54,2.68,217.47,11788,kr,emerald
30,Ambessa,47005,1.97,49.18,9.38,49,176.03,10758,kr,emerald
31,Varus,46066,2.28,48.93,9.2,1.54,197.96,11664,kr,emerald
32,Pyke,44655,2.21,49.58,8.91,37.83,33.09,8932,kr,emerald
33,Hwei,44308,2.48,50.19,8.85,9.76,181.46,10863,kr,emerald
34,Poppy,43932,2.38,52.19,8.77,20.31,78.94,9001,kr,emerald
35,Nidalee,43493,3.06,49.19,8.68,6.16,166.96,11138,kr,emerald
36,Lux,43482,2.44,49.67,8.68,1.58,67.66,8883,kr,emerald
37,Swain,43426,2.37,49.53,8.67,6.15,131.11,9805,kr,emerald
38,Nautilus,43409,2.33,48.87,8.67,10.87,29.71,7498,kr,emerald
39,Vi,42084,2.67,49.61,8.4,1.91,161.15,10787,kr,emerald
40,Galio,40190,2.8,49.99,8.02,5.2,155.79,9759,kr,emerald
41,Jayce,40090,1.78,48.49,8,3.01,200.61,11626,kr,emerald
42,Braum,39327,2.96,51.45,7.85,6.8,25.68,7368,kr,emerald
43,Zed,39312,2.39,49.19,7.85,15.34,184.07,11691,kr,emerald
44,Wukong,39238,2.81,50.18,7.83,1.34,163.06,11021,kr,emerald
45,Zac,36749,3.01,50.32,7.34,1.67,145.84,10202,kr,emerald
46,Lucian,36118,2.49,50.67,7.21,1.05,207.17,12004,kr,emerald
47,Orianna,35497,2.57,49.41,7.09,1.55,196.19,10982,kr,emerald
48,Warwick,35378,2.21,52.37,7.06,21.7,160.98,11120,kr,emerald
49,Yuumi,33140,4.72,49.8,6.62,5.13,15.1,7185,kr,emerald
50,Jax,33114,1.72,48.89,6.61,6.66,176.46,10925,kr,emerald
51,Tahm Kench,32961,2.47,51.75,6.58,2.07,72.87,8667,kr,emerald
52,Talon,32915,2.5,50.98,6.57,1.4,188.8,11939,kr,emerald
53,Zyra,32442,2.48,50.72,6.48,2.31,116.86,9762,kr,emerald
54,Leona,31396,2.42,50.32,6.27,6.88,28.22,7455,kr,emerald
55,Xin Zhao,31199,2.39,50.08,6.23,1.05,160.46,10886,kr,emerald
56,Elise,30868,2.83,52.17,6.16,13.65,143.59,11064,kr,emerald
57,Ekko,30642,2.74,50.86,6.12,0.4,176.39,11679,kr,emerald
58,Renekton,30488,1.99,50.56,6.09,5.75,194.34,11266,kr,emerald
59,Gnar,30351,1.9,49.69,6.06,3.01,185.94,11030,kr,emerald
60,Shaco,30289,2.73,50.14,6.05,30.43,111.02,10468,kr,emerald
61,Gangplank,27501,2.12,49.54,5.49,2.84,201.61,12792,kr,emerald
62,Nocturne,27407,2.85,51,5.47,4.31,176.14,11285,kr,emerald
63,Volibear,27134,1.93,51.04,5.42,4.37,172.17,10666,kr,emerald
64,Diana,26854,2.16,50.11,5.36,0.33,186.94,11664,kr,emerald
65,Pantheon,26518,2.14,49.75,5.29,0.62,118.94,10300,kr,emerald
66,Darius,25745,1.86,50.94,5.14,13.13,189.54,11434,kr,emerald
67,Katarina,25273,2.55,50.86,5.05,2.52,168.82,11575,kr,emerald
68,Miss Fortune,25114,2.63,51.25,5.01,0.44,197.78,12120,kr,emerald
69,Aphelios,24837,2.06,48.27,4.96,0.32,204.84,11920,kr,emerald
70,Vex,24800,2.46,51.79,4.95,10.76,184.24,11102,kr,emerald
71,Rakan,24775,2.95,49.78,4.95,0.99,29.32,7388,kr,emerald
72,Kha'Zix,24237,2.7,49.99,4.84,1.72,170.81,11699,kr,emerald
73,Senna,23956,2.82,50.79,4.78,1.14,36.59,8687,kr,emerald
74,Sivir,23184,2.66,51.39,4.63,0.91,228.16,12059,kr,emerald
75,Ryze,23076,2.2,50.74,4.61,0.58,209.5,11480,kr,emerald
76,Malphite,22963,2.61,51.14,4.58,4.16,166.09,10131,kr,emerald
77,Skarner,22091,3.4,50.68,4.41,4.71,144.08,10115,kr,emerald
78,Seraphine,21518,2.92,50.18,4.3,0.43,42.28,7996,kr,emerald
79,Morgana,21057,2.55,48.71,4.2,7.03,55.05,8509,kr,emerald
80,Alistar,21003,2.48,48.89,4.19,1.16,26.36,7265,kr,emerald
81,Sett,20821,1.68,49.52,4.16,0.43,169.63,10967,kr,emerald
82,Draven,20351,2.23,51.31,4.06,4.51,197.41,13007,kr,emerald
83,Dr. Mundo,20227,2.06,50.81,4.04,1.09,187.15,10825,kr,emerald
84,Xayah,20132,2.56,50.04,4.02,0.45,214.34,11929,kr,emerald
85,Karthus,19822,2.33,51.68,3.96,15.56,199.53,12523,kr,emerald
86,Camille,19818,1.96,50.06,3.96,0.44,145.07,10576,kr,emerald
87,Mordekaiser,19807,1.82,50.36,3.95,1.95,178.53,10843,kr,emerald
88,Syndra,19786,2.35,49.79,3.95,0.94,189.77,11408,kr,emerald
89,Bard,19583,3.09,51.47,3.91,0.21,27.88,7747,kr,emerald
90,Taliyah,19488,2.58,51.51,3.89,0.81,182.81,11522,kr,emerald
91,Riven,19330,1.85,50,3.86,0.84,184.56,11269,kr,emerald
92,Fiora,19206,1.42,49.09,3.83,3.2,195.13,11525,kr,emerald
93,Twisted Fate,19194,2.54,50.31,3.83,0.31,184.91,11689,kr,emerald
94,Azir,19030,2.07,47.28,3.8,0.3,202.34,11272,kr,emerald
95,Neeko,19024,2.39,50.97,3.8,1.65,76.45,8882,kr,emerald
96,Sion,18857,1.96,50.5,3.76,0.23,176.03,10952,kr,emerald
97,Zeri,18712,2.47,49.66,3.74,0.22,227.33,12573,kr,emerald
98,Gwen,18097,1.78,49.81,3.61,3.1,194.25,11507,kr,emerald
99,Kindred,18084,2.34,48.67,3.61,0.78,171.97,11652,kr,emerald
100,Jarvan IV,17822,3.28,49.26,3.56,0.14,145.85,10616,kr,emerald
101,Kayn,17746,2.38,50.21,3.54,0.27,173.37,11433,kr,emerald
102,Teemo,17714,1.78,48.57,3.54,6.29,180.29,11072,kr,emerald
103,Sejuani,17533,3.26,49.18,3.5,0.24,156.9,10333,kr,emerald
104,Zoe,17346,2.64,51.04,3.46,1,131.78,10130,kr,emerald
105,Cassiopeia,17184,2.02,52.11,3.43,1.64,194.26,11231,kr,emerald
106,Ornn,16295,2.69,50.62,3.25,0.14,168.66,10037,kr,emerald
107,Master Yi,16269,2.19,48.42,3.25,1.02,167.84,11718,kr,emerald
108,Lissandra,16181,2.51,51.1,3.23,0.82,186.73,10773,kr,emerald
109,Nami,16069,3.19,51.05,3.21,0.26,24.69,7495,kr,emerald
110,Tristana,16007,2.49,49.37,3.2,0.26,194.97,12268,kr,emerald
111,Lillia,15932,2.91,49.6,3.18,1.8,183.13,11407,kr,emerald
112,Rell,15871,2.82,49.37,3.17,1.77,27.41,7582,kr,emerald
113,Vayne,14965,1.9,48.55,2.99,1.31,187.69,11448,kr,emerald
114,Vladimir,14650,2.26,50.12,2.92,0.31,192.96,11078,kr,emerald
115,Hecarim,14461,2.79,48.9,2.89,0.27,184.08,11420,kr,emerald
116,Soraka,14337,2.91,50.54,2.86,0.23,25.98,7201,kr,emerald
