Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Lee Sin,303718,2.85,49.67,30.8,27.99,159.77,11347,kr,gold
2,Caitlyn,260324,2.16,49.29,26.4,15.78,208.31,12192,kr,gold
3,Ashe,234882,2.43,50.37,23.82,31.3,189.59,11389,kr,gold
4,Sylas,224791,2.11,49.54,22.79,25.24,147.14,10571,kr,gold
5,Jhin,224411,2.93,50.59,22.75,7.76,198.95,12518,kr,gold
6,Ezreal,214629,2.57,48.73,21.76,5.85,198.39,11802,kr,gold
7,Yone,190241,1.61,47.79,19.29,16.41,206.14,11568,kr,gold
8,Graves,173963,2.51,50.03,17.64,33.16,195.42,12651,kr,gold
9,Maokai,164712,2.49,51.67,16.7,13.9,126.58,9358,kr,gold
10,Jinx,162326,2.41,49.51,16.46,1.8,207.96,11894,kr,gold
11,Viego,161040,2.66,49.94,16.33,6.41,172.08,11572,kr,gold
12,Lux,139469,2.39,49.96,14.14,7,71.69,9178,kr,gold
13,Viktor,134865,2.03,50.5,13.68,32.27,198,11389,kr,gold
14,Thresh,131128,2.64,49.97,13.3,5.61,30.48,7758,kr,gold
15,Akali,127956,2.35,50.34,12.97,11.65,174.84,11333,kr,gold
16,Xerath,127321,2.74,51.32,12.91,28.09,88.56,9726,kr,gold
17,Kai'Sa,127028,2.53,48.38,12.88,0.95,209.91,12456,kr,gold
18,Lulu,121180,3.24,50.7,12.29,9.79,28.99,7667,kr,gold
19,Yasuo,114385,1.59,48.89,11.6,14.89,209.42,11715,kr,gold
20,Irelia,111961,1.53,51.63,11.35,19.99,226.16,12813,kr,gold
21,LeBlanc,109888,2.66,49.55,11.14,43.29,146.38,10793,kr,gold
22,Ahri,108319,2.53,50.01,10.98,3.39,186.6,11043,kr,gold
23,Swain,102758,2.33,50.26,10.42,10.97,128.94,10041,kr,gold
24,Blitzcrank,94338,2.53,49.38,9.57,38.34,27.28,7694,kr,gold
25,Smolder,94180,2.14,47.62,9.55,3.02,217.93,12013,kr,gold
26,Warwick,92075,2.29,53.06,9.34,24.21,162.45,11512,kr,gold
27,Corki,88800,2.53,49.15,9,12.83,209.54,12211,kr,gold
28,Aatrox,87813,1.89,50.17,8.9,9.95,178.34,10972,kr,gold
29,Ambessa,86811,1.96,49.03,8.8,45.18,176.38,11048,kr,gold
30,Nocturne,85169,2.85,51.71,8.64,11.59,178.83,11616,kr,gold
31,Karma,83031,2.5,50.7,8.42,4.66,44.37,8267,kr,gold
32,Nautilus,81509,2.34,48.56,8.26,13.18,31.67,7754,kr,gold
33,Gragas,80780,2.47,48.75,8.19,2.54,158.76,10432,kr,gold
34,Miss Fortune,79683,2.55,51.1,8.08,1.12,185.99,12049,kr,gold
35,Wukong,78781,2.85,51.66,7.99,1.42,166.2,11333,kr,gold
36,Zed,78441,2.35,48.95,7.95,17.18,184.12,11962,kr,gold
37,Galio,77834,2.75,50.47,7.89,5,155.14,9947,kr,gold
38,Tahm Kench,77791,2.54,52.25,7.89,3.65,83.4,9228,kr,gold
39,Vi,77199,2.61,49.81,7.83,1.74,162.44,11025,kr,gold
40,Teemo,76596,1.82,49.68,7.77,15.94,176.26,11290,kr,gold
41,Poppy,75843,2.41,51.72,7.69,11.71,86,9378,kr,gold
42,K'Sante,75520,2.04,47.11,7.66,6.38,178.99,10543,kr,gold
43,Varus,75461,2.22,48.73,7.65,1.2,197.1,11930,kr,gold
44,Pyke,73638,2.17,49.23,7.47,20.48,34.79,9219,kr,gold
45,Shaco,73462,2.73,50.14,7.45,44.38,116.54,10822,kr,gold
