Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Corki,2624,2.65,51.94,31.32,37,202.27,11211,kr,grandmaster
2,Viego,2573,3.04,49.51,30.71,14.19,162.01,10622,kr,grandmaster
3,Ashe,2233,2.71,54.28,26.66,47.34,182.39,10267,kr,grandmaster
4,Ambessa,2006,2.04,50.75,23.95,49.51,178.58,10123,kr,grandmaster
5,Varus,1962,2.47,50.76,23.42,7.82,192.36,10906,kr,grandmaster
6,K'Sante,1785,2.27,50.03,21.31,11.54,176.87,9600,kr,grandmaster
7,Aurora,1757,2.84,50.09,20.97,42.42,184.19,10391,kr,grandmaster
8,Nautilus,1742,2.4,49.31,20.79,4.16,26.1,6880,kr,grandmaster
9,Lee Sin,1680,3.23,47.86,20.05,12.42,152.08,10332,kr,grandmaster
10,Graves,1509,3.01,51.42,18.01,30.93,184.08,11649,kr,grandmaster
11,Sylas,1506,2.21,46.35,17.98,8.78,157.09,9781,kr,grandmaster
12,Jhin,1436,3.02,45.61,17.14,1.42,187.33,10790,kr,grandmaster
13,Maokai,1432,2.23,47.63,17.09,4.39,105.1,8014,kr,grandmaster
14,Rakan,1338,3.27,48.65,15.97,2.15,26.72,6752,kr,grandmaster
15,Yone,1312,2,48.55,15.66,6.13,203.9,10687,kr,grandmaster
16,Ezreal,1298,2.49,47.69,15.49,1.29,190.59,10399,kr,grandmaster
17,Poppy,1273,2.4,52.4,15.2,26.25,53.47,7752,kr,grandmaster
18,Rell,1233,3.11,49.88,14.72,3.91,24.98,7060,kr,grandmaster
19,Jinx,1220,2.63,50.49,14.56,1.13,198.43,10979,kr,grandmaster
20,Pyke,1207,2.5,51.95,14.41,58.45,31.41,8162,kr,grandmaster
21,Viktor,1178,2.3,50.08,15.11,29.4,194.52,10533,kr,grandmaster
22,Gnar,1166,1.88,50.51,13.92,8.4,188.67,10365,kr,grandmaster
23,Braum,1164,3.23,52.15,13.89,5.84,23.07,6779,kr,grandmaster
24,Leona,1140,2.41,47.37,13.61,2.11,25.8,6793,kr,grandmaster
25,Caitlyn,1086,2.27,46.32,12.96,11.78,196.94,10998,kr,grandmaster
26,Nidalee,1074,4.08,52.89,12.82,28.91,161.76,10522,kr,grandmaster
27,Zyra,1063,3.27,52.12,12.69,23.78,179.57,10747,kr,grandmaster
28,Galio,1036,2.73,49.61,12.37,4.68,154.19,8952,kr,grandmaster
29,Rumble,1017,2.12,50.34,12.14,4.46,176.66,10062,kr,grandmaster
30,Renekton,937,2.08,51.65,11.18,10.43,187.47,10209,kr,grandmaster
31,Smolder,915,2.19,46.12,10.92,3.6,209.81,11037,kr,grandmaster
32,Neeko,898,2.66,52,10.72,2.83,79.62,8132,kr,grandmaster
33,Ahri,864,3.19,52.66,10.31,0.61,182.88,10143,kr,grandmaster
34,Skarner,861,3.36,50.29,10.28,10.73,131.43,9220,kr,grandmaster
35,Kindred,849,2.87,50.18,10.13,3.12,160.3,10674,kr,grandmaster
36,Jax,823,1.96,52.49,9.82,10.89,173.28,10022,kr,grandmaster
37,Alistar,772,2.65,50.91,9.22,0.63,22.58,6680,kr,grandmaster
38,Vi,753,3,49.8,8.99,1.46,153.75,9998,kr,grandmaster
39,Karma,721,2.77,46.05,8.61,1.03,42.18,7259,kr,grandmaster
40,Gragas,718,2.35,51.11,8.57,0.61,156.2,9209,kr,grandmaster
41,Talon,699,2.5,50.93,8.34,2.25,173.59,10730,kr,grandmaster
42,Azir,690,2.09,49.57,8.24,1.36,210.97,11225,kr,grandmaster
43,Irelia,667,1.81,55.92,7.96,5.27,210.4,11636,kr,grandmaster
44,Taliyah,664,2.86,53.77,7.93,1.17,186.5,10652,kr,grandmaster
45,Bard,662,3.36,53.32,7.9,1.15,25.9,7063,kr,grandmaster
46,Hwei,656,2.75,52.44,7.83,3.6,180.93,10134,kr,grandmaster
47,Jayce,649,1.86,50.08,7.75,6.82,195.68,10687,kr,grandmaster
48,Orianna,645,2.86,49.46,7.7,7.12,185.22,9815,kr,grandmaster
49,Akali,637,2.42,48.82,7.6,4.48,174.99,10279,kr,grandmaster
50,Thresh,626,2.98,51.12,7.47,3.08,27.94,6993,kr,grandmaster
51,Camille,596,2.07,48.15,7.11,0.22,144.94,10001,kr,grandmaster
52,Pantheon,595,2.24,50.59,7.1,0.83,144.29,9805,kr,grandmaster
53,Lulu,591,3.66,49.92,7.05,1.11,38.84,7209,kr,grandmaster
54,Blitzcrank,569,2.67,50.79,6.79,3.42,23.43,6914,kr,grandmaster
55,Kai'Sa,552,2.59,49.46,6.59,0.06,201.9,11240,kr,grandmaster
56,Kalista,548,2.25,47.45,6.54,5.23,187.1,11019,kr,grandmaster
57,Zed,539,2.94,52.69,6.43,13.74,183.83,10854,kr,grandmaster
58,Renata Glasc,522,2.96,48.47,6.23,0.66,27,6962,kr,grandmaster
59,Elise,512,2.86,50.78,6.11,15.13,122.19,10296,kr,grandmaster
60,Gwen,476,2.29,53.15,5.68,1.76,185.64,10671,kr,grandmaster
61,Vladimir,448,2.52,51.56,5.35,1.33,183.86,9950,kr,grandmaster
62,Kennen,433,2.27,54.97,5.17,1.23,144.84,9684,kr,grandmaster
63,Seraphine,429,3.6,52.68,5.12,0.32,34.98,7349,kr,grandmaster
64,Karthus,426,2.67,50,5.09,41.58,186.53,11994,kr,grandmaster
65,Bel'Veth,425,2.95,49.65,5.07,6.85,162.53,10913,kr,grandmaster
66,Cassiopeia,412,2.11,51.21,4.92,4.08,171.56,10090,kr,grandmaster
67,Zac,410,3.34,49.51,4.89,4.36,157.52,9866,kr,grandmaster
68,Yasuo,404,1.79,47.77,4.82,10.5,195.51,10465,kr,grandmaster
69,LeBlanc,400,2.93,46,4.77,41.94,161.58,9784,kr,grandmaster
70,Rengar,378,2.39,49.47,4.51,3.99,174.49,10751,kr,grandmaster
71,Ryze,376,2.31,46.54,4.49,0.61,202.49,10607,kr,grandmaster
72,Fiora,368,1.72,51.36,4.39,5.92,187.39,10530,kr,grandmaster
73,Miss Fortune,356,2.7,52.25,4.25,0.08,196.93,11517,kr,grandmaster
74,Qiyana,353,2.91,52.12,4.21,1.99,175.54,10870,kr,grandmaster
75,Ivern,332,5.06,50.3,4.11,0.76,131.94,8836,kr,grandmaster
76,Tristana,329,2.2,46.5,3.93,0.18,188.47,11176,kr,grandmaster
77,Wukong,329,3,47.72,3.96,0.18,155.74,10062,kr,grandmaster
78,Singed,329,2.42,51.67,4.06,0.81,150.6,9701,kr,grandmaster
79,Zoe,320,2.47,45,3.82,2.87,102.47,8450,kr,grandmaster
80,Zeri,317,2.41,49.53,3.78,0.1,213.03,11423,kr,grandmaster
81,Akshan,314,2.61,46.5,3.75,1.64,185.62,11380,kr,grandmaster
82,Riven,314,2.12,55.41,3.89,1.11,173.45,10087,kr,grandmaster
83,Nocturne,311,3.29,54.34,3.71,0.89,166.18,10532,kr,grandmaster
84,Xin Zhao,309,2.71,47.57,3.69,0.09,147.37,9705,kr,grandmaster
85,Lux,307,2.78,49.84,3.66,0.29,59.3,7989,kr,grandmaster
86,Senna,299,3.04,52.84,3.6,0.21,31.69,8221,kr,grandmaster
87,Vex,292,2.33,50,3.49,2.64,165.84,9884,kr,grandmaster
88,Tahm Kench,290,2.6,45.52,3.46,0.4,84.3,7746,kr,grandmaster
89,Master Yi,282,2.22,47.87,3.37,1.47,158.58,10591,kr,grandmaster
90,Hecarim,271,3.11,47.97,3.23,1.27,174.17,10620,kr,grandmaster
91,Udyr,266,2.18,51.5,3.18,0.67,163.69,9206,kr,grandmaster
92,Draven,265,2.47,50.19,3.16,16.61,188.46,11996,kr,grandmaster
