Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Yone,146652,1.55,48.54,27.72,20.17,176.38,10867,kr,iron
2,Caitlyn,145654,2.04,49.81,27.53,23.17,176.6,11343,kr,iron
3,Lux,141879,2.3,50.54,26.81,31.18,70.37,9017,kr,iron
4,Ashe,129454,2.22,49.4,24.47,23,155.78,10551,kr,iron
5,Sylas,122751,1.95,48.71,23.2,22.16,126.91,10034,kr,iron
6,Miss Fortune,113038,2.38,49.93,21.36,7.17,153.44,11016,kr,iron
7,Yasuo,98144,1.54,49.4,18.55,21.79,181.67,11113,kr,iron
8,Ezreal,97353,2.37,48.31,18.4,9.58,165.13,10869,kr,iron
9,Warwick,94665,2.16,52.85,17.89,23.34,146.29,11044,kr,iron
10,Akali,88225,2.15,50.34,16.67,13.63,149.42,10720,kr,iron
11,Lee Sin,84513,2.48,48.87,15.97,21.96,147.76,10891,kr,iron
12,Teemo,83766,1.93,52.43,15.83,36.73,151.57,10828,kr,iron
13,Jinx,81962,2.19,49.94,15.49,3.92,174.29,11042,kr,iron
14,Jhin,79073,2.69,50.73,14.94,9.87,168.36,11623,kr,iron
15,Sett,72854,1.55,50.69,13.77,3.77,148.55,10645,kr,iron
16,Viego,69514,2.23,49.84,13.14,5.56,158.41,11035,kr,iron
17,Malphite,66900,2.42,49.84,12.64,7.1,126.88,9810,kr,iron
18,Maokai,64267,2.48,51.48,12.15,6.41,98.23,8951,kr,iron
19,Ahri,63145,2.11,48.73,11.93,4.55,157.13,10193,kr,iron
20,Kai'Sa,61681,2.31,49.17,11.66,2.39,183.27,11679,kr,iron
21,Morgana,60262,2.5,51.43,11.39,15.13,61.96,8918,kr,iron
22,Swain,58927,2.26,51.94,11.14,12.19,106.52,9654,kr,iron
23,Xerath,58798,2.54,51.51,11.11,27.33,82.4,9430,kr,iron
24,Nocturne,58613,2.51,51.81,11.08,15.92,164.41,11199,kr,iron
25,Mordekaiser,58472,1.84,51.59,11.05,10.14,153.05,10702,kr,iron
26,Blitzcrank,55906,2.35,49.23,10.57,35.39,27.96,7633,kr,iron
27,Volibear,55748,1.88,50.45,10.54,7.03,146.94,10267,kr,iron
28,Seraphine,54384,2.46,49.01,10.28,2.01,42.36,8080,kr,iron
29,Galio,50851,2.52,51.18,9.61,5.79,131.35,9476,kr,iron
30,Darius,50590,1.75,50,9.56,21.97,161.73,10954,kr,iron
31,Master Yi,48942,1.88,49.24,9.25,9,159.57,11395,kr,iron
32,Pyke,47925,2.01,48.18,9.06,19.72,35.59,8992,kr,iron
33,Irelia,46369,1.57,50.71,8.76,13.17,202.57,12242,kr,iron
34,Nautilus,46362,2.29,49.19,8.76,12.22,33.31,7807,kr,iron
35,Tahm Kench,44783,2.36,51.35,8.46,4.36,84.44,9267,kr,iron
36,Leona,44753,2.4,50.93,8.46,11.26,29.96,7738,kr,iron
37,Pantheon,43809,2,48.07,8.28,1.47,100.57,10047,kr,iron
38,Vex,43131,2.12,50.55,8.15,13.12,154.89,10478,kr,iron
39,Yuumi,42706,4.66,44.04,8.07,3.77,14.53,7144,kr,iron
40,Neeko,42541,2.07,49.21,8.04,5.71,74.16,8875,kr,iron
41,Jax,41759,1.73,48.49,7.89,3.61,153.69,10737,kr,iron
42,LeBlanc,41730,2.45,48.64,7.89,34.64,136.63,10414,kr,iron
43,Amumu,41294,2.32,51.12,7.8,1.55,129.47,9941,kr,iron
44,Graves,40514,2.36,50.59,7.66,13.05,183.66,12120,kr,iron
45,Thresh,39185,2.32,49.17,7.41,2.97,33.14,7775,kr,iron
46,Viktor,39167,1.98,51.48,7.4,16.94,170.46,10820,kr,iron
47,Garen,38767,1.98,49.34,7.33,2.33,176.54,11366,kr,iron
48,Trundle,38281,1.5,50.91,7.23,2.45,167.9,11366,kr,iron
