Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Viego,20627,2.86,50.03,29.53,13.06,161.84,10610,kr,master
2,Lee Sin,19267,3.05,49.06,27.59,19.01,150.93,10333,kr,master
3,Ashe,18669,2.61,52.06,26.73,47.64,183.1,10319,kr,master
4,Corki,17112,2.68,52.07,24.5,34.97,198.38,11098,kr,master
5,Jhin,15878,3.08,48.99,22.73,3.07,186.07,10981,kr,master
6,Sylas,14117,2.2,49.35,20.21,16.39,147.18,9618,kr,master
7,Graves,13679,2.8,49.88,19.59,33.86,182,11587,kr,master
8,Ezreal,12539,2.56,48.57,17.95,2.79,189.98,10606,kr,master
9,Maokai,11948,2.3,49.65,17.11,7.6,105.87,8071,kr,master
10,Caitlyn,11884,2.23,46.67,17.02,12.02,197.88,11038,kr,master
11,Jinx,11407,2.61,51.39,16.33,1.83,196.73,10903,kr,master
12,Yone,11330,1.77,47.83,16.22,8.52,194.39,10397,kr,master
13,Varus,10950,2.39,49.87,15.68,3.23,186.01,10720,kr,master
14,K'Sante,10588,2.27,50.16,15.16,14.44,172.34,9640,kr,master
15,Viktor,9765,2.21,50.57,13.98,31.44,188.97,10255,kr,master
16,Nautilus,9726,2.35,49.35,13.93,5.19,27.3,6917,kr,master
17,Aurora,9658,2.67,50.11,13.83,29.61,178.02,10215,kr,master
18,Nidalee,9081,3.55,50.64,13,23.79,162.26,10576,kr,master
19,Ambessa,8993,1.97,50.54,12.88,47.17,170.15,9937,kr,master
20,Lulu,8959,3.38,50.16,12.83,5.01,29.6,7012,kr,master
21,Thresh,8478,2.81,50.34,12.14,4.52,27.36,6944,kr,master
22,Braum,8456,3.08,51.79,12.11,9.09,24.05,6756,kr,master
23,Karma,8333,2.79,49.92,11.93,3.69,34.72,7313,kr,master
24,Poppy,7739,2.4,53.5,11.08,25.29,62.62,8008,kr,master
25,Rakan,7445,3.13,49.71,10.66,2.3,27.4,6861,kr,master
26,Akali,7023,2.42,48.13,10.06,8.09,169.74,10254,kr,master
27,Smolder,6818,2.17,47.71,9.76,2.35,203.24,10812,kr,master
28,Blitzcrank,6798,2.47,48.6,9.73,13.7,23.83,6867,kr,master
29,Hwei,6700,2.64,50.36,9.59,6.5,179.98,10188,kr,master
30,Galio,6689,2.88,50.32,9.58,6.52,154.81,9225,kr,master
31,Gragas,6648,2.41,50.3,9.52,1.42,150.29,9267,kr,master
32,Irelia,6619,1.58,52.26,9.48,11.93,206,11394,kr,master
33,Pyke,6554,2.29,50.56,9.38,63.66,31,8119,kr,master
34,Jayce,6528,1.84,49.43,9.35,6.15,190.79,10755,kr,master
35,Leona,6338,2.41,50.68,9.07,3.16,26.78,6912,kr,master
36,Rell,6150,3.03,50.41,8.81,3.82,25.58,7064,kr,master
37,Orianna,6056,2.72,49.9,8.67,5.29,185.33,10031,kr,master
38,Kai'Sa,5953,2.59,48.98,8.52,0.29,198.16,11224,kr,master
39,Zyra,5852,2.82,49.98,8.38,8.49,152.32,10039,kr,master
40,Gnar,5811,1.83,48.37,8.32,9.87,176.67,9990,kr,master
41,Renekton,5809,1.96,50.18,8.32,9.03,182.85,10225,kr,master
42,Jax,5748,1.77,49.39,8.23,10.86,168.38,10011,kr,master
43,Skarner,5742,3.39,51.6,8.22,6.16,133.21,9369,kr,master
44,Ahri,5736,2.89,49.32,8.21,0.73,180.27,10067,kr,master
45,Talon,5663,2.66,50.75,8.11,2.31,177.21,10992,kr,master
46,Bard,5204,3.19,51.69,7.45,0.99,25.92,7061,kr,master
47,Yasuo,5179,1.77,48.89,7.42,11.96,192.64,10461,kr,master
48,Alistar,4754,2.65,50.93,6.81,0.79,23.5,6724,kr,master
49,Vi,4750,2.7,48.23,6.8,0.85,152.44,9940,kr,master
50,LeBlanc,4665,2.84,48.17,6.68,51.35,152.18,9849,kr,master
51,Taliyah,4659,2.65,51.84,6.67,1.24,177.31,10788,kr,master
52,Elise,4643,2.87,53.31,6.65,17.96,124.75,10164,kr,master
53,Swain,4614,2.55,49.96,6.61,1.76,129.96,9189,kr,master
54,Aphelios,4460,2.04,46.79,6.39,0.21,191.22,10946,kr,master
55,Karthus,4392,2.47,53.92,6.29,48.12,189.19,11917,kr,master
56,Aatrox,4372,1.93,49.66,6.26,3.91,169.56,9828,kr,master
57,Neeko,4151,2.65,51.63,5.94,2.22,79.42,8303,kr,master
58,Cassiopeia,4014,1.97,52.39,5.75,3.5,183.82,10347,kr,master
59,Kindred,4013,2.6,50.41,5.75,1.93,160.45,10718,kr,master
60,Ekko,3950,2.86,51.14,5.66,0.46,168.79,10799,kr,master
