Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Lee Sin,230351,2.9,49.83,33.25,27.93,159.43,11254,kr,platinum
2,Caitlyn,169528,2.19,48.85,24.47,14.91,209.81,12129,kr,platinum
3,Jhin,166546,2.99,50.47,24.04,7.35,200.29,12444,kr,platinum
4,Ashe,166478,2.48,50.45,24.03,36.86,192.93,11364,kr,platinum
5,Sylas,155706,2.12,49.4,22.48,24.92,147.29,10469,kr,platinum
6,Ezreal,147557,2.59,48.93,21.3,5.16,200.79,11769,kr,platinum
7,Yone,129963,1.62,47.52,18.76,15.21,205.99,11449,kr,platinum
8,Graves,127052,2.56,50.02,18.34,37.6,195.13,12584,kr,platinum
9,Viego,124280,2.72,49.65,17.94,7.35,171.65,11497,kr,platinum
10,Maokai,119286,2.47,51.73,17.22,16.07,126.96,9266,kr,platinum
11,Jinx,114414,2.45,49.62,16.52,1.63,209.27,11835,kr,platinum
12,Thresh,97348,2.66,49.82,14.05,5.39,29.73,7645,kr,platinum
13,Viktor,94905,2.06,50.53,13.7,33.83,198.77,11306,kr,platinum
14,Lulu,92898,3.3,51.04,13.41,11.31,28.7,7601,kr,platinum
15,Xerath,88681,2.76,50.62,12.8,21.66,94.58,9747,kr,platinum
16,Kai'Sa,86851,2.56,48.27,12.54,0.82,209.94,12336,kr,platinum
17,Akali,86114,2.36,50.07,12.43,11.08,175.5,11241,kr,platinum
18,Lux,80249,2.41,49.94,11.58,3.72,71.33,9071,kr,platinum
19,Irelia,79406,1.51,51.99,11.46,20.69,224.76,12657,kr,platinum
20,Ahri,76730,2.63,50.3,11.08,2.95,187.66,10993,kr,platinum
21,LeBlanc,75934,2.69,49.43,10.96,45.32,147.29,10733,kr,platinum
22,Yasuo,75850,1.61,48.68,10.95,14.76,208.68,11578,kr,platinum
23,Corki,72948,2.58,49.7,10.53,16.42,209.98,12113,kr,platinum
24,Blitzcrank,68296,2.53,49.47,9.86,36.21,26.58,7604,kr,platinum
25,Karma,67739,2.53,50.23,9.78,5.65,42.31,8169,kr,platinum
26,Swain,67377,2.35,49.95,9.73,8.81,129.63,9940,kr,platinum
27,Smolder,67177,2.16,47.33,9.7,2.94,218.31,11929,kr,platinum
28,Aatrox,65049,1.89,50.31,9.39,10.35,178.29,10872,kr,platinum
29,Gragas,64270,2.52,49.94,9.28,3.07,160.47,10415,kr,platinum
30,Ambessa,63622,1.97,49.04,9.18,47.65,176.93,10951,kr,platinum
31,Nautilus,59006,2.35,48.9,8.52,12.02,30.98,7650,kr,platinum
32,Aurora,58953,2.44,49.24,8.51,12.41,183.99,10958,kr,platinum
33,K'Sante,58511,2.1,47.48,8.45,7.37,179.79,10485,kr,platinum
34,Varus,58127,2.25,49.02,8.39,1.34,198.33,11842,kr,platinum
35,Vi,58019,2.65,49.37,8.37,1.98,162.22,10929,kr,platinum
36,Wukong,57466,2.85,51.15,8.3,1.49,165.61,11225,kr,platinum
