Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold,Region,Rank
1,Caitlyn,346687,2.13,49.46,27.8,17.51,204.52,12200,kr,silver
2,Lee Sin,337214,2.81,49.93,27.04,27.9,159.42,11427,kr,silver
3,Ashe,295189,2.38,50.25,23.67,26.46,184.7,11387,kr,silver
4,Sylas,280920,2.12,49.63,22.53,24.79,146,10650,kr,silver
5,Ezreal,278152,2.56,48.78,22.3,6.96,194.4,11800,kr,silver
6,Jhin,259937,2.89,50.75,20.84,8.17,195.37,12538,kr,silver
7,Yone,251297,1.62,48.58,20.15,17.85,204.3,11656,kr,silver
8,Lux,211493,2.37,50.18,16.96,12.76,73.13,9297,kr,silver
9,Jinx,202291,2.36,49.86,16.22,2.09,204.14,11897,kr,silver
10,Maokai,201524,2.51,51.63,16.16,11.47,123.17,9403,kr,silver
11,Graves,197711,2.48,50.25,15.85,26.95,196.26,12738,kr,silver
12,Viego,186424,2.59,50.15,14.95,5.95,171.68,11637,kr,silver
13,Akali,175416,2.33,50.42,14.07,12.39,172.49,11394,kr,silver
14,Kai'Sa,165846,2.48,48.59,13.3,1.24,206.9,12471,kr,silver
15,Viktor,163178,2.03,50.81,13.08,28.88,195.51,11453,kr,silver
16,Yasuo,160139,1.58,48.69,12.84,16.21,208.25,11807,kr,silver
17,Xerath,159788,2.75,51.84,12.81,31.62,88.83,9846,kr,silver
18,Thresh,145435,2.61,50.02,11.66,5.13,31.5,7866,kr,silver
19,Swain,142881,2.34,50.57,11.46,12.71,124.3,10088,kr,silver
20,Warwick,139915,2.33,53.15,11.22,23.72,162.08,11620,kr,silver
21,Ahri,138643,2.46,50.29,11.12,3.67,183.2,11057,kr,silver
22,LeBlanc,137079,2.66,49.61,10.99,40.77,145.3,10898,kr,silver
23,Irelia,135843,1.58,52.29,10.89,18.91,226.39,12986,kr,silver
24,Miss Fortune,130797,2.49,50.5,10.49,1.84,179.06,11940,kr,silver
25,Lulu,128953,3.19,50.68,10.34,7.51,29.57,7725,kr,silver
